CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
dz;;COUNTRY;Algeria;;
dz01;dz;REGION;Algiers;;
dz2505854;dz01;CITY;Bab Ezzouar;;
dz2503661;dz01;CITY;Bordj el Kiffan;;
dz2500889;dz01;CITY;Dar el Beïda;;
dz2503847;dz01;CITY;Birkhadem;;
dz2482908;dz01;CITY;Rouiba;;
dz2507912;dz01;CITY;Aïn Taya;;
dz2503669;dz01;CITY;Bordj el Bahri;;
dz2485571;dz01;CITY;Oued Smar;;
dz2478141;dz01;CITY;Tamentfoust;;
dz2497697;dz01;CITY;El Marsa;;
dz11203893;dz01;CITY;Bourouba;;
dz11204463;dz01;CITY;Oued Koriche;;
dz2485227;dz01;CITY;Ouled Maamar;;
dz2479067;dz01;CITY;Surcouf;;
dz2498118;dz01;CITY;El Hamiz;;
dz2479101;dz01;CITY;Stamboul;;
dz2490858;dz01;CITY;Les Heuraouas;;
dz2507474;dz01;CITY;Alger Plage;;
dz2508286;dz01;CITY;’Aïn Beïda;;
dz2504275;dz01;CITY;Ben Zerga;;
dz2504483;dz01;CITY;Ben Mered;;
dz2484943;dz01;CITY;Ouled Chebacheb;;
dz2484952;dz01;CITY;Ouled Brahim;;
dz2484984;dz01;CITY;Ouled Ben Choubane;;
dz12;dz;REGION;Sétif;;
dz2498392;dz12;CITY;El Eulma;;
dz2503156;dz12;CITY;Bougaa;;
dz2482447;dz12;CITY;Salah Bey;;
dz2508297;dz12;CITY;Aïn Arnat;;
dz6698360;dz12;CITY;BABOR - VILLE;;
dz2499912;dz12;CITY;Djemila;;
dz2565417;dz12;CITY;Guidjal;;
dz2503857;dz12;CITY;Bir Haddada;;
dz2503880;dz12;CITY;Bir el Arche;;
dz2505112;dz12;CITY;Bellaa;;
dz2484520;dz12;CITY;Oum Ladjoul;;
dz2488883;dz12;CITY;Mechtet Ouled Si Ahmed;;
dz2478311;dz12;CITY;Tala Yfassene;;
dz2494545;dz12;CITY;Hammam Guergour;;
dz2495671;dz12;CITY;Guellal;;
dz2497381;dz12;CITY;El Ouricia;;
dz2498041;dz12;CITY;El Hassi;;
dz2489501;dz12;CITY;Mechta Kherba;;
dz2490171;dz12;CITY;Maouaklane;;
dz2505346;dz12;CITY;Beïda Bordj;;
dz2505549;dz12;CITY;Bazer Sakra;;
dz2507146;dz12;CITY;Amoucha;;
dz2507954;dz12;CITY;’Aïn Roua;;
dz2507979;dz12;CITY;Aïn Oulmene;;
dz2508144;dz12;CITY;’Aïn el Kebira;;
dz2508206;dz12;CITY;’Aïn el Ahdjar;;
dz2508295;dz12;CITY;’Aïn Azel;;
dz2508311;dz12;CITY;’Aïn Abessa;;
dz11205058;dz12;CITY;Ouled Sabor;;
dz2504695;dz12;CITY;Beni Fouda;;
dz2504954;dz12;CITY;Arbaoun;;
dz2487538;dz12;CITY;Mezloug;;
dz2502959;dz12;CITY;Bouira;;
dz2503901;dz12;CITY;Mechta Bou Abdallah;;
dz2483951;dz12;CITY;Râs el Ma;;
dz2488868;dz12;CITY;Mechta Zegraga;;
dz2488871;dz12;CITY;Mechtet Tellef;;
dz2488875;dz12;CITY;Mechta Seba Aïoun;;
dz2488881;dz12;CITY;Mechtet Ouled Zdira;;
dz2488884;dz12;CITY;Mechtet Ouled Setta;;
dz2488886;dz12;CITY;Mechtet Ouled Rabah;;
dz2488887;dz12;CITY;Mechtet Ouled Hamida;;
dz2488888;dz12;CITY;Mechta Oulad ed Doud;;
dz2488895;dz12;CITY;Mechtet Melloûl;;
dz2488896;dz12;CITY;Mechtet Meguercha;;
dz2488897;dz12;CITY;Mechtet Medani;;
dz2488926;dz12;CITY;Mechtet Bir el Djedid;;
dz2498106;dz12;CITY;El Hammam;;
dz2489199;dz12;CITY;Mechta Tadrart;;
dz2489331;dz12;CITY;Mechta Ouled Hamdou;;
dz2489363;dz12;CITY;Mechta Ouled Ahmed Ben Amor;;
dz2489479;dz12;CITY;Mechta Laouaska;;
dz2489768;dz12;CITY;Mechta Arras;;
dz2490423;dz12;CITY;Mahouane;;
dz2507872;dz12;CITY;’Aïn Trick;;
dz2508008;dz12;CITY;’Aïn Mergoum;;
dz2508176;dz12;CITY;Mechta ’Aïn el Bey;;
dz2488898;dz12;CITY;Mechta Laouaska;;
dz2488904;dz12;CITY;Ksar et Til;;
dz2495241;dz12;CITY;Ras el Ma;;
dz2500717;dz12;CITY;Dechera Irhil Izegouarene;;
dz2500718;dz12;CITY;Dechera Bou Imane;;
dz2502086;dz12;CITY;Braham;;
dz2502347;dz12;CITY;Bou Selloutene;;
dz2503673;dz12;CITY;Bordj du Keskes;;
dz2503678;dz12;CITY;Bordj du Caïd;;
dz2503694;dz12;CITY;Bordj Bou Rerhda;;
dz2485389;dz12;CITY;Oulad Ali Ben Athmane;;
dz2488870;dz12;CITY;Mechta Teniet el Louz;;
dz2488882;dz12;CITY;Mechtet Ouled Sidi Mhammed;;
dz2488885;dz12;CITY;Mechtet Ouled Sayah;;
dz2488899;dz12;CITY;Mechtet Lablalit;;
dz2488902;dz12;CITY;Mechtet Kahal el Kroûch;;
dz2488903;dz12;CITY;Mechtet Hadar;;
dz2488911;dz12;CITY;Mechtet el Kouana;;
dz2494532;dz12;CITY;Hammam Sokhna;;
dz2495598;dz12;CITY;Guemchouch;;
dz2496735;dz12;CITY;Faucigny;;
dz2496934;dz12;CITY;Mechtat ez Zaouïa;;
dz2497888;dz12;CITY;El Kheloua;;
dz2498116;dz12;CITY;El Hamma;;
dz2498701;dz12;CITY;El Anasser;;
dz2498959;dz12;CITY;Ech Chebna;;
dz2488954;dz12;CITY;Mechta Zadia;;
dz2488973;dz12;CITY;Mechtat Remaïl;;
dz2489001;dz12;CITY;Mechtat Kef el Hammam;;
dz2489063;dz12;CITY;Mechtat el Ma el Abiod;;
dz2489076;dz12;CITY;Mechtat el Kerakera;;
dz2489092;dz12;CITY;Mechtat el Hamama;;
dz2489118;dz12;CITY;Mechtat el Djahli;;
dz2489119;dz12;CITY;Mechtat el Bir;;
dz2489123;dz12;CITY;Mechtat el Bebouch;;
dz2489143;dz12;CITY;Mechta Teksra;;
dz2489183;dz12;CITY;Mechta Tannouch;;
dz2489290;dz12;CITY;Mechta Rebaba;;
dz2489305;dz12;CITY;Mechta Ouled Tarhioult;;
dz2489309;dz12;CITY;Mechta Ouled Sidi Ali;;
dz2489313;dz12;CITY;Mechta Ouled Sahib;;
dz2489317;dz12;CITY;Mechta Ouled Reguig;;
dz2489332;dz12;CITY;Mechta Ouled Hachich;;
dz2489334;dz12;CITY;Mechta Ouled es Souar;;
dz2489346;dz12;CITY;Mechta Ouled Boudil;;
dz2489348;dz12;CITY;Mechta Ouled Bou Aziz;;
dz2489366;dz12;CITY;Mechta Ouled Ahlal;;
dz2489387;dz12;CITY;Mechta Oulad Ou Ameur;;
dz2489391;dz12;CITY;Mechta Oulad Morhem;;
dz2489393;dz12;CITY;Mechta Oulad Mehenna;;
dz2489396;dz12;CITY;Mechta Oulad Khelguia;;
dz2489399;dz12;CITY;Mechta Oulad Kassem;;
dz2489416;dz12;CITY;Mechta Oued Saada;;
dz2489422;dz12;CITY;Mechta Nouasseur;;
dz2489446;dz12;CITY;Mechta Mekhalfa;;
dz2489460;dz12;CITY;Mechta Marjet Ben Charia;;
dz2489480;dz12;CITY;Mechta Lamamera;;
dz2489483;dz12;CITY;Mechta Lakhberda;;
dz2489502;dz12;CITY;Mechta Kherba;;
dz2489518;dz12;CITY;Mechta Kemedja;;
dz2489577;dz12;CITY;Mechta Foum el ’Aïn;;
dz2489590;dz12;CITY;Mechta el Hadj Douibi;;
dz2489623;dz12;CITY;Mechta Dakhla;;
dz2489649;dz12;CITY;Mechta Chabet Sekouah;;
dz2489671;dz12;CITY;Mechta Bou Rzam;;
