CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
ao;;COUNTRY;Angola;;
ao01;ao;REGION;Benguela;;
ao3347939;ao01;CITY;Lobito;;
ao3350246;ao01;CITY;Catumbela;;
ao3350793;ao01;CITY;Candumbo;;
ao3351615;ao01;CITY;Biópio;;
ao3351764;ao01;CITY;Balombo;;
ao3351801;ao01;CITY;Babaera;;
ao3346747;ao01;CITY;Passe;;
ao3348777;ao01;CITY;Egito-Praia;;
ao3349142;ao01;CITY;Colango;;
ao3349746;ao01;CITY;Chindumbo;;
ao3351268;ao01;CITY;Caimbambo;;
ao3351599;ao01;CITY;Bocoio;;
ao3351786;ao01;CITY;Baía Farta;;
ao3348581;ao01;CITY;Ganda;;
ao3348797;ao01;CITY;Ebanga;;
ao3348896;ao01;CITY;Dombe Grande;;
ao3349222;ao01;CITY;Cubal do Lumbo;;
ao3349229;ao01;CITY;Cubal;;
ao3349870;ao01;CITY;Chila;;
ao3349914;ao01;CITY;Chicuma;;
ao3350311;ao01;CITY;Catengue;;
ao3350541;ao01;CITY;Capupa;;
ao3351501;ao01;CITY;Cahala;;
ao3351751;ao01;CITY;Vissongue;;
ao3351895;ao01;CITY;Amela;;
ao3347445;ao01;CITY;Marco de Canaveses;;
ao3348370;ao01;CITY;Hanha do Norte;;
ao3348511;ao01;CITY;Ngolo;;
ao3349774;ao01;CITY;Chimélundo;;
ao3350707;ao01;CITY;Canhoca;;
ao3350936;ao01;CITY;Cambondongolo;;
ao3351025;ao01;CITY;Caluquele;;
ao3351088;ao01;CITY;Calucula;;
ao3351458;ao01;CITY;Cacandala;;
ao3345509;ao01;CITY;Vista Alegre;;
ao3345553;ao01;CITY;Venus;;
ao3346052;ao01;CITY;Somacaca;;
ao3346163;ao01;CITY;São José;;
ao3346332;ao01;CITY;Saieiro;;
ao3346336;ao01;CITY;Sacutope;;
ao3346409;ao01;CITY;Roça Monte Arroios;;
ao3346593;ao01;CITY;Quibula;;
ao3347255;ao01;CITY;Monte Belo;;
ao3347484;ao01;CITY;Mandumba;;
ao3347532;ao01;CITY;Madombes;;
ao3347813;ao01;CITY;Luacho;;
ao3347838;ao01;CITY;Lonjava;;
ao3347948;ao01;CITY;Liva-Liva;;
ao3348314;ao01;CITY;Huambo;;
ao3348830;ao01;CITY;Dumbo;;
ao3349294;ao01;CITY;Coporolo;;
ao3349684;ao01;CITY;Chiome;;
ao3349799;ao01;CITY;Chimboa;;
ao3349826;ao01;CITY;Chimalange;;
ao3350495;ao01;CITY;Carique;;
ao3350645;ao01;CITY;Capaco;;
ao3351067;ao01;CITY;Caluita;;
ao3351459;ao01;CITY;Cacala;;
ao3351494;ao01;CITY;Cahata;;
ao3351711;ao01;CITY;Banja;;
ao3345620;ao01;CITY;Hungulo;;
ao3346007;ao01;CITY;Súpua;;
ao3346542;ao01;CITY;Quimbala;;
ao3348450;ao01;CITY;Guiherme;;
ao3348631;ao01;CITY;Fonte do Jomba;;
ao3348779;ao01;CITY;Balabaia;;
ao3349157;ao01;CITY;Cuio;;
ao3349728;ao01;CITY;Chingongo;;
ao3350154;ao01;CITY;Cavissólio;;
ao3350607;ao01;CITY;Capeio;;
ao3371640;ao01;CITY;Canjala Caluntele;;
ao3372355;ao01;CITY;Luongo;;
ao8634751;ao01;CITY;Galo;;
ao3350736;ao01;CITY;Cangue;;
