CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
ar;;COUNTRY;Argentina;;
ar04;ar;REGION;Chubut;;
ar3833883;ar04;CITY;Trelew;;
ar3855974;ar04;CITY;Esquel;;
ar3838840;ar04;CITY;Río Mayo;;
ar3854153;ar04;CITY;Hoyo de Epuyén;;
ar3854988;ar04;CITY;Gobernador Costa;;
ar3857756;ar04;CITY;El Maitén;;
ar3859278;ar04;CITY;Dolavón;;
ar3851100;ar04;CITY;Lago Puelo;;
ar3838826;ar04;CITY;Río Pico;;
ar3833675;ar04;CITY;Trevelin;;
ar3853553;ar04;CITY;Jaramillo;;
ar3854610;ar04;CITY;Gualjaina;;
ar3855087;ar04;CITY;General Mosconi;;
ar3855219;ar04;CITY;Garayalde;;
ar3855235;ar04;CITY;Gan Gan;;
ar3855691;ar04;CITY;Facundo;;
ar3856140;ar04;CITY;Epuyén;;
ar3859280;ar04;CITY;Doctor Ricardo Rojas;;
ar3859336;ar04;CITY;Dique Florentino Ameghino;;
ar3859386;ar04;CITY;Diadema Argentina;;
ar3860894;ar04;CITY;Colan Conhué;;
ar3861313;ar04;CITY;Cholila;;
ar3862539;ar04;CITY;Carrenleufú;;
ar3863773;ar04;CITY;Buen Pasto;;
ar3863774;ar04;CITY;Buenos Aires Chico;;
ar3865297;ar04;CITY;Astra;;
ar3866397;ar04;CITY;Aldea Apeleg;;
ar3846269;ar04;CITY;Los Cipreses;;
ar3851121;ar04;CITY;Lago Blanco;;
ar3839927;ar04;CITY;Punta Delgada;;
ar3840086;ar04;CITY;Puerto Rawson;;
ar3840087;ar04;CITY;Puerto Pirámides;;
ar3839482;ar04;CITY;Rada Tilly;;
ar3858298;ar04;CITY;El Corcovado;;
ar3863380;ar04;CITY;Caleta Córdova;;
ar3855690;ar04;CITY;Facundo;;
ar3855768;ar04;CITY;Estancia Valle Huemules;;
ar3865082;ar04;CITY;Bahía Bustamante;;
ar3840093;ar04;CITY;Puerto Lobos;;
ar3840902;ar04;CITY;Playa Unión;;
ar3855506;ar04;CITY;Florentino Ameghino;;
ar3834724;ar04;CITY;Talleres;;
ar3854956;ar04;CITY;Golondrinas;;
ar3856485;ar04;CITY;El Tordillo;;
ar3863584;ar04;CITY;Cabo Raso;;
ar3851112;ar04;CITY;Lago Futalaufquen;;
ar3838463;ar04;CITY;Sacanana;;
ar3840074;ar04;CITY;Puerto Visser;;
ar3841322;ar04;CITY;Pico de Salamanca;;
ar3841860;ar04;CITY;Paso Guenguel;;
ar3842146;ar04;CITY;Pampa del Castillo;;
ar3842152;ar04;CITY;Pampa de Agnia;;
ar3842898;ar04;CITY;Nueva Lubecka;;
ar3833340;ar04;CITY;Uzcudun;;
ar3855405;ar04;CITY;Foyel;;
ar3857806;ar04;CITY;El Junco;;
ar3862802;ar04;CITY;Canquel;;
ar3863294;ar04;CITY;Campamento Primero;;
ar3864631;ar04;CITY;Barrio Laprida;;
ar3849746;ar04;CITY;Languiñeo;;
ar3850818;ar04;CITY;La Herrería;;
ar3838821;ar04;CITY;Río Puelo;;
ar3841427;ar04;CITY;Petroquímica;;
ar3843083;ar04;CITY;Nieto;;
ar3852278;ar04;CITY;La Carlota;;
ar3852488;ar04;CITY;La Bolsa;;
ar3852882;ar04;CITY;Aldea Escolar;;
ar3853195;ar04;CITY;Kilómetro 162;;
ar3854280;ar04;CITY;Holdich;;
ar3855194;ar04;CITY;Gasoducto;;
ar3855592;ar04;CITY;Ferrocarrilera;;
ar3856021;ar04;CITY;Esperanza;;
ar3856122;ar04;CITY;Escalante;;
ar3856435;ar04;CITY;El Trébol;;
ar3856584;ar04;CITY;El Sombrero;;
ar3856807;ar04;CITY;El Rincón;;
ar3857421;ar04;CITY;El Pajarito;;
ar3857566;ar04;CITY;El Molle;;
ar3857630;ar04;CITY;El Mirasol;;
ar3857688;ar04;CITY;El Mayoco;;
ar3858087;ar04;CITY;Elena;;
ar3858266;ar04;CITY;El Coyte;;
ar3858299;ar04;CITY;El Corcovado;;
ar3859120;ar04;CITY;Dos Pozos;;
ar3860874;ar04;CITY;Colhué Huapí;;
ar3860878;ar04;CITY;Colelache;;
ar3861654;ar04;CITY;Chasicó;;
ar3862034;ar04;CITY;Cerro Dragón;;
ar3862115;ar04;CITY;Centro Río Mayo;;
ar3862897;ar04;CITY;Cañadón Perdido;;
ar3862906;ar04;CITY;Cañadón Lagarto;;
ar3863292;ar04;CITY;Campamento Villegas;;
ar3864047;ar04;CITY;Boca de la Zanja;;
ar3864623;ar04;CITY;Barrio Saavedra;;
ar3864748;ar04;CITY;Barranca;;
ar3865109;ar04;CITY;Baggle;;
ar3865391;ar04;CITY;Arroyo Pescado;;
ar3865614;ar04;CITY;Apeleg;;
ar3866037;ar04;CITY;Alto Río Mayo;;
ar3866398;ar04;CITY;Aldea;;
ar3845008;ar04;CITY;Manantial Rosales;;
ar3845018;ar04;CITY;Manantiales Behr;;
ar3845177;ar04;CITY;Malaspina;;
ar3845565;ar04;CITY;Los Tamariscos;;
ar3846947;ar04;CITY;Lepá;;
ar3847858;ar04;CITY;Las Pulgas;;
ar3848573;ar04;CITY;Las Chapas;;
ar3849999;ar04;CITY;La Martha;;
ar3850941;ar04;CITY;Laguna Grande;;
ar16;ar;REGION;Rio Negro;;
ar3855065;ar16;CITY;General Roca;;
ar3861056;ar16;CITY;Cipolletti;;
ar3858765;ar16;CITY;El Bolsón;;
ar3861061;ar16;CITY;Cinco Saltos;;
ar3862254;ar16;CITY;Catriel;;
ar3866242;ar16;CITY;Allen;;
ar3832647;ar16;CITY;Villa Regina;;
ar3853786;ar16;CITY;Ingeniero Jacobacci;;
ar3855114;ar16;CITY;General Fernández Oro;;
ar3859521;ar16;CITY;Darwin;;
ar3860206;ar16;CITY;Coronel Belisle;;
ar3860475;ar16;CITY;Comallo;;
ar3861405;ar16;CITY;Chimpay;;
ar3861528;ar16;CITY;Chichinales;;
ar3861966;ar16;CITY;Cervantes;;
ar3845251;ar16;CITY;Mainque;;
ar3845977;ar16;CITY;Los Menucos;;
ar3850005;ar16;CITY;Lamarque;;
ar3858690;ar16;CITY;El Caín;;
ar3859762;ar16;CITY;Cubanea;;
ar3860185;ar16;CITY;Coronel Juan José Gómez;;
ar3860319;ar16;CITY;Contraalmirante Cordero;;
ar3860768;ar16;CITY;Colonia Julia y Echarren;;
ar3861007;ar16;CITY;Clemente Onelli;;
