CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
au;;COUNTRY;Australia;;
au04;au;REGION;Queensland;;
au2165087;au04;CITY;Gold Coast;;
au2172797;au04;CITY;Cairns;;
au2146142;au04;CITY;Townsville;;
au2146268;au04;CITY;Toowoomba;;
au7281838;au04;CITY;Logan City;;
au2151437;au04;CITY;Rockhampton;;
au2173323;au04;CITY;Bundaberg;;
au2158562;au04;CITY;Maryborough;;
au6354957;au04;CITY;Hervey Bay;;
au2152490;au04;CITY;Proserpine;;
au2152681;au04;CITY;Port Douglas;;
au2153459;au04;CITY;Pentland;;
au2155085;au04;CITY;Normanton;;
au2142316;au04;CITY;Yeppoon;;
au2169535;au04;CITY;Dalby;;
au2170658;au04;CITY;Cooktown;;
au2171306;au04;CITY;Cloncurry;;
au2171722;au04;CITY;Charters Towers;;
au2172434;au04;CITY;Capalaba;;
au2172710;au04;CITY;Caloundra;;
au2143069;au04;CITY;Woodridge;;
au2143350;au04;CITY;Winton;;
au2144502;au04;CITY;Warwick;;
au2161376;au04;CITY;Kingaroy;;
au2162644;au04;CITY;Ipswich;;
au2164129;au04;CITY;Gympie;;
au2164784;au04;CITY;Gracemere;;
au2167246;au04;CITY;Eromanga;;
au2167426;au04;CITY;Emerald;;
au2155787;au04;CITY;Narangba;;
au2158767;au04;CITY;Mareeba;;
au2160882;au04;CITY;Kynuna;;
au2175650;au04;CITY;Blackall;;
au2178285;au04;CITY;Adavale;;
au2076533;au04;CITY;Birdsville;;
au2076914;au04;CITY;Bedourie;;
au8310780;au04;CITY;Thursday Island;;
au6354936;au04;CITY;Airlie Beach;;
au6533368;au04;CITY;Moranbah;;
au11694935;au04;CITY;Coomera;;
au2149738;au04;CITY;Sharon;;
au2149900;au04;CITY;Selwyn;;
au2149904;au04;CITY;Sellheim;;
au2150216;au04;CITY;Sarina;;
au2150229;au04;CITY;Sapphire;;
au2150696;au04;CITY;St George;;
au2150867;au04;CITY;Rubyvale;;
au2151187;au04;CITY;Roma;;
au2152046;au04;CITY;Ravenswood;;
au2152048;au04;CITY;Ravenshoe;;
au2152257;au04;CITY;Quilpie;;
