CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
at;;COUNTRY;Austria;;
at04;at;REGION;Upper Austria;;
at2781520;at04;CITY;Braunau am Inn;;
at2778436;at04;CITY;Gmunden;;
at2779155;at04;CITY;Fucking;;
at2782052;at04;CITY;Bad Ischl;;
at2773538;at04;CITY;Kremsmünster;;
at2776943;at04;CITY;Hallstatt;;
at2779275;at04;CITY;Freistadt;;
at2780394;at04;CITY;Eferding;;
at2782055;at04;CITY;Bad Goisern am Hallstättersee;;
at2782480;at04;CITY;Ansfelden;;
at2782627;at04;CITY;Altmünster;;
at2774390;at04;CITY;Kirchdorf an der Krems;;
at2767280;at04;CITY;Rohrbach in Oberösterreich;;
at2767468;at04;CITY;Ried im Traunkreis;;
at2770722;at04;CITY;Neumarkt im Mühlkreis;;
at2773215;at04;CITY;Laakirchen;;
at2773379;at04;CITY;Kronstorf;;
at2773733;at04;CITY;Königswiesen;;
at2776721;at04;CITY;Haslach an der Mühl;;
at2776787;at04;CITY;Hartkirchen;;
at2776792;at04;CITY;Hartheim;;
at2764354;at04;CITY;Steyregg;;
at2766136;at04;CITY;Scharnstein;;
at2766334;at04;CITY;Sarleinsbach;;
at2768265;at04;CITY;Pucking;;
at2768804;at04;CITY;Pinsdorf;;
at2769225;at04;CITY;Pasching;;
at2771020;at04;CITY;Münzkirchen;;
at2771023;at04;CITY;Münzbach;;
at2771619;at04;CITY;Micheldorf in Oberösterreich;;
at2771708;at04;CITY;Mehrnbach;;
at2771760;at04;CITY;Mauthausen;;
at2773004;at04;CITY;Langenstein;;
at2778039;at04;CITY;Grein;;
at2778302;at04;CITY;Gosau;;
at2778830;at04;CITY;Gaspoltshofen;;
at2780547;at04;CITY;Ebensee;;
at2780972;at04;CITY;Dietach;;
at2782054;at04;CITY;Bad Hall;;
at2782159;at04;CITY;Aurolzmünster;;
at2782634;at04;CITY;Altlichtenberg;;
at2762290;at04;CITY;Vorchdorf;;
at2763414;at04;CITY;Traunkirchen;;
at2763477;at04;CITY;Tragwein;;
at2773534;at04;CITY;Krenglbach;;
at2773790;at04;CITY;Kollerschlag;;
at2774045;at04;CITY;Kleinreifling;;
at2774380;at04;CITY;Kirchham;;
at2774582;at04;CITY;Kefermarkt;;
at2774621;at04;CITY;Katsdorf;;
at2774861;at04;CITY;Kaltenberg;;
at2774900;at04;CITY;Kallham;;
at2775005;at04;CITY;Julbach;;
at2775095;at04;CITY;Jeging;;
at2775533;at04;CITY;Hörbich;;
at2776206;at04;CITY;Hinzenbach;;
at2776536;at04;CITY;Helfenberg;;
