CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
bd;;COUNTRY;Bangladesh;;
bd84;bd;REGION;Chittagong;;
bd1185186;bd84;CITY;Comilla;;
bd1336134;bd84;CITY;Cox’s Bāzār;;
bd1196292;bd84;CITY;Lakshmīpur;;
bd1185120;bd84;CITY;Sandwīp;;
bd1185148;bd84;CITY;Patiya;;
bd1185183;bd84;CITY;Lākshām;;
bd1185224;bd84;CITY;Feni;;
bd1185236;bd84;CITY;Rāipur;;
bd1185249;bd84;CITY;Chhāgalnāiya;;
bd1185252;bd84;CITY;Khagrachhari;;
bd1189638;bd84;CITY;Raojān;;
bd1185127;bd84;CITY;Rāmganj;;
bd1185270;bd84;CITY;Bāndarban;;
bd1336133;bd84;CITY;Sātkania;;
bd1462681;bd84;CITY;Manikchari;;
bd1188204;bd84;CITY;Shahbazpur Town;;
bd1185095;bd84;CITY;Teknāf;;
bd1212405;bd84;CITY;Āshuganj City;;
bd9794294;bd84;CITY;B-baria City;;
bd1336138;bd84;CITY;Chandraghona;;
bd1336139;bd84;CITY;Rāngāmāti;;
bd1336142;bd84;CITY;Brāhmanbāria;;
bd1462674;bd84;CITY;Hāthazāri;;
bd1462695;bd84;CITY;Dāganbhuiya;;
bd1462748;bd84;CITY;Begumganj;;
bd1462814;bd84;CITY;Akhaura;;
bd1191011;bd84;CITY;Pomara;;
bd1191565;bd84;CITY;Pāglirpāra;;
bd1193823;bd84;CITY;Nabīnagar;;
bd1194341;bd84;CITY;Mīrsarāi;;
bd1195646;bd84;CITY;Mahājanpāra;;
bd1186451;bd84;CITY;Tarpurchandi;;
bd1186767;bd84;CITY;Syamgaon;;
bd1187776;bd84;CITY;Singpa;;
bd1188201;bd84;CITY;Shāhebābād;;
bd1188809;bd84;CITY;Suimāunpāra;;
bd1189482;bd84;CITY;Rulkippāra;;
bd1189531;bd84;CITY;Ronīpāra;;
bd1189569;bd84;CITY;Rejupāra;;
bd1201575;bd84;CITY;Hārbāng;;
bd1201753;bd84;CITY;Hājīganj;;
bd1203356;bd84;CITY;Farāshganj;;
bd1203878;bd84;CITY;Dohazāri;;
bd1204132;bd84;CITY;Dumdumia;;
bd1204550;bd84;CITY;Dhākirgaon;;
bd1205681;bd84;CITY;Chunāti;;
bd1196400;bd84;CITY;Lainkalangpāra;;
bd1198082;bd84;CITY;Kalurghāt;;
bd1201234;bd84;CITY;Hātia;;
bd1185124;bd84;CITY;Ruma Bāzār;;
bd1185125;bd84;CITY;Roangchari;;
bd1185150;bd84;CITY;Parsuram;;
bd1185182;bd84;CITY;Lakshmīcharīpāra;;
bd1185189;bd84;CITY;Kachua;;
bd1185319;bd84;CITY;Paschim Sosālia;;
bd1208711;bd84;CITY;Bhutua;;
bd1210840;bd84;CITY;Bānstali;;
bd1210960;bd84;CITY;Bāniākāndi;;
bd1210975;bd84;CITY;Bāniācho;;
bd1210976;bd84;CITY;Bāniācho;;
bd1211218;bd84;CITY;Bāluthupa;;
bd1211247;bd84;CITY;Balsid;;
bd1211315;bd84;CITY;Bālichātia;;
bd1211323;bd84;CITY;Bāliātali;;
bd1211328;bd84;CITY;Bāliārpur;;
bd1211439;bd84;CITY;Bālākhāl;;
bd1211444;bd84;CITY;Balāirkāndi;;
bd1211492;bd84;CITY;Bākra;;
bd1211498;bd84;CITY;Bākila;;
bd1211510;bd84;CITY;Bākārpur;;
bd1211511;bd84;CITY;Bākharpāra;;
bd1211522;bd84;CITY;Bākhaia;;
bd1211570;bd84;CITY;Bājetula;;
bd1211684;bd84;CITY;Baidyer Bāzār;;
bd1211699;bd84;CITY;Bāichhāra;;
bd1211700;bd84;CITY;Baichātali;;
bd1211703;bd84;CITY;Baiāra;;
bd1211741;bd84;CITY;Baher Khalshad;;
bd1211775;bd84;CITY;Bānaria;;
bd1211776;bd84;CITY;Bahari;;
bd1211869;bd84;CITY;Bāgra;;
bd1211973;bd84;CITY;Bāghādi;;
bd1212085;bd84;CITY;Badiyazzamāpur;;
bd1212093;bd84;CITY;Bādia;;
bd1212171;bd84;CITY;Bānchpār;;
bd1212176;bd84;CITY;Bāchāia;;
bd1212218;bd84;CITY;Ayānatali;;
bd1212219;bd84;CITY;Āyma;;
bd1212283;bd84;CITY;Atiswar;;
bd1212348;bd84;CITY;Ātākara;;
bd1212361;bd84;CITY;Āswinpur;;
bd1212382;bd84;CITY;Ashrafpur;;
bd1212401;bd84;CITY;Āsikāthi;;
bd1212407;bd84;CITY;Ashtodona;;
bd1212418;bd84;CITY;Āshrafpur;;
bd1212425;bd84;CITY;Āshārkota;;
bd1212432;bd84;CITY;Asatkuari;;
bd1212460;bd84;CITY;Aruli;;
bd1212651;bd84;CITY;Ānwārpur;;
bd1212697;bd84;CITY;Āndirpār;;
bd1212764;bd84;CITY;Āmujān;;
bd1212815;bd84;CITY;Āmlaki;;
bd1212831;bd84;CITY;Āmiyāpur;;
bd1212839;bd84;CITY;Amīrābād;;
bd1212888;bd84;CITY;Āmānullāpur;;
bd1212890;bd84;CITY;Āmānullāhpur;;
bd1212932;bd84;CITY;Ālipura;;
bd1212989;bd84;CITY;Atiāra;;
bd1213003;bd84;CITY;Ālgi Mukundi;;
bd1213086;bd84;CITY;Ākiāra;;
