CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
bb;;COUNTRY;Barbados;;
bb07;bb;REGION;Saint Lucy;;
bb3373942;bb07;CITY;Crab Hill;;
bb3373629;bb07;CITY;Pie Corner;;
bb3373742;bb07;CITY;Lamberts;;
bb3373837;bb07;CITY;Graveyard;;
bb3374004;bb07;CITY;Cave Hill;;
bb3374104;bb07;CITY;Animal Flower Cave;;
bb3374099;bb07;CITY;Archers;;
bb3373425;bb07;CITY;Well Road;;
bb3373452;bb07;CITY;Upper Salmonds;;
bb3373460;bb07;CITY;Trents;;
bb3373484;bb07;CITY;Sutherland Road;;
bb3373500;bb07;CITY;Spring Head;;
bb3373501;bb07;CITY;Spring Hall;;
bb3373529;bb07;CITY;Seaview;;
bb3373550;bb07;CITY;Salmond;;
bb3373591;bb07;CITY;Rock Hall;;
bb3373595;bb07;CITY;Rockfield;;
bb3373604;bb07;CITY;Retreat;;
bb3373630;bb07;CITY;Pickerings;;
bb3373662;bb07;CITY;Nesfield;;
bb3373670;bb07;CITY;Mount View;;
bb3373674;bb07;CITY;Mount Pleasant;;
bb3373676;bb07;CITY;Mount Gay;;
bb3373696;bb07;CITY;Maycock;;
bb3373715;bb07;CITY;Lowland;;
bb3373758;bb07;CITY;Josey Hill;;
bb3373766;bb07;CITY;Jemmotts;;
bb3373776;bb07;CITY;Husbands;;
bb3373789;bb07;CITY;Hope;;
bb3373807;bb07;CITY;Harrisons;;
bb3373811;bb07;CITY;Harris;;
bb3373814;bb07;CITY;Hannays;;
bb3373832;bb07;CITY;Greenidge;;
bb3373838;bb07;CITY;Grape Hall;;
bb3373864;bb07;CITY;Fustic;;
bb3373869;bb07;CITY;Friendship;;
bb3373873;bb07;CITY;Free Hill;;
bb3373880;bb07;CITY;Fosters;;
bb3373886;bb07;CITY;Flatfield;;
bb3373897;bb07;CITY;Fairfield;;
bb3373918;bb07;CITY;Durham;;
bb3373933;bb07;CITY;Date Tree Hill;;
bb3373952;bb07;CITY;Content;;
bb3373957;bb07;CITY;Connell Town;;
bb3373970;bb07;CITY;Coconut Hall;;
bb3373975;bb07;CITY;Cluffs;;
bb3373985;bb07;CITY;Church Hill;;
bb3374001;bb07;CITY;Chance Hall;;
bb3374030;bb07;CITY;Brome Field;;
bb3374043;bb07;CITY;Bourbon;;
bb3374054;bb07;CITY;Blacksage Alley;;
bb3374060;bb07;CITY;Bishops;;
bb3374063;bb07;CITY;Benthams;;
bb3374091;bb07;CITY;Babbs;;
bb3374112;bb07;CITY;Alexandra;;
bb11893949;bb07;CITY;Spring Garden;;
bb11893956;bb07;CITY;Clinketts;;
bb02;bb;REGION;Saint Andrew;;
bb3373794;bb02;CITY;Hillaby;;
bb3373419;bb02;CITY;White Hill;;
bb3374039;bb02;CITY;Breedy’s;;
bb3374070;bb02;CITY;Belleplaine;;
bb3374079;bb02;CITY;Baxters;;
bb10630459;bb02;CITY;Chalky Mount;;
bb3374029;bb02;CITY;Bruce Vale;;
bb3373413;bb02;CITY;Windy Hill;;
bb3373459;bb02;CITY;Turners Hall;;
bb3373483;bb02;CITY;Swanns;;
bb3373521;bb02;CITY;Shorey;;
bb3373579;bb02;CITY;Saint Andrews;;
bb3373708;bb02;CITY;Mangrove;;
bb3373745;bb02;CITY;Lakes;;
bb3373772;bb02;CITY;Indian Ground;;
bb3373778;bb02;CITY;Hoytes;;
bb3373825;bb02;CITY;Gregg Farm;;
bb3373981;bb02;CITY;Cleland;;
bb11893979;bb02;CITY;Bawdens;;
bb11893980;bb02;CITY;Walkers;;
bb11893981;bb02;CITY;Bawden and River;;
bb11893984;bb02;CITY;Saint Sylvans;;
bb11893986;bb02;CITY;Saint Simons;;
bb11893987;bb02;CITY;Cheltenham;;
bb11893988;bb02;CITY;Haggatts;;
bb11893989;bb02;CITY;Mount All;;
bb11894574;bb02;CITY;Mose Bottom;;
bb11894577;bb02;CITY;Spring Vale;;
bb06;bb;REGION;Saint Joseph;;
bb3374056;bb06;CITY;Blackmans;;
bb3373990;bb06;CITY;Chimborazo;;
bb3374008;bb06;CITY;Castle Grant;;
bb3374040;bb06;CITY;Branchbury;;
bb3374059;bb06;CITY;Bissex;;
bb3373867;bb06;CITY;Frizers;;
bb3373453;bb06;CITY;Upper Parks;;
bb3373479;bb06;CITY;Tent Bay;;
bb3373485;bb06;CITY;Surinam;;
bb3373491;bb06;CITY;Sugar Hill;;
bb3373492;bb06;CITY;Sturges;;
bb3373502;bb06;CITY;Springfield;;
bb3373573;bb06;CITY;Saint Elizabeths;;
bb3373611;bb06;CITY;Redland;;
bb3373692;bb06;CITY;Melvin Hill;;
bb3373710;bb06;CITY;Malvern;;
bb3373762;bb06;CITY;Joes River;;
bb3373792;bb06;CITY;Hillcrest;;
bb3373866;bb06;CITY;Fruitful Hill;;
bb3373881;bb06;CITY;Foster Hall;;
bb3373912;bb06;CITY;Easy Hall;;
bb3373967;bb06;CITY;Coffee Gully;;
bb3374007;bb06;CITY;Cattlewash;;
bb3374018;bb06;CITY;Canefield;;
bb3374027;bb06;CITY;Buckden House;;
bb3374046;bb06;CITY;Bonwell;;
bb3374113;bb06;CITY;Airy Hill;;
bb9239026;bb06;CITY;Hackletons;;
bb11893940;bb06;CITY;Parris Hill;;
bb11894028;bb06;CITY;Horse Hill;;
bb11894572;bb06;CITY;Cane Garden;;
bb11894573;bb06;CITY;Boarded Hall;;
bb11894583;bb06;CITY;Mellowes;;
bb11894585;bb06;CITY;Braggs Hill;;
bb10;bb;REGION;Saint Philip;;
bb3373409;bb10;CITY;Workhall;;
bb3373410;bb10;CITY;Woodbourne;;
bb3373489;bb10;CITY;Sunbury;;
bb3373559;bb10;CITY;Saint Martins;;
bb3373706;bb10;CITY;Marchfield;;
bb3373876;bb10;CITY;Four Roads;;
bb3373983;bb10;CITY;Church Village;;
bb3374012;bb10;CITY;Carrington;;
bb3374024;bb10;CITY;Bushy Park;;
bb3374038;bb10;CITY;Brereton;;
bb3374052;bb10;CITY;Blades Hill;;
bb3374053;bb10;CITY;Blades;;
bb3374062;bb10;CITY;Bentleys;;
bb3374074;bb10;CITY;Bel Air;;
bb3374078;bb10;CITY;Bayfield;;
bb3374077;bb10;CITY;Bayleys;;
bb3373545;bb10;CITY;Sam Lords Castle;;
bb3373848;bb10;CITY;Golden Grove;;
bb3373420;bb10;CITY;Whitehaven;;
bb3373426;bb10;CITY;Wellhouse;;
bb3373446;bb10;CITY;Vineyard;;
bb3373455;bb10;CITY;Union Hall;;
bb3373470;bb10;CITY;Thicket;;
bb3373486;bb10;CITY;Supers;;
bb3373490;bb10;CITY;Summervale;;
bb3373494;bb10;CITY;Stroude Land;;
bb3373534;bb10;CITY;Sealy Hill;;
bb3373544;bb10;CITY;Sandford;;
bb3373581;bb10;CITY;Ruby;;
bb3373598;bb10;CITY;Robinsons;;
bb3373602;bb10;CITY;River;;
bb3373603;bb10;CITY;Rices;;
bb3373624;bb10;CITY;Plumtree;;
bb3373640;bb10;CITY;Padmore;;
bb3373645;bb10;CITY;Oughtersons;;
bb3373650;bb10;CITY;Oldbury;;
bb3373653;bb10;CITY;Ocean City;;
bb3373675;bb10;CITY;Mount Pleasant;;
bb3373691;bb10;CITY;Merricks;;
bb3373703;bb10;CITY;Marley Vale;;
bb3373709;bb10;CITY;Mangrove;;
bb3373713;bb10;CITY;Lucas Street;;
bb3373749;bb10;CITY;Kirtons;;
bb3373763;bb10;CITY;Jezreel;;
bb3373770;bb10;CITY;Industry Hall;;
bb3373788;bb10;CITY;Hopeland;;
bb3373796;bb10;CITY;Highland;;
bb3373802;bb10;CITY;Heddings;;
bb3373806;bb10;CITY;Harrow;;
bb3373810;bb10;CITY;Harrismith;;
bb3373817;bb10;CITY;Halton;;
bb3373822;bb10;CITY;Guinea;;
bb3373859;bb10;CITY;Gemswick;;
bb3373878;bb10;CITY;Foul Bay;;
bb3373911;bb10;CITY;Ebenezer;;
bb3373915;bb10;CITY;Eastbourne;;
bb3373929;bb10;CITY;Diamond Valley;;
bb3373947;bb10;CITY;Cottage Vale;;
bb3373959;bb10;CITY;Congo Road;;
bb10629985;bb10;CITY;Apple Hall;;
bb11894031;bb10;CITY;Chapel;;
bb11894038;bb10;CITY;Gaskin;;
bb11894039;bb10;CITY;Mapps;;
bb11894526;bb10;CITY;Long Bay;;
bb11894589;bb10;CITY;Phinneys;;
bb08;bb;REGION;Saint Michael;;
bb3373417;bb08;CITY;Wildey;;
bb3373435;bb08;CITY;Warrens;;
bb3373457;bb08;CITY;Two Mile Hill;;
bb3374005;bb08;CITY;Cave Hill;;
bb3373626;bb08;CITY;Pine Housing Estate;;
bb3373797;bb08;CITY;Highgate;;
bb3373434;bb08;CITY;Waterford;;
bb3373438;bb08;CITY;Wanstead;;
bb3373586;bb08;CITY;Rouen;;
bb3373597;bb08;CITY;Rock Dundo;;
bb3373617;bb08;CITY;Prospect;;
bb3373625;bb08;CITY;Pinelands;;
bb3373642;bb08;CITY;Oxnards;;
bb3373663;bb08;CITY;Neils;;
bb3373677;bb08;CITY;Mount Friendship;;
bb3373707;bb08;CITY;Mapp Hill;;
bb3373720;bb08;CITY;Lower Burneys;;
bb3373768;bb08;CITY;Jackson;;
bb3373769;bb08;CITY;Jackmans;;
bb3373780;bb08;CITY;Howells;;
bb3373819;bb08;CITY;Haggatt Hall;;
bb3373833;bb08;CITY;Green Hill;;
bb3373836;bb08;CITY;Grazettes;;
bb3373862;bb08;CITY;Garrison;;
bb3373868;bb08;CITY;Friendship Terrace;;
