CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
be;;COUNTRY;Belgium;;
beVLG;be;REGION;Flanders;;
be2803138;beVLG;CITY;Antwerp;;
be2797656;beVLG;CITY;Ghent;;
be2800931;beVLG;CITY;Bruges;;
be2794055;beVLG;CITY;Kortrijk;;
be2796491;beVLG;CITY;Hasselt;;
be2791537;beVLG;CITY;Mechelen;;
be2792482;beVLG;CITY;Leuven;;
be2784068;beVLG;CITY;Waregem;;
be2785389;beVLG;CITY;Tongeren;;
be2786545;beVLG;CITY;Sint-Truiden;;
be2797670;beVLG;CITY;Genk;;
be2797779;beVLG;CITY;Geel;;
be2787889;beVLG;CITY;Roeselare;;
be2791067;beVLG;CITY;Mol;;
be2791343;beVLG;CITY;Menen;;
be2792179;beVLG;CITY;Lommel;;
be2801924;beVLG;CITY;Bilzen;;
be2802031;beVLG;CITY;Beveren;;
be2802170;beVLG;CITY;Beringen;;
be2803448;beVLG;CITY;Aalst;;
be2783089;beVLG;CITY;Zwevegem;;
be2783184;beVLG;CITY;Zonnebeke;;
be2783188;beVLG;CITY;Zonhoven;;
be2783197;beVLG;CITY;Zolder;;
be2783308;beVLG;CITY;Zedelgem;;
be2783310;beVLG;CITY;Zaventem;;
be2783759;beVLG;CITY;Wevelgem;;
be2784604;beVLG;CITY;Vilvoorde;;
be2785364;beVLG;CITY;Torhout;;
be2785470;beVLG;CITY;Tienen;;
be2785612;beVLG;CITY;Tessenderlo;;
be2785622;beVLG;CITY;Tervuren;;
be2785778;beVLG;CITY;Temse;;
be2786559;beVLG;CITY;Sint-Pieters-Leeuw;;
be2786963;beVLG;CITY;Schoten;;
be2794166;beVLG;CITY;Koksijde;;
be2794210;beVLG;CITY;Knokke-Heist;;
be2794730;beVLG;CITY;Kapellen;;
be2795009;beVLG;CITY;Izegem;;
be2796009;beVLG;CITY;Herentals;;
be2796542;beVLG;CITY;Harelbeke;;
be2796696;beVLG;CITY;Halle;;
be2797517;beVLG;CITY;Gistel;;
be2797638;beVLG;CITY;Geraardsbergen;;
be2787769;beVLG;CITY;Ronse;;
be2789403;beVLG;CITY;Overpelt;;
be2789751;beVLG;CITY;Oostkamp;;
be2790114;beVLG;CITY;Ninove;;
be2790150;beVLG;CITY;Nieuwpoort;;
be2791194;beVLG;CITY;Middelkerke;;
be2791961;beVLG;CITY;Maasmechelen;;
be2791964;beVLG;CITY;Maaseik;;
be2792196;beVLG;CITY;Lokeren;;
be2792397;beVLG;CITY;Lier;;
be2798551;beVLG;CITY;Evergem;;
be2799365;beVLG;CITY;Dilbeek;;
be2799478;beVLG;CITY;Deurne;;
be2799746;beVLG;CITY;Deinze;;
be2799885;beVLG;CITY;Damme;;
be2801093;beVLG;CITY;Bree;;
be2801103;beVLG;CITY;Bredene;;
be2801117;beVLG;CITY;Brasschaat;;
be2801858;beVLG;CITY;Blankenberge;;
be2802816;beVLG;CITY;Baarle-Hertog;;
be2803033;beVLG;CITY;Asse;;
be2803130;beVLG;CITY;Anzegem;;
be2803429;beVLG;CITY;Aarschot;;
be2803443;beVLG;CITY;Aalter;;
be2783081;beVLG;CITY;Zwijndrecht;;
be2783175;beVLG;CITY;Zottegem;;
be2783274;beVLG;CITY;Zemst;;
be2783293;beVLG;CITY;Zele;;
be2783307;beVLG;CITY;Zeebrugge;;
be2783615;beVLG;CITY;Wilrijk;;
be2783632;beVLG;CITY;Willebroek;;
