CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
bj;;COUNTRY;Benin;;
bj09;bj;REGION;Atlantique;;
bj2395914;bj09;CITY;Abomey-Calavi;;
bj2393887;bj09;CITY;Hévié;;
bj2395635;bj09;CITY;Allada;;
bj2390740;bj09;CITY;Zé;;
bj2391100;bj09;CITY;Tori-Cada;;
bj2391101;bj09;CITY;Tori-Bossito;;
bj2391164;bj09;CITY;Togba;;
bj2391165;bj09;CITY;Toffo;;
bj2391866;bj09;CITY;Ségou;;
bj2391891;bj09;CITY;Savi;;
bj2392335;bj09;CITY;Ouédo;;
bj2392887;bj09;CITY;Long-Agomey;;
bj2392912;bj09;CITY;Lissegazoun;;
bj2393061;bj09;CITY;Kpannou;;
bj2393185;bj09;CITY;Koundakpoé;;
bj2394227;bj09;CITY;Ganvié;;
bj2394294;bj09;CITY;Gakpé;;
bj2394555;bj09;CITY;Dodji-Bata;;
bj2394815;bj09;CITY;Coussé;;
bj2395448;bj09;CITY;Azohoué-Hiho;;
bj2395449;bj09;CITY;Azohoué-Cada;;
bj2395476;bj09;CITY;Avlékété;;
bj2395486;bj09;CITY;Avamé;;
bj2395764;bj09;CITY;Agonkamè;;
bj2395815;bj09;CITY;Agbanou;;
bj11497766;bj09;CITY;Houégbo;;
bj11428277;bj09;CITY;Tangbo-Djevié;;
bj11205561;bj09;CITY;Ouakpé-Daho;;
bj2393883;bj09;CITY;Hinvi;;
bj2390703;bj09;CITY;Zoungbodji;;
bj2390731;bj09;CITY;Zinvié;;
bj2391160;bj09;CITY;Togodo;;
bj2391546;bj09;CITY;So-Zounko;;
bj2391605;bj09;CITY;So-Tchahoué;;
bj2392362;bj09;CITY;Ouagbo-Aliho;;
bj2394077;bj09;CITY;Golo-Tokpa;;
bj2395535;bj09;CITY;Assogbenou;;
bj2395828;bj09;CITY;Agassa Godomey;;
bj2395872;bj09;CITY;Adjarra;;
bj2393287;bj09;CITY;Kouandé;;
bj2395475;bj09;CITY;Avlékété-Plage;;
bj2395855;bj09;CITY;Adjovicodji;;
