CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
bo;;COUNTRY;Bolivia;;
bo02;bo;REGION;Cochabamba;;
bo3906194;bo02;CITY;Sacaba;;
bo3906791;bo02;CITY;Quillacollo;;
bo3902949;bo02;CITY;Tiquipaya;;
bo3907080;bo02;CITY;Punata;;
bo3910291;bo02;CITY;Mizque;;
bo3914084;bo02;CITY;Irpa Irpa;;
bo3919813;bo02;CITY;Colomi;;
bo3920016;bo02;CITY;Cliza;;
bo3920736;bo02;CITY;Chimoré;;
bo3922125;bo02;CITY;Capinota;;
bo3923770;bo02;CITY;Arani;;
bo3924341;bo02;CITY;Aiquile;;
bo3902523;bo02;CITY;Totora;;
bo3903342;bo02;CITY;Tarata;;
bo3904221;bo02;CITY;Sipe Sipe;;
bo3917327;bo02;CITY;Estancia Copata;;
bo3919902;bo02;CITY;Colcapirhua;;
bo3906193;bo02;CITY;Sacabamba;;
bo3907165;bo02;CITY;Puerto Villarroel;;
bo3907744;bo02;CITY;Pojo;;
bo3907761;bo02;CITY;Pocona;;
bo3908374;bo02;CITY;Pasorapa;;
bo3908433;bo02;CITY;Parotani;;
bo3909339;bo02;CITY;Omereque;;
bo3909953;bo02;CITY;Morochata;;
bo3923682;bo02;CITY;Arque;;
bo3923753;bo02;CITY;Arbieto;;
bo3924320;bo02;CITY;Alalay;;
bo3901435;bo02;CITY;Vinto;;
bo3901514;bo02;CITY;Villa Tunari;;
bo3901562;bo02;CITY;Villa Granado;;
bo3901894;bo02;CITY;Vacas;;
bo3902726;bo02;CITY;Tolata;;
bo3902831;bo02;CITY;Toco;;
bo3902906;bo02;CITY;Tiraque;;
bo3903733;bo02;CITY;Tacopaya;;
bo3904656;bo02;CITY;Santiváñez;;
bo6618946;bo02;CITY;Carmen Pampa;;
bo3901507;bo02;CITY;Villa Viscarra;;
bo3914683;bo02;CITY;Huayculi;;
bo3915449;bo02;CITY;Guanacama;;
bo3905800;bo02;CITY;San Benito;;
bo3909952;bo02;CITY;Morochata;;
bo3912675;bo02;CITY;Khuchumuela;;
bo3923061;bo02;CITY;Bolívar;;
bo3923806;bo02;CITY;Apillapampa;;
bo3923856;bo02;CITY;Anzaldo;;
bo3901436;bo02;CITY;Vinto;;
bo3901527;bo02;CITY;Villa Rivero;;
bo3903463;bo02;CITY;Tapacarí;;
bo3904354;bo02;CITY;Sicaya;;
bo3914552;bo02;CITY;Huertas;;
bo3920693;bo02;CITY;Chinguri;;
bo3920762;bo02;CITY;Chillincasa;;
bo3921471;bo02;CITY;Chaguara;;
bo3906630;bo02;CITY;Racaipampa;;
bo3908170;bo02;CITY;Peña Colorada;;
bo3908586;bo02;CITY;Pantoja;;
bo3909482;bo02;CITY;Novillero;;
bo3912008;bo02;CITY;La Marqueza;;
bo3912219;bo02;CITY;Lagar Pampa;;
bo3921999;bo02;CITY;Carapiri;;
bo3922008;bo02;CITY;Caraparial;;
bo3922898;bo02;CITY;Cabacanche;;
bo3913477;bo02;CITY;Jatun Chimba;;
bo3913885;bo02;CITY;Itiripampa;;
bo3914132;bo02;CITY;Ipajama;;
bo3914701;bo02;CITY;Huayapachi;;
bo3915381;bo02;CITY;Guarayos;;
bo3919319;bo02;CITY;Conda Abajo;;
bo3919886;bo02;CITY;Colchani;;
bo3920167;bo02;CITY;Churchua;;
bo3920292;bo02;CITY;Chullchucani;;
bo3920933;bo02;CITY;Chicasani;;
bo3921189;bo02;CITY;Chapisirca;;
bo3905865;bo02;CITY;San Antonio;;
bo3906687;bo02;CITY;Quirquiavi;;
bo3907402;bo02;CITY;Pucará;;
bo3907413;bo02;CITY;Puca Pita;;
bo3907460;bo02;CITY;Pucacasa;;
bo3907775;bo02;CITY;Pocanchi;;
bo3907829;bo02;CITY;Piscumayu;;
bo3908386;bo02;CITY;Paso;;
bo3908467;bo02;CITY;Paria Grande;;
bo3908512;bo02;CITY;Paranganí;;
bo3909488;bo02;CITY;Nornoni;;
