CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
ba;;COUNTRY;Bosnia and Herzegovina;;
ba01;ba;REGION;Federation of B&H;;
ba3200340;ba01;CITY;Gorica;;
ba3195308;ba01;CITY;Međugorje;;
ba3186961;ba01;CITY;Zabrišće;;
ba3187040;ba01;CITY;Vukovije Donje;;
ba3187162;ba01;CITY;Vrnograč;;
ba3187419;ba01;CITY;Voljevac;;
ba3187588;ba01;CITY;Vitina;;
ba3187799;ba01;CITY;Vidoši;;
ba3203970;ba01;CITY;Blagaj;;
ba3289093;ba01;CITY;Kačuni;;
ba3278045;ba01;CITY;Skokovi;;
ba3257948;ba01;CITY;Kovači;;
ba3258022;ba01;CITY;Liješnica;;
ba3293429;ba01;CITY;Pajić Polje;;
ba3295485;ba01;CITY;Gornja Breza;;
ba3210439;ba01;CITY;Jelah;;
ba3213083;ba01;CITY;Ilići;;
ba3199027;ba01;CITY;Izačić;;
ba3199525;ba01;CITY;Gromiljak;;
ba3199784;ba01;CITY;Gračanica;;
ba3200167;ba01;CITY;Gornja Tuzla;;
ba3201660;ba01;CITY;Donja Međiđa;;
ba3201662;ba01;CITY;Donja Mahala;;
ba3202014;ba01;CITY;Divičani;;
ba3195930;ba01;CITY;Mahala;;
ba3197944;ba01;CITY;Kočerin;;
ba3197964;ba01;CITY;Kobilja Glava;;
ba3198137;ba01;CITY;Kiseljak;;
ba3192206;ba01;CITY;Puračić;;
ba3192793;ba01;CITY;Polje-Bijela;;
ba3193008;ba01;CITY;Podhum;;
ba3193542;ba01;CITY;Pećigrad;;
ba3193563;ba01;CITY;Pazarić;;
ba3193776;ba01;CITY;Otoka;;
ba3193821;ba01;CITY;Ostrožac;;
ba3194013;ba01;CITY;Orguz;;
ba3194061;ba01;CITY;Orahovica Donja;;
ba3194358;ba01;CITY;Novi Šeher;;
ba3194773;ba01;CITY;Mramor;;
ba3188458;ba01;CITY;Ustikolina;;
ba3188633;ba01;CITY;Turbe;;
ba3188691;ba01;CITY;Tržačka Raštela;;
ba3189046;ba01;CITY;Tojšići;;
ba3189194;ba01;CITY;Tasovčići;;
ba3191302;ba01;CITY;Sanica;;
ba3344609;ba01;CITY;Trešnjevica;;
ba3344615;ba01;CITY;Bale;;
ba3344621;ba01;CITY;Hasanovići;;
ba3344628;ba01;CITY;Herići;;
ba3344631;ba01;CITY;Strgonice;;
ba3344633;ba01;CITY;Treboje;;
ba3344635;ba01;CITY;Boždarevići;;
ba3344649;ba01;CITY;Barmiš;;
ba3344651;ba01;CITY;Ugošće;;
ba3344658;ba01;CITY;Vrbljani;;
ba3344661;ba01;CITY;Podorašac;;
ba3344663;ba01;CITY;Kanjina;;
ba3344670;ba01;CITY;Bjelovčina;;
