CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
bw;;COUNTRY;Botswana;;
bw17;bw;REGION;Selibe Phikwe;;
bw933099;bw17;CITY;Selebi-Phikwe;;
bw10941922;bw17;CITY;Botshabelo North;;
bw01;bw;REGION;Central;;
bw933471;bw01;CITY;Mahalapye;;
bw933182;bw01;CITY;Palapye;;
bw933000;bw01;CITY;Tonota;;
bw933535;bw01;CITY;Letlhakane;;
bw933002;bw01;CITY;Tobane;;
bw933112;bw01;CITY;Sefophe;;
bw933148;bw01;CITY;Ramokgonami;;
bw933151;bw01;CITY;Rakops;;
bw933162;bw01;CITY;Pilikwe;;
bw933186;bw01;CITY;Orapa;;
bw933238;bw01;CITY;Nata;;
bw933277;bw01;CITY;Mosetse;;
bw933288;bw01;CITY;Mopipi;;
bw933290;bw01;CITY;Mookane;;
bw933292;bw01;CITY;Maunatlala;;
bw933321;bw01;CITY;Mogapinyana;;
bw933333;bw01;CITY;Mogapi;;
bw933383;bw01;CITY;Mathathane;;
bw933488;bw01;CITY;Machaneng;;
bw933696;bw01;CITY;Kalamare;;
bw933734;bw01;CITY;Gweta;;
bw933753;bw01;CITY;Gobojango;;
bw932977;bw01;CITY;Tshimoyapula;;
bw933064;bw01;CITY;Shoshong;;
bw933086;bw01;CITY;Serule;;
bw933284;bw01;CITY;Moremi;;
bw933313;bw01;CITY;Makobeng;;
bw933329;bw01;CITY;Moijabana;;
bw933365;bw01;CITY;Mmatshumo;;
bw933387;bw01;CITY;Mathambgwane;;
bw933640;bw01;CITY;Xumo;;
bw933812;bw01;CITY;Dibete Station;;
bw933875;bw01;CITY;Bonwapitse;;
bw933885;bw01;CITY;Bobonong;;
bw7663550;bw01;CITY;Tewane;;
bw7663552;bw01;CITY;Radisele;;
bw7663555;bw01;CITY;Mogome;;
bw7663565;bw01;CITY;Mokgware;;
bw7694647;bw01;CITY;Mabolwe;;
bw7688518;bw01;CITY;Poloka;;
bw7659492;bw01;CITY;Mogorosi;;
bw7651392;bw01;CITY;Kweneng;;
bw7653986;bw01;CITY;Paje;;
bw7654630;bw01;CITY;Moiyabana;;
bw7654688;bw01;CITY;Mosolotsane;;
bw7570732;bw01;CITY;Matobo;;
bw7570919;bw01;CITY;Marapong;;
bw7573818;bw01;CITY;Tutume;;
bw7575012;bw01;CITY;Mosu;;
bw7573781;bw01;CITY;Nkange;;
bw7573787;bw01;CITY;Mosetse;;
bw7573791;bw01;CITY;Changate;;
