CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
br;;COUNTRY;Brazil;;
br27;br;REGION;São Paulo;;
br3467865;br27;CITY;Campinas;;
br3461786;br27;CITY;Guarulhos;;
br3449319;br27;CITY;São Carlos;;
br3449344;br27;CITY;São Bernardo do Campo;;
br3449701;br27;CITY;Santo André;;
br3469989;br27;CITY;Birigui;;
br3460370;br27;CITY;Jacareí;;
br3460535;br27;CITY;Itu;;
br3471859;br27;CITY;Araçatuba;;
br3447212;br27;CITY;Suzano;;
br3448136;br27;CITY;São Vicente;;
br3449324;br27;CITY;São Caetano do Sul;;
br3452324;br27;CITY;Presidente Prudente;;
br3452465;br27;CITY;Praia Grande;;
br3466692;br27;CITY;Catanduva;;
br3470353;br27;CITY;Barueri;;
br3470451;br27;CITY;Barretos;;
br3471758;br27;CITY;Araras;;
br3471766;br27;CITY;Araraquara;;
br3453406;br27;CITY;Poá;;
br3453837;br27;CITY;Pindamonhangaba;;
br3455729;br27;CITY;Ourinhos;;
br3455775;br27;CITY;Osasco;;
br3456998;br27;CITY;Mogi Mirim;;
br3457000;br27;CITY;Mogi Guaçu;;
br3458575;br27;CITY;Limeira;;
br3458662;br27;CITY;Leme;;
br3445578;br27;CITY;Valinhos;;
br3460005;br27;CITY;Jaú;;
br3460728;br27;CITY;Itapetininga;;
br3460748;br27;CITY;Itapecerica da Serra;;
br3461859;br27;CITY;Guaratinguetá;;
br3464305;br27;CITY;Embu;;
br3464739;br27;CITY;Diadema;;
br3465059;br27;CITY;Cubatão;;
br3472343;br27;CITY;Americana;;
br3450404;br27;CITY;Santa Bárbara d'Oeste;;
br3445942;br27;CITY;Tupã;;
br3446753;br27;CITY;Taquaritinga;;
br3448902;br27;CITY;São João da Boa Vista;;
br3449948;br27;CITY;Santana de Parnaíba;;
br3451234;br27;CITY;Rio Claro;;
br3468562;br27;CITY;Caçapava;;
br3470264;br27;CITY;Bebedouro;;
br3471291;br27;CITY;Avaré;;
br3453639;br27;CITY;Pirassununga;;
br3454061;br27;CITY;Peruíbe;;
br3454235;br27;CITY;Penápolis;;
br3457001;br27;CITY;Mogi das Cruzes;;
br3457025;br27;CITY;Mococa;;
br3458425;br27;CITY;Lorena;;
br3458645;br27;CITY;Lençóis Paulista;;
br3444864;br27;CITY;Votuporanga;;
br3444866;br27;CITY;Votorantim;;
br3445446;br27;CITY;Várzea Paulista;;
br3460441;br27;CITY;Jaboticabal;;
br3460644;br27;CITY;Itaquaquecetuba;;
br3460699;br27;CITY;Itapira;;
br3462964;br27;CITY;Franco da Rocha;;
br3463432;br27;CITY;Fernandópolis;;
br3464304;br27;CITY;Embu Guaçu;;
br3465090;br27;CITY;Cruzeiro;;
br3471949;br27;CITY;Aparecida;;
br3472248;br27;CITY;Andradina;;
br3446194;br27;CITY;Tremembé;;
br3446539;br27;CITY;Tietê;;
br3446625;br27;CITY;Teodoro Sampaio;;
br3446718;br27;CITY;Tarumã;;
br3446979;br27;CITY;Tanabi;;
br3447005;br27;CITY;Tambaú;;
br3447200;br27;CITY;Tabatinga;;
br3447651;br27;CITY;Sertãozinho;;
br3447720;br27;CITY;Serrana;;
br3448197;br27;CITY;São Simão;;
br3448403;br27;CITY;São Pedro;;
br3448545;br27;CITY;São Manuel;;
br3448640;br27;CITY;São José do Rio Pardo;;
br3448825;br27;CITY;São Joaquim da Barra;;
br3449518;br27;CITY;Santo Antônio de Posse;;
br3449793;br27;CITY;Santa Rosa de Viterbo;;
br3449851;br27;CITY;Santa Rita do Passa Quatro;;
br3450188;br27;CITY;Santa Isabel;;
br3450225;br27;CITY;Santa Gertrudes;;
br3450232;br27;CITY;Santa Fé do Sul;;
br3450272;br27;CITY;Santa Cruz do Rio Pardo;;
br3450283;br27;CITY;Santa Cruz das Palmeiras;;
br3450464;br27;CITY;Santa Adélia;;
br3450563;br27;CITY;Salto de Pirapora;;
br3451131;br27;CITY;Riolândia;;
br3451329;br27;CITY;Ribeirão Pires;;
br3451704;br27;CITY;Registro;;
br3451709;br27;CITY;Regente Feijó;;
br3451856;br27;CITY;Rancharia;;
br3452237;br27;CITY;Promissão;;
br3452320;br27;CITY;Presidente Venceslau;;
br3452331;br27;CITY;Presidente Epitácio;;
br3452335;br27;CITY;Presidente Bernardes;;
br3452478;br27;CITY;Pradópolis;;
br3465209;br27;CITY;Cravinhos;;
br3465320;br27;CITY;Cosmópolis;;
br3465524;br27;CITY;Cordeirópolis;;
br3465729;br27;CITY;Conchas;;
br3465731;br27;CITY;Conchal;;
br3466267;br27;CITY;Charqueada;;
br3466429;br27;CITY;Cerquilho;;
br3466430;br27;CITY;Cerqueira César;;
br3466708;br27;CITY;Castilho;;
br3466970;br27;CITY;Cardoso;;
br3467197;br27;CITY;Capivari;;
br3467314;br27;CITY;Capela do Alto;;
br3467371;br27;CITY;Capâo Bonito;;
br3467542;br27;CITY;Cândido Mota;;
br3467609;br27;CITY;Cananéia;;
br3468121;br27;CITY;Cajuru;;
br3468157;br27;CITY;Cajati;;
br3468215;br27;CITY;Caieiras;;
br3468296;br27;CITY;Cafelândia;;
br3468592;br27;CITY;Cabreúva;;
br3468789;br27;CITY;Buritama;;
br3468802;br27;CITY;Buri;;
br3468899;br27;CITY;Brotas;;
br3469173;br27;CITY;Borborema;;
br3469421;br27;CITY;Bom Jesus dos Perdões;;
br3469910;br27;CITY;Boa Esperança do Sul;;
br3469984;br27;CITY;Biritiba Mirim;;
br3470324;br27;CITY;Batatais;;
br3470341;br27;CITY;Bastos;;
br3470428;br27;CITY;Barrinha;;
br3470825;br27;CITY;Bariri;;
br3471210;br27;CITY;Bady Bassitt;;
br3471309;br27;CITY;Auriflama;;
br3471395;br27;CITY;Artur Nogueira;;
br3471849;br27;CITY;Araçoiaba da Serra;;
br3452775;br27;CITY;Porto Ferreira;;
br3453171;br27;CITY;Pontal;;
br3453242;br27;CITY;Pompéia;;
br3453467;br27;CITY;Pitangueiras;;
br3453542;br27;CITY;Pirapozinho;;
br3453605;br27;CITY;Pirajuí;;
br3453610;br27;CITY;Piraju;;
br3453661;br27;CITY;Piracaia;;
br3453682;br27;CITY;Piquete;;
br3453807;br27;CITY;Espírito Santo do Pinhal;;
br3453896;br27;CITY;Pilar do Sul;;
br3453926;br27;CITY;Piedade;;
br3454131;br27;CITY;Pereira Barreto;;
br3454407;br27;CITY;Pedreira;;
br3454408;br27;CITY;Pedregulho;;
br3454620;br27;CITY;Pederneiras;;
br3455061;br27;CITY;Paranapanema;;
br3455152;br27;CITY;Paraguaçu Paulista;;
br3455251;br27;CITY;Panorama;;
br3455342;br27;CITY;Palmital;;
br3455643;br27;CITY;Pacaembu;;
br3455923;br27;CITY;Olímpia;;
br3456037;br27;CITY;Nuporanga;;
br3456060;br27;CITY;Novo Horizonte;;
br3456138;br27;CITY;Nova Odessa;;
br3456164;br27;CITY;Nova Granada;;
br3456724;br27;CITY;Morro Agudo;;
br3456827;br27;CITY;Monte Mor;;
br3456863;br27;CITY;Monte Azul Paulista;;
br3456866;br27;CITY;Monte Aprazível;;
br3456873;br27;CITY;Monte Alto;;
br3457107;br27;CITY;Mirandopólis;;
br3457192;br27;CITY;Miguelópolis;;
br3457509;br27;CITY;Matão;;
br3457595;br27;CITY;Martinópolis;;
br3457862;br27;CITY;Maracaí;;
br3458132;br27;CITY;Mairinque;;
br3458245;br27;CITY;Macatuba;;
br3458390;br27;CITY;Lucélia;;
br3458786;br27;CITY;Laranjal Paulista;;
br3445500;br27;CITY;Vargem Grande do Sul;;
br3445675;br27;CITY;Urupês;;
br3445922;br27;CITY;Tupi Paulista;;
br3459435;br27;CITY;Juquitiba;;
br3459440;br27;CITY;Juquiá;;
br3459452;br27;CITY;Junqueirópolis;;
br3459855;br27;CITY;Joanópolis;;
br3460068;br27;CITY;Jarinu;;
