CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
bg;;COUNTRY;Bulgaria;;
bg59;bg;REGION;Stara Zagora;;
bg730496;bg59;CITY;Kazanlak;;
bg732452;bg59;CITY;Chirpan;;
bg727838;bg59;CITY;Radnevo;;
bg728928;bg59;CITY;Maglizh;;
bg730987;bg59;CITY;Gŭlŭbovo;;
bg731298;bg59;CITY;Golyamo Dryanovo;;
bg728389;bg59;CITY;Pavel Banya;;
bg728795;bg59;CITY;Nikolaevo;;
bg729111;bg59;CITY;Mihaylovo;;
bg729324;bg59;CITY;Malko Tranovo;;
bg729809;bg59;CITY;Kanchevo;;
bg729888;bg59;CITY;Kran;;
bg730397;bg59;CITY;Hristiyanovo;;
bg730969;bg59;CITY;Gurkovo;;
bg731428;bg59;CITY;Gita;;
bg731837;bg59;CITY;Dalboki;;
bg731860;bg59;CITY;Dabovo;;
bg732048;bg59;CITY;Dolno Sahrane;;
bg732806;bg59;CITY;Balgarene;;
bg726616;bg59;CITY;Sarnevo;;
bg726617;bg59;CITY;Sarnevets;;
bg727291;bg59;CITY;Shipka;;
bg727499;bg59;CITY;Razhena;;
bg727875;bg59;CITY;Pastrovo;;
bg727881;bg59;CITY;Pastren;;
bg728567;bg59;CITY;Oryahovitsa;;
bg728937;bg59;CITY;Madrets;;
bg726138;bg59;CITY;Tazha;;
bg726159;bg59;CITY;Tarnicheni;;
bg726297;bg59;CITY;Trankovo;;
bg729059;bg59;CITY;Mirovo;;
bg729164;bg59;CITY;Medovo;;
bg729172;bg59;CITY;Mednikarovo;;
bg730055;bg59;CITY;Kovachevo;;
bg730181;bg59;CITY;Konstantinovets;;
bg730218;bg59;CITY;Kolyu Marinovo;;
bg730279;bg59;CITY;Knyazhevsko;;
bg730357;bg59;CITY;Kirilovo;;
bg730875;bg59;CITY;Iskritsa;;
bg731017;bg59;CITY;Bozduganovo;;
bg731042;bg59;CITY;Granit;;
bg732690;bg59;CITY;Byalo Pole;;
bg732697;bg59;CITY;Byal Izvor;;
bg732920;bg59;CITY;Bratya Daskalovi;;
bg733694;bg59;CITY;Aleksandrovo;;
bg726633;bg59;CITY;Sulitsa;;
bg726916;bg59;CITY;Srednogorovo;;
bg726938;bg59;CITY;Sredets;;
bg727073;bg59;CITY;Slivito;;
bg727324;bg59;CITY;Shanovo;;
bg727451;bg59;CITY;Samuilovo;;
bg727533;bg59;CITY;Rupkite;;
bg727910;bg59;CITY;Pshenichevo;;
bg727985;bg59;CITY;Preslaven;;
bg728007;bg59;CITY;Pravoslav;;
bg728414;bg59;CITY;Partizanin;;
bg728476;bg59;CITY;Ovoshtnik;;
bg725251;bg59;CITY;Zmeyovo;;
bg725493;bg59;CITY;Yulievo;;
bg725524;bg59;CITY;Yavorovets;;
bg725541;bg59;CITY;Yasenovo;;
bg725595;bg59;CITY;Yagoda;;
bg725929;bg59;CITY;Vetren;;
bg726032;bg59;CITY;Vasil Levski;;
bg729471;bg59;CITY;Lyubenovo;;
bg729481;bg59;CITY;Lyava Reka;;
bg730399;bg59;CITY;Hrishteni;;
bg730469;bg59;CITY;Hadzhidimitrovo;;
bg731788;bg59;CITY;Darzhaven;;
bg731789;bg59;CITY;Darzhava;;
bg732244;bg59;CITY;Dinya;;
bg732785;bg59;CITY;Banzareto;;
bg732834;bg59;CITY;Badeshte;;
bg726364;bg59;CITY;Trakia;;
bg726454;bg59;CITY;Tihomirovo;;
bg726656;bg59;CITY;Saedinenie;;
bg727126;bg59;CITY;Sladak Kladenets;;
bg727873;bg59;CITY;Pyasachevo;;
bg728450;bg59;CITY;Pamukchii;;
bg728591;bg59;CITY;Orizovo;;
bg728621;bg59;CITY;Opalchenets;;
bg728627;bg59;CITY;Opan;;
bg728752;bg59;CITY;Nova Mahala;;
bg725287;bg59;CITY;Zlatirat;;
bg725319;bg59;CITY;Zhaltopop;;
bg725397;bg59;CITY;Zetyovo;;
bg725522;bg59;CITY;Yavorovo;;
bg726170;bg59;CITY;Turia;;
bg726318;bg59;CITY;Troyanovo;;
bg729015;bg59;CITY;Mogila;;
bg730234;bg59;CITY;Kolena;;
bg730239;bg59;CITY;Kolarovo;;
bg732918;bg59;CITY;Bratya Kunchevi;;
bg733628;bg59;CITY;Arnautito;;
bg726819;bg59;CITY;Starozagorski Bani;;
bg729004;bg59;CITY;Mogilovo;;
bg729086;bg59;CITY;Milevo;;
bg729227;bg59;CITY;Markovo;;
bg729261;bg59;CITY;Manolovo;;
bg729338;bg59;CITY;Malko Dryanovo;;
bg729356;bg59;CITY;Malka Vereya;;
bg729427;bg59;CITY;Madzherito;;
bg729453;bg59;CITY;Lyulyak;;
bg729484;bg59;CITY;Lyaskovo;;
bg729557;bg59;CITY;Lovets;;
bg729965;bg59;CITY;Kravino;;
bg730033;bg59;CITY;Kozarevets;;
bg730060;bg59;CITY;Kovach;;
bg730165;bg59;CITY;Koprinka;;
bg730203;bg59;CITY;Konare;;
bg730735;bg59;CITY;Kaloyanovets;;
bg730750;bg59;CITY;Kalitinovo;;
bg730805;bg59;CITY;Izvorovo;;
bg731175;bg59;CITY;Gorno Novo Selo;;
bg731183;bg59;CITY;Gorno Izvorovo;;
bg731188;bg59;CITY;Gorno Botevo;;
bg731189;bg59;CITY;Gorno Belevo;;
bg731313;bg59;CITY;Golyam Dol;;
bg731411;bg59;CITY;Gledachevo;;
bg731425;bg59;CITY;Glavan;;
bg731572;bg59;CITY;Gabarevo;;
bg731646;bg59;CITY;Enina;;
bg731694;bg59;CITY;Elenino;;
bg731710;bg59;CITY;Edrevo;;
bg731767;bg59;CITY;Dvorishte;;
bg731811;bg59;CITY;Dunavtsi;;
bg732053;bg59;CITY;Dolno Panicherevo;;
bg732057;bg59;CITY;Dolno Novo Selo;;
bg732066;bg59;CITY;Dolno Izvorovo;;
bg732251;bg59;CITY;Gurkovo;;
bg732266;bg59;CITY;Dimitrievo;;
bg732374;bg59;CITY;Daskal-Atanasovo;;
bg732579;bg59;CITY;Cherna Gora;;
bg732595;bg59;CITY;Cherganovo;;
bg732729;bg59;CITY;Buzovgrad;;
bg732902;bg59;CITY;Brestova;;
bg733034;bg59;CITY;Borushtitsa;;
bg733044;bg59;CITY;Borovo;;
bg733070;bg59;CITY;Borilovo;;
bg733115;bg59;CITY;Bogomilovo;;
bg733275;bg59;CITY;Benkovski;;
bg733345;bg59;CITY;Beli Bryag;;
bg733437;bg59;CITY;Bashtino;;
bg733654;bg59;CITY;Aprilovo;;
bg726377;bg59;CITY;Topolyane;;
bg726528;bg59;CITY;Svoboden;;
bg726532;bg59;CITY;Svoboda;;
bg726719;bg59;CITY;Strelets;;
bg726763;bg59;CITY;Stoyan Zaimovo;;
bg726781;bg59;CITY;Stoletovo;;
bg726883;bg59;CITY;Stamovo;;
bg726913;bg59;CITY;Sredno Gradishte;;
bg726955;bg59;CITY;Spasovo;;
bg727146;bg59;CITY;Skobelevo;;
bg727301;bg59;CITY;Sheynovo;;
bg727377;bg59;CITY;Seltse;;
bg727541;bg59;CITY;Rumanya;;
bg727560;bg59;CITY;Ruda;;
bg727563;bg59;CITY;Rozovo;;
bg727618;bg59;CITY;Risimanovo;;
bg727702;bg59;CITY;Razdelna;;
bg727804;bg59;CITY;Rakitnitsa;;
bg727818;bg59;CITY;Raduntsi;;
bg727911;bg59;CITY;Pryaporets;;
bg728127;bg59;CITY;Polski Gradets;;
bg728162;bg59;CITY;Podslon;;
bg728196;bg59;CITY;Ploska Mogila;;
bg728197;bg59;CITY;Plodovitovo;;
bg728279;bg59;CITY;Petrovo;;
bg728363;bg59;CITY;Pchelinovo;;
bg728488;bg59;CITY;Ovchartsi;;
bg728536;bg59;CITY;Oslarka;;
bg728548;bg59;CITY;Osetenovo;;
bg728675;bg59;CITY;Obruchishte;;
bg728712;bg59;CITY;Novo Selo;;
bg728857;bg59;CITY;Naydenovo;;
bg728906;bg59;CITY;Musachevo;;
bg725247;bg59;CITY;Znamenosets;;
bg725309;bg59;CITY;Zimnitsa;;
bg725358;bg59;CITY;Zhergovets;;
bg725398;bg59;CITY;Zemlen;;
bg725469;bg59;CITY;Zagore;;
bg725531;bg59;CITY;Yastrebovo;;
bg725779;bg59;CITY;Volovarovo;;
bg725802;bg59;CITY;Vodenicharovo;;
bg725891;bg59;CITY;Vinarovo;;
bg725909;bg59;CITY;Viden;;
bg725959;bg59;CITY;Veren;;
bg725969;bg59;CITY;Venets;;
bg725991;bg59;CITY;Velikovo;;
bg726189;bg59;CITY;Tulovo;;
bg726246;bg59;CITY;Tsenovo;;
bg729206;bg59;CITY;Matsa;;
bg729335;bg59;CITY;Malko Kadievo;;
bg731167;bg59;CITY;Gorno Sakhrane;;
bg731333;bg59;CITY;Golyama Detelina;;
bg727090;bg59;CITY;Slavyanin;;
bg51;bg;REGION;Plovdiv;;
bg730565;bg51;CITY;Karlovo;;
bg733618;bg51;CITY;Asenovgrad;;
bg729936;bg51;CITY;Krichim;;
bg730419;bg51;CITY;Hisarya;;
bg732874;bg51;CITY;Brezovo;;
bg727791;bg51;CITY;Rakovski;;
bg730733;bg51;CITY;Kaloyanovo;;
bg730819;bg51;CITY;Izvor;;
bg727566;bg51;CITY;Rozovets;;
bg727568;bg51;CITY;Rozino;;
bg729509;bg51;CITY;Laki;;
bg729511;bg51;CITY;Lakavitsa;;
bg729848;bg51;CITY;Krastevich;;
bg730301;bg51;CITY;Klisura;;
bg730405;bg51;CITY;Hrabrino;;
bg730744;bg51;CITY;Kalofer;;
bg731240;bg51;CITY;Gorna Mahala;;
bg731834;bg51;CITY;Dalbok Izvor;;
bg731873;bg51;CITY;Dabene;;
bg732640;bg51;CITY;Chehlare;;
bg732668;bg51;CITY;Chalakovi;;
bg733284;bg51;CITY;Belozem;;
bg726381;bg51;CITY;Topolovo;;
bg726622;bg51;CITY;Sarnegor;;
bg726634;bg51;CITY;Suhozem;;
bg726657;bg51;CITY;Saedinenie;;
bg726890;bg51;CITY;Stamboliyski;;
bg727479;bg51;CITY;Sadovo;;
bg727496;bg51;CITY;Razhevo Konare;;
bg727892;bg51;CITY;Parvenets;;
bg727904;bg51;CITY;Padarsko;;
bg728321;bg51;CITY;Perushtitsa;;
bg728393;bg51;CITY;Patriarh-Evtimovo;;
bg725263;bg51;CITY;Zlatovrah;;
bg725656;bg51;CITY;Varben;;
bg726274;bg51;CITY;Tsaratsovo;;
bg729087;bg51;CITY;Milevo;;
bg729315;bg51;CITY;Malo Krushevo;;
bg729892;bg51;CITY;Krumovo;;
bg730266;bg51;CITY;Kochevo;;
bg730523;bg51;CITY;Katunitsa;;
bg730577;bg51;CITY;Karavelovo;;
bg730622;bg51;CITY;Karadzhalovo;;
bg730833;bg51;CITY;Izbeglii;;
bg730882;bg51;CITY;Iskra;;
bg731058;bg51;CITY;Graf Ignatievo;;
bg731084;bg51;CITY;Gradina;;
bg731317;bg51;CITY;Golyam Chardak;;
bg731420;bg51;CITY;Glavatar;;
bg731613;bg51;CITY;Ezerovo;;
bg732337;bg51;CITY;Dedovo;;
bg732712;bg51;CITY;Byala Reka;;
bg732847;bg51;CITY;Bryagovo;;
bg732898;bg51;CITY;Brestovitsa;;
bg732989;bg51;CITY;Boyantsi;;
bg733085;bg51;CITY;Bolyartsi;;
bg733276;bg51;CITY;Benkovski;;
bg733288;bg51;CITY;Belovitsa;;
bg733377;bg51;CITY;Beguntsi;;
bg733457;bg51;CITY;Banya;;
bg726548;bg51;CITY;Svezhen;;
bg726688;bg51;CITY;Stryama;;
bg726715;bg51;CITY;Streltsi;;
bg726817;bg51;CITY;Staro Zhelezare;;
bg726831;bg51;CITY;Starosel;;
bg726995;bg51;CITY;Sokolitsa;;
bg727282;bg51;CITY;Shiroka Laka;;
bg728077;bg51;CITY;Popovitsa;;
bg728698;bg51;CITY;Novo Zhelezare;;
bg728852;bg51;CITY;Nedelevo;;
bg728858;bg51;CITY;Nayden-Gerovo;;
bg728951;bg51;CITY;Mostovo;;
bg725749;bg51;CITY;Voyvodinovo;;
bg726031;bg51;CITY;Vasil Levski;;
bg726241;bg51;CITY;Tseretelevo;;
bg726310;bg51;CITY;Trud;;
bg726325;bg51;CITY;Trivoditsi;;
bg729264;bg51;CITY;Manole;;
bg729302;bg51;CITY;Malak Chardak;;
bg729629;bg51;CITY;Lilkovo;;
bg729686;bg51;CITY;Lenovo;;
bg729784;bg51;CITY;Karnare;;
bg730395;bg51;CITY;Hristo-Danovo;;
bg730988;bg51;CITY;Galabovo;;
bg731782;bg51;CITY;Dushka;;
bg731820;bg51;CITY;Dalgo Pole;;
bg732126;bg51;CITY;Dolna Mahala;;
bg732189;bg51;CITY;Dobrostan;;
bg732225;bg51;CITY;Dobralak;;
bg732395;bg51;CITY;Churen;;
bg733501;bg51;CITY;Balkan Mahala;;
bg733550;bg51;CITY;Bachkovo;;
bg733565;bg51;CITY;Babek;;
bg733724;bg51;CITY;Ahmatovo;;
bg727129;bg51;CITY;Skutare;;
bg727497;bg51;CITY;Razhevo;;
bg728891;bg51;CITY;Matenitsa;;
bg725320;bg51;CITY;Zhalt Kamak;;
bg726258;bg51;CITY;Tsarimir;;
bg726332;bg51;CITY;Trilistnik;;
bg729107;bg51;CITY;Mihiltsi;;
bg729260;bg51;CITY;Manolsko Konare;;
bg729286;bg51;CITY;Manastir;;
bg730454;bg51;CITY;Hambar;;
bg730807;bg51;CITY;Izvorovo;;
bg733081;bg51;CITY;Bor;;
bg727192;bg51;CITY;Sini Vrah;;
bg725717;bg51;CITY;Vrata;;
bg726087;bg51;CITY;Ustina;;
bg729228;bg51;CITY;Markovo;;
bg729239;bg51;CITY;Marino Pole;;
bg729477;bg51;CITY;Lyuben;;
bg729485;bg51;CITY;Lyaskovo;;
bg729774;bg51;CITY;Kurtovo Konare;;
bg729775;bg51;CITY;Kurtovo;;
bg729834;bg51;CITY;Kuklen;;
bg729856;bg51;CITY;Krushovo;;
bg729872;bg51;CITY;Krushevo;;
bg729930;bg51;CITY;Krislovo;;
bg729966;bg51;CITY;Krasnovo;;
bg730036;bg51;CITY;Kozanovo;;
bg730087;bg51;CITY;Kostievo;;
bg730113;bg51;CITY;Kosovo;;
bg730309;bg51;CITY;Kliment;;
bg730620;bg51;CITY;Karadzhovo;;
bg730774;bg51;CITY;Kalekovets;;
bg730789;bg51;CITY;Kadievo;;
bg730840;bg51;CITY;Ivan-Vazovo;;
bg730931;bg51;CITY;Iganovo;;
bg731163;bg51;CITY;Gornoslav;;
bg731215;bg51;CITY;Gorni Domlyan;;
bg731719;bg51;CITY;Dzhurkovo;;
bg731777;bg51;CITY;Duvanlii;;
bg731885;bg51;CITY;Dryanovo;;
bg731929;bg51;CITY;Drangovo;;
bg731942;bg51;CITY;Dragoynovo;;
bg731958;bg51;CITY;Dragomir;;
bg732031;bg51;CITY;Domlyan;;
bg732043;bg51;CITY;Dolnoslav;;
bg732248;bg51;CITY;Dink;;
bg732501;bg51;CITY;Cherven;;
bg732504;bg51;CITY;Chernozem;;
bg732557;bg51;CITY;Chernichevo;;
bg732905;bg51;CITY;Brestnik;;
bg732937;bg51;CITY;Branipole;;
bg732977;bg51;CITY;Boykovo;;
bg733080;bg51;CITY;Borets;;
bg733093;bg51;CITY;Bolyarino;;
bg733129;bg51;CITY;Bogdanitsa;;
bg733133;bg51;CITY;Bogdan;;
bg733324;bg51;CITY;Belitsa;;
bg726708;bg51;CITY;Stroevo;;
bg726780;bg51;CITY;Stoletovo;;
bg726790;bg51;CITY;Stoevo;;
bg726976;bg51;CITY;Sopot;;
bg727149;bg51;CITY;Skobelevo;;
bg727262;bg51;CITY;Shishmantsi;;
bg727374;bg51;CITY;Seltsi;;
bg727548;bg51;CITY;Ruen;;
