CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
bf;;COUNTRY;Burkina Faso;;
bf04;bf;REGION;Centre-Est;;
bf2360615;bf04;CITY;Garango;;
bf2359893;bf04;CITY;Kalamondo;;
bf2359945;bf04;CITY;Kabéra;;
bf2360434;bf04;CITY;Gon;;
bf2360436;bf04;CITY;Gomtenga;;
bf2360548;bf04;CITY;Gassougou;;
bf2360756;bf04;CITY;Fottigué;;
bf2360972;bf04;CITY;Dourtenga;;
bf2361013;bf04;CITY;Doundoudougou;;
bf2361070;bf04;CITY;Douamtenga;;
bf2361097;bf04;CITY;Donsen;;
bf2361280;bf04;CITY;Dimistenga;;
bf2361307;bf04;CITY;Dierma;;
bf2361404;bf04;CITY;Dialla;;
bf2361616;bf04;CITY;Dango;;
bf2361788;bf04;CITY;Cella;;
bf2361837;bf04;CITY;Boussouma;;
bf2361851;bf04;CITY;Bourzoaga;;
bf2362008;bf04;CITY;Boulga;;
bf2362120;bf04;CITY;Boto;;
bf2362252;bf04;CITY;Bologo;;
bf2362376;bf04;CITY;Bittou;;
bf2362395;bf04;CITY;Bissiga;;
bf2362496;bf04;CITY;Bilanguen;;
bf2362516;bf04;CITY;Bidiga;;
bf2362598;bf04;CITY;Bélèmbouliguen;;
bf2362599;bf04;CITY;Bélembaoguen;;
bf2362621;bf04;CITY;Béka;;
bf2362626;bf04;CITY;Béguédo;;
bf2362708;bf04;CITY;Baskouré;;
bf2362709;bf04;CITY;Baskouré;;
bf2362912;bf04;CITY;Bané;;
bf2363102;bf04;CITY;Bado;;
bf2353604;bf04;CITY;Yargo;;
bf2353606;bf04;CITY;Yargatenga;;
bf2354820;bf04;CITY;Tantako;;
bf2355015;bf04;CITY;Tanga;;
bf2355278;bf04;CITY;Soudougui;;
bf2355559;bf04;CITY;Simba;;
bf2355581;bf04;CITY;Silmiougou;;
bf2355910;bf04;CITY;Sanogho;;
bf2355937;bf04;CITY;Sango;;
bf2355945;bf04;CITY;Sanga;;
bf2355988;bf04;CITY;Sampa;;
bf2356117;bf04;CITY;Sabtenga;;
bf2356300;bf04;CITY;Pouytenga;;
bf2356883;bf04;CITY;Ounzéogo;;
bf2356967;bf04;CITY;Ouéguédo;;
bf2357013;bf04;CITY;Ouarégou;;
bf2357292;bf04;CITY;Ningaré;;
bf2357343;bf04;CITY;Niarba;;
bf2357351;bf04;CITY;Niaogho;;
bf2357680;bf04;CITY;Nakaba;;
bf2357932;bf04;CITY;Mogomnoré;;
bf2357955;bf04;CITY;Moaga;;
bf2357977;bf04;CITY;Milimtenga;;
bf2358024;bf04;CITY;Massougou;;
bf2358097;bf04;CITY;Mangagou;;
bf2358300;bf04;CITY;Loanga;;
bf2358303;bf04;CITY;Loaba;;
bf2358313;bf04;CITY;Lioulgou;;
bf2358336;bf04;CITY;Lilgomdé;;
bf2358518;bf04;CITY;Lalgay;;
bf2358652;bf04;CITY;Koutiana;;
bf2359011;bf04;CITY;Kostènga;;
bf2359194;bf04;CITY;Komtoéga;;
bf2359217;bf04;CITY;Komin-Yanga;;
bf2359234;bf04;CITY;Koma;;
bf2359668;bf04;CITY;Kargou;;
bf2359773;bf04;CITY;Kanhiré;;
bf2359785;bf04;CITY;Kando;;
bf2359818;bf04;CITY;Kampouéyorgho;;
bf2359819;bf04;CITY;Kampoaga;;
bf2359855;bf04;CITY;Kalouènga;;
bf2353205;bf04;CITY;Zonsé;;
bf2353234;bf04;CITY;Zoaga;;
bf2353288;bf04;CITY;Zigla Koulpélé;;
bf2353339;bf04;CITY;Zéguédéga;;
bf2353404;bf04;CITY;Zamé;;
bf2353422;bf04;CITY;Zako;;
bf2353436;bf04;CITY;Zabré;;
bf2353446;bf04;CITY;Youngou;;
bf2353453;bf04;CITY;Youkouka;;
bf2353461;bf04;CITY;Youga;;
bf2353556;bf04;CITY;Yelémbassé;;
bf2596760;bf04;CITY;Yondé;;
bf7701508;bf04;CITY;Bagre;;
bf2361406;bf04;CITY;Dialgaye;;
bf2363198;bf04;CITY;Andemtenga;;
bf2362459;bf04;CITY;Bingo;;
bf2362687;bf04;CITY;Bassibédo;;
bf2357172;bf04;CITY;Nouhoungo;;
bf2358357;bf04;CITY;Lézogotenga;;
bf2359275;bf04;CITY;Kologanaba;;
bf2359858;bf04;CITY;Kalo Tampané;;
