CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
cm;;COUNTRY;Cameroon;;
cm12;cm;REGION;Far North;;
cm2229798;cm12;CITY;Kousséri;;
cm2226275;cm12;CITY;Mokolo;;
cm2225991;cm12;CITY;Mora;;
cm2221030;cm12;CITY;Yagoua;;
cm2226641;cm12;CITY;Mindif;;
cm2230599;cm12;CITY;Kaélé;;
cm2228881;cm12;CITY;Makary;;
cm2229780;cm12;CITY;Koza;;
cm2233817;cm12;CITY;Bodo;;
cm2596834;cm12;CITY;Blangwa;;
cm2596842;cm12;CITY;Guéré;;
cm2225806;cm12;CITY;Mozogo;;
cm2225823;cm12;CITY;Moutouroua;;
cm2225884;cm12;CITY;Moulvouday;;
cm2226312;cm12;CITY;Mogodé;;
cm2227027;cm12;CITY;Méri;;
cm2229292;cm12;CITY;Logone Birni;;
cm2229413;cm12;CITY;Limani;;
cm2230158;cm12;CITY;Kolofata;;
cm2230800;cm12;CITY;Hina Marbak;;
cm2230805;cm12;CITY;Hilé Alifa;;
cm2230857;cm12;CITY;Guirvidig;;
cm2230873;cm12;CITY;Guidiguis;;
cm2230891;cm12;CITY;Guémé;;
cm2231004;cm12;CITY;Goulfey;;
cm2231291;cm12;CITY;Gazawa;;
cm2231535;cm12;CITY;Fotokol;;
cm2232408;cm12;CITY;Dziguilao;;
cm2232844;cm12;CITY;Djenreng;;
cm2232897;cm12;CITY;Zahora;;
cm2233214;cm12;CITY;Datchéka-Takréo;;
cm2233225;cm12;CITY;Dargala;;
cm2233363;cm12;CITY;Chawé;;
cm2233445;cm12;CITY;Bourrah;;
cm2233805;cm12;CITY;Bogo;;
cm2220665;cm12;CITY;Zouey;;
cm2220676;cm12;CITY;Zongoya;;
cm2220771;cm12;CITY;Zamay;;
cm2221144;cm12;CITY;Wanday;;
cm2221343;cm12;CITY;Touloum;;
cm2221424;cm12;CITY;Tokonbéré;;
cm2221630;cm12;CITY;Tchidi;;
cm2221633;cm12;CITY;Tchatibali;;
cm2222377;cm12;CITY;Roumzou;;
cm2222378;cm12;CITY;Roumsiki;;
cm2222609;cm12;CITY;Pétté;;
cm2222942;cm12;CITY;Oudoumdjaray;;
cm2224783;cm12;CITY;Nguetchéwé;;
cm2224810;cm12;CITY;Ngassawé;;
cm2225026;cm12;CITY;Ndoukoula;;
cm6730449;cm12;CITY;Kay Kay;;
cm2225836;cm12;CITY;Mouri I;;
cm2225848;cm12;CITY;Mounkeu;;
cm2225922;cm12;CITY;Mofouélé;;
cm2226084;cm12;CITY;Mandoussa;;
cm2226310;cm12;CITY;Mogonyé;;
cm2226479;cm12;CITY;Miogoy;;
cm2226649;cm12;CITY;Minawao;;
cm2227175;cm12;CITY;Mendézé;;
cm2227364;cm12;CITY;Makélek;;
cm2227401;cm12;CITY;Mainari;;
cm2227449;cm12;CITY;Mdmiché;;
cm2227473;cm12;CITY;Médégouer;;
cm2227474;cm12;CITY;Midéguine;;
cm2227863;cm12;CITY;Mbeng;;
cm2228179;cm12;CITY;Mayto;;
cm2228204;cm12;CITY;Mayo Lega;;
cm2228234;cm12;CITY;Mayo Kaouledji;;
cm2228251;cm12;CITY;Mawak;;
cm2228326;cm12;CITY;Massa Koudwéta;;
cm2228328;cm12;CITY;Massaki;;
cm2228403;cm12;CITY;Marafin;;
cm2228504;cm12;CITY;Nanikalou;;
cm2228553;cm12;CITY;Mangafé Doubouwol;;
cm2228696;cm12;CITY;Mambaya;;
cm2228768;cm12;CITY;Knyanya;;
cm2228784;cm12;CITY;Domo;;
cm2229039;cm12;CITY;Madèk;;
cm2229048;cm12;CITY;Madakolkos;;
cm2229184;cm12;CITY;Louguereo;;
cm2229186;cm12;CITY;Louguéré Kondon;;
cm2229200;cm12;CITY;Ldoubam;;
cm2229284;cm12;CITY;Loko;;
cm2229736;cm12;CITY;Kola;;
cm2229764;cm12;CITY;Krenak Kabir;;
cm2229814;cm12;CITY;Kourgui;;
cm2229969;cm12;CITY;Wandalang;;
cm2229989;cm12;CITY;Kosséwa;;
cm2229995;cm12;CITY;Kosséhone;;
cm2230011;cm12;CITY;Korehel;;
cm2230261;cm12;CITY;Kaléné;;
cm2230278;cm12;CITY;Micheka;;
cm2230342;cm12;CITY;Kerawa;;
cm2230343;cm12;CITY;Krawa;;
cm2230397;cm12;CITY;Kay-Kay II;;
cm2230404;cm12;CITY;Katoual;;
cm2230423;cm12;CITY;Kassay;;
cm2230435;cm12;CITY;Karmay;;
cm2230469;cm12;CITY;Ouro Kaoussadio;;
cm2230543;cm12;CITY;Khalkoussam;;
cm2230674;cm12;CITY;Irdeng;;
cm2230778;cm12;CITY;Omaka;;
cm2230793;cm12;CITY;Hodogay;;
cm2230801;cm12;CITY;Mandja;;
cm2230823;cm12;CITY;Haouf;;
cm2230840;cm12;CITY;Gova;;
cm2230865;cm12;CITY;Guingley;;
cm2230868;cm12;CITY;Guinane I;;
cm2230877;cm12;CITY;Guibi;;
cm2230941;cm12;CITY;Gourmeuï;;
cm2230944;cm12;CITY;Gouringuel;;
cm2230946;cm12;CITY;Al Groulié;;
cm2230965;cm12;CITY;Ngonféla;;
cm2231030;cm12;CITY;Goudour;;
cm2231108;cm12;CITY;Golonghini;;
cm2231150;cm12;CITY;Goufka;;
cm2231182;cm12;CITY;Gléy;;
cm2231194;cm12;CITY;Guindinguina;;
cm2231238;cm12;CITY;Guélao;;
cm2231298;cm12;CITY;Gawawa;;
cm2231299;cm12;CITY;Gawar;;
cm2231344;cm12;CITY;Goayang;;
cm2231377;cm12;CITY;Gamdougoum;;
cm2231397;cm12;CITY;Gamboura;;
cm2231447;cm12;CITY;Gagadjé;;
cm2231466;cm12;CITY;Gabarey Mérengué;;
cm2231632;cm12;CITY;Toulous;;
cm2231656;cm12;CITY;Ferndé;;
cm2231904;cm12;CITY;Héder;;
cm2232031;cm12;CITY;El Goumri;;
cm2232423;cm12;CITY;Daouchouf;;
cm2232454;cm12;CITY;Doyang;;
cm2232455;cm12;CITY;Douzay;;
cm2232479;cm12;CITY;Doumrou;;
cm2232519;cm12;CITY;Doulo;;
cm2232527;cm12;CITY;Doukoula;;
cm2232608;cm12;CITY;Doriessou;;
cm2232666;cm12;CITY;Dogwoy;;
cm2232680;cm12;CITY;Dogba;;
cm2232834;cm12;CITY;Zélévet;;
cm2232835;cm12;CITY;Djervek;;
cm2232892;cm12;CITY;Djaoro Gouetel;;
cm2232933;cm12;CITY;Ndjamena;;
cm2232968;cm12;CITY;Djafga;;
cm2232977;cm12;CITY;Djabari;;
cm2233177;cm12;CITY;Déléïb;;
cm2233268;cm12;CITY;Dana;;
cm2233314;cm12;CITY;Ourédin;;
cm2233347;cm12;CITY;Choua;;
cm2233357;cm12;CITY;Shidifi;;
cm2233416;cm12;CITY;Brouwavaré;;
cm2233712;cm12;CITY;Boumbouma;;
cm2233963;cm12;CITY;Bissélé;;
cm2234072;cm12;CITY;Brinay;;
cm2234194;cm12;CITY;Biguiding;;
cm2234363;cm12;CITY;Béreng;;
cm2234376;cm12;CITY;Beramcaragoua;;
cm2234529;cm12;CITY;Dodéhé Krenak;;
cm2234609;cm12;CITY;Bidéine;;
cm2234750;cm12;CITY;Baria Godio;;
cm2234930;cm12;CITY;Bamé;;
cm2235058;cm12;CITY;Balaza Alcali;;
cm2235448;cm12;CITY;Ashigashiya;;
cm2235611;cm12;CITY;Amseneni;;
cm2235612;cm12;CITY;Amsamka;;
cm2235636;cm12;CITY;Amfléy;;
cm2235644;cm12;CITY;Damba;;
cm2235704;cm12;CITY;Holio;;
cm2236033;cm12;CITY;Abkous Kawalmé;;
cm2236034;cm12;CITY;Abkous Hamaldié;;
cm2236035;cm12;CITY;Djékébé;;
cm2220722;cm12;CITY;Zgagué;;
cm2220839;cm12;CITY;Yoldéo;;
cm2221087;cm12;CITY;Wafka;;
cm2221110;cm12;CITY;Garou;;
cm2221222;cm12;CITY;Gawar Vindé;;
cm2221230;cm12;CITY;Gabarey Widi;;
cm2221245;cm12;CITY;Waïdou;;
cm2221485;cm12;CITY;Tima-le-Haut;;
cm2221610;cm12;CITY;Tchitchi;;
cm2222006;cm12;CITY;Sirak;;
cm2222092;cm12;CITY;Sirakouti;;
cm2222145;cm12;CITY;Shougoulé;;
cm2222150;cm12;CITY;Sedek;;
cm2222197;cm12;CITY;Saré;;
cm2222328;cm12;CITY;Salra;;
cm2222333;cm12;CITY;Sagué Kabir;;
cm2222435;cm12;CITY;Houloussina;;
cm2222454;cm12;CITY;Rlessena;;
cm2222471;cm12;CITY;Pouss;;
cm2222474;cm12;CITY;Poughana;;
cm2222545;cm12;CITY;Pokoguetem;;
cm2222563;cm12;CITY;Plaong;;
cm2222671;cm12;CITY;Paraway;;
cm2222800;cm12;CITY;Rouva;;
cm2222857;cm12;CITY;Ouro Guertodé;;
cm2222916;cm12;CITY;Woulkio Kalé;;
cm2222918;cm12;CITY;Woulki;;
cm2222938;cm12;CITY;Douélou;;
cm2222949;cm12;CITY;Oudahay;;
cm2222954;cm12;CITY;Ouda;;
cm2223390;cm12;CITY;Nyemnyemi;;
cm2223590;cm12;CITY;Noulda;;
cm2224300;cm12;CITY;Nigué;;
cm2224448;cm12;CITY;Amngoulou;;
cm2224502;cm12;CITY;Ngouma;;
cm2224949;cm12;CITY;Negué;;
cm2225331;cm12;CITY;Déga;;
cm2225558;cm12;CITY;Mzhli;;
cm6783161;cm12;CITY;Nayré;;
cm6698796;cm12;CITY;Djalal;;
cm2595233;cm12;CITY;Ndouf;;
cm2225763;cm12;CITY;Mstrar;;
cm2225779;cm12;CITY;Mapoldokou;;
cm2225820;cm12;CITY;Mouvoulwa;;
cm2225832;cm12;CITY;Mouzgoum;;
cm2225838;cm12;CITY;Morgoun;;
cm2225839;cm12;CITY;Mora;;
cm2225841;cm12;CITY;Mour;;
cm2225895;cm12;CITY;Moulandi;;
cm2225907;cm12;CITY;Mokjé;;
cm2225909;cm12;CITY;Mourak;;
cm2225914;cm12;CITY;Mouhour;;
cm2225928;cm12;CITY;Moudoukoua;;
cm2225935;cm12;CITY;Moudar;;
cm2225987;cm12;CITY;Morgoy;;
cm2225989;cm12;CITY;Mordok;;
cm2226041;cm12;CITY;Mokong;;
cm2226054;cm12;CITY;Mongossi;;
cm2226258;cm12;CITY;Makoché;;
cm2226288;cm12;CITY;Mouga;;
cm2226301;cm12;CITY;Mahoula;;
cm2226452;cm12;CITY;Mingming;;
cm2226471;cm12;CITY;Meskin;;
cm2226474;cm12;CITY;Mremié;;
cm2226685;cm12;CITY;Milié II;;
cm2226705;cm12;CITY;Midjivin;;
cm2226732;cm12;CITY;Midan;;
cm2227047;cm12;CITY;Mewi;;
cm2227208;cm12;CITY;Membeng;;
cm2227278;cm12;CITY;Méléki;;
cm2227400;cm12;CITY;Mainari;;
cm2227560;cm12;CITY;Mbrodong;;
cm2227730;cm12;CITY;Mborora;;
cm2227950;cm12;CITY;Mbartalla I;;
cm2228175;cm12;CITY;Mazay;;
cm2228191;cm12;CITY;Mayo Houdo;;
cm2228206;cm12;CITY;Mayo Laddé;;
cm2228207;cm12;CITY;Mayo Kéwé;;
cm2228256;cm12;CITY;Mavala;;
cm2228279;cm12;CITY;Matfay;;
cm2228281;cm12;CITY;Materpats;;
cm2228286;cm12;CITY;Motchao;;
cm2228291;cm12;CITY;Kidjimatari;;
cm2228342;cm12;CITY;Mouskaté;;
cm2228343;cm12;CITY;Maskalay;;
cm2228344;cm12;CITY;Massio;;
cm2228347;cm12;CITY;Masi Ndilim;;
cm2228349;cm12;CITY;Massilal Er;;
cm2228358;cm12;CITY;Massaki;;
cm2228395;cm12;CITY;Margwé;;
cm2228400;cm12;CITY;Margui;;
cm2228421;cm12;CITY;Mara I;;
cm2228440;cm12;CITY;Maola;;
cm2228554;cm12;CITY;Moungachiri;;
cm2228622;cm12;CITY;Mandama;;
cm2228640;cm12;CITY;Manawadji;;
cm2228664;cm12;CITY;Mamourgui;;
cm2228738;cm12;CITY;Molodia;;
cm2228751;cm12;CITY;Malmandja;;
cm2228804;cm12;CITY;Malam Mango;;
cm2228826;cm12;CITY;Maksi;;
cm2228876;cm12;CITY;Makalingay;;
cm2228886;cm12;CITY;Markanday;;
cm2228907;cm12;CITY;Makabay;;
cm2228945;cm12;CITY;Ma'é;;
cm2228946;cm12;CITY;Mahaou;;
cm2228947;cm12;CITY;Mahanna;;
cm2228950;cm12;CITY;Mahana;;
cm2228956;cm12;CITY;Magourdé I;;
cm2228957;cm12;CITY;Mogoumaz;;
cm2228962;cm12;CITY;Maguel;;
cm2228963;cm12;CITY;Magdémé;;
cm2228970;cm12;CITY;Magam Kotoko;;
cm2228976;cm12;CITY;Magadi II;;
cm2228980;cm12;CITY;Mafoulso;;
cm2228991;cm12;CITY;Mazgueu;;
cm2228993;cm12;CITY;Madiaré;;
cm2229025;cm12;CITY;Madal-hout;;
cm2229031;cm12;CITY;Madamdougourou;;
cm2229047;cm12;CITY;Mada;;
cm2229055;cm12;CITY;Marbrouka;;
cm2229056;cm12;CITY;Almabraka;;
cm2229111;cm12;CITY;Médina;;
cm2229189;cm12;CITY;Louga Mbouli;;
cm2229199;cm12;CITY;Loubour;;
cm2229289;cm12;CITY;Logaya;;
cm2229348;cm12;CITY;Lissénié;;
cm2229349;cm12;CITY;Lisémé Kasalia;;
cm2229581;cm12;CITY;Ldengldeng;;
cm2229593;cm12;CITY;Laskahako;;
cm2229599;cm12;CITY;Laresky;;
cm2229685;cm12;CITY;Lafia Saouakin;;
cm2229688;cm12;CITY;Lafia Chia;;
cm2229710;cm12;CITY;Larié;;
cm2229724;cm12;CITY;Kouyapé;;
cm2229759;cm12;CITY;Kissam;;
cm2229762;cm12;CITY;Krenak Kabir;;
cm2229763;cm12;CITY;Krenak Chia;;
cm2229816;cm12;CITY;Kourdaya;;
cm2229861;cm12;CITY;Kononay;;
cm2229888;cm12;CITY;Koumarki;;
cm2229949;cm12;CITY;Koubougué;;
cm2230000;cm12;CITY;Koré;;
cm2230014;cm12;CITY;Kopéa;;
cm2230041;cm12;CITY;Konho;;
cm2230282;cm12;CITY;Kineboya;;
cm2230318;cm12;CITY;Alapitari;;
cm2230325;cm12;CITY;Karéna;;
cm2230338;cm12;CITY;Kaoussé;;
cm2230365;cm12;CITY;Kéléo;;
cm2230394;cm12;CITY;Kazere;;
cm2230395;cm12;CITY;Gazowal;;
cm2230398;cm12;CITY;Kaygue;;
cm2230401;cm12;CITY;Kaya;;
cm2230414;cm12;CITY;Katchalla;;
cm2230428;cm12;CITY;Kassibé;;
cm2230432;cm12;CITY;Arnok;;
cm2230522;cm12;CITY;Kambraké;;
cm2230541;cm12;CITY;Karakwy;;
cm2230552;cm12;CITY;Kalfou;;
cm2230558;cm12;CITY;Kalaoua;;
cm2230561;cm12;CITY;Kalang;;
cm2230568;cm12;CITY;Kalak;;
cm2230591;cm12;CITY;Kahéo;;
cm2230604;cm12;CITY;Katchel;;
cm2230607;cm12;CITY;Kaday;;
cm2230657;cm12;CITY;Rtéré;;
cm2230691;cm12;CITY;Ngousséré;;
cm2230751;cm12;CITY;Khouzoummé;;
cm2230771;cm12;CITY;Hopo;;
cm2230794;cm12;CITY;Oudonday;;
cm2230799;cm12;CITY;Hina Vindé;;
cm2230804;cm12;CITY;Hiléguim;;
cm2230810;cm12;CITY;Hérérimé;;
cm2230821;cm12;CITY;Hardowo;;
cm2230833;cm12;CITY;Amadou;;
cm2230838;cm12;CITY;Hach-Hach;;
cm2230841;cm12;CITY;Gouongouana;;
cm2230858;cm12;CITY;Guirou;;
cm2230880;cm12;CITY;Guech;;
cm2230900;cm12;CITY;Algret;;
cm2230902;cm12;CITY;Grélié;;
cm2230926;cm12;CITY;Gouzoudou;;
cm2230933;cm12;CITY;Gouria;;
cm2230969;cm12;CITY;Goundey;;
cm2230974;cm12;CITY;Alagarno Gounna;;
cm2230978;cm12;CITY;Goumley;;
cm2230993;cm12;CITY;Gouloundouma;;
cm2230995;cm12;CITY;Guiliwa;;
cm2231003;cm12;CITY;Goulfey Gana;;
cm2231011;cm12;CITY;Goulma;;
