CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
ca;;COUNTRY;Canada;;
ca01;ca;REGION;Alberta;;
ca5913490;ca01;CITY;Calgary;;
ca6053154;ca01;CITY;Lethbridge;;
ca6118158;ca01;CITY;Red Deer;;
ca6071618;ca01;CITY;Medicine Hat;;
ca5955895;ca01;CITY;Fort McMurray;;
ca5964347;ca01;CITY;Grande Prairie;;
ca6155033;ca01;CITY;St. Albert;;
ca5925024;ca01;CITY;Cold Lake;;
ca5892532;ca01;CITY;Banff;;
ca6154383;ca01;CITY;Spruce Grove;;
ca6146279;ca01;CITY;Sherwood Park;;
ca6179602;ca01;CITY;Wetaskiwin;;
ca6035615;ca01;CITY;Lacombe;;
ca5975004;ca01;CITY;High Level;;
ca5955948;ca01;CITY;Fort Saskatchewan;;
ca5909514;ca01;CITY;Brooks;;
ca5951036;ca01;CITY;Fairview;;
ca5924618;ca01;CITY;Cochrane;;
ca5914653;ca01;CITY;Camrose;;
ca5914894;ca01;CITY;Canmore;;
ca6160806;ca01;CITY;Sylvan Lake;;
ca6173801;ca01;CITY;Vermilion;;
ca5882799;ca01;CITY;Airdrie;;
ca6100069;ca01;CITY;Peace River;;
ca6051562;ca01;CITY;Leduc;;
ca6354954;ca01;CITY;Jasper;;
ca6126749;ca01;CITY;Rocky Mountain House;;
ca6178038;ca01;CITY;Wembley;;
ca6028050;ca01;CITY;Lac La Biche;;
ca6074099;ca01;CITY;Millet;;
ca6064202;ca01;CITY;Magrath;;
ca6065306;ca01;CITY;Manning;;
ca6068315;ca01;CITY;Mayerthorpe;;
ca5967157;ca01;CITY;Grimshaw;;
ca5902458;ca01;CITY;Black Diamond;;
ca5938801;ca01;CITY;Devon;;
ca5939210;ca01;CITY;Didsbury;;
ca5975034;ca01;CITY;High Prairie;;
ca5975503;ca01;CITY;Hinton;;
ca5902599;ca01;CITY;Blackfalds;;
ca5905348;ca01;CITY;Bon Accord;;
ca5905616;ca01;CITY;Bonnyville;;
ca5906757;ca01;CITY;Bow Island;;
ca5955891;ca01;CITY;Fort Macleod;;
ca5956869;ca01;CITY;Fox Creek;;
ca5933070;ca01;CITY;Crossfield;;
ca5984019;ca01;CITY;Irricana;;
ca5960842;ca01;CITY;Gibbons;;
ca5913601;ca01;CITY;Calmar;;
ca5942547;ca01;CITY;Drayton Valley;;
ca5947754;ca01;CITY;Elk Point;;
ca5894164;ca01;CITY;Barrhead;;
ca5894642;ca01;CITY;Bassano;;
ca5921060;ca01;CITY;Chestermere;;
ca5923125;ca01;CITY;Claresholm;;
ca5924417;ca01;CITY;Coaldale;;
ca5924428;ca01;CITY;Coalhurst;;
ca5916821;ca01;CITY;Cardston;;
ca5917688;ca01;CITY;Carstairs;;
