CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
cf;;COUNTRY;Central African Republic;;
cf04;cf;REGION;Mambéré-Kadéï;;
cf2387495;cf04;CITY;Carnot;;
cf2386756;cf04;CITY;Gamboula;;
cf2386805;cf04;CITY;Gadzi;;
cf2387331;cf04;CITY;Dédé Mokouba;;
cf2390584;cf04;CITY;Babadza;;
cf2382087;cf04;CITY;Amada Gaza;;
cf2385522;cf04;CITY;Koué;;
cf2383734;cf04;CITY;Ouakana;;
cf2386821;cf04;CITY;Gaboua;;
cf2387868;cf04;CITY;Boudoua;;
cf2389400;cf04;CITY;Beïna-Boïmo;;
cf2389608;cf04;CITY;Bayanga Kadeï;;
cf2389940;cf04;CITY;Banga;;
cf2389974;cf04;CITY;Bandiforo;;
cf2390086;cf04;CITY;Bamara;;
cf2382231;cf04;CITY;Zeckébawane;;
cf2382264;cf04;CITY;Zaorodinga;;
cf2383785;cf04;CITY;Nzéka;;
cf2384598;cf04;CITY;Mboula;;
cf2384694;cf04;CITY;Mbelou;;
cf2384761;cf04;CITY;Mbako-Ngounga;;
cf2384769;cf04;CITY;Mbaka;;
cf2385476;cf04;CITY;Koumbé;;
cf2386096;cf04;CITY;Irma Bouéki II;;
cf2390076;cf04;CITY;Bambam;;
cf2390643;cf04;CITY;Ancien Sapoua;;
cf2383678;cf04;CITY;Ouayombo;;
cf2384950;cf04;CITY;Makoundja Wali;;
cf2386557;cf04;CITY;Godéambolè;;
cf2387013;cf04;CITY;Doro;;
cf2387171;cf04;CITY;Djembé;;
cf2387855;cf04;CITY;Boufforo;;
cf2388232;cf04;CITY;Bome;;
cf2388358;cf04;CITY;Boko-Boutane;;
cf2388949;cf04;CITY;Bihanga;;
cf2389612;cf04;CITY;Bayanga;;
cf2389616;cf04;CITY;Bayama;;
cf2389748;cf04;CITY;Barka-Pandé;;
cf2389749;cf04;CITY;Barka Bondio;;
cf2389751;cf04;CITY;Barka;;
cf2389811;cf04;CITY;Bao;;
cf2389918;cf04;CITY;Bangala Dipo;;
cf2389943;cf04;CITY;Banga;;
cf2390002;cf04;CITY;Banban;;
cf2390040;cf04;CITY;Bambourou;;
cf2390229;cf04;CITY;Bakissa;;
cf2390297;cf04;CITY;Baïna Bondio;;
cf2390644;cf04;CITY;Ancien Ngoukou;;
cf2390650;cf04;CITY;Ancien Bô;;
cf2382238;cf04;CITY;Zawélé;;
cf2382253;cf04;CITY;Zaoroyanga Bondio;;
cf2382633;cf04;CITY;Wambilo;;
cf2382785;cf04;CITY;Tongou;;
cf2383030;cf04;CITY;Soso;;
cf2384179;cf04;CITY;Nassoury;;
cf2384191;cf04;CITY;Nao;;
cf2384230;cf04;CITY;Nakonmbo;;
cf2384247;cf04;CITY;Nagati;;
cf2384255;cf04;CITY;Nadjembe;;
cf2384429;cf04;CITY;Molaye;;
cf2384538;cf04;CITY;Méni;;
