CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
td;;COUNTRY;Chad;;
td14;td;REGION;Tandjilé;;
td2430506;td14;CITY;Kelo;;
td2435474;td14;CITY;Béré;;
td2424710;td14;CITY;Tchéblé Mbassa;;
td2425194;td14;CITY;Tchaguin Golo;;
td2425955;td14;CITY;Satégui;;
td2426163;td14;CITY;Poumgou;;
td2427632;td14;CITY;Monogoy;;
td2428033;td14;CITY;Mébigué;;
td2431532;td14;CITY;Guidari;;
td2433215;td14;CITY;Dono Manga;;
td2434011;td14;CITY;Déressia;;
td2434072;td14;CITY;Delbian;;
td2425130;td14;CITY;Tchadjaragué;;
td2425140;td14;CITY;Tchéré;;
td2425732;td14;CITY;Séméguin;;
td2427185;td14;CITY;Narégué;;
td2427593;td14;CITY;Norni;;
td2427995;td14;CITY;Méguéné Ngolo;;
td2428432;td14;CITY;Mangsou Yaogué;;
td2428472;td14;CITY;Mandjiré;;
td2429075;td14;CITY;Lodji;;
td2430214;td14;CITY;Koblagué;;
td2431086;td14;CITY;Kagolé;;
td2431571;td14;CITY;Guelgong;;
td2431735;td14;CITY;Goundo Bengli;;
td2432458;td14;CITY;Gabri Ngolo;;
td2433020;td14;CITY;Dray Mbassa;;
td2433088;td14;CITY;Doumbadgué;;
td2433257;td14;CITY;Domogou;;
td2435291;td14;CITY;Bilaka Kéni;;
td2424032;td14;CITY;Zagoni;;
td2424227;td14;CITY;Yaogou;;
td2424266;td14;CITY;Yemdigué;;
td2424605;td14;CITY;Tchoa;;
td2424672;td14;CITY;Toumbou;;
td2424879;td14;CITY;Tchakasseré;;
td2424918;td14;CITY;Ter;;
td2425087;td14;CITY;Tchiré Seména;;
td2425090;td14;CITY;Tchire Mandjojo;;
td2425103;td14;CITY;Tchindaye;;
td2425146;td14;CITY;Tchéré Ayba;;
td2425150;td14;CITY;Tchédoum;;
td2425174;td14;CITY;Tchapadjigué;;
td2425309;td14;CITY;Tamion Ngolo;;
td2425841;td14;CITY;Sangui;;
td2425868;td14;CITY;Sania;;
td2426289;td14;CITY;Ouseng Teïna;;
td2426606;td14;CITY;Ouroungou;;
td2426830;td14;CITY;Ninga;;
td2427234;td14;CITY;Nangasou Soy;;
td2427235;td14;CITY;Nangasou Oudjing;;
td2427236;td14;CITY;Nangasou Bir;;
td2427237;td14;CITY;Nangasou Kali;;
td2427398;td14;CITY;Mouroum Touloum;;
td2427516;td14;CITY;Mougoumou;;
td2427550;td14;CITY;Mosoum;;
td2427551;td14;CITY;Mouso Mandjo;;
td2427552;td14;CITY;Moso Mondjo;;
td2427613;td14;CITY;Morey;;
td2427631;td14;CITY;Monogoy Djiou;;
td2427634;td14;CITY;Moni;;
td2427859;td14;CITY;Moudjar;;
td2427905;td14;CITY;Méré Sibgué;;
td2427993;td14;CITY;Méguéné Bagaye;;
td2427994;td14;CITY;Méguéné;;
td2427997;td14;CITY;Méguéné;;
td2428164;td14;CITY;Matiguil;;
td2428223;td14;CITY;Massan II;;
td2428241;td14;CITY;Maskéna;;
td2428340;td14;CITY;Marbélem Lamgué;;
td2428347;td14;CITY;Marba Kakrao;;
td2428526;td14;CITY;Manbagay;;
td2428549;td14;CITY;Marou;;
td2429014;td14;CITY;Louagui;;
td2429038;td14;CITY;Lobo;;
td2429256;td14;CITY;Broum Langué;;
td2429492;td14;CITY;Koutou;;
td2429517;td14;CITY;Kouri;;
td2429634;td14;CITY;Kouma Tchiangué;;
td2429658;td14;CITY;Kouma Ngar;;
td2429700;td14;CITY;Koullo;;
td2429841;td14;CITY;Koubno;;
td2429893;td14;CITY;Kososey;;
td2429948;td14;CITY;Koro Garmaoa;;
td2430065;td14;CITY;Kongol Tchangtoul;;
td2430099;td14;CITY;Kolon;;
td2430101;td14;CITY;Kolonbagay Balo;;
td2430111;td14;CITY;Kolobey;;
td2430116;td14;CITY;Kolmade;;
td2430370;td14;CITY;Kidjagué;;
td2430665;td14;CITY;Kaselem Kélo;;
td2430743;td14;CITY;Kariadeboum;;
td2430844;td14;CITY;Kanguéra;;
td2431153;td14;CITY;Koblade;;
td2431271;td14;CITY;Enga;;
td2431462;td14;CITY;Hamgar;;
td2431526;td14;CITY;Guidjina Donon;;
td2431527;td14;CITY;Guidimi;;
td2431543;td14;CITY;Guissa Missou;;
td2431550;td14;CITY;Guerguendeng;;
td2431570;td14;CITY;Guelgou;;
td2431592;td14;CITY;Guébé;;
td2431849;td14;CITY;Goular;;
td2432146;td14;CITY;Guénégué;;
td2432154;td14;CITY;Guelmasé;;
td2432459;td14;CITY;Gabri Mbassa;;
td2433019;td14;CITY;Draï Ngolo;;
td2433189;td14;CITY;Dormo Baguidja;;
td2433278;td14;CITY;Dombala;;
td2433380;td14;CITY;Dogobara;;
td2433448;td14;CITY;Djotoutoum;;
td2433460;td14;CITY;Djoun;;
td2433541;td14;CITY;Djogdo;;
td2433619;td14;CITY;Djar;;
td2433645;td14;CITY;Djengrang;;
td2433707;td14;CITY;Djaoula;;
td2433752;td14;CITY;Djalbey;;
td2433776;td14;CITY;Disoua Sardé;;
td2433875;td14;CITY;Dila;;
td2433887;td14;CITY;Dinya;;
td2434095;td14;CITY;Débrang;;
td2434250;td14;CITY;Damdou Mbasa;;
td2434260;td14;CITY;Danan;;
td2434341;td14;CITY;Dadji I;;
td2434599;td14;CITY;Broumti;;
td2434884;td14;CITY;Bordo;;
td2435018;td14;CITY;Bologo;;
td2435058;td14;CITY;Bodo Kakray;;
td2435071;td14;CITY;Bodési;;
td2435126;td14;CITY;Bilikim;;
td2435311;td14;CITY;Bigui Négué;;
td2435312;td14;CITY;Bigui Amoula;;
td2435368;td14;CITY;Beïsoua;;
td2435430;td14;CITY;Bezmé;;
td2435444;td14;CITY;Béro Koumdé;;
td2435480;td14;CITY;Bérété;;
td2435629;td14;CITY;Beli;;
td2435824;td14;CITY;Bidakaridé;;
td2435893;td14;CITY;Batoubo;;
td2436122;td14;CITY;Kariadou Baldoumgar;;
td2436241;td14;CITY;Bangneu;;
td2436243;td14;CITY;Bagay Déoué;;
