CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
cn;;COUNTRY;China;;
cn05;cn;REGION;Jilin;;
cn2036502;cn05;CITY;Jilin City;;
cn2034714;cn05;CITY;Siping;;
cn2033467;cn05;CITY;Yanji;;
cn2036109;cn05;CITY;Liaoyuan;;
cn2037222;cn05;CITY;Gongzhuling;;
cn2037335;cn05;CITY;Fuyu;;
cn2037534;cn05;CITY;Dunhua;;
cn2037712;cn05;CITY;Dehui;;
cn2037930;cn05;CITY;Dalai;;
cn2033135;cn05;CITY;Zhengjiatun;;
cn2033242;cn05;CITY;Yushu;;
cn2035511;cn05;CITY;Panshi;;
cn2035801;cn05;CITY;Meihekou;;
cn2036401;cn05;CITY;Jiutai;;
cn2036776;cn05;CITY;Huadian;;
cn2034340;cn05;CITY;Tumen;;
cn2034761;cn05;CITY;Shulan;;
cn2034791;cn05;CITY;Shuangyang;;
cn2036418;cn05;CITY;Jishu;;
cn2036685;cn05;CITY;Huinan;;
cn2037494;cn05;CITY;Erdaojiang;;
cn2037820;cn05;CITY;Dashitou;;
cn2038529;cn05;CITY;Baishishan;;
cn2033449;cn05;CITY;Yantongshan;;
cn2033739;cn05;CITY;Xinglongshan;;
cn2035182;cn05;CITY;Sanchazi;;
cn2036734;cn05;CITY;Huangnihe;;
cn2034153;cn05;CITY;Wolongcun;;
cn2036139;cn05;CITY;Longhecun;;
cn2037416;cn05;CITY;Fate;;
cn2037581;cn05;CITY;Dongxiaoshancun;;
cn2037608;cn05;CITY;Dongqingcun;;
cn2037743;cn05;CITY;Dayangchacun;;
cn2037914;cn05;CITY;Dalongcun;;
cn2037956;cn05;CITY;Dahuanggoucun;;
cn2038010;cn05;CITY;Dachuancun;;
cn2038023;cn05;CITY;Dabeicheng;;
cn2038038;cn05;CITY;Cuocaocun;;
cn2038090;cn05;CITY;Chelingbeicun;;
cn2038553;cn05;CITY;Bailiping;;
cn2038594;cn05;CITY;Badaocun;;
cn2033655;cn05;CITY;Xintunzicun;;
cn2033664;cn05;CITY;Xinshengcun;;
cn2033714;cn05;CITY;Xinhecun;;
cn2033800;cn05;CITY;Xin’anzhencun;;
cn2033904;cn05;CITY;Xiatianping;;
cn2033936;cn05;CITY;Shahecun;;
cn2033973;cn05;CITY;Xiaogujiacun;;
cn2033990;cn05;CITY;Xiaochengzi;;
cn2034008;cn05;CITY;Chaoyangcun;;
cn2034012;cn05;CITY;Xiangshuicun;;
cn2034131;cn05;CITY;Wudaogoucun;;
cn2034477;cn05;CITY;Tianbaoshancun;;
cn2034576;cn05;CITY;Taipinggoucun;;
cn2034698;cn05;CITY;Songhuajiangcun;;
cn2034835;cn05;CITY;Shuangchacun;;
cn2034836;cn05;CITY;Shuaiwanzicun;;
cn2034897;cn05;CITY;Shilipingcun;;
cn2035173;cn05;CITY;Sandaogoucun;;
cn2035298;cn05;CITY;Qingshanli;;
cn2035488;cn05;CITY;Ping’an;;
cn2035495;cn05;CITY;Pihecun;;
