CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
co;;COUNTRY;Colombia;;
co33;co;REGION;Cundinamarca;;
co3682028;co33;CITY;Girardot City;;
co3678405;co33;CITY;La Mesa;;
co3676864;co33;CITY;La Vega;;
co3666526;co33;CITY;Ubalá;;
co3668228;co33;CITY;Sasaima;;
co3669860;co33;CITY;San Francisco;;
co3681953;co33;CITY;Granada;;
co3688112;co33;CITY;Cachipay;;
co3689841;co33;CITY;Anolaima;;
co3792406;co33;CITY;Tibacuy;;
co3667203;co33;CITY;Tibitó;;
co3667284;co33;CITY;Tequendama;;
co3669980;co33;CITY;San Cayetano;;
co3670027;co33;CITY;San Bernardo;;
co3685043;co33;CITY;El Abra;;
co3737662;co33;CITY;Chinauta;;
co3737671;co33;CITY;La Serena;;
co3686702;co33;CITY;Checua;;
co3684504;co33;CITY;El Colegio;;
co3665552;co33;CITY;Zelandia;;
co3673311;co33;CITY;Palanquero;;
co3671513;co33;CITY;Puerto Chaguaní;;
co3679610;co33;CITY;La Carrera;;
co3679797;co33;CITY;La Balsita;;
co3679910;co33;CITY;La Agustina;;
co3683093;co33;CITY;El Salítrico;;
co3667710;co33;CITY;Sumapaz;;
co3684110;co33;CITY;El Guarumo;;
co3685585;co33;CITY;Cuatro Esquinas de Bermeo;;
co3812788;co33;CITY;San Pedro de Jagua;;
co3672938;co33;CITY;Paquiló;;
co3674106;co33;CITY;Naguaya;;
co3674205;co33;CITY;Mundonuevo;;
co3674208;co33;CITY;Mundonuevo;;
co3675417;co33;CITY;Manuel Sur;;
co3675418;co33;CITY;Manuel Norte;;
co3675558;co33;CITY;Mámbita;;
co3676379;co33;CITY;Algodones;;
co3676503;co33;CITY;Llano de Pozo;;
co3676729;co33;CITY;La Virgen;;
co3676811;co33;CITY;La Verbena;;
co3677643;co33;CITY;Las Ceibas;;
co3677881;co33;CITY;La Reforma;;
co3678024;co33;CITY;La Pradera;;
co3678725;co33;CITY;La Idalia;;
co3678779;co33;CITY;La Herrera;;
co3678946;co33;CITY;La Fragüita;;
co3666899;co33;CITY;Toquiza;;
co3668326;co33;CITY;El Santuario;;
co3668797;co33;CITY;Santa Elena;;
co3669981;co33;CITY;San Cayetano;;
co3671538;co33;CITY;Puerto Bogotá;;
co3671686;co33;CITY;Pubenza;;
co3672188;co33;CITY;Pinsaima;;
co3679170;co33;CITY;La Esperanza;;
co3679178;co33;CITY;La Esperanza;;
co3679227;co33;CITY;La Esmeralda;;
co3679417;co33;CITY;La Constancia;;
co3679698;co33;CITY;La Cabaña;;
co3681718;co33;CITY;Guadual;;
co3682736;co33;CITY;El Viagual;;
co3682954;co33;CITY;El Tandil;;
co3683791;co33;CITY;El Mincho;;
co3683925;co33;CITY;El Limón;;
co3684005;co33;CITY;El Japón;;
co3684080;co33;CITY;El Hatillo;;
co3684215;co33;CITY;El Engaño;;
co3684286;co33;CITY;El Dintel;;
co3684645;co33;CITY;El Cedro;;
co3684872;co33;CITY;Boquerón;;
co3685019;co33;CITY;El Alcahual;;
co3737723;co33;CITY;La Palma;;
co3737935;co33;CITY;Fundación;;
co3686068;co33;CITY;Estación Colorados;;
co3686598;co33;CITY;Chimbe;;
co3687123;co33;CITY;Caserío de Los Monos;;
co3687895;co33;CITY;Callejones;;
co3688511;co33;CITY;Bremen;;
co3688959;co33;CITY;Bellavista;;
co3689070;co33;CITY;Puente Batatas;;
co3689333;co33;CITY;Bagazal;;
co3689904;co33;CITY;Andalucía;;
co3782137;co33;CITY;Miraflores;;
co3782173;co33;CITY;Palacio;;
co3782329;co33;CITY;Saque;;
co8563522;co33;CITY;La Sonora;;
co8572793;co33;CITY;La Neptuna;;
co3674754;co33;CITY;Minipí de Quijano;;
co3676446;co33;CITY;Loma Larga;;
co3677108;co33;CITY;Las Salinas;;
co3677343;co33;CITY;Las Mercedes;;
co3677543;co33;CITY;La Aguadita;;
co3678029;co33;CITY;Aposentos;;
co3678250;co33;CITY;La Palmera;;
co3678408;co33;CITY;La Mesa;;
co3668083;co33;CITY;Siberia;;
co3668586;co33;CITY;Santander;;
co3668610;co33;CITY;Santa Marta;;
co3671599;co33;CITY;Puente del Común;;
co3679239;co33;CITY;La Ermita;;
co3679264;co33;CITY;La Elba;;
co3679802;co33;CITY;La Balsa;;
co3679847;co33;CITY;La Argentina;;
co3680800;co33;CITY;Honduras;;
co3681521;co33;CITY;Guane;;
co3681813;co33;CITY;Guacamayas;;
co3682009;co33;CITY;Golconda;;
co3682083;co33;CITY;Gazaduje;;
co3683221;co33;CITY;El Retiro;;
co3683290;co33;CITY;El Recreo;;
co3683503;co33;CITY;El Peñón;;
co3684205;co33;CITY;El Escritorio;;
co3684408;co33;CITY;El Curapo;;
co3684500;co33;CITY;El Columpio;;
co3684577;co33;CITY;El Charquito;;
co3684911;co33;CITY;El Barril;;
co3686313;co33;CITY;Chusacá;;
co3686439;co33;CITY;Choapal;;
co3688153;co33;CITY;Cabuyarito;;
co3688590;co33;CITY;Boquerón del Oso;;
co3688591;co33;CITY;Boquerón de Capira;;
co3688958;co33;CITY;Bella Vista;;
co3689259;co33;CITY;Baltimore;;
co3689643;co33;CITY;Arenal Chico;;
co3665529;co33;CITY;Zumbamicos;;
co3665550;co33;CITY;Zelandia;;
co3665694;co33;CITY;Yolombó;;
co3665702;co33;CITY;Yerbabuena;;
co3665703;co33;CITY;Yerbabuena;;
co3665831;co33;CITY;Volcán Negro;;
co3665918;co33;CITY;Villa Rosa;;
co3665927;co33;CITY;Villa Pacelli;;
co3665987;co33;CITY;Villa Hermosa;;
co3666100;co33;CITY;Versalles;;
co3666101;co33;CITY;Versalles;;
co3666113;co33;CITY;Verganzo;;
co12;co;REGION;Córdoba;;
co3674470;co12;CITY;Montelíbano;;
co3672068;co12;CITY;Planeta Rica;;
co3779399;co12;CITY;Canalete;;
co3674569;co12;CITY;Moñitos;;
co3668200;co12;CITY;Sebeche;;
co3671245;co12;CITY;Punta de Yáñez;;
co3671655;co12;CITY;Pueblo Nuevo;;
co3688399;co12;CITY;Buenavista;;
co3665530;co12;CITY;Zumbador;;
co3665943;co12;CITY;Villanueva;;
co3666117;co12;CITY;Verdún;;
co3673124;co12;CITY;Palo de Agua;;
co3674022;co12;CITY;Nariño;;
co3674684;co12;CITY;Misiguay;;
co3675163;co12;CITY;Mata de Caña;;
co3675227;co12;CITY;Marralú;;
co3676053;co12;CITY;Los Mimbres;;
co3676163;co12;CITY;Los Garzones;;
co3676209;co12;CITY;Los Conguitos;;
