CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
km;;COUNTRY;Comoros;;
km01;km;REGION;Anjouan;;
km921664;km01;CITY;Tsimbeo;;
km921675;km01;CITY;Sima;;
km921906;km01;CITY;Domoni;;
km1091401;km01;CITY;Adda-Douéni;;
km921721;km01;CITY;Ouani;;
km1091117;km01;CITY;Mirontsi;;
km921834;km01;CITY;Koni-Djodjo;;
km921655;km01;CITY;Vouani;;
km921703;km01;CITY;Patsi;;
km921726;km01;CITY;Ongoni;;
km921762;km01;CITY;Mrémani;;
km921763;km01;CITY;Mramani;;
km921764;km01;CITY;Moya;;
km921783;km01;CITY;Mjimandra;;
km921784;km01;CITY;Mjamaoué;;
km921814;km01;CITY;Maraharé;;
km921835;km01;CITY;Koni-Ngani;;
km921838;km01;CITY;Koki;;
km921847;km01;CITY;Kangani;;
km921897;km01;CITY;Dziani;;
km921939;km01;CITY;Chironkamba;;
km921946;km01;CITY;Chandra;;
km921957;km01;CITY;Boungouéni;;
km921967;km01;CITY;Bimbini;;
km921992;km01;CITY;Bambao;;
km921996;km01;CITY;Assimpao;;
km921998;km01;CITY;Antsahé;;
km1090930;km01;CITY;Bandajou;;
km1090960;km01;CITY;Chitrouni;;
km1091076;km01;CITY;Hajoho;;
km1091102;km01;CITY;Harembo;;
km1091159;km01;CITY;Limbi;;
km1091370;km01;CITY;Lingoni;;
km1091390;km01;CITY;Magnassini-Nindri;;
km1091436;km01;CITY;Daji;;
km921660;km01;CITY;Vassy;;
km921711;km01;CITY;Ouzini;;
km921746;km01;CITY;Kyo;;
km921851;km01;CITY;Jimilimé;;
km921914;km01;CITY;Dindi;;
km921969;km01;CITY;Bazimini;;
km1090870;km01;CITY;Mirongani;;
km1090918;km01;CITY;Milembéni;;
km1090972;km01;CITY;Salamani;;
km1090973;km01;CITY;Dzindri;;
km1090996;km01;CITY;Dar Salam;;
km921698;km01;CITY;Pomoni;;
km921725;km01;CITY;Ongoujou;;
km921742;km01;CITY;Chaouéni;;
km921728;km01;CITY;Nounga;;
km1090919;km01;CITY;Kavani;;
km1091121;km01;CITY;Pajé;;
km1091384;km01;CITY;Outsa;;
km921712;km01;CITY;Ajaho;;
km921787;km01;CITY;Mirondoni;;
km921813;km01;CITY;Mrijou;;
km921836;km01;CITY;Kondroni;;
km921982;km01;CITY;Bandani-Vouani;;
km921683;km01;CITY;Sanadani;;
km921959;km01;CITY;Bouéjou;;
km1090858;km01;CITY;Ntakoudja;;
km1090862;km01;CITY;Bangouélamvouéra;;
km1090866;km01;CITY;Ntsajou;;
km1090869;km01;CITY;Souni;;
km1090921;km01;CITY;Majouani;;
km1090922;km01;CITY;Mtsangamléni;;
km1090940;km01;CITY;Lamboué;;
km1090944;km01;CITY;Iméré;;
km1090945;km01;CITY;Mro Mouhouli;;
km1090948;km01;CITY;Mitréni;;
km1090952;km01;CITY;Chitsangachélé;;
km1090953;km01;CITY;Vindjajou;;
km1090954;km01;CITY;Mkirijou;;
km1090955;km01;CITY;Sombé;;
km1090956;km01;CITY;Chongochahari;;
km1090965;km01;CITY;Hadongo;;
km1090971;km01;CITY;Dzindri Mtsangani;;
km1090976;km01;CITY;Bandani Mtsangani;;
km1090978;km01;CITY;Maouéni;;
km1090981;km01;CITY;Ankibani;;
km1090988;km01;CITY;Marontronii;;
