CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
cg;;COUNTRY;Congo Republic;;
cg01;cg;REGION;Bouenza;;
cg2259383;cg01;CITY;Kayes;;
cg2257260;cg01;CITY;Mfouati;;
cg2257329;cg01;CITY;Mouyondzi;;
cg2258080;cg01;CITY;Loutété;;
cg2258604;cg01;CITY;Bouansa;;
cg2258247;cg01;CITY;Loudima Gare;;
cg2260748;cg01;CITY;Mbomo II;;
cg2256869;cg01;CITY;Moualou;;
cg2258139;cg01;CITY;Youlou Mayékou;;
cg2258248;cg01;CITY;Loudima;;
cg2259255;cg01;CITY;Kinzambi;;
cg2260001;cg01;CITY;Moubotsi;;
cg2260747;cg01;CITY;Mbomo II;;
cg2260770;cg01;CITY;Boko Songo;;
cg2254823;cg01;CITY;Zabata;;
cg2254989;cg01;CITY;Tsomono;;
cg2255007;cg01;CITY;Tsiangi I;;
cg2255016;cg01;CITY;Tséké-Mpembé;;
cg2261120;cg01;CITY;Bamanganzo;;
cg2255446;cg01;CITY;Pengi;;
cg2255457;cg01;CITY;Nzomosi;;
cg2255479;cg01;CITY;Kimanza Panga;;
cg2255483;cg01;CITY;Pandi I;;
cg2255980;cg01;CITY;Nzasi;;
cg2255985;cg01;CITY;Nzangi;;
cg2256129;cg01;CITY;Nkila-Ntari;;
cg2256237;cg01;CITY;Ngouédi;;
cg2256297;cg01;CITY;Nguiri;;
cg2256571;cg01;CITY;Paka;;
cg2256632;cg01;CITY;Moutéki-Holo;;
cg2256836;cg01;CITY;Moudzanga I;;
cg2257241;cg01;CITY;Madimba;;
cg2257371;cg01;CITY;Mboma;;
cg2257411;cg01;CITY;Mbengo;;
cg2257616;cg01;CITY;Masia;;
cg2257641;cg01;CITY;Massangui;;
cg2257670;cg01;CITY;Kitidi-Tounga;;
cg2257739;cg01;CITY;Mangandza;;
cg2258016;cg01;CITY;Mabombo;;
cg2258891;cg01;CITY;Kisenga;;
cg2258917;cg01;CITY;Kinzaba;;
cg2258926;cg01;CITY;Kinntouari;;
cg2258998;cg01;CITY;Kinguimbi;;
cg2259115;cg01;CITY;Kimpéni;;
cg2259163;cg01;CITY;Kimbonga-Louamba;;
cg2259203;cg01;CITY;Kimanza;;
cg2259476;cg01;CITY;Kibangi;;
cg2260293;cg01;CITY;Doungou I;;
cg2260486;cg01;CITY;Dakar;;
cg2260599;cg01;CITY;Boumbou I;;
cg2260746;cg01;CITY;Bomo II;;
