CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
cr;;COUNTRY;Costa Rica;;
cr04;cr;REGION;Heredia;;
cr3621911;cr04;CITY;San Francisco;;
cr3621967;cr04;CITY;San Antonio;;
cr3622881;cr04;CITY;Mercedes;;
cr3621124;cr04;CITY;Vara Blanca;;
cr3621831;cr04;CITY;San Josecito;;
cr3622016;cr04;CITY;Sacramento;;
cr3623287;cr04;CITY;La Asunción;;
cr9178440;cr04;CITY;Puerto Viejo de Sarapiqui;;
cr3624750;cr04;CITY;Barreal;;
cr3624908;cr04;CITY;Ángeles;;
cr3621515;cr04;CITY;Santo Domingo;;
cr3621516;cr04;CITY;Santo Domingo;;
cr3621683;cr04;CITY;San Rafael;;
cr3621729;cr04;CITY;San Pablo;;
cr3623032;cr04;CITY;Llorente;;
cr3623152;cr04;CITY;Puebla;;
cr3624164;cr04;CITY;Colonia Salvador;;
cr3624733;cr04;CITY;Barva;;
cr3624743;cr04;CITY;Barrio Jesús;;
cr3624809;cr04;CITY;Calle La Labor;;
cr3625008;cr04;CITY;Aeropuerto;;
cr3621137;cr04;CITY;Uvita;;
cr3621735;cr04;CITY;San Miguel Norte;;
cr3621750;cr04;CITY;San Miguel;;
cr3621772;cr04;CITY;San Luis;;
cr3621827;cr04;CITY;San José de la Montaña;;
cr3622062;cr04;CITY;Roble;;
cr3622185;cr04;CITY;Quintana;;
cr3622199;cr04;CITY;Quebradas;;
cr3622615;cr04;CITY;Palmar;;
cr3622786;cr04;CITY;Muelle;;
cr3622820;cr04;CITY;Montero;;
cr3622887;cr04;CITY;Medios;;
cr3623220;cr04;CITY;Lagunilla;;
cr3623497;cr04;CITY;Hacienda Vieja;;
cr3623854;cr04;CITY;El Carbonal;;
cr3624149;cr04;CITY;Común;;
cr3621146;cr04;CITY;Uriche;;
cr3621498;cr04;CITY;Sarapiquí;;
cr3622496;cr04;CITY;Pavas;;
cr3623145;cr04;CITY;La Saca;;
cr3623804;cr04;CITY;El Salvador;;
cr3624696;cr04;CITY;Birrí;;
cr3624752;cr04;CITY;Barrantes;;
cr3621216;cr04;CITY;Trinidad;;
cr3621269;cr04;CITY;Tirimbina;;
cr3621291;cr04;CITY;Tigre;;
cr3621425;cr04;CITY;Socorro;;
cr3621577;cr04;CITY;Santa Lucía;;
cr3621608;cr04;CITY;Santa Cruz;;
cr3621637;cr04;CITY;San Roque;;
cr3621783;cr04;CITY;San Lorenzo;;
cr3621808;cr04;CITY;San Juan Arriba;;
cr3621809;cr04;CITY;San Juan Abajo;;
cr3621832;cr04;CITY;San Josecito;;
cr3621844;cr04;CITY;San José Sur;;
cr3622059;cr04;CITY;Roblealto;;
cr3622134;cr04;CITY;Rinconada;;
cr3622268;cr04;CITY;Pueblo Nuevo;;
cr3622315;cr04;CITY;Porrosatí;;
cr3622385;cr04;CITY;Pitahaya;;
cr3622482;cr04;CITY;Pedregal;;
cr3622519;cr04;CITY;Paso Llano;;
cr3622522;cr04;CITY;Paso Viga;;
cr3622834;cr04;CITY;Montaña Azul;;
cr3623011;cr04;CITY;Los Cartagos;;
cr3623036;cr04;CITY;Llano Grande;;
cr3623154;cr04;CITY;Pitahaya;;
cr3623208;cr04;CITY;Lajas;;
cr3623669;cr04;CITY;Getsemaní;;
cr3623853;cr04;CITY;El Carmen;;
cr3623867;cr04;CITY;Echeverría;;
cr3624168;cr04;CITY;Colonia Carvajal;;
cr3624260;cr04;CITY;Chilamate;;
cr3624283;cr04;CITY;Chagüite;;
cr3624315;cr04;CITY;Ceiba;;
cr3624352;cr04;CITY;Castilla;;
cr3624604;cr04;CITY;Buena Vista;;
cr9858494;cr04;CITY;Canfin;;
cr02;cr;REGION;Cartago;;
cr3622547;cr02;CITY;Paraíso;;
cr3621184;cr02;CITY;Turrialba;;
cr3621224;cr02;CITY;Tres Ríos;;
cr3621265;cr02;CITY;Tobosi;;
cr3622663;cr02;CITY;Orosí;;
cr3621163;cr02;CITY;Ujarrás;;
cr3622466;cr02;CITY;Pejibaye;;
cr3622648;cr02;CITY;Pacayas;;
cr3623112;cr02;CITY;La Suiza;;
cr3624142;cr02;CITY;Concepción;;
cr3624531;cr02;CITY;Cachí;;
cr3624692;cr02;CITY;Birrisito;;
cr3624886;cr02;CITY;Aquiares;;
cr3621200;cr02;CITY;Tucurrique;;
cr3621351;cr02;CITY;Tapantí;;
cr3621793;cr02;CITY;San Juan Sur;;
cr3621796;cr02;CITY;San Juan Norte;;
cr3621806;cr02;CITY;San Juan Chicoá;;
cr3621926;cr02;CITY;San Diego;;
cr3621974;cr02;CITY;San Antonio;;
cr3623209;cr02;CITY;Lajas;;
cr3623346;cr02;CITY;Jicotea;;
cr3624057;cr02;CITY;Cot;;
cr3624102;cr02;CITY;Copalchí;;
cr3624738;cr02;CITY;Barro Morado;;
cr3624891;cr02;CITY;Ánimas;;
cr3621039;cr02;CITY;Yas;;
cr3621150;cr02;CITY;Urasca;;
cr3621304;cr02;CITY;Tierra Blanca;;
cr3621589;cr02;CITY;Santa Elena Arriba;;
cr3622183;cr02;CITY;Quircot;;
cr3622195;cr02;CITY;Quebradilla;;
cr3622350;cr02;CITY;Playa Hermosa;;
cr3622376;cr02;CITY;Plantón;;
cr3622498;cr02;CITY;Pavas;;
cr3622511;cr02;CITY;Pasquí;;
cr3622582;cr02;CITY;Palomo;;
cr3622647;cr02;CITY;Pacayas;;
cr3622690;cr02;CITY;Ochomogo;;
cr3622779;cr02;CITY;Muñeco;;
cr3622801;cr02;CITY;Moravia;;
cr3622872;cr02;CITY;Mesas;;
cr3623037;cr02;CITY;Llano Grande;;
cr3623159;cr02;CITY;La Pastora;;
cr3623680;cr02;CITY;Gato;;
cr3623729;cr02;CITY;Flor;;
cr3623833;cr02;CITY;El Guayabo;;
cr3624230;cr02;CITY;Chiz;;
cr3624291;cr02;CITY;Cervantes;;
cr3624422;cr02;CITY;Capellades;;
cr3624481;cr02;CITY;Canadá;;
cr3624565;cr02;CITY;Caballo Blanco;;
cr3624836;cr02;CITY;Avance;;
cr3622145;cr02;CITY;Retes;;
cr3622206;cr02;CITY;Quebrada Honda;;
cr3623242;cr02;CITY;La Flor;;
cr3623840;cr02;CITY;El Duan;;
cr3624639;cr02;CITY;Boquerón;;
cr3624694;cr02;CITY;Birrís;;
cr3624708;cr02;CITY;Bermejo;;
cr3624754;cr02;CITY;Barrancas;;
cr3624776;cr02;CITY;Banderilla;;
cr3624810;cr02;CITY;Bajo Congo;;
cr3624831;cr02;CITY;Azul;;
cr3624840;cr02;CITY;Atirro;;
cr3624861;cr02;CITY;Arenilla;;
cr3624883;cr02;CITY;Aragón;;
cr3624984;cr02;CITY;Aguas;;
cr3621032;cr02;CITY;Yolanda;;
cr3621052;cr02;CITY;Vueltas;;
cr3621059;cr02;CITY;Volio;;
cr3621080;cr02;CITY;Villa Mills;;
cr3621093;cr02;CITY;Victoria;;
cr3621099;cr02;CITY;Verbena Sur;;
cr3621100;cr02;CITY;Verbena Norte;;
cr3621122;cr02;CITY;Vara de Roble;;
cr3621196;cr02;CITY;Tuis;;
cr3621204;cr02;CITY;Troya;;
cr3621219;cr02;CITY;Trinidad;;
cr3621221;cr02;CITY;Trinidad;;
cr3621227;cr02;CITY;Tres de Junio;;
cr3621258;cr02;CITY;Torito;;
cr3621259;cr02;CITY;Torito;;
cr3621334;cr02;CITY;El Tejar;;
cr3621336;cr02;CITY;Tayutic;;
cr3621337;cr02;CITY;Tausito;;
cr3621339;cr02;CITY;Taus;;
cr3621381;cr02;CITY;Tablón;;
cr3621431;cr02;CITY;Sitio;;
cr3621432;cr02;CITY;Sitio;;
cr3621433;cr02;CITY;Sitio;;
cr3621469;cr02;CITY;Selva;;
cr3621522;cr02;CITY;Santiago del Monte;;
cr3621523;cr02;CITY;Santiago;;
cr3621528;cr02;CITY;Santa Teresa;;
cr3621547;cr02;CITY;Santa Rosa;;
cr3621548;cr02;CITY;Santa Rosa;;
cr3621570;cr02;CITY;Santa María;;
cr3621609;cr02;CITY;Santa Cruz;;
cr3621646;cr02;CITY;San Ramón;;
cr3621690;cr02;CITY;San Rafael;;
cr3621692;cr02;CITY;San Rafael;;
cr3621695;cr02;CITY;San Rafael;;
cr3621696;cr02;CITY;San Rafael;;
cr3621730;cr02;CITY;San Pablo;;
cr3621754;cr02;CITY;San Miguel;;
cr3621759;cr02;CITY;San Martín;;
cr3621792;cr02;CITY;San Juan Sur;;
cr3621795;cr02;CITY;San Juan Norte;;
cr3621867;cr02;CITY;San Jerónimo;;
cr3621885;cr02;CITY;San Isidro;;
cr3621895;cr02;CITY;San Gerardo;;
cr3621915;cr02;CITY;San Francisco;;
cr3621935;cr02;CITY;Sanchirí;;
cr3621969;cr02;CITY;San Antonio;;
cr3622024;cr02;CITY;Sabanilla;;
cr3622052;cr02;CITY;Roncha;;
cr3622097;cr02;CITY;Río Macho;;
