CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
hr;;COUNTRY;Croatia;;
hr21;hr;REGION;City of Zagreb;;
hr3190966;hr21;CITY;Sesvete;;
hr3203344;hr21;CITY;Brezovica;;
hr3209380;hr21;CITY;Stenjevec;;
hr3186941;hr21;CITY;Zadvorsko;;
hr3202934;hr21;CITY;Buzin;;
hr3209379;hr21;CITY;Jankomir;;
hr3196123;hr21;CITY;Lučko;;
hr3198635;hr21;CITY;Ježdovec;;
hr3194216;hr21;CITY;Odra;;
hr3189713;hr21;CITY;Strmec;;
hr3186562;hr21;CITY;Žerjavinec;;
hr3187332;hr21;CITY;Vrapče;;
hr3202717;hr21;CITY;Cerje;;
hr3203486;hr21;CITY;Brebernica;;
hr3203942;hr21;CITY;Blato;;
hr3204872;hr21;CITY;Adamovec;;
hr3216277;hr21;CITY;Blaguša;;
hr3217785;hr21;CITY;Horvati;;
hr3199065;hr21;CITY;Ivanja Reka;;
hr3199222;hr21;CITY;Hudi Bitek;;
hr3199656;hr21;CITY;Grančari;;
hr3200038;hr21;CITY;Sveta Klara;;
hr3200477;hr21;CITY;Goli Breg;;
hr3200979;hr21;CITY;Dumovec;;
hr3201485;hr21;CITY;Donji Dragonožec;;
hr3201496;hr21;CITY;Donji Čehi;;
hr3195822;hr21;CITY;Mala Mlaka;;
hr3196525;hr21;CITY;Lipnica;;
hr3197025;hr21;CITY;Kučilovina;;
hr3198236;hr21;CITY;Kašina;;
hr3198644;hr21;CITY;Jesenovec;;
hr3189935;hr21;CITY;Starjak;;
hr3191255;hr21;CITY;Šašinovec;;
hr6953997;hr21;CITY;Vrbani;;
hr3203620;hr21;CITY;Botinec;;
hr3204306;hr21;CITY;Belovar;;
hr3198920;hr21;CITY;Jakuševec;;
hr3199229;hr21;CITY;Hrvatski Leskovac;;
hr3199320;hr21;CITY;Hrašće Turopoljsko;;
hr3199907;hr21;CITY;Gornji Trpuci;;
hr3201378;hr21;CITY;Donji Trpuci;;
hr3201694;hr21;CITY;Glavnica Donja;;
hr3196003;hr21;CITY;Lužan;;
hr3197395;hr21;CITY;Kraljevec Kupinečki;;
hr3192719;hr21;CITY;Popovec Šašinovečki;;
hr3194258;hr21;CITY;Obrež;;
hr3194437;hr21;CITY;Novaki Kraljevečki;;
hr3190284;hr21;CITY;Špansko;;
hr3199346;hr21;CITY;Horvati;;
hr3197392;hr21;CITY;Sesvetski Kraljevec;;
hr3202308;hr21;CITY;Čučerski Vidovec;;
hr3200963;hr21;CITY;Ðurđekovec;;
hr3195449;hr21;CITY;Markuševečka Trnava;;
hr3195450;hr21;CITY;Markuševečka Dubrava;;
hr3195451;hr21;CITY;Markuševec;;
hr3197960;hr21;CITY;Kobiljak Sesvetski;;
hr3199281;hr21;CITY;Hrelići;;
