CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
cu;;COUNTRY;Cuba;;
cu02;cu;REGION;Havana;;
cu3568342;cu02;CITY;Arroyo Naranjo;;
cu3538803;cu02;CITY;San Miguel del Padrón;;
cu3557846;cu02;CITY;Guanabacoa;;
cu3564436;cu02;CITY;Cerro;;
cu3542502;cu02;CITY;Regla;;
cu3536724;cu02;CITY;Santiago de las Vegas;;
cu3537304;cu02;CITY;Santa María del Mar;;
cu3543244;cu02;CITY;Punta Brava;;
cu3553634;cu02;CITY;Las Guásimas;;
cu3557823;cu02;CITY;Guanabo;;
cu3562426;cu02;CITY;Diezmero;;
cu3563908;cu02;CITY;Cojímar;;
cu3533887;cu02;CITY;Wajay;;
cu3535498;cu02;CITY;Tarará;;
cu3548784;cu02;CITY;Lourdes;;
cu3537740;cu02;CITY;Santa Fé;;
cu3544504;cu02;CITY;Peñas Altas;;
cu3557815;cu02;CITY;Guanabo Viejo;;
cu3534119;cu02;CITY;Vía Nomar;;
cu3541216;cu02;CITY;San Agustín;;
cu3537741;cu02;CITY;Santa Fe;;
cu3538197;cu02;CITY;Santa Amelia;;
cu3542404;cu02;CITY;Santa Isabel;;
cu3542438;cu02;CITY;Celimar;;
cu3546297;cu02;CITY;Murgas;;
cu3548150;cu02;CITY;Managua;;
cu3551099;cu02;CITY;Las Lajas;;
cu3554837;cu02;CITY;Catalina;;
cu3556420;cu02;CITY;Jaimanitas;;
cu3558729;cu02;CITY;Fontanar;;
cu3559874;cu02;CITY;El Rincón;;
cu3561658;cu02;CITY;El Cano;;
cu3561836;cu02;CITY;El Atrevido;;
cu3565562;cu02;CITY;Capdevila;;
cu3565988;cu02;CITY;Cambute;;
cu3566399;cu02;CITY;El Cafetal;;
cu3567420;cu02;CITY;Berenguer;;
cu3567713;cu02;CITY;Barreras;;
cu3567765;cu02;CITY;Barlovento;;
cu3568432;cu02;CITY;Arroyo Arenas;;
cu3534954;cu02;CITY;Trebol;;
cu3760852;cu02;CITY;Frank País;;
cu3760854;cu02;CITY;Sierra Maestra;;
cu3542351;cu02;CITY;Residencial Porta;;
cu3542418;cu02;CITY;Los Cocos;;
cu3542759;cu02;CITY;Rancho Pekita;;
cu3552944;cu02;CITY;La Loma;;
cu3553824;cu02;CITY;La Gallega;;
cu3558381;cu02;CITY;Gavilán;;
cu3563026;cu02;CITY;Cuatro Caminos de Falcón;;
cu3567950;cu02;CITY;Bajurayabo;;
cu3569060;cu02;CITY;Alturas de la Coronela;;
cu3536977;cu02;CITY;Santa Rosa;;
cu3537299;cu02;CITY;Santa María del Rosario;;
cu3539088;cu02;CITY;San Luis;;
cu3540209;cu02;CITY;San Francisco de Paula;;
cu3542354;cu02;CITY;Residencial Guanabacoa;;
cu3542705;cu02;CITY;Raul Suárez;;
cu3542792;cu02;CITY;Rancho Boyeros;;
cu3544509;cu02;CITY;Peñalver;;
cu3544950;cu02;CITY;Pan American;;
cu3546038;cu02;CITY;Neptuno;;
cu3546893;cu02;CITY;Minas;;
cu3547286;cu02;CITY;Mazorra;;
cu3547640;cu02;CITY;Marianao;;
cu3547704;cu02;CITY;María del Carmen;;
cu3547813;cu02;CITY;Marbella;;
cu3548802;cu02;CITY;Lotería;;
cu3549070;cu02;CITY;Los Mangos;;
cu3549614;cu02;CITY;Loma de Tierra;;
cu3549877;cu02;CITY;Libertad;;
cu3550050;cu02;CITY;La Yuca;;
cu3551306;cu02;CITY;Las Delicias;;
cu3553004;cu02;CITY;La Lisa;;
cu3553655;cu02;CITY;La Guarapeta;;
cu3554676;cu02;CITY;La Chata;;
cu3556255;cu02;CITY;Jesús Nazareno;;
cu3558452;cu02;CITY;García;;
cu3560569;cu02;CITY;El Mamey;;
cu3561449;cu02;CITY;El Chorro;;
cu3563039;cu02;CITY;Cuatro Caminos;;
