CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
cy;;COUNTRY;Cyprus;;
cy01;cy;REGION;Ammochostos;;
cy18918;cy01;CITY;Protaras;;
cy146748;cy01;CITY;Ayia Napa;;
cy146105;cy01;CITY;Rizokárpaso;;
cy146154;cy01;CITY;Frénaros;;
cy146209;cy01;CITY;Paralímni;;
cy146391;cy01;CITY;Lefkónoiko;;
cy146661;cy01;CITY;Derýneia;;
cy146842;cy01;CITY;Acherítou;;
cy145955;cy01;CITY;Aigialoúsa;;
cy145999;cy01;CITY;Vothýlakas;;
cy146027;cy01;CITY;Tríkomo;;
cy146049;cy01;CITY;Sýgkrasi;;
cy146053;cy01;CITY;Stýlloi;;
cy146182;cy01;CITY;Perivólia;;
cy146251;cy01;CITY;Orníthi;;
cy146293;cy01;CITY;Monargá;;
cy146336;cy01;CITY;Marathóvounos;;
cy146359;cy01;CITY;Lythrágkomi;;
cy146375;cy01;CITY;Liopétri;;
cy146386;cy01;CITY;Leonariso;;
cy146437;cy01;CITY;Koróveia;;
cy146450;cy01;CITY;Kóma tou Gialoú;;
cy146459;cy01;CITY;Knódara;;
cy146478;cy01;CITY;Koilánemos;;
cy146514;cy01;CITY;Pyrgá;;
cy146592;cy01;CITY;Gýpsou;;
cy146595;cy01;CITY;Goúfes;;
cy146613;cy01;CITY;Gaïdourás;;
cy146685;cy01;CITY;Ágios Geórgios;;
cy146696;cy01;CITY;Ágios Theódoros;;
cy146703;cy01;CITY;Ágios Sérgios;;
cy146720;cy01;CITY;Ágios Charíton;;
cy146725;cy01;CITY;Ágios Iákovos;;
cy146726;cy01;CITY;Ágios Efstáthios;;
cy146731;cy01;CITY;Ágios IIías;;
cy146737;cy01;CITY;Ágios Andrónikos;;
cy146746;cy01;CITY;Agía Triás;;
cy146761;cy01;CITY;Avgórou;;
cy146763;cy01;CITY;Avgolída;;
cy146767;cy01;CITY;Áchna;;
cy146779;cy01;CITY;Áskeia;;
cy146807;cy01;CITY;Afánteia;;
cy19889;cy01;CITY;Ágios Nikólaos;;
cy145967;cy01;CITY;Geráni;;
cy145969;cy01;CITY;Génagra;;
cy145989;cy01;CITY;Vokolída;;
cy145991;cy01;CITY;Vitsáda;;
cy145998;cy01;CITY;Vatilí;;
cy146005;cy01;CITY;Vasíli;;
cy146013;cy01;CITY;Trypiméni;;
cy146044;cy01;CITY;Távrou;;
cy146056;cy01;CITY;Strongylós;;
cy146066;cy01;CITY;Spatharikó;;
cy146068;cy01;CITY;Sotíra;;
cy146078;cy01;CITY;Sínta;;
cy146096;cy01;CITY;Santaláris;;
cy146113;cy01;CITY;Psyllátos;;
cy146122;cy01;CITY;Prastió;;
cy146141;cy01;CITY;Platanissós;;
cy146144;cy01;CITY;Platáni;;
cy146157;cy01;CITY;Flamoúdi;;
cy146186;cy01;CITY;Peristeróna;;
cy146202;cy01;CITY;Patríki;;
cy146248;cy01;CITY;Óvgoros;;
cy146269;cy01;CITY;Néta;;
cy146279;cy01;CITY;Mousoulíta;;
cy146300;cy01;CITY;Miliá;;
cy146309;cy01;CITY;Mersinníki;;
cy146338;cy01;CITY;Marátha;;
cy146342;cy01;CITY;Mándres;;
cy146348;cy01;CITY;Meloúnta;;
cy146352;cy01;CITY;Makrásyka;;
cy146361;cy01;CITY;Lýsi;;
cy146370;cy01;CITY;Livádia;;
cy146380;cy01;CITY;Limniá;;
cy146405;cy01;CITY;Lápathos;;
cy146425;cy01;CITY;Krídeia;;
cy146433;cy01;CITY;Koúklia;;
cy146440;cy01;CITY;Kornókipos;;
cy146448;cy01;CITY;Kontéa;;
cy146449;cy01;CITY;Kómi;;
cy146555;cy01;CITY;Kantára;;
cy146568;cy01;CITY;Kalopsída;;
cy146603;cy01;CITY;Gastriá;;
cy146608;cy01;CITY;Galinóporni;;
cy146610;cy01;CITY;Galáteia;;
cy146635;cy01;CITY;Eptakómi;;
cy146638;cy01;CITY;Égkomi;;
cy146665;cy01;CITY;Davlós;;
cy146674;cy01;CITY;Kiádos;;
cy146677;cy01;CITY;Bogázi;;
cy146701;cy01;CITY;Ágios Symeón;;
cy146708;cy01;CITY;Ágios Nikólaos;;
cy146736;cy01;CITY;Ágios Andrónikos;;
