CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
cz;;COUNTRY;Czechia;;
cz85;cz;REGION;Moravskoslezský;;
cz3068927;cz85;CITY;Opava;;
cz3076127;cz85;CITY;Frýdek-Místek;;
cz3073789;cz85;CITY;Karviná;;
cz3068873;cz85;CITY;Orlová;;
cz3072656;cz85;CITY;Krnov;;
cz3073254;cz85;CITY;Kopřivnice;;
cz3064000;cz85;CITY;Třinec;;
cz3074593;cz85;CITY;Jablunkov;;
cz3075716;cz85;CITY;Hlučín;;
cz3076116;cz85;CITY;Fulnek;;
cz3076123;cz85;CITY;Frýdlant nad Ostravicí;;
cz3076132;cz85;CITY;Frenštát pod Radhoštěm;;
cz3067544;cz85;CITY;Příbor;;
cz3069059;cz85;CITY;Oldřišov;;
cz3064807;cz85;CITY;Studénka;;
cz3062446;cz85;CITY;Vrbno pod Pradědem;;
cz3077665;cz85;CITY;Chotěbuz;;
cz3078545;cz85;CITY;Bruntál;;
cz3079129;cz85;CITY;Bohumín;;
cz3073599;cz85;CITY;Klimkovice;;
cz3074099;cz85;CITY;Jistebník;;
cz3074280;cz85;CITY;Jeseník nad Odrou;;
cz3074577;cz85;CITY;Jakartovice;;
cz3074733;cz85;CITY;Hukvaldy;;
cz3074955;cz85;CITY;Hrádek;;
cz3074975;cz85;CITY;Hradec nad Moravicí;;
cz3075005;cz85;CITY;Hrabyně;;
cz3075187;cz85;CITY;Horní Suchá;;
cz3075296;cz85;CITY;Horní Město;;
cz3075447;cz85;CITY;Horní Bludovice;;
cz3075451;cz85;CITY;Horní Benešov;;
cz3075620;cz85;CITY;Holasovice;;
cz3075643;cz85;CITY;Hodslavice;;
cz3075684;cz85;CITY;Hnojník;;
cz3075691;cz85;CITY;Hněvošice;;
cz3076001;cz85;CITY;Háj ve Slezsku;;
cz3076129;cz85;CITY;Fryčovice;;
cz3076284;cz85;CITY;Dvorce;;
cz3076555;cz85;CITY;Doubrava;;
cz3076621;cz85;CITY;Dolní Životice;;
cz3076777;cz85;CITY;Dolní Lutyně;;
cz3076931;cz85;CITY;Dolní Benešov;;
cz3066763;cz85;CITY;Ropice;;
cz3066917;cz85;CITY;Řepiště;;
cz3067023;cz85;CITY;Raškovice;;
cz3067324;cz85;CITY;Pustá Polom;;
cz3067660;cz85;CITY;Pražmo;;
cz3068292;cz85;CITY;Písek;;
cz3068329;cz85;CITY;Petřvald;;
cz3068330;cz85;CITY;Petřvald;;
cz3068345;cz85;CITY;Petrovice u Karviné;;
