CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
cd;;COUNTRY;DR Congo;;
cd06;cd;REGION;Kinshasa;;
cd2593460;cd06;CITY;Masina;;
cd2314498;cd06;CITY;Kimwenza;;
cd2593464;cd06;CITY;Ndjili;;
cd8449787;cd06;CITY;Ngiri-Ngiri;;
cd10048912;cd06;CITY;Lingwala;;
cd11185805;cd06;CITY;Maluku;;
cd10941910;cd06;CITY;Lemba;;
cd2311640;cd06;CITY;Rifflart;;
cd2312102;cd06;CITY;Ndjili;;
cd2314689;cd06;CITY;Kilembo Première;;
cd2314869;cd06;CITY;Kibanseke Première;;
cd2315811;cd06;CITY;Franqueti;;
cd2314515;cd06;CITY;Kimpoko-Nsele;;
cd2311668;cd06;CITY;Poko-Polo;;
cd2311677;cd06;CITY;Pongwene;;
cd2312815;cd06;CITY;Menkaw;;
cd2313105;cd06;CITY;Mambutu;;
cd2314291;cd06;CITY;Kinsuka;;
cd2314306;cd06;CITY;Kinsale;;
cd2314441;cd06;CITY;Kindunu;;
cd2315284;cd06;CITY;Kabango;;
cd2315420;cd06;CITY;Inkieme;;
cd2315421;cd06;CITY;Inkieme;;
cd2317054;cd06;CITY;Mai-Ndombe;;
cd2593318;cd06;CITY;Mwana Nsundi;;
cd2593472;cd06;CITY;Manieu;;
cd2593481;cd06;CITY;Lehilo;;
cd8432475;cd06;CITY;Nguma;;
cd14;cd;REGION;Haut-Katanga;;
cd922741;cd14;CITY;Likasi;;
cd922806;cd14;CITY;Kipushi;;
cd922938;cd14;CITY;Katanga Province;;
cd923058;cd14;CITY;Kambove;;
cd214188;cd14;CITY;Kapulo;;
cd217015;cd14;CITY;Dubie;;
cd208664;cd14;CITY;Mapulu;;
cd206113;cd14;CITY;Pweto;;
cd922162;cd14;CITY;Shinkolobwe;;
cd922245;cd14;CITY;Sakania;;
cd922369;cd14;CITY;Mwadingusha;;
cd922459;cd14;CITY;Mulungwishi;;
cd922944;cd14;CITY;Kasumbalesa;;
cd212986;cd14;CITY;Kilwa-Mishiko;;
cd213214;cd14;CITY;Kifunge;;
cd213267;cd14;CITY;Kibola;;
cd213920;cd14;CITY;Kasongo-Mwana;;
cd214711;cd14;CITY;Kamuniefu;;
cd214941;cd14;CITY;Kalera;;
cd206384;cd14;CITY;Paza;;
cd207804;cd14;CITY;Mutoto Première;;
cd208130;cd14;CITY;Mumpundja;;
cd208990;cd14;CITY;Mobansa;;
cd209922;cd14;CITY;Kindi-Makumbo;;
cd212494;cd14;CITY;Kisabi;;
cd212741;cd14;CITY;Kisandji;;
cd922168;cd14;CITY;Tshibambo;;
cd922309;cd14;CITY;Ngale;;
cd922496;cd14;CITY;Mulando;;
cd922568;cd14;CITY;Milemba Fisonga;;
cd922822;cd14;CITY;Kiniama;;
cd922838;cd14;CITY;Kilembwe;;
cd922856;cd14;CITY;Kembe;;
cd922992;cd14;CITY;Kaponda;;
cd923021;cd14;CITY;Kanoni;;
cd923130;cd14;CITY;Katubu;;
cd923192;cd14;CITY;Étoile;;
cd212898;cd14;CITY;Kinengo-Mutembo;;
cd212937;cd14;CITY;Kimpalapata;;
cd213015;cd14;CITY;Kilongo;;
cd213244;cd14;CITY;Kibuzi;;
cd213245;cd14;CITY;Kibuzi;;
cd213325;cd14;CITY;Kibango;;
cd213402;cd14;CITY;Kialwa;;
cd213417;cd14;CITY;Kiakalamu;;
cd213825;cd14;CITY;Katanti;;
cd213998;cd14;CITY;Kashobwe;;
cd214117;cd14;CITY;Kasamba;;
cd214176;cd14;CITY;Kawasa;;
cd214237;cd14;CITY;Kapela;;
cd214376;cd14;CITY;Kaniepa;;
cd214565;cd14;CITY;Kamponge;;
cd214702;cd14;CITY;Kamatanta;;
cd215051;cd14;CITY;Kalalangombe;;
cd215115;cd14;CITY;Kakosi;;
cd215439;cd14;CITY;Kabula;;
cd215472;cd14;CITY;Kabango;;
cd215628;cd14;CITY;Kabenge;;
cd219200;cd14;CITY;Benpe;;
cd207102;cd14;CITY;Ngwena;;
cd207495;cd14;CITY;Mwula;;
cd207524;cd14;CITY;Mwepu-Kenkele;;
cd207826;cd14;CITY;Mutiti;;
cd207906;cd14;CITY;Musomali;;
cd207935;cd14;CITY;Musisa;;
cd207964;cd14;CITY;Musenge;;
cd209350;cd14;CITY;Mayombo;;
cd210094;cd14;CITY;Mafuto;;
cd211154;cd14;CITY;Luanza;;
cd211706;cd14;CITY;Luiba;;
cd212371;cd14;CITY;Kongu;;
cd212490;cd14;CITY;Kizembe;;
cd212538;cd14;CITY;Kituntuka;;
cd212633;cd14;CITY;Kitanda;;
cd212844;cd14;CITY;Kinwa;;
cd203203;cd14;CITY;Zwiba-Kafungo;;
cd205219;cd14;CITY;Tembe-Tembe;;
cd206123;cd14;CITY;Pwaki;;
cd206189;cd14;CITY;Pango;;
cd922027;cd14;CITY;Wapitanga;;
cd922068;cd14;CITY;Tshinsenda;;
cd922122;cd14;CITY;Tenki;;
cd922138;cd14;CITY;Swana-Mume;;
cd922163;cd14;CITY;Shingana;;
cd922172;cd14;CITY;Seutele;;
cd922190;cd14;CITY;Sapwe;;
cd922273;cd14;CITY;Pitamenda;;
cd922285;cd14;CITY;Pande;;
cd922295;cd14;CITY;Kyavikungu;;
cd922298;cd14;CITY;Konko;;
cd922307;cd14;CITY;Geleka;;
cd922308;cd14;CITY;Ngalu;;
cd922329;cd14;CITY;Kavalo;;
cd922330;cd14;CITY;Menge;;
cd922353;cd14;CITY;Mwashya;;
cd922386;cd14;CITY;Mututa;;
cd922427;cd14;CITY;Mushikatala;;
cd922455;cd14;CITY;Mumakazuba;;
cd922464;cd14;CITY;Mulumbanana;;
cd922468;cd14;CITY;Muluka;;
cd922485;cd14;CITY;Mulola;;
cd922497;cd14;CITY;Mulandi;;
cd922509;cd14;CITY;Mukutwa;;
cd922533;cd14;CITY;Mufunta;;
cd922576;cd14;CITY;Mathen;;
cd922601;cd14;CITY;Malambwe;;
cd922632;cd14;CITY;Lusambo;;
cd922638;cd14;CITY;Lupembe-Kaponda;;
cd922640;cd14;CITY;Lupashia;;
cd922657;cd14;CITY;Lumata;;
cd922662;cd14;CITY;Lukuni;;
