CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
do;;COUNTRY;Dominican Republic;;
do37;do;REGION;Santo Domingo;;
do7874116;do37;CITY;Santo Domingo Oeste;;
do3496890;do37;CITY;Manoguayabo;;
do3499489;do37;CITY;Los Alcarrizos;;
do3499941;do37;CITY;La Victoria;;
do3502287;do37;CITY;La Isabela;;
do3503380;do37;CITY;La Caleta;;
do3491922;do37;CITY;Villa Mella;;
do3493131;do37;CITY;San Isidro;;
do3493184;do37;CITY;San Diego;;
do3495118;do37;CITY;Pedro Brand;;
do3497029;do37;CITY;Mamey Macho;;
do3501550;do37;CITY;La Muelle;;
do3502115;do37;CITY;La Jina;;
do3503246;do37;CITY;La Ceiba;;
do3504604;do37;CITY;Higüero;;
do3504770;do37;CITY;Hato de Yacó;;
do3504829;do37;CITY;Haina Arriba;;
do3506163;do37;CITY;El Sordo;;
do3507769;do37;CITY;El Cruce;;
do3507875;do37;CITY;El Coco de Pedro Brand;;
do3493399;do37;CITY;Sabaneta;;
do3509293;do37;CITY;Córcoba;;
do3513008;do37;CITY;Aguacate;;
do3495134;do37;CITY;Pedregal;;
do3495265;do37;CITY;Paredón;;
do3495642;do37;CITY;Palamar;;
do3496634;do37;CITY;Mata de San Juan;;
do3497042;do37;CITY;Mamey;;
do3498058;do37;CITY;Los Minas;;
do3498192;do37;CITY;Los Llanos;;
do3499236;do37;CITY;Los Botados;;
do3500297;do37;CITY;Las Parras;;
do3500934;do37;CITY;La Rusia;;
do3501022;do37;CITY;La Rafaela;;
do3501069;do37;CITY;La Primavera;;
do3501092;do37;CITY;La Pomarrosa;;
do3501433;do37;CITY;La Palmilla;;
do3502117;do37;CITY;La Jina;;
do3502325;do37;CITY;La Hondonada;;
do3502828;do37;CITY;La Culebra;;
do3502990;do37;CITY;La Cortadera;;
do3503096;do37;CITY;La Ciénaga;;
do3503307;do37;CITY;La Caoba;;
do3503369;do37;CITY;La Cana;;
do3503487;do37;CITY;La Boruga;;
do3503580;do37;CITY;La Berroa;;
do3503598;do37;CITY;La Batata;;
do3503801;do37;CITY;Jubey;;
do3504553;do37;CITY;Hojas Anchas;;
do3505753;do37;CITY;Ferragú;;
do3506658;do37;CITY;El Paredón;;
do3507030;do37;CITY;El Mamón;;
do3507053;do37;CITY;El Mamey;;
do3507203;do37;CITY;El Jobo de Suardí;;
do3507719;do37;CITY;El Dajao;;
do3507960;do37;CITY;El Chaparral;;
do3508268;do37;CITY;El Cachón;;
do3508275;do37;CITY;El Cachimbo;;
do3508340;do37;CITY;El Bonito;;
do3508406;do37;CITY;El Barrero;;
do3491804;do37;CITY;Yaguaza;;
do3492020;do37;CITY;Victorino;;
do3492155;do37;CITY;Valiente;;
do3492285;do37;CITY;Tosa;;
do3492524;do37;CITY;Tamarindo del Norte;;
do3493050;do37;CITY;San Miguel;;
do3493102;do37;CITY;San José de Mendoza;;
do3493124;do37;CITY;San Joaquín;;
do3493509;do37;CITY;Sabana en Medio;;
do3493833;do37;CITY;Rincón de Yacó;;
do3509011;do37;CITY;Cuevas;;
do3509012;do37;CITY;Cuevas;;
do3509059;do37;CITY;Cuenca;;
do3510871;do37;CITY;Cabreto;;
do3511616;do37;CITY;Bayona;;
do3512399;do37;CITY;Arroyo Indio;;
do3512949;do37;CITY;Agua del Rey;;
do3495315;do37;CITY;Pantaleón;;
do3495489;do37;CITY;Palmarjito;;
