CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
ec;;COUNTRY;Ecuador;;
ec14;ec;REGION;Manabí;;
ec3654410;ec14;CITY;Manta;;
ec3660401;ec14;CITY;Bahía de Caráquez;;
ec3654055;ec14;CITY;Montecristi;;
ec3655446;ec14;CITY;Jipijapa;;
ec3659139;ec14;CITY;Chone;;
ec3659926;ec14;CITY;Calceta;;
ec3650554;ec14;CITY;Tosagua;;
ec3650960;ec14;CITY;Sucre;;
ec3652315;ec14;CITY;Rocafuerte;;
ec3653307;ec14;CITY;Pedernales;;
ec3652731;ec14;CITY;Puerto López;;
ec3652749;ec14;CITY;Puerto Cayo;;
ec3653220;ec14;CITY;Picoazá;;
ec3653226;ec14;CITY;Pichincha;;
ec3655522;ec14;CITY;Jama;;
ec3659801;ec14;CITY;Canoa;;
ec3660598;ec14;CITY;Anona;;
ec3660868;ec14;CITY;Agua Blanca;;
ec3651495;ec14;CITY;Santa Ana;;
ec3651953;ec14;CITY;San Clemente;;
ec3652123;ec14;CITY;Salango;;
ec3653293;ec14;CITY;Pedro Pablo Gómez;;
ec3655306;ec14;CITY;San Juan de Manta;;
ec3655374;ec14;CITY;El Jurón;;
ec3655385;ec14;CITY;Junín;;
ec3655439;ec14;CITY;Joaz;;
ec3655782;ec14;CITY;Honorato Vásquez;;
ec3657919;ec14;CITY;Flavio Alfaro;;
ec3658127;ec14;CITY;El Resbalón;;
ec3658162;ec14;CITY;El Polo;;
ec3659003;ec14;CITY;Hacienda Cuaque;;
ec3660010;ec14;CITY;Cabuyal;;
ec3660089;ec14;CITY;Los Bravos Grandes;;
ec3653003;ec14;CITY;Pocita;;
ec3660163;ec14;CITY;Boca de Briceño;;
ec3652736;ec14;CITY;Larrea;;
ec3652792;ec14;CITY;Pueblo Viejo;;
ec3653099;ec14;CITY;San Miguel de Piquigua;;
ec3653204;ec14;CITY;Las Piedras;;
ec3653422;ec14;CITY;Páramo;;
ec3653500;ec14;CITY;Pimpiguasi;;
ec3653609;ec14;CITY;Paján;;
ec3653650;ec14;CITY;Pachinche Afuera;;
ec3653885;ec14;CITY;Naranjada;;
ec3654442;ec14;CITY;Manantiales;;
ec3654610;ec14;CITY;Los Liberales;;
ec3654619;ec14;CITY;Los Camarones;;
ec3654672;ec14;CITY;Lodana;;
ec3654919;ec14;CITY;Las Mercedes Número Uno;;
ec3654977;ec14;CITY;Lascano;;
ec3655057;ec14;CITY;La Palma;;
ec3655060;ec14;CITY;La Palanca;;
ec3655167;ec14;CITY;Hacienda La Habana;;
ec3655217;ec14;CITY;La Estancilla;;
ec3655228;ec14;CITY;La Esperanza;;
ec3655348;ec14;CITY;La Balsa;;
ec3655502;ec14;CITY;Jaramijó;;
ec3657957;ec14;CITY;Estancias Viejas;;
ec3658120;ec14;CITY;El Rosario;;
ec3658122;ec14;CITY;El Rosario;;
ec3658184;ec14;CITY;El Paraíso;;
ec3658194;ec14;CITY;Eloy Alfaro;;
ec3658210;ec14;CITY;Monos;;
ec3658220;ec14;CITY;El Mate;;
ec3658315;ec14;CITY;El Cerro;;
ec3658336;ec14;CITY;El Carmen;;
ec3658373;ec14;CITY;El Arroyo;;
ec3658380;ec14;CITY;El Anegado;;
ec3658387;ec14;CITY;El Aguacate;;
ec3658437;ec14;CITY;Don Juan;;
ec3658742;ec14;CITY;Crucita;;
ec3658968;ec14;CITY;Cojimíes;;
ec3659028;ec14;CITY;Ciénega;;
ec3659164;ec14;CITY;Chita Abajo;;
ec3659443;ec14;CITY;Chamucame en Medio;;
ec3659780;ec14;CITY;Canuto;;
ec3659842;ec14;CITY;Cañas;;
ec3659861;ec14;CITY;Campozano;;
ec3660116;ec14;CITY;Bonce Afuera;;
ec3660548;ec14;CITY;Arrastradero;;
ec3660645;ec14;CITY;Andarriales;;
ec3660899;ec14;CITY;Calderón;;
ec3650679;ec14;CITY;Los Tigres;;
ec3652918;ec14;CITY;Potrero de la Virgen;;
ec3653387;ec14;CITY;Pata de Pájaro;;
ec3653468;ec14;CITY;Paniagua;;
ec3653791;ec14;CITY;Novillo;;
ec3654884;ec14;CITY;Las Piñas;;
ec3654950;ec14;CITY;Las Guabas;;
ec3655252;ec14;CITY;La Delicia;;
ec3655259;ec14;CITY;La Cucaracha;;
ec3655579;ec14;CITY;Isabel;;
ec3658183;ec14;CITY;El Paraíso;;
ec3658343;ec14;CITY;El Callejón;;
ec3658453;ec14;CITY;Diez de Agosto;;
ec3659282;ec14;CITY;Chila;;
ec3659633;ec14;CITY;Cascol;;
ec3660458;ec14;CITY;Ayampe;;
ec3660551;ec14;CITY;Aromo;;
ec3650969;ec14;CITY;Sube y Baja;;
ec3745531;ec14;CITY;Filan Banco;;
ec3652634;ec14;CITY;Punta de Piedra;;
ec3652709;ec14;CITY;Puerto Rico;;
ec3652754;ec14;CITY;Puerto Cabuyal;;
ec3652797;ec14;CITY;Pueblo Nuevo;;
ec3652798;ec14;CITY;Pueblo Nuevo;;
ec3652802;ec14;CITY;Pueblito;;
ec3652893;ec14;CITY;Prócel;;
ec3652938;ec14;CITY;Porvenir;;
ec3653086;ec14;CITY;Piojo;;
ec3653165;ec14;CITY;Piles;;
ec3653282;ec14;CITY;Peludo;;
ec3653325;ec14;CITY;Pavón;;
ec3653562;ec14;CITY;Palmar;;
ec3653643;ec14;CITY;Pacoche;;
ec3653653;ec14;CITY;Pacheco;;
ec3653735;ec14;CITY;Olmedo;;
ec3653784;ec14;CITY;Nueva Delicia;;
ec3653806;ec14;CITY;Noboa;;
ec3653869;ec14;CITY;Naranjo;;
ec3653886;ec14;CITY;Naranja;;
ec3653892;ec14;CITY;Napo;;
ec3653976;ec14;CITY;Muchiquito;;
ec3653990;ec14;CITY;Motete;;
ec3654060;ec14;CITY;Montañita;;
ec3654169;ec14;CITY;Mirador;;
ec3654254;ec14;CITY;Membrillo;;
ec3654255;ec14;CITY;Membrillal;;
ec3654289;ec14;CITY;Matapalo;;
ec3654339;ec14;CITY;María Pinto;;
ec3654493;ec14;CITY;Maicito;;
ec3654507;ec14;CITY;Madera;;
ec3654529;ec14;CITY;Machalilla;;
ec3654596;ec14;CITY;Los Pozos;;
ec3654758;ec14;CITY;Limón;;
ec3654818;ec14;CITY;La Victoria;;
ec3654848;ec14;CITY;La Unión;;
