CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
eg;;COUNTRY;Egypt;;
eg05;eg;REGION;Gharbia;;
eg360829;eg05;CITY;Al Maḩallah al Kubrá;;
eg346030;eg05;CITY;Zefta;;
eg349715;eg05;CITY;Samannūd;;
eg354365;eg05;CITY;Kafr az Zayyāt;;
eg358970;eg05;CITY;Basyūn;;
eg349983;eg05;CITY;Sais;;
eg350376;eg05;CITY;Quţūr;;
eg355575;eg05;CITY;Ikwat al Ḩişşah;;
eg360152;eg05;CITY;Ar Rāhibayn;;
eg347185;eg05;CITY;Ţuraynah;;
eg347223;eg05;CITY;Minyat Ţūkh;;
eg347679;eg05;CITY;Tafahnā al ‘Izab;;
eg347744;eg05;CITY;Sunbāţ;;
eg347954;eg05;CITY;Sijīn al Kawm;;
eg349649;eg05;CITY;Sandabasţ;;
eg349782;eg05;CITY;Salāmūn;;
eg349880;eg05;CITY;Şafţ Turāb;;
eg351033;eg05;CITY;Nimrat al Başal;;
eg351396;eg05;CITY;Najrīj;;
eg352166;eg05;CITY;Mīt Ḩubaysh al Qiblīyah;;
eg352212;eg05;CITY;An Nāşirīyah;;
eg352219;eg05;CITY;Minyat al Mubāshirīn;;
eg352221;eg05;CITY;Mīt al Layt Hāshim;;
eg352222;eg05;CITY;Mīt al Layt;;
eg352348;eg05;CITY;Minyat al Bandarah;;
eg352362;eg05;CITY;Munsha’at Sulaymān;;
eg352378;eg05;CITY;Munsha’at Naz̧īf;;
eg352866;eg05;CITY;Manshīyat Ţunbārah;;
eg352886;eg05;CITY;Manshīyat al Awqāf;;
eg353115;eg05;CITY;Maḩallat Zayyād;;
eg353121;eg05;CITY;Maḩallat Rawḩ;;
eg353126;eg05;CITY;Maḩallat Misīr;;
eg353133;eg05;CITY;Maḩallat Ḩasan;;
eg353145;eg05;CITY;Maḩallat Abū ‘Alī al Qanţarah;;
eg354082;eg05;CITY;Kafr Shubrā al Yaman;;
eg354134;eg05;CITY;Kafr Qurayţinah;;
eg354204;eg05;CITY;Kafr Maḩallat Masīr;;
eg354271;eg05;CITY;Ḩānūt;;
eg354420;eg05;CITY;Kafr as Sinādiyah;;
eg354432;eg05;CITY;Kafr aş Şārim al Qiblī;;
eg354442;eg05;CITY;Kafr as Sāḩil;;
eg354473;eg05;CITY;Kafr ash Shaykh Salīm;;
eg354620;eg05;CITY;Kafr al Jibālīyah;;
eg354758;eg05;CITY;Kafr al ‘Abāyidah;;
eg354767;eg05;CITY;Kafr ad Dīb;;
eg358096;eg05;CITY;Diyarb Hāshim;;
eg358432;eg05;CITY;Damrū;;
eg359849;eg05;CITY;As Sanţah;;
eg360035;eg05;CITY;Ash Shahīdī;;
eg360146;eg05;CITY;Ar Rajdīyah;;
eg360339;eg05;CITY;An Nāwiyah;;
eg360493;eg05;CITY;Al ‘Uthmānīyah;;
