CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
gq;;COUNTRY;Equatorial Guinea;;
gq09;gq;REGION;Wele-Nzas;;
gq2310309;gq09;CITY;Añisoc;;
gq2310547;gq09;CITY;Aconibe;;
gq2307145;gq09;CITY;Nsok;;
gq2309989;gq09;CITY;Mengomeyén;;
gq2310134;gq09;CITY;Ayene;;
gq2306898;gq09;CITY;Oyala;;
gq04;gq;REGION;Bioko Norte;;
gq2306824;gq04;CITY;Rebola;;
gq2306722;gq04;CITY;Santiago de Baney;;
gq2309529;gq04;CITY;Ciudad de Ela Nguema;;
gq2309443;gq04;CITY;Cupapa;;
gq2306468;gq04;CITY;Zaragoza;;
gq07;gq;REGION;Kié-Ntem;;
gq2307970;gq07;CITY;Mikomeseng;;
gq2307197;gq07;CITY;Nsang;;
gq2307502;gq07;CITY;Ncue;;
gq2307148;gq07;CITY;Nsogoboot;;
gq2307913;gq07;CITY;Misáa;;
gq2309842;gq07;CITY;Bilon;;
gq2310628;gq07;CITY;Acam;;
gq2307871;gq07;CITY;Mocoa;;
gq06;gq;REGION;Centro Sur;;
gq2310533;gq06;CITY;Acurenam;;
gq2309890;gq06;CITY;Bicurga;;
gq08;gq;REGION;Litoral;;
gq2306819;gq08;CITY;Río Campo;;
gq2308278;gq08;CITY;Mbini;;
gq2308626;gq08;CITY;Machinda;;
gq2309516;gq08;CITY;Cogo;;
gq2309744;gq08;CITY;Bitica;;
gq2307330;gq08;CITY;Ngonemanga;;
gq2310168;gq08;CITY;Ayaantang;;
gq2307872;gq08;CITY;Mocoa;;
gq00;gq;REGION;;;
gq2306701;gq00;CITY;Sevilla de Niefang;;
gq2306708;gq00;CITY;Senye;;
gq2306773;gq00;CITY;San Antonio de Ureca;;
gq2307179;gq00;CITY;Nsemensoc;;
gq2307247;gq00;CITY;Nkimi;;
gq2308247;gq00;CITY;Mbonda;;
gq2308898;gq00;CITY;Gobe;;
gq2309160;gq00;CITY;Elonguambane;;
gq2309242;gq00;CITY;Ecuco;;
gq2309680;gq00;CITY;Bolondo;;
gq2309860;gq00;CITY;Bilelipa;;
gq2310010;gq00;CITY;Belebú Balachá;;
gq2310049;gq00;CITY;Basupú;;
gq2310077;gq00;CITY;Baó Grande;;
gq2310604;gq00;CITY;Acoacan;;
gq2310640;gq00;CITY;Acalayong;;
gq2310736;gq00;CITY;Abanayop;;
gq2310745;gq00;CITY;Abaamang;;
gq2306550;gq00;CITY;Utonde;;
gq2306802;gq00;CITY;Ruiché;;
gq2306905;gq00;CITY;Ovengasem;;
gq2306971;gq00;CITY;Osonengo;;
gq2307040;gq00;CITY;Oduma;;
gq2307056;gq00;CITY;Ocola;;
gq2307101;gq00;CITY;Nume;;
gq2307176;gq00;CITY;Nsengamvoa;;
gq2307213;gq00;CITY;Nonkieñ;;
gq2307225;gq00;CITY;Noayong;;
gq2307264;gq00;CITY;Niefang;;
gq2307285;gq00;CITY;Nguolensoc;;
gq2307430;gq00;CITY;Nduma;;
gq2307467;gq00;CITY;Ndangueng;;
gq2307484;gq00;CITY;Ncumesong;;
gq2307538;gq00;CITY;Ncolete;;
gq2307541;gq00;CITY;Ncolamvan;;
gq2307574;gq00;CITY;Ncoanen;;
gq2307628;gq00;CITY;Ncama;;
gq2307706;gq00;CITY;Mvang;;
gq2307749;gq00;CITY;Motup;;
gq2307853;gq00;CITY;Moconaman;;
gq2307889;gq00;CITY;Miuma;;
gq2307908;gq00;CITY;Miselgue;;
gq2307989;gq00;CITY;Midyobo;;
gq2308001;gq00;CITY;Midumo;;
gq2308042;gq00;CITY;Mibam;;
gq2308176;gq00;CITY;Melen;;
gq2308310;gq00;CITY;Mbe;;
gq2308432;gq00;CITY;Maseng;;
gq2308589;gq00;CITY;Maconanam;;
gq2308860;gq00;CITY;Ibenga;;
gq2308965;gq00;CITY;Eyamoyong;;
gq2308980;gq00;CITY;Evongo;;
gq2309117;gq00;CITY;Enoc;;
gq2309169;gq00;CITY;Elon;;
gq2309249;gq00;CITY;Ecuamayene;;
gq2309265;gq00;CITY;Ecoguon;;
gq2309300;gq00;CITY;Ebongle;;
gq2309301;gq00;CITY;Ebomncu;;
gq2309351;gq00;CITY;Ebanguesimba;;
gq2309450;gq00;CITY;Cumangul;;
gq2309569;gq00;CITY;Camferec;;
gq2309671;gq00;CITY;Bomudi;;
gq2309684;gq00;CITY;Boloco;;
gq2309701;gq00;CITY;Bohé;;
gq2309704;gq00;CITY;Boemeriba;;
gq2310019;gq00;CITY;Bedumo;;
gq2310020;gq00;CITY;Bedubu;;
gq2310026;gq00;CITY;Bebulu;;
gq2310057;gq00;CITY;Basilé;;
gq2310065;gq00;CITY;Basacato del Oeste;;
gq2310190;gq00;CITY;Avangnam;;
gq2310247;gq00;CITY;Asoc;;
gq2310459;gq00;CITY;Afommanchim;;
gq2310476;gq00;CITY;Afabitom;;
gq2310551;gq00;CITY;Aconekie;;
gq2310602;gq00;CITY;Acoaesakira;;
gq2310624;gq00;CITY;Acanabor;;
gq2308034;gq00;CITY;Mibonde;;
gq2308312;gq00;CITY;Mbaseng;;
gq2308995;gq00;CITY;Evinayong;;
gq2309649;gq00;CITY;Bonyaambe;;
gq2306474;gq00;CITY;Yube;;
gq2306485;gq00;CITY;Yobete;;
gq2306495;gq00;CITY;Yenge;;
gq2306511;gq00;CITY;Yama;;
gq2306513;gq00;CITY;Yagoebuma;;
gq2306632;gq00;CITY;Tica;;
gq2306639;gq00;CITY;Tepé;;
gq2306642;gq00;CITY;Tegaete;;
gq2306670;gq00;CITY;Somoyong;;
gq2306675;gq00;CITY;Sogodyam;;
gq2306709;gq00;CITY;Senye;;
gq2306715;gq00;CITY;Selies;;
gq2306741;gq00;CITY;San Pedro;;
gq2306749;gq00;CITY;San Joaquín de Ndyiacom;;
gq2306792;gq00;CITY;Sácriba;;
gq2306897;gq00;CITY;Oyan;;
gq2306914;gq00;CITY;Oveng;;
gq2306938;gq00;CITY;Oveng;;
gq2306946;gq00;CITY;Otonserga;;
gq2306950;gq00;CITY;Otondyang;;
gq2306970;gq00;CITY;Osuallong;;
gq2306983;gq00;CITY;Ononobere;;
gq2307002;gq00;CITY;Ondeng;;
gq2307005;gq00;CITY;Omvang;;
gq2307012;gq00;CITY;Olun-Man;;
gq2307013;gq00;CITY;Olumeten;;
gq2307028;gq00;CITY;Okeva;;
gq2307031;gq00;CITY;Oguor;;
gq2307034;gq00;CITY;Oguom;;
gq2307042;gq00;CITY;Ocula;;
gq2307047;gq00;CITY;Ocúa;;
gq2307050;gq00;CITY;Ocong;;
gq2307051;gq00;CITY;Ocong;;
gq2307054;gq00;CITY;Ocola;;
gq2307055;gq00;CITY;Ocola;;
gq2307065;gq00;CITY;Oboroncu;;
gq2307069;gq00;CITY;Obenelang;;
gq2307072;gq00;CITY;Obe;;
gq2307073;gq00;CITY;Obandoc;;
gq2307090;gq00;CITY;Nvomosi;;
gq2307098;gq00;CITY;Nveayong;;
gq2307115;gq00;CITY;Ntom;;
gq2307119;gq00;CITY;Ntobo;;
gq2307120;gq00;CITY;Ntobo;;
gq2307124;gq00;CITY;Nterenga;;
gq2307126;gq00;CITY;Ntan;;
gq2307143;gq00;CITY;Nsokengono;;
gq2307146;gq00;CITY;Nsogobuot;;
gq2307150;gq00;CITY;Nsogobot;;
gq2307151;gq00;CITY;Nsogobor;;
gq2307157;gq00;CITY;Nsoc;;
gq2307158;gq00;CITY;Nsoc;;
gq2307159;gq00;CITY;Nsoc;;
gq2307160;gq00;CITY;Nsoc;;
gq2307166;gq00;CITY;Nsini;;
gq2307181;gq00;CITY;Nseleman;;
gq2307191;gq00;CITY;Nsangnan;;
gq2307196;gq00;CITY;Nsangayong;;
gq2307218;gq00;CITY;Nomenan;;
gq2307226;gq00;CITY;Nnoayong;;
gq2307229;gq00;CITY;Nniemitang;;
gq2307232;gq00;CITY;Nlosoc;;
gq2307233;gq00;CITY;Nlosoc;;
gq2307234;gq00;CITY;Nlosoc;;
gq2307235;gq00;CITY;Nloayong;;
gq2307258;gq00;CITY;Niemoyong;;
gq2307260;gq00;CITY;Niemitang;;
gq2307269;gq00;CITY;Niefala;;
gq2307276;gq00;CITY;Niamoyong;;
gq2307284;gq00;CITY;Nguolensoc;;
gq2307287;gq00;CITY;Ngumo;;
gq2307293;gq00;CITY;Nguiebe;;
gq2307295;gq00;CITY;Ngüeogo;;
gq2307300;gq00;CITY;Ngüelensoc;;
gq2307312;gq00;CITY;Ngonsoc;;
gq2307321;gq00;CITY;Ngong;;
gq2307324;gq00;CITY;Ngong;;
gq2307325;gq00;CITY;Ngong;;
gq2307331;gq00;CITY;Ngonekié;;
gq2307332;gq00;CITY;Ngonekie;;
gq2307333;gq00;CITY;Ngondum;;
gq2307336;gq00;CITY;Ngon;;
gq2307337;gq00;CITY;Ngon;;
gq2307338;gq00;CITY;Ngon;;
gq2307339;gq00;CITY;Ngon;;
gq2307340;gq00;CITY;Ngon;;
gq2307341;gq00;CITY;Ngon;;
gq2307350;gq00;CITY;Ngolomo;;
gq2307356;gq00;CITY;Ngobi;;
gq2307359;gq00;CITY;Ngoacúa;;
gq2307371;gq00;CITY;Ngamb;;
gq2307386;gq00;CITY;Nfeme;;
gq2307400;gq00;CITY;Ndyong;;
gq2307409;gq00;CITY;Ndyiacom;;
gq2307412;gq00;CITY;Ndyentum;;
gq2307413;gq00;CITY;Ndyengom;;
gq2307415;gq00;CITY;Ndyengmiang;;
gq2307420;gq00;CITY;Ndyengayong;;
gq2307423;gq00;CITY;Ndumulu;;
gq2307424;gq00;CITY;Ndumuc;;
gq2307426;gq00;CITY;Ndumo;;
gq2307427;gq00;CITY;Ndumnco;;
gq2307428;gq00;CITY;Ndumensoc;;
gq2307450;gq00;CITY;Ndong;;
gq2307461;gq00;CITY;Ndeng;;
gq2307469;gq00;CITY;Ndancong;;
gq2307480;gq00;CITY;Ncut;;
gq2307483;gq00;CITY;Ncumikie;;
gq2307485;gq00;CITY;Ncumekie;;
gq2307487;gq00;CITY;Ncumekié;;
gq2307488;gq00;CITY;Ncumekie;;
gq2307489;gq00;CITY;Ncumekie;;
gq2307490;gq00;CITY;Ncumekie;;
gq2307491;gq00;CITY;Ncumekie;;
gq2307492;gq00;CITY;Ncumedum;;
gq2307493;gq00;CITY;Ncumecoc;;
gq2307499;gq00;CITY;Ncum;;
gq2307500;gq00;CITY;Ncum;;
gq2307501;gq00;CITY;Ncuefulan;;
gq2307516;gq00;CITY;Ncomococ;;
gq2307517;gq00;CITY;Ncomococ;;
gq2307522;gq00;CITY;Ncomo;;
gq2307523;gq00;CITY;Ncomo;;
gq2307524;gq00;CITY;Ncomo;;
gq2307526;gq00;CITY;Ncomedyi;;
gq2307530;gq00;CITY;Ncomayop;;
gq2307531;gq00;CITY;Ncomayang;;
gq2307532;gq00;CITY;Ncomacoc;;
gq2307542;gq00;CITY;Ncolamvan;;
gq2307544;gq00;CITY;Ncolamvam;;
gq2307545;gq00;CITY;Ncolamvam;;
gq2307546;gq00;CITY;Ncolamvam;;
gq2307547;gq00;CITY;Ncolamvam;;
gq2307556;gq00;CITY;Ncoesi;;
gq2307557;gq00;CITY;Ncoesi;;
gq2307558;gq00;CITY;Ncoesi;;
gq2307561;gq00;CITY;Ncoekie;;
gq2307564;gq00;CITY;Ncocntono;;
gq2307570;gq00;CITY;Ncoasas;;
gq2307573;gq00;CITY;Ncoangalá;;
gq2307579;gq00;CITY;Ncoambe;;
gq2307580;gq00;CITY;Ncoambe;;
gq2307584;gq00;CITY;Ncoaelon;;
gq2307587;gq00;CITY;Ncoaecuc;;
gq2307591;gq00;CITY;Ncoadyap;;
gq2307598;gq00;CITY;Nco;;
gq2307599;gq00;CITY;Nco;;
gq2307600;gq00;CITY;Nco;;
gq2307601;gq00;CITY;Nco;;
gq2307602;gq00;CITY;Nco;;
gq2307604;gq00;CITY;Nco;;
gq2307606;gq00;CITY;Nco;;
gq2307608;gq00;CITY;Nco;;
gq2307613;gq00;CITY;Nchengayong;;
gq2307614;gq00;CITY;Nchegayong;;
gq2307619;gq00;CITY;Ncan;;
gq2307620;gq00;CITY;Ncan;;
gq2307621;gq00;CITY;Ncan;;
gq2307622;gq00;CITY;Ncan;;
gq2307623;gq00;CITY;Ncamayop;;
gq2307624;gq00;CITY;Ncamanvi;;
gq2307629;gq00;CITY;Ncalayong;;
gq2307637;gq00;CITY;Nbono;;
gq2307651;gq00;CITY;Ñasanga;;
gq2307669;gq00;CITY;Mvongo;;
gq2307679;gq00;CITY;Mvom;;
gq2307680;gq00;CITY;Mvom;;
gq2307681;gq00;CITY;Mvom;;
gq2307693;gq00;CITY;Mvengayong;;
gq2307697;gq00;CITY;Mveng;;
gq2307704;gq00;CITY;Mveayong;;
gq2307711;gq00;CITY;Musola;;
gq2307741;gq00;CITY;Moyó;;
gq2307746;gq00;CITY;Movo;;
gq2307756;gq00;CITY;Motom;;
gq2307758;gq00;CITY;Mosumo;;
gq2307762;gq00;CITY;Mosoc;;
gq2307779;gq00;CITY;Moñung;;
gq2307784;gq00;CITY;Monte Bata;;
gq2307791;gq00;CITY;Mongoy;;
gq2307797;gq00;CITY;Mongola;;
gq2307798;gq00;CITY;Mongola;;
gq2307813;gq00;CITY;Mondoc;;
gq2307815;gq00;CITY;Momvó;;
gq2307822;gq00;CITY;Molon;;
gq2307829;gq00;CITY;Mogup;;
gq2307831;gq00;CITY;Moguomo;;
gq2307832;gq00;CITY;Moguomo;;
gq2307836;gq00;CITY;Mofui;;
gq2307837;gq00;CITY;Mofono;;
gq2307840;gq00;CITY;Moeri;;
gq2307855;gq00;CITY;Mocomo;;
gq2307858;gq00;CITY;Mocomo;;
gq2307859;gq00;CITY;Mocomo;;
gq2307862;gq00;CITY;Mocoga;;
gq2307866;gq00;CITY;Mococ;;
gq2307894;gq00;CITY;Mitong;;
gq2307899;gq00;CITY;Mitemele;;
gq2307915;gq00;CITY;Mipemba;;
gq2307916;gq00;CITY;Mipemba;;
gq2307925;gq00;CITY;Minsenminsoc;;
gq2307926;gq00;CITY;Minsengminsoc;;
gq2307937;gq00;CITY;Mindyimitom;;
gq2307938;gq00;CITY;Mindyimitom;;
gq2307943;gq00;CITY;Minbamengui;;
gq2307955;gq00;CITY;Mimbamengui;;
gq2307960;gq00;CITY;Milong;;
gq2307969;gq00;CITY;Milang;;
gq2307974;gq00;CITY;Miguase;;
gq2307987;gq00;CITY;Midyobo;;
gq2307996;gq00;CITY;Midyimitón;;
gq2307997;gq00;CITY;Midyimitom;;
gq2307998;gq00;CITY;Midyimitom;;
gq2307999;gq00;CITY;Midyimitom;;
gq2308005;gq00;CITY;Micueme;;
gq2308008;gq00;CITY;Mícongmikie;;
gq2308013;gq00;CITY;Micomocomo;;
gq2308015;gq00;CITY;Micomibe;;
gq2308021;gq00;CITY;Mico;;
gq2308023;gq00;CITY;Micheng;;
gq2308025;gq00;CITY;Micha;;
gq2308026;gq00;CITY;Micaosi;;
gq2308030;gq00;CITY;Micala;;
gq2308038;gq00;CITY;Miban;;
gq2308039;gq00;CITY;Miba-Menga;;
gq2308041;gq00;CITY;Mibamenga;;
gq2308056;gq00;CITY;Mgundu;;
gq2308058;gq00;CITY;Mfumayop;;
gq2308060;gq00;CITY;Mfulu;;
gq2308061;gq00;CITY;Mfulesong;;
gq2308062;gq00;CITY;Mfulayong;;
gq2308063;gq00;CITY;Mfulayong;;
gq2308064;gq00;CITY;Mfulayong;;
gq2308065;gq00;CITY;Mfulayong;;
gq2308067;gq00;CITY;Mfulayong;;
gq2308068;gq00;CITY;Mfulacon;;
gq2308069;gq00;CITY;Mfulacom;;
gq2308070;gq00;CITY;Mfui;;
gq2308075;gq00;CITY;Mfúa;;
gq2308079;gq00;CITY;Mfene;;
gq2308081;gq00;CITY;Mfeme;;
gq2308085;gq00;CITY;Mfaman;;
gq2308088;gq00;CITY;Mfaman;;
