CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
er;;COUNTRY;Eritrea;;
er03;er;REGION;Southern Red Sea;;
er338345;er03;CITY;Edd;;
er327506;er03;CITY;Tio;;
er342207;er03;CITY;Bēylul;;
er329665;er03;CITY;Raheita;;
er341459;er03;CITY;Bel’ebuy;;
er343792;er03;CITY;Anrata;;
er345931;er03;CITY;Abacheri;;
er333587;er03;CITY;Krum;;
er335194;er03;CITY;Hallol;;
er337406;er03;CITY;Gambed Buij;;
er337926;er03;CITY;Pharon;;
er328759;er03;CITY;Seud Buij;;
er329276;er03;CITY;Saroyta;;
er330668;er03;CITY;M’edr;;
er331201;er03;CITY;Meka’ika;;
er339817;er03;CITY;Deba-Sima;;
er342517;er03;CITY;Bahliya;;
er344777;er03;CITY;Āfahanī;;
er8342637;er03;CITY;Daraivo;;
er416467;er03;CITY;Ferer;;
er334625;er03;CITY;Horena;;
er334901;er03;CITY;Harsile;;
er337061;er03;CITY;Gahare;;
er339096;er03;CITY;Diddale;;
er327526;er03;CITY;Tinishu Assab;;
er328039;er03;CITY;Suwa;;
er328666;er03;CITY;Sheburur;;
er329421;er03;CITY;Sahlī;;
er330451;er03;CITY;Mora;;
er330917;er03;CITY;Mērgēbla;;
er339816;er03;CITY;Debba;;
er340317;er03;CITY;Dasbudī;;
er342357;er03;CITY;Bera’esoli;;
er342437;er03;CITY;Bilieta;;
er342969;er03;CITY;Babaiu;;
er343039;er03;CITY;Aylu;;
er6731619;er03;CITY;Datoi Sima;;
er416388;er03;CITY;Dabu;;
er416457;er03;CITY;Ighiroli;;
er416460;er03;CITY;Irble;;
er416462;er03;CITY;Muri;;
er416464;er03;CITY;Irble;;
er416465;er03;CITY;Abe;;
er334350;er03;CITY;Illabadan;;
er334842;er03;CITY;Hāwra;;
er335127;er03;CITY;Hancul;;
er335132;er03;CITY;Hanainef;;
er335247;er03;CITY;Hālaba;;
er335548;er03;CITY;Gun Gum;;
er337294;er03;CITY;Garbanna;;
er337521;er03;CITY;Gadmaita;;
er337604;er03;CITY;Fura;;
er337702;er03;CITY;Firidello;;
er338737;er03;CITY;Dochtumo;;
er338785;er03;CITY;Dīwalu;;
er339085;er03;CITY;Didib;;
er329171;er03;CITY;Sciec Alilo;;
er329328;er03;CITY;Sanda;;
er329768;er03;CITY;Raa;;
er329877;er03;CITY;Ona;;
er330025;er03;CITY;Oasi;;
er331697;er03;CITY;Mai-ti;;
er332325;er03;CITY;Lafofle;;
er339872;er03;CITY;Daui Rori;;
er339963;er03;CITY;Dara;;
er340380;er03;CITY;Daadatu;;
er342161;er03;CITY;Bīhdē;;
er342927;er03;CITY;Badeda;;
er343022;er03;CITY;Āyror;;
er343160;er03;CITY;Aura;;
er343287;er03;CITY;Assa Ela;;
er343400;er03;CITY;Asbol;;
er343404;er03;CITY;Asbagu;;
er343715;er03;CITY;Araiu;;
er344310;er03;CITY;Ālēla;;
er344348;er03;CITY;Alas;;
er344561;er03;CITY;Agurto;;
er345339;er03;CITY;Ad Gaban;;
er345472;er03;CITY;Adarte;;
er345522;er03;CITY;Adailo;;
er345530;er03;CITY;Ada Ela;;
er8340294;er03;CITY;Andale;;
er8340567;er03;CITY;Chiloma;;
er8340576;er03;CITY;Kiloma;;
er8340577;er03;CITY;Abo;;
er8340578;er03;CITY;Ghibdo;;
er8333302;er03;CITY;Faroddy;;
er8333411;er03;CITY;Darmale;;
er8385282;er03;CITY;D’yurrum Segir;;
er8347214;er03;CITY;Saline;;
er8374896;er03;CITY;Ayumen;;
er8375037;er03;CITY;Uaddi;;
er8375111;er03;CITY;Hlelika;;
er8376012;er03;CITY;Kubbani;;
er8376013;er03;CITY;Dahrat Dyl’ke;;
er8376018;er03;CITY;Derbushet;;
er8376020;er03;CITY;Memla;;
er8376021;er03;CITY;Amareg;;
er6731654;er03;CITY;Merbaro;;
er6731683;er03;CITY;Salita Adarrabera;;
er02;er;REGION;Debub;;
er345046;er02;CITY;Adi Keyh;;
er339537;er02;CITY;Dek’emhāre;;
er339165;er02;CITY;Dbarwa;;
er329038;er02;CITY;Segheneytī;;
er409494;er02;CITY;Qua’atit;;
er335501;er02;CITY;Gura’e;;
er328893;er02;CITY;Sen‘afe;;
er331708;er02;CITY;Ma’ereba;;
er343554;er02;CITY;Āreza;;
er344783;er02;CITY;Af’abet;;
er345037;er02;CITY;Ādī-Quala;;
er345150;er02;CITY;Ādī-Gureto;;
er9261117;er02;CITY;Gura’e;;
er332577;er02;CITY;Kudo-Felasī;;
er332584;er02;CITY;Kubkub;;
er332779;er02;CITY;Querbarya;;
er333367;er02;CITY;Kemechiwa;;
er334245;er02;CITY;Inda Īyesus;;
er334285;er02;CITY;Emnī-Tselīm;;
er334756;er02;CITY;Hībo;;
er335235;er02;CITY;Halay;;
er335560;er02;CITY;Enda-Ghergis;;
er335735;er02;CITY;Gudela;;
er336671;er02;CITY;Ghinzebo;;
er336673;er02;CITY;Gheniseba;;
er338391;er02;CITY;Dirko;;
er338572;er02;CITY;Dub Dubaria;;
er339034;er02;CITY;Digra;;
er326444;er02;CITY;Wekertī;;
er327688;er02;CITY;Tera-Emnī;;
er329271;er02;CITY;Sesah;;
er329648;er02;CITY;Randakoma;;
er330885;er02;CITY;Mersa Gulbub;;
er331722;er02;CITY;Mai Edaga;;
er339911;er02;CITY;Da’ero-Kun’at;;
er340542;er02;CITY;Kuhli-Zbi;;
er340838;er02;CITY;Chessad Dahrē;;
er340900;er02;CITY;Knafna;;
er344006;er02;CITY;Āmhuru;;
er344242;er02;CITY;Alghiena;;
er344974;er02;CITY;Ādīs ‘Alem;;
er345003;er02;CITY;Ādī Nifas;;
er345050;er02;CITY;Ādī K’eshī;;
er345090;er02;CITY;Ādī Huduk;;
er345130;er02;CITY;Ādī Hadīd;;
er345160;er02;CITY;Ādī Golgol;;
er345240;er02;CITY;Adi-Bigdi;;
er345254;er02;CITY;Ādībara;;
er345559;er02;CITY;Ad Abiscia;;
er409491;er02;CITY;Berakit-Abay;;
er333021;er02;CITY;K’ine Hāyela;;
er334023;er02;CITY;Īyamo;;
er334282;er02;CITY;Inabta;;
er334431;er02;CITY;Igrī Mekel;;
er334864;er02;CITY;Hatsina;;
er334884;er02;CITY;Hashaso;;
er334909;er02;CITY;Hernet;;
er335218;er02;CITY;Halibo;;
er335355;er02;CITY;Habenat;;
er335810;er02;CITY;Grar Gabru;;
er336729;er02;CITY;Geza Keren;;
er336804;er02;CITY;Gergera;;
er337022;er02;CITY;Geleba;;
er337991;er02;CITY;Ab Anrafa;;
er338109;er02;CITY;Embeito;;
er339032;er02;CITY;Digsa;;
er339134;er02;CITY;Dibibtī;;
er339316;er02;CITY;Dera’ālto;;
er339357;er02;CITY;Dengolo;;
er339368;er02;CITY;Dengel;;
er339481;er02;CITY;Damba;;
er325614;er02;CITY;Ziban Una;;
er326535;er02;CITY;Wedegiba;;
er327538;er02;CITY;Time’ī;;
er327825;er02;CITY;Tegheren;;
er328451;er02;CITY;Sibi’ā;;
er329455;er02;CITY;Ksad-Ika;;
er329876;er02;CITY;Una-Andom;;
er330015;er02;CITY;Obellet;;
er330661;er02;CITY;Mikrem;;
er330671;er02;CITY;Mihiyaw;;
er330766;er02;CITY;Mets’alu;;
er331266;er02;CITY;Mefalso;;
er331381;er02;CITY;May Libus;;
er331399;er02;CITY;Mayhā;;
er331500;er02;CITY;Marta;;
er331709;er02;CITY;Mahio;;
er331741;er02;CITY;Maiam;;
er331743;er02;CITY;Albo;;
er331745;er02;CITY;Mai Aini;;
er339643;er02;CITY;Decorassi;;
er339739;er02;CITY;Debre-Menkoryos;;
er340443;er02;CITY;Cudo Hoiva;;
er341510;er02;CITY;Buhunena;;
er342170;er02;CITY;Biet Gabriel;;
er342240;er02;CITY;Bēte Ts’iyon;;
er342354;er02;CITY;Berak;;
er343005;er02;CITY;Azait;;
er343540;er02;CITY;Arghezana;;
er343939;er02;CITY;Hananit;;
er344106;er02;CITY;Ambacocat;;
er344148;er02;CITY;Amadir;;
er344396;er02;CITY;Āla;;
er344748;er02;CITY;Āfelba;;
er344759;er02;CITY;Afchewa;;
er344788;er02;CITY;Ad Zeban Sebao;;
er344859;er02;CITY;Ad Nefas;;
er344861;er02;CITY;Ad Mocada;;
er344872;er02;CITY;Ādī Zarna;;
er344886;er02;CITY;Ādī Wederkī;;
er344959;er02;CITY;Adi Scimandui;;
er345016;er02;CITY;Ādī Mengodtī;;
er345022;er02;CITY;Adi Mai Laam;;
er345024;er02;CITY;Adi Macambia;;
er345027;er02;CITY;Ādilges;;
er345088;er02;CITY;Ādī Hurwa;;
er345131;er02;CITY;Ādī Hābir;;
er345136;er02;CITY;Ādī Gu’ur;;
er345144;er02;CITY;Adi Guagual;;
er345163;er02;CITY;Ādī Goda’itī;;
er345194;er02;CITY;Ādī Gahād;;
er345201;er02;CITY;Ādī Fini’i;;
er345211;er02;CITY;Adi Essaha;;
er345239;er02;CITY;Ādī Bilay;;
er345256;er02;CITY;Ādība’ikel;;
er345257;er02;CITY;Ādī Bahro;;
er345260;er02;CITY;Gudba-Badm;;
er345309;er02;CITY;Ādī Āgwa;;
er345326;er02;CITY;Ādī Āba Ri’isom;;
er345340;er02;CITY;Ad Finne;;
er345385;er02;CITY;Ādengefom;;
er345412;er02;CITY;Ādek’e Ginet;;
er345420;er02;CITY;Ādebu‘ur;;
er345430;er02;CITY;Addisc Addi;;
er345434;er02;CITY;Adi-Nebri;;
er345584;er02;CITY;Akrur;;
er8380773;er02;CITY;Adi Kharem;;
er6417660;er02;CITY;Aychegevna;;
er6418863;er02;CITY;Adi Scium Ascale;;
er6418958;er02;CITY;Adi Essaha;;
er6418963;er02;CITY;Adi Felleho;;
er6418986;er02;CITY;Mahakuk;;
er6418998;er02;CITY;Hantsetse;;
er6419059;er02;CITY;Samharo;;
er6419238;er02;CITY;Adi Assaharti;;
er6419240;er02;CITY;Ho Ho;;
er6419265;er02;CITY;Adi Jimel;;
er6419274;er02;CITY;Adi Yohanneso;;
er6419298;er02;CITY;Maryam Medhanit;;
er6419308;er02;CITY;Adi Assabehta;;
er6419311;er02;CITY;Adi Sahallab;;
er6419337;er02;CITY;Mahado;;
er6419380;er02;CITY;Nueh Zeban;;
er6419395;er02;CITY;Adi Harre;;
er6419402;er02;CITY;Adi Hiabu;;
er6419413;er02;CITY;Adi Harkam;;
er6419421;er02;CITY;Lahlayaddi;;
er6419457;er02;CITY;Azernahadis;;
er6419487;er02;CITY;Siaha;;
er6419559;er02;CITY;Adi Guhebo;;
er6419668;er02;CITY;May Harish;;
er6420321;er02;CITY;May Aha;;
er6420327;er02;CITY;Enda Yohannes;;
er6420574;er02;CITY;Zeban-Abuh;;
er6420584;er02;CITY;Giassehe;;
er6421035;er02;CITY;Merra Nahayne;;
er6421584;er02;CITY;May Maho;;
er6421706;er02;CITY;Ona Foroho;;
er409563;er02;CITY;Koloburdo;;
er409564;er02;CITY;Kinto;;
er416427;er02;CITY;Tala;;
er416481;er02;CITY;Ham;;
er333016;er02;CITY;Kinin;;
er333120;er02;CITY;K’eyih Kor;;
er334990;er02;CITY;Hariyen;;
er335330;er02;CITY;Hādamu;;
er335570;er02;CITY;Guna-Guna;;
er336655;er02;CITY;Gherghera;;
er338738;er02;CITY;Doburra;;
er325694;er02;CITY;Zeban Debri;;
er327340;er02;CITY;Ts’egwaro;;
er329875;er02;CITY;Ona Gabien;;
er330016;er02;CITY;Obellet;;
er330777;er02;CITY;Metich;;
er331377;er02;CITY;May Mech’ek’at;;
er331452;er02;CITY;Matara;;
er331751;er02;CITY;Maho;;
er332295;er02;CITY;La‘ilay Ādī Kefelet;;
er332377;er02;CITY;Kutur;;
er340082;er02;CITY;Damba;;
er340322;er02;CITY;Dabre;;
er340342;er02;CITY;Daber;;
er340626;er02;CITY;Ciaat;;
er341827;er02;CITY;Bok’lo;;
er342443;er02;CITY;Belec;;
er342784;er02;CITY;Bambuco;;
er343047;er02;CITY;Āyla;;
er343435;er02;CITY;Ār‘uts’eru;;
er343443;er02;CITY;Aruaddin;;
er343683;er02;CITY;Ārato;;
er344716;er02;CITY;Āf May;;
er344921;er02;CITY;Adi Tafa;;
er344994;er02;CITY;Ādī Ra’isī;;
er345025;er02;CITY;Adi Lubso;;
er345030;er02;CITY;Ādī Lamza;;
er345041;er02;CITY;Ādī K’orē;;
er345064;er02;CITY;Ādī Kefelet;;
er345072;er02;CITY;Ādī K’ano;;
er345094;er02;CITY;Ādī Hizba;;
er345197;er02;CITY;Adi Gaad;;
er345316;er02;CITY;Ādī Āda;;
er345432;er02;CITY;Ad Dirco;;
er345826;er02;CITY;Abbi Adi;;
er8388267;er02;CITY;Addi-Nedi;;
er8388279;er02;CITY;Addi-Bel’sey;;
er8388281;er02;CITY;Addi-Chando;;
er8388547;er02;CITY;Sonoto;;
er8388548;er02;CITY;Arbo;;
er8388551;er02;CITY;Zeban Khayli;;
er8388552;er02;CITY;Adibus;;
er8388553;er02;CITY;Ad Deka Takla;;
er8388554;er02;CITY;Zuab;;
er8388555;er02;CITY;Aschaba;;
er8388603;er02;CITY;Gerdetti;;
er8388604;er02;CITY;Zemmer;;
er8388607;er02;CITY;Zdi-Nokha;;
er8388609;er02;CITY;End Abba Mata;;
er8388610;er02;CITY;Addi Bezakhanays;;
er8388869;er02;CITY;Fogayakhe;;
er8388870;er02;CITY;Geddele;;
er8388879;er02;CITY;Addi Kina;;
er8388880;er02;CITY;Addi Saddi;;
er8388900;er02;CITY;Torat;;
er8388928;er02;CITY;Beza-Slam;;
er8388932;er02;CITY;Addi Gered;;
er8388933;er02;CITY;Addegena;;
er8388940;er02;CITY;Addi Keli;;
er8388965;er02;CITY;Ad Sarkhit;;
er8388968;er02;CITY;Ugub;;
er8388969;er02;CITY;Maraf Tobot;;
er8388974;er02;CITY;Gerakhu Tala;;
er8388975;er02;CITY;An Zala;;
er8389017;er02;CITY;Orguk;;
