CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
ee;;COUNTRY;Estonia;;
ee01;ee;REGION;Harjumaa;;
ee589223;ee01;CITY;Raasiku;;
ee589977;ee01;CITY;Nissi Parish;;
ee591450;ee01;CITY;Kernu Parish;;
ee592611;ee01;CITY;Aegviidu;;
ee589024;ee01;CITY;Riisipere;;
ee589205;ee01;CITY;Rae Parish;;
ee591919;ee01;CITY;Jõelähtme Parish;;
ee794964;ee01;CITY;Laagri;;
ee590537;ee01;CITY;Loo;;
ee590858;ee01;CITY;Väikeheinamaa;;
ee590920;ee01;CITY;Kurkse;;
ee591597;ee01;CITY;Karjaküla;;
ee591876;ee01;CITY;Jüri;;
ee592233;ee01;CITY;Haabneeme;;
ee587699;ee01;CITY;Vasalemma;;
ee587938;ee01;CITY;Vaida;;
ee588454;ee01;CITY;Tabasalu;;
ee793228;ee01;CITY;Lääneotsa;;
ee793229;ee01;CITY;Ruu;;
ee793232;ee01;CITY;Vaidasoo;;
ee793233;ee01;CITY;Härma;;
ee793234;ee01;CITY;Mallavere;;
ee793235;ee01;CITY;Nõmbra;;
ee793236;ee01;CITY;Kaunissaare;;
ee793237;ee01;CITY;Lehtmetsa;;
ee793239;ee01;CITY;Paasiku;;
ee793240;ee01;CITY;Salumetsa;;
ee793242;ee01;CITY;Kuusemäe;;
ee793243;ee01;CITY;Kihmla;;
ee793244;ee01;CITY;Sambu;;
ee793246;ee01;CITY;Kolga;;
ee793247;ee01;CITY;Mustjõe;;
ee793274;ee01;CITY;Kuivajõe;;
ee793275;ee01;CITY;Raveliku;;
ee793276;ee01;CITY;Sõmeru;;
ee793278;ee01;CITY;Triigi;;
ee793283;ee01;CITY;Rõõsa;;
ee793507;ee01;CITY;Suursoo;;
ee793508;ee01;CITY;Pikavere;;
ee793542;ee01;CITY;Kotka;;
ee794922;ee01;CITY;Audevälja;;
ee794928;ee01;CITY;Harju-Risti;;
ee794931;ee01;CITY;Laane;;
ee794932;ee01;CITY;Pae;;
ee794933;ee01;CITY;Langa;;
ee794934;ee01;CITY;Põllküla;;
ee794937;ee01;CITY;Niitvälja;;
ee794938;ee01;CITY;Meremõisa;;
ee794940;ee01;CITY;Tõmmiku;;
ee794942;ee01;CITY;Nahkjala;;
ee794943;ee01;CITY;Kaasiku;;
ee794944;ee01;CITY;Lemmaru;;
ee794945;ee01;CITY;Munalaskme;;
ee794947;ee01;CITY;Odulemma;;
ee794948;ee01;CITY;Vilumäe;;
ee794949;ee01;CITY;Kivitammi;;
ee794950;ee01;CITY;Vääna-Jõesuu;;
ee794954;ee01;CITY;Kiia;;
ee794955;ee01;CITY;Valingu;;
ee794956;ee01;CITY;Tutermaa;;
ee794957;ee01;CITY;Aila;;
ee794975;ee01;CITY;Äigrumäe;;
ee794976;ee01;CITY;Soodevahe;;
ee794977;ee01;CITY;Kadaka;;
ee794978;ee01;CITY;Pajupea;;
ee794979;ee01;CITY;Aaviku;;
ee794980;ee01;CITY;Kautjala;;
ee794981;ee01;CITY;Suuresta;;
ee794982;ee01;CITY;Sausti;;
ee794983;ee01;CITY;Arusta;;
ee794984;ee01;CITY;Sookaera;;
ee794987;ee01;CITY;Roobuka;;
ee794988;ee01;CITY;Tõdva;;
ee794989;ee01;CITY;Kanama;;
ee794990;ee01;CITY;Juuliku;;
ee794992;ee01;CITY;Tagametsa;;
ee794993;ee01;CITY;Tammiku;;
ee589676;ee01;CITY;Pala;;
ee589736;ee01;CITY;Paekna;;
ee589846;ee01;CITY;Ojasoo;;
ee589874;ee01;CITY;Ohtu;;
ee589903;ee01;CITY;Nutu;;
ee589943;ee01;CITY;Sookaera-Metsanurga;;
ee589948;ee01;CITY;Saustinõmme;;
ee590004;ee01;CITY;Nehatu;;
ee590010;ee01;CITY;Neeme;;
ee590048;ee01;CITY;Nabala;;
ee590052;ee01;CITY;Naage;;
ee590069;ee01;CITY;Mustu;;
ee590090;ee01;CITY;Mustametsa;;
ee590111;ee01;CITY;Muraste;;
ee590173;ee01;CITY;Mõisaküla;;
ee590207;ee01;CITY;Miiduranna;;
ee590237;ee01;CITY;Metsanurga;;
ee590326;ee01;CITY;Marguse;;
ee590336;ee01;CITY;Manniva;;
ee590342;ee01;CITY;Männiku;;
ee590366;ee01;CITY;Moosi;;
ee590373;ee01;CITY;Maidla;;
ee590399;ee01;CITY;Maeru;;
ee590401;ee01;CITY;Mäepea;;
ee590427;ee01;CITY;Madila;;
ee590448;ee01;CITY;Maardu;;
ee590453;ee01;CITY;Mara;;
ee590472;ee01;CITY;Lutsu;;
ee590487;ee01;CITY;Lükati;;
ee590493;ee01;CITY;Luige;;
ee590499;ee01;CITY;Lubja;;
ee590505;ee01;CITY;Lõunaküla;;
ee590518;ee01;CITY;Lõõra;;
ee590553;ee01;CITY;Lokuti;;
ee590566;ee01;CITY;Lohusalu;;
ee590581;ee01;CITY;Liivamäe;;
ee590611;ee01;CITY;Linnakse;;
ee590618;ee01;CITY;Limu;;
ee590620;ee01;CITY;Lilli;;
ee590649;ee01;CITY;Liikva;;
ee590673;ee01;CITY;Leppneeme;;
ee590680;ee01;CITY;Lepaste;;
ee590714;ee01;CITY;Lähtse;;
ee590723;ee01;CITY;Lehola;;
ee590724;ee01;CITY;Lehmja;;
ee590728;ee01;CITY;Lehetu;;
ee590753;ee01;CITY;Laulasmaa;;
ee590788;ee01;CITY;Laoküla;;
ee590806;ee01;CITY;Laitse;;
ee590839;ee01;CITY;Lagedi;;
ee590873;ee01;CITY;Laabi;;
ee590897;ee01;CITY;Kütke;;
ee590911;ee01;CITY;Kurtna;;
ee590913;ee01;CITY;Kursi;;
ee590918;ee01;CITY;Kurna;;
ee590929;ee01;CITY;Kurgla;;
ee590932;ee01;CITY;Kurevere;;
ee590958;ee01;CITY;Kupu;;
ee590978;ee01;CITY;Kumna;;
ee590986;ee01;CITY;Külmaallika;;
ee590989;ee01;CITY;Kulli;;
ee590995;ee01;CITY;Kullamäe;;
ee591014;ee01;CITY;Kukepala;;
ee591055;ee01;CITY;Krei;;
ee591070;ee01;CITY;Kostivere;;
ee591071;ee01;CITY;Kostiranna;;
ee591074;ee01;CITY;Kose-Uuemõisa;;
ee591127;ee01;CITY;Koppelmaa;;
