CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
et;;COUNTRY;Ethiopia;;
et46;et;REGION;Amhara;;
et336014;et46;CITY;Gonder;;
et339219;et46;CITY;Dessie;;
et333373;et46;CITY;Kombolcha;;
et332288;et46;CITY;Lalibela;;
et339686;et46;CITY;Debre Tabor;;
et339708;et46;CITY;Debre Mark’os;;
et339734;et46;CITY;Debre Birhan;;
et333356;et46;CITY;Kemisē;;
et337712;et46;CITY;Finote Selam;;
et326206;et46;CITY;Werota;;
et326259;et46;CITY;Were Īlu;;
et339551;et46;CITY;Dejen;;
et339671;et46;CITY;Debre Werk’;;
et339823;et46;CITY;Debark’;;
et340358;et46;CITY;Dabat;;
et341397;et46;CITY;Burē;;
et342190;et46;CITY;Bichena;;
et342641;et46;CITY;Batī;;
et344923;et46;CITY;Ādīs Zemen;;
et345353;et46;CITY;Addiet Canna;;
et333977;et46;CITY;Jaranīyo;;
et336384;et46;CITY;Gishe Ābay;;
et339155;et46;CITY;Dib Bahir;;
et326406;et46;CITY;Weldiya;;
et326464;et46;CITY;Wehnī;;
et328953;et46;CITY;Sela Dingay;;
et328962;et46;CITY;Sek’ot’a;;
et330158;et46;CITY;Nefas Mewch’a;;
et330789;et46;CITY;Metemma;;
et331195;et46;CITY;Mekane Selam;;
et340008;et46;CITY;Dangila;;
et341103;et46;CITY;Chagne;;
et343050;et46;CITY;Āykel;;
et344094;et46;CITY;Āmba Maryam;;
et345704;et46;CITY;Abomsa;;
et332983;et46;CITY;K’it’ir;;
et333314;et46;CITY;K’eranyo;;
et333418;et46;CITY;Kelela;;
et333598;et46;CITY;Kara K’orē;;
et334152;et46;CITY;Injibara;;
et334495;et46;CITY;Ibnat;;
et335088;et46;CITY;Hāra Gebeya;;
et335342;et46;CITY;Habru;;
et335926;et46;CITY;Gorgora;;
et336254;et46;CITY;Godeburk’a;;
et336269;et46;CITY;Godana Mīka’ēl;;
et336302;et46;CITY;Gobiyē;;
et337669;et46;CITY;Fogera;;
et339257;et46;CITY;Deresgē;;
et339335;et46;CITY;Denk’ez;;
et339367;et46;CITY;Dengel Ber;;
et339443;et46;CITY;Dembīya;;
et339473;et46;CITY;Dembech’a;;
et339496;et46;CITY;Delgī;;
et325773;et46;CITY;Yismala Gīyorgīs;;
et325820;et46;CITY;Yewish;;
et325837;et46;CITY;Yetman;;
et325916;et46;CITY;Yejubē;;
et326128;et46;CITY;Wich’alē;;
et326413;et46;CITY;Welde Āb;;
et326684;et46;CITY;Waja;;
et326836;et46;CITY;Uolchefit;;
et327472;et46;CITY;T’īs Isat;;
et327699;et46;CITY;Tenta;;
et327810;et46;CITY;Tehulederē;;
et328501;et46;CITY;Shola Gebeya;;
et328616;et46;CITY;Shememēl;;
et329266;et46;CITY;Sasīt;;
et329592;et46;CITY;Robit;;
et329651;et46;CITY;Rēma;;
et330425;et46;CITY;Mot’a;;
et330874;et46;CITY;Mertule Maryam;;
et330888;et46;CITY;Mersa;;
et331166;et46;CITY;Mek’et’ewa;;
et331197;et46;CITY;Mekane Īyesus;;
et331198;et46;CITY;Mekane Birhan;;
et331682;et46;CITY;Majetē;;
et331754;et46;CITY;Mahdere Maryam;;
et339561;et46;CITY;Dehana;;
et339667;et46;CITY;Debre Zebīt;;
et340887;et46;CITY;Chenker;;
et341784;et46;CITY;Bolo;;
et342373;et46;CITY;Benja;;
et342831;et46;CITY;Balch’;;
et342989;et46;CITY;Azezo;;
et343072;et46;CITY;Āybga;;
et343814;et46;CITY;Ankober;;
et343929;et46;CITY;Āncharo;;
et344040;et46;CITY;Amde Werk;;
et344102;et46;CITY;Amba Giorgis;;
et344189;et46;CITY;Aliyu Amba;;
et344421;et46;CITY;Casta;;
et345707;et46;CITY;Ābolē;;
et345768;et46;CITY;Ābergelē;;
et8620932;et46;CITY;Kobo;;
et325575;et46;CITY;Zobil;;
et325580;et46;CITY;Ziwad;;
et332697;et46;CITY;Kormargefīya;;
et332715;et46;CITY;Kork;;
et332745;et46;CITY;Koremash;;
et332896;et46;CITY;K’ola Diba;;
et333686;et46;CITY;Kabī;;
et333796;et46;CITY;Jihur;;
et333803;et46;CITY;Jiga;;
et333942;et46;CITY;Jedo;;
et333983;et46;CITY;Jara;;
