CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
fj;;COUNTRY;Fiji;;
fj05;fj;REGION;Western;;
fj2202064;fj05;CITY;Nadi;;
fj2200743;fj05;CITY;Navala;;
fj2204505;fj05;CITY;Lauwaki;;
fj2196647;fj05;CITY;Viseisei;;
fj2197035;fj05;CITY;Vatukoula;;
fj2197277;fj05;CITY;Vaileka;;
fj2197895;fj05;CITY;Tavua;;
fj2198228;fj05;CITY;Sorokoba;;
fj2198365;fj05;CITY;Sigatoka;;
fj2194303;fj05;CITY;Yadua;;
fj2200232;fj05;CITY;Nawaqarua Set;;
fj2200252;fj05;CITY;Nawamagi;;
fj2200535;fj05;CITY;Naviago;;
fj2200897;fj05;CITY;Natunuku Settlement;;
fj2201174;fj05;CITY;Natabua Settlement;;
fj2201969;fj05;CITY;Nadrugu;;
fj2201977;fj05;CITY;Nadroumai;;
fj2202074;fj05;CITY;Nadelei;;
fj2202101;fj05;CITY;Nadarivatu;;
fj2202144;fj05;CITY;Namuriwai Settlement;;
fj2202179;fj05;CITY;Navoci Namotomoto;;
fj2202244;fj05;CITY;Nabuyasa Settlement;;
fj2202290;fj05;CITY;Nabuna Set;;
fj2202320;fj05;CITY;Nabukadra;;
fj2202348;fj05;CITY;Nabouwaqa;;
fj2202359;fj05;CITY;Boutini Settlement;;
fj2202625;fj05;CITY;Namada;;
fj2203045;fj05;CITY;Naivuvuni;;
fj2203338;fj05;CITY;Naevuevu;;
fj2203667;fj05;CITY;Bouwaqa;;
fj2203892;fj05;CITY;Namatalylevu;;
fj2204490;fj05;CITY;Lawai;;
fj2204903;fj05;CITY;Koroiyaca;;
fj2205026;fj05;CITY;Keiyasi;;
fj2205253;fj05;CITY;Ekubo;;
fj2195958;fj05;CITY;Vusama Settlement;;
fj2196202;fj05;CITY;Vunitogoloa;;
fj2196550;fj05;CITY;Votualailai;;
fj2196781;fj05;CITY;Veidrala;;
fj2197560;fj05;CITY;Togovere;;
fj2198023;fj05;CITY;Tagaqe;;
fj2198085;fj05;CITY;Tabalei;;
fj2198968;fj05;CITY;Raiwaqa;;
fj2199070;fj05;CITY;Nubuyanitu;;
fj2199758;fj05;CITY;Draubuta;;
fj2199828;fj05;CITY;Dogoloa;;
fj2199929;fj05;CITY;Delaiyadua;;
fj2205296;fj05;CITY;Abaca;;
fj2200923;fj05;CITY;Natuatuathoko;;
fj2201500;fj05;CITY;Nasau;;
fj2203181;fj05;CITY;Naiserelangi;;
fj2194240;fj05;CITY;Yasawairara;;
fj2194329;fj05;CITY;Yalobi;;
fj2194334;fj05;CITY;Yaloku Settlement;;
fj2194455;fj05;CITY;Wouosi Settlement;;
fj2194825;fj05;CITY;Nawairuku;;
fj2200074;fj05;CITY;Dama;;
fj2200078;fj05;CITY;Dalomo;;
fj2200147;fj05;CITY;Nayawa;;
fj2200148;fj05;CITY;Nayavutoka;;
fj2200154;fj05;CITY;Nayavuira;;
fj2200237;fj05;CITY;Nawaqadamu;;
fj2200275;fj05;CITY;Nawairabe Settlement;;
fj2200600;fj05;CITY;Naveyago;;
fj2200724;fj05;CITY;Navaga;;
fj2200833;fj05;CITY;Nauria;;
fj2200884;fj05;CITY;Natutu;;
fj2201032;fj05;CITY;Nacula;;
fj2201209;fj05;CITY;Nasukamai;;
fj2201486;fj05;CITY;Nasaucoko;;
fj2201574;fj05;CITY;Naseyani;;
fj2201621;fj05;CITY;Nariri;;
fj2201626;fj05;CITY;Narikoso;;
fj2201637;fj05;CITY;Narewa;;
fj2201638;fj05;CITY;Narewa;;
fj2201683;fj05;CITY;Naocobau;;
fj2201814;fj05;CITY;Naqelewai;;
fj2201900;fj05;CITY;Nagatagata;;
fj2201943;fj05;CITY;Naduri;;
fj2202006;fj05;CITY;Nadrala;;
fj2202069;fj05;CITY;Nadevo;;
fj2202172;fj05;CITY;Namuaimada;;
fj2202311;fj05;CITY;Nabukeru;;
fj2202429;fj05;CITY;Nabila;;
fj2202473;fj05;CITY;Nabau;;
fj2202522;fj05;CITY;Nabalabala;;
fj2202571;fj05;CITY;Namatakula;;
fj2202604;fj05;CITY;Namarai;;
fj2202739;fj05;CITY;Nalebaleba;;
fj2202849;fj05;CITY;Nakorokula;;
fj2202859;fj05;CITY;Nakoro;;
fj2202991;fj05;CITY;Nakabuta;;
fj2203008;fj05;CITY;Nakalavo;;
fj2203272;fj05;CITY;Naibalebale;;
fj2203309;fj05;CITY;Nailaga;;
fj2203480;fj05;CITY;Momi;;
fj2203577;fj05;CITY;Burenitu;;
fj2203593;fj05;CITY;Burelevu;;
fj2203636;fj05;CITY;Bukuya;;
fj2203642;fj05;CITY;Bukama;;
fj2203706;fj05;CITY;Biausevu;;
fj2203730;fj05;CITY;Bemana;;
fj2203766;fj05;CITY;Batiri;;
fj2203792;fj05;CITY;Barotu;;
fj2203815;fj05;CITY;Balevuto;;
fj2203817;fj05;CITY;Balesere;;
fj2203821;fj05;CITY;Balenabelo;;
fj2203827;fj05;CITY;Balekinaga;;
fj2203853;fj05;CITY;Mavua;;
fj2203873;fj05;CITY;Matokana;;
fj2203904;fj05;CITY;Mataveikai;;
fj2203912;fj05;CITY;Matacawa Levu;;
fj2203978;fj05;CITY;Matanagata Set;;
fj2204467;fj05;CITY;Lawaqa;;
fj2204613;fj05;CITY;Kubuna;;
fj2204666;fj05;CITY;Korovuto;;
fj2204683;fj05;CITY;Korovou Settlement;;
fj2204687;fj05;CITY;Nakorovou;;
fj2204722;fj05;CITY;Korotogo, Nadroga-Navosa;;
fj2204769;fj05;CITY;Koronisagana;;
fj2204801;fj05;CITY;Koroqaqa;;
fj2204893;fj05;CITY;Korokula Settlement;;
