CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
fi;;COUNTRY;Finland;;
fi09;fi;REGION;South Karelia;;
fi655563;fi09;CITY;Joutseno;;
fi644307;fi09;CITY;Nuijamaa;;
fi639666;fi09;CITY;Rautjärvi;;
fi638398;fi09;CITY;Saari;;
fi633250;fi09;CITY;Uukuniemi;;
fi632841;fi09;CITY;Vainikkala;;
fi645858;fi09;CITY;Monola;;
fi646029;fi09;CITY;Miettilä;;
fi648271;fi09;CITY;Leppälä;;
fi648729;fi09;CITY;Laukkala;;
fi639708;fi09;CITY;Rautamäenkylä;;
fi640706;fi09;CITY;Pulsa;;
fi634070;fi09;CITY;Torsansalo;;
fi634707;fi09;CITY;Terävälä;;
fi634870;fi09;CITY;Tarnala;;
fi635499;fi09;CITY;Suur-Saimaa;;
fi637590;fi09;CITY;Särkisalmi;;
fi637694;fi09;CITY;Sarkalahti;;
fi638183;fi09;CITY;Saikkola;;
fi655508;fi09;CITY;Jukajärvi;;
fi657048;fi09;CITY;Husu;;
fi657329;fi09;CITY;Hostikka;;
fi633258;fi09;CITY;Utula;;
fi653036;fi09;CITY;Kesusmaa;;
fi660213;fi09;CITY;Eräjärvi;;
fi661624;fi09;CITY;Akonpohja;;
fi661938;fi09;CITY;Ahola;;
fi639680;fi09;CITY;Rautionkylä;;
fi642642;fi09;CITY;Parkkola;;
fi638866;fi09;CITY;Rumpunen;;
fi657023;fi09;CITY;Huuhtasenkylä;;
fi650374;fi09;CITY;Kumpu;;
fi651499;fi09;CITY;Korkea-aho;;
fi645231;fi09;CITY;Myttylä;;
fi647846;fi09;CITY;Lipiälä;;
fi648154;fi09;CITY;Levänen;;
fi640577;fi09;CITY;Hämäläinen;;
fi642335;fi09;CITY;Peltoi;;
fi635578;fi09;CITY;Sutela;;
fi636359;fi09;CITY;Solkei;;
fi656070;fi09;CITY;Jänhiälä;;
fi656814;fi09;CITY;Iitiä;;
fi656870;fi09;CITY;Ihalainen;;
fi658641;fi09;CITY;Haukilahti;;
fi631398;fi09;CITY;Virmutjoki;;
fi631403;fi09;CITY;Virmajärvi;;
fi631700;fi09;CITY;Vihtosinkylä;;
fi632774;fi09;CITY;Välijoki;;
fi632807;fi09;CITY;Väkevä;;
fi649760;fi09;CITY;Kylänniemi;;
fi651365;fi09;CITY;Korpijärvi;;
fi654052;fi09;CITY;Kärinki;;
fi645288;fi09;CITY;Haikala;;
fi645688;fi09;CITY;Munne;;
fi646235;fi09;CITY;Melkkola;;
fi647357;fi09;CITY;Luotola;;
fi639857;fi09;CITY;Rasala;;
fi643611;fi09;CITY;Oronmylly;;
fi634472;fi09;CITY;Tiitanvaara;;
fi634873;fi09;CITY;Turkkila;;
fi634921;fi09;CITY;Taphuuvinsalo;;
fi636735;fi09;CITY;Sipari;;
fi637895;fi09;CITY;Salo-Peltola;;
fi656704;fi09;CITY;Ilottula;;
fi656874;fi09;CITY;Ihala;;
fi657035;fi09;CITY;Huttusenniemi;;
fi657046;fi09;CITY;Husunkylä;;
fi658996;fi09;CITY;Hanninkylä;;
fi631319;fi09;CITY;Vitsai;;
