CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
fr;;COUNTRY;France;;
fr11;fr;REGION;Île-de-France;;
fr2998975;fr11;CITY;Levallois-Perret;;
fr2978179;fr11;CITY;Saint-Maur-des-Fossés;;
fr2982235;fr11;CITY;Rueil-Malmaison;;
fr2967849;fr11;CITY;Vitry-sur-Seine;;
fr2990611;fr11;CITY;Neuilly-sur-Seine;;
fr3024266;fr11;CITY;Colombes;;
fr3023141;fr11;CITY;Courbevoie;;
fr2992090;fr11;CITY;Montreuil;;
fr3012649;fr11;CITY;Issy-les-Moulineaux;;
fr3027105;fr11;CITY;Champigny-sur-Marne;;
fr3036145;fr11;CITY;Aulnay-sous-Bois;;
fr3002650;fr11;CITY;Le Plessis-Robinson;;
fr3002965;fr11;CITY;Le Perreux-sur-Marne;;
fr3003737;fr11;CITY;Le Kremlin-Bicêtre;;
fr3004630;fr11;CITY;Le Chesnay;;
fr3009071;fr11;CITY;Lagny-sur-Marne;;
fr3009169;fr11;CITY;La Garenne-Colombes;;
fr3009824;fr11;CITY;La Courneuve;;
fr2997712;fr11;CITY;Longjumeau;;
fr3000192;fr11;CITY;Les Mureaux;;
fr3005269;fr11;CITY;Le Blanc-Mesnil;;
fr3015490;fr11;CITY;Goussainville;;
fr3015689;fr11;CITY;Gonesse;;
fr3016078;fr11;CITY;Gif-sur-Yvette;;
fr3016321;fr11;CITY;Gennevilliers;;
fr3016621;fr11;CITY;Garges-lès-Gonesse;;
fr3017341;fr11;CITY;Franconville;;
fr3038213;fr11;CITY;Alfortville;;
fr2977824;fr11;CITY;Saint-Ouen;;
fr2978621;fr11;CITY;Saint-Mandé;;
fr2980558;fr11;CITY;Sainte-Geneviève-des-Bois;;
fr2981041;fr11;CITY;Saint-Cloud;;
fr2982146;fr11;CITY;Rungis;;
fr2982757;fr11;CITY;Rosny-sous-Bois;;
fr2967245;fr11;CITY;Yerres;;
fr2967917;fr11;CITY;Viry-Châtillon;;
fr2968054;fr11;CITY;Vincennes;;
fr2968142;fr11;CITY;Villiers-sur-Marne;;
fr2968529;fr11;CITY;Villeneuve-Saint-Georges;;
fr2968555;fr11;CITY;Villeneuve-la-Garenne;;
fr2968705;fr11;CITY;Villejuif;;
fr2970203;fr11;CITY;Vélizy-Villacoublay;;
fr2970761;fr11;CITY;Vanves;;
fr2974678;fr11;CITY;Sèvres;;
fr2975525;fr11;CITY;Savigny-sur-Orge;;
fr2975536;fr11;CITY;Savigny-le-Temple;;
fr2975921;fr11;CITY;Sartrouville;;
fr2976179;fr11;CITY;Sannois;;
fr2986501;fr11;CITY;Poissy;;
fr2986930;fr11;CITY;Plaisir;;
fr2988621;fr11;CITY;Pantin;;
fr2988867;fr11;CITY;Ozoir-la-Ferrière;;
fr2983440;fr11;CITY;Ris-Orangis;;
fr2985034;fr11;CITY;Puteaux;;
fr2972049;fr11;CITY;Trappes;;
fr2972893;fr11;CITY;Thiais;;
fr2973258;fr11;CITY;Taverny;;
fr2973675;fr11;CITY;Suresnes;;
fr2973745;fr11;CITY;Sucy-en-Brie;;
fr2989204;fr11;CITY;Orsay;;
fr2989297;fr11;CITY;Orly;;
fr2990187;fr11;CITY;Noisy-le-Sec;;
fr2990189;fr11;CITY;Noisy-le-Grand;;
fr2990612;fr11;CITY;Neuilly-sur-Marne;;
fr3023763;fr11;CITY;Corbeil-Essonnes;;
fr3023924;fr11;CITY;Conflans-Sainte-Honorine;;
fr3024107;fr11;CITY;Combs-la-Ville;;
fr3024195;fr11;CITY;Pontault-Combault;;
fr3024597;fr11;CITY;Clichy;;
fr3024783;fr11;CITY;Clamart;;
fr3025055;fr11;CITY;Choisy-le-Roi;;
fr3025622;fr11;CITY;Chelles;;
fr3026033;fr11;CITY;Chatou;;
fr3026083;fr11;CITY;Châtillon;;
fr3026108;fr11;CITY;Châtenay-Malabry;;
fr3029748;fr11;CITY;Brunoy;;
fr3030101;fr11;CITY;Brie-Comte-Robert;;
fr3030257;fr11;CITY;Brétigny-sur-Orge;;
fr3031709;fr11;CITY;Bonneuil-sur-Marne;;
fr3031815;fr11;CITY;Bondy;;
fr3031898;fr11;CITY;Boissy-Saint-Léger;;
fr3032070;fr11;CITY;Bois-Colombes;;
fr3032824;fr11;CITY;Bezons;;
fr3020832;fr11;CITY;Draveil;;
fr3020839;fr11;CITY;Drancy;;
fr3020925;fr11;CITY;Dourdan;;
fr2992017;fr11;CITY;Montrouge;;
fr2994144;fr11;CITY;Meudon;;
fr3017910;fr11;CITY;Fontenay-sous-Bois;;
fr3017924;fr11;CITY;Fontenay-aux-Roses;;
fr3019897;fr11;CITY;Ermont;;
fr3020020;fr11;CITY;Épinay-sur-Seine;;
fr3020310;fr11;CITY;Élancourt;;
fr3020601;fr11;CITY;Eaubonne;;
fr2995206;fr11;CITY;Massy;;
fr2995652;fr11;CITY;Marly-le-Roi;;
fr2996514;fr11;CITY;Malakoff;;
fr2996564;fr11;CITY;Maisons-Laffitte;;
fr2996568;fr11;CITY;Maisons-Alfort;;
fr3012621;fr11;CITY;Ivry-sur-Seine;;
fr3013097;fr11;CITY;Houilles;;
fr3013477;fr11;CITY;Herblay;;
fr3014143;fr11;CITY;Guyancourt;;
fr3026637;fr11;CITY;Charenton-le-Pont;;
fr3029276;fr11;CITY;Cachan;;
fr3035403;fr11;CITY;Bagnolet;;
fr3035409;fr11;CITY;Bagneux;;
fr3036386;fr11;CITY;Aubervilliers;;
fr3036460;fr11;CITY;Athis-Mons;;
fr3036572;fr11;CITY;Asnières-sur-Seine;;
fr3037157;fr11;CITY;Arcueil;;
fr3015772;fr11;CITY;Paris 13 Gobelins;;
fr2970479;fr11;CITY;Paris 15 Vaugirard;;
fr2983854;fr11;CITY;Paris 12 Reuilly;;
fr2989487;fr11;CITY;Paris 09 Opéra;;
fr3030864;fr11;CITY;Paris 02 Bourse;;
fr3034610;fr11;CITY;Paris 17 Batignolles-Monceau;;
fr3020270;fr11;CITY;Paris 08 Élysée;;
fr3029372;fr11;CITY;Paris 19 Buttes-Chaumont;;
fr2986082;fr11;CITY;Paris 11 Popincourt;;
fr2988394;fr11;CITY;Paris 16 Passy;;
fr2988623;fr11;CITY;Paris 05 Panthéon;;
fr2988760;fr11;CITY;Paris 07 Palais-Bourbon;;
fr2989781;fr11;CITY;Paris 14 Observatoire;;
fr2992671;fr11;CITY;Montereau-Fault-Yonne;;
fr2994540;fr11;CITY;Paris 20 Ménilmontant;;
fr3020216;fr11;CITY;Paris 10 Entrepôt;;
fr2997000;fr11;CITY;Paris 06 Luxembourg;;
fr3029374;fr11;CITY;Paris 18 Buttes-Montmartre;;
fr3001402;fr11;CITY;Les Clayes-sous-Bois;;
fr3002984;fr11;CITY;Le Pecq;;
