CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
gm;;COUNTRY;Gambia;;
gm01;gm;REGION;Banjul;;
gm2411989;gm01;CITY;Serrekunda;;
gm2413920;gm01;CITY;Bakau;;
gm2413106;gm01;CITY;Kanifing;;
gm2413527;gm01;CITY;Fajara;;
gm2412331;gm01;CITY;Old Jeswang;;
gm2412609;gm01;CITY;Manjai Kunda;;
gm2413565;gm01;CITY;Dippa Kunda;;
gm2593156;gm01;CITY;Bakote;;
gm2412833;gm01;CITY;Kotu;;
gm2413964;gm01;CITY;Ampaya;;
gm07;gm;REGION;North Bank;;
gm2413515;gm07;CITY;Farafenni;;
gm2412749;gm07;CITY;Lamin;;
gm2413533;gm07;CITY;Essau;;
gm2413827;gm07;CITY;Barra;;
gm2413895;gm07;CITY;Bambali;;
gm2412538;gm07;CITY;Medina Seringe Mass;;
gm2413041;gm07;CITY;Katchang;;
gm2413199;gm07;CITY;Jufureh;;
gm2413230;gm07;CITY;Jigimar;;
gm2413560;gm07;CITY;Dobo;;
gm2413979;gm07;CITY;Aljamdu;;
gm2413985;gm07;CITY;Albadarr;;
gm2411667;gm07;CITY;Yallal;;
gm2411819;gm07;CITY;Tamba Koto;;
gm2411830;gm07;CITY;Taindaitor;;
gm2412135;gm07;CITY;Sara Kunda;;
gm2412229;gm07;CITY;Salikene;;
gm2412312;gm07;CITY;Pakau Penku;;
gm2412313;gm07;CITY;Pakau Ba;;
gm2412378;gm07;CITY;Njenghen Njie Kunda;;
gm2412394;gm07;CITY;Nja Kunda;;
gm2412461;gm07;CITY;N’Dungu Kebbe;;
gm2412534;gm07;CITY;Memmeh;;
gm2412685;gm07;CITY;Madina Bafuloto;;
gm2412804;gm07;CITY;Kumbijae;;
gm2412877;gm07;CITY;Kinteh Kunda;;
gm2413005;gm07;CITY;Ker Biram Yassin;;
gm2413299;gm07;CITY;Jammeh Kunda;;
gm2413376;gm07;CITY;Jahajari;;
gm2413418;gm07;CITY;Gunjur;;
gm2413623;gm07;CITY;Daru Rilwan;;
gm2413649;gm07;CITY;Dai Mandinka;;
gm2413778;gm07;CITY;Birong Kunda;;
gm2413798;gm07;CITY;Berending;;
gm2413861;gm07;CITY;Bantang Killing;;
gm2413907;gm07;CITY;Balingho;;
gm2413923;gm07;CITY;Bakalarr;;
gm2411759;gm07;CITY;Toro Tayem;;
gm2412563;gm07;CITY;Mbollet Bah;;
gm2413430;gm07;CITY;Ginak Kajata;;
gm2413611;gm07;CITY;Dasilami;;
gm2411654;gm07;CITY;Yuna;;
gm2411665;gm07;CITY;Yallal Ba;;
gm2411747;gm07;CITY;Tuba Kolong;;
gm2411793;gm07;CITY;Tawa Kaltu;;
gm2411823;gm07;CITY;Tally Ya;;
gm2411824;gm07;CITY;Tallen;;
gm2411910;gm07;CITY;Sittanunku;;
gm2411973;gm07;CITY;Sika Bajonkoto;;
gm2411974;gm07;CITY;Sika Baduma;;
gm2412134;gm07;CITY;Sara Mama;;
gm2412196;gm07;CITY;Sami Koto;;
gm2412219;gm07;CITY;Samba Musu;;
gm2412252;gm07;CITY;Saba;;
gm2412303;gm07;CITY;Palen Sanjal;;
gm2412311;gm07;CITY;Pakela Demba Colleh;;
gm2412337;gm07;CITY;Nyirba;;
gm2412352;gm07;CITY;Nowleru;;
gm2412354;gm07;CITY;No Kunda Fula;;
gm2412355;gm07;CITY;No Kunda;;
gm2412436;gm07;CITY;N’Geyen;;
gm2412444;gm07;CITY;Ngaien Beretto;;
gm2412462;gm07;CITY;N’Dungu Charen;;
gm2412476;gm07;CITY;Ndanka Ndanka;;
gm2412547;gm07;CITY;Medina Kanuma;;
