CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
gh;;COUNTRY;Ghana;;
gh09;gh;REGION;Western;;
gh2294915;gh09;CITY;Takoradze;;
gh2295840;gh09;CITY;Prestea;;
gh2303060;gh09;CITY;Bibiani;;
gh2303611;gh09;CITY;Esim;;
gh2294768;gh09;CITY;Tarkwa;;
gh2295385;gh09;CITY;Shama Junction;;
gh2295835;gh09;CITY;Princess Town;;
gh2306224;gh09;CITY;Aboso;;
gh2295476;gh09;CITY;Sefwi Bekwai;;
gh2295628;gh09;CITY;Samreboe;;
gh2295808;gh09;CITY;Pumponi;;
gh2296329;gh09;CITY;Omanpe;;
gh2297155;gh09;CITY;Nsein;;
gh2297265;gh09;CITY;Ngulofolo;;
gh2297293;gh09;CITY;Nkonya;;
gh2297874;gh09;CITY;Kwame Ne Ampa;;
gh2298528;gh09;CITY;Kwesimintsim;;
gh2299829;gh09;CITY;Kengen;;
gh2300272;gh09;CITY;Dwuabo;;
gh2300298;gh09;CITY;Inchaban;;
gh2300326;gh09;CITY;Huni Valley;;
gh2300422;gh09;CITY;Heman;;
gh2300469;gh09;CITY;Awiano;;
gh2301104;gh09;CITY;Essiama;;
gh2301174;gh09;CITY;Enkye;;
gh2301184;gh09;CITY;Elubo;;
gh2301202;gh09;CITY;Ekuasi;;
gh2301243;gh09;CITY;Eikwe;;
gh2301271;gh09;CITY;Efia;;
gh2301293;gh09;CITY;Eluokrom;;
gh2301547;gh09;CITY;Domunli;;
gh2301554;gh09;CITY;Dompem Number One;;
gh2301715;gh09;CITY;Dixcove;;
gh2301809;gh09;CITY;Elentusuazo;;
gh2302099;gh09;CITY;Daboasi;;
gh2302231;gh09;CITY;Chiehiweri;;
gh2302384;gh09;CITY;Busua;;
gh2302653;gh09;CITY;Botodwina;;
gh2302656;gh09;CITY;Bosumuoso;;
gh2302775;gh09;CITY;Bondae;;
gh2302877;gh09;CITY;Bogoso;;
gh2303085;gh09;CITY;Beyin;;
gh2303197;gh09;CITY;Benchema-Nkatiaso;;
gh2303615;gh09;CITY;Ewusiadwo;;
gh2303676;gh09;CITY;Awaso;;
gh2303779;gh09;CITY;Atuabo;;
gh2304112;gh09;CITY;Ashiem;;
gh2304113;gh09;CITY;Ashiem;;
gh2304207;gh09;CITY;Asankranguaa;;
gh2304305;gh09;CITY;Apowa;;
gh2304432;gh09;CITY;Enyinabirmu;;
gh2304513;gh09;CITY;Antobia;;
gh2304669;gh09;CITY;Anagyi;;
gh2304916;gh09;CITY;Akodaa;;
gh2305029;gh09;CITY;Wassa Akropon;;
gh2305273;gh09;CITY;Adwowa;;
gh2305308;gh09;CITY;Egyembra;;
gh2305480;gh09;CITY;Aguafo;;
gh2305756;gh09;CITY;Adum Banso;;
gh2306026;gh09;CITY;Atwereboannda;;
gh2306035;gh09;CITY;Atwiwa;;
gh2306311;gh09;CITY;Aboadi;;
gh2593207;gh09;CITY;Egyan;;
gh2293902;gh09;CITY;Yarku;;
gh2293932;gh09;CITY;Ya Biw;;
gh2294305;gh09;CITY;Maudaso;;
gh2294605;gh09;CITY;Tikobo Number One;;
gh7648743;gh09;CITY;Sefwi Akontombra;;
gh11288677;gh09;CITY;Essipon;;
gh11205147;gh09;CITY;Effia Kuma;;
gh11205196;gh09;CITY;Nzulezo;;
gh11772250;gh09;CITY;Kwakrom;;
gh11793438;gh09;CITY;Figyae;;
gh2295387;gh09;CITY;Shama;;
gh2295127;gh09;CITY;Subri;;
gh2295325;gh09;CITY;Sikanyasam;;
gh2295350;gh09;CITY;Essienkyem;;
gh2295392;gh09;CITY;Sewum;;
gh2295421;gh09;CITY;Anyanzinli;;
gh2295489;gh09;CITY;Sechim;;
gh2295588;gh09;CITY;Sanko;;
gh2295643;gh09;CITY;Samengyi;;
gh2295661;gh09;CITY;Saman;;
gh2295839;gh09;CITY;Pretsia;;
gh2296073;gh09;CITY;Patakoro;;
gh2296091;gh09;CITY;Papue;;
gh2296287;gh09;CITY;Oponsokese;;
gh2296509;gh09;CITY;Dominase;;
gh2296565;gh09;CITY;Asankran Anhwiem;;
gh2296608;gh09;CITY;Obuasi;;
gh2296878;gh09;CITY;Nyamibechire;;
gh2296886;gh09;CITY;Nyamibechire;;
gh2296921;gh09;CITY;Nyamidiama;;
gh2296957;gh09;CITY;Nyenesoro;;
gh2297054;gh09;CITY;Ntankofu;;
gh2297129;gh09;CITY;Nsisiamu;;
gh2297152;gh09;CITY;Asuakor;;
gh2297163;gh09;CITY;Ndotiem;;
gh2297227;gh09;CITY;Nkwanta;;
gh2297230;gh09;CITY;Nkwanta;;
gh2297264;gh09;CITY;Nkrofopasem;;
gh2297307;gh09;CITY;Nketiakrom;;
gh2297412;gh09;CITY;Ngalekyi;;
gh2297417;gh09;CITY;Mfuma;;
gh2297449;gh09;CITY;Nerekazo;;
gh2297604;gh09;CITY;Nanankaw;;
gh2297783;gh09;CITY;Modrokenli;;
gh2297813;gh09;CITY;Mahamamo;;
gh2297840;gh09;CITY;Mpohor;;
gh2297844;gh09;CITY;Mpeasem;;
gh2297857;gh09;CITY;Mpanyinasa;;
gh2297860;gh09;CITY;Amgbenu;;
gh2297875;gh09;CITY;Mpeasem;;
gh2297885;gh09;CITY;Mpatono;;
gh2297890;gh09;CITY;Mpasem;;
gh2297892;gh09;CITY;Yehwe;;
gh2298013;gh09;CITY;Miamea;;
gh2298119;gh09;CITY;Nsuta;;
gh2298136;gh09;CITY;Morkyerkrom;;
gh2298141;gh09;CITY;Mertian;;
gh2298549;gh09;CITY;Kusarekurom;;
gh2298641;gh09;CITY;Kwametawiakrom;;
gh2298653;gh09;CITY;Kawnikrom;;
gh2298654;gh09;CITY;Kwamekrom;;
gh2298675;gh09;CITY;Kwaaman;;
gh2298751;gh09;CITY;Kwabadu;;
gh2298761;gh09;CITY;Kutukrom;;
gh2299072;gh09;CITY;Krodua;;
gh2299086;gh09;CITY;Krobo Abrokyire;;
gh2299095;gh09;CITY;Krisan;;
gh2299389;gh09;CITY;Komfoeku;;
gh2299474;gh09;CITY;Kokofrey;;
gh2299500;gh09;CITY;Kodwokrom;;
gh2299509;gh09;CITY;Kegyabir;;
gh2299513;gh09;CITY;Kojina;;
gh2299619;gh09;CITY;Kisi-Kwanta;;
gh2299737;gh09;CITY;Katakul;;
gh2299808;gh09;CITY;Kasawuradu;;
gh2299966;gh09;CITY;Kabaku;;
gh2299995;gh09;CITY;Juaben;;
gh2300009;gh09;CITY;Dwukwa;;
gh2300041;gh09;CITY;Jomuro;;
gh2300115;gh09;CITY;Gyawue Wharf;;
gh2300116;gh09;CITY;Gyawue;;
gh2300134;gh09;CITY;Gyansue;;
gh2300163;gh09;CITY;Gyeduakese;;
gh2300184;gh09;CITY;Gyapa Amamfi;;
gh2300228;gh09;CITY;Gyama;;
gh2300229;gh09;CITY;Gyaaman;;
gh2300271;gh09;CITY;Gyabinkrom;;
gh2300274;gh09;CITY;Gyabeso;;
gh2300289;gh09;CITY;Essase;;
gh2300303;gh09;CITY;Suroso;;
gh2300312;gh09;CITY;Hwendo;;
gh2300862;gh09;CITY;Frobohu;;
gh2300983;gh09;CITY;Fawumaye;;
gh2300998;gh09;CITY;Fasen;;
gh2301128;gh09;CITY;Esaaman;;
gh2301139;gh09;CITY;Ekpu;;
gh2301163;gh09;CITY;Enimniechini;;
gh2301187;gh09;CITY;Alabanketa;;
gh2301224;gh09;CITY;Ejinasi;;
gh2301233;gh09;CITY;Ebyam;;
gh2301259;gh09;CITY;Efwhia;;
gh2301310;gh09;CITY;Edrowso;;
gh2301328;gh09;CITY;Egbazo;;
gh2301353;gh09;CITY;Ebin;;
gh2301381;gh09;CITY;Dwinasi;;
gh2301386;gh09;CITY;Dawurampon;;
gh2301387;gh09;CITY;Dewankrom;;
gh2301401;gh09;CITY;Dunkwa;;
gh2301404;gh09;CITY;Supon Dunkwa;;
gh2301462;gh09;CITY;Bedibesire;;
gh2301558;gh09;CITY;Dompoasi;;
gh2301612;gh09;CITY;Dominibo;;
gh2301617;gh09;CITY;Domi;;
gh2301625;gh09;CITY;Dominase;;
gh2302050;gh09;CITY;Dadwen;;
gh2302081;gh09;CITY;Dadeeso;;
gh2302086;gh09;CITY;Dadeeso Number One;;
gh2302112;gh09;CITY;Elubo;;
gh2302255;gh09;CITY;Nyaminkum;;
gh2302373;gh09;CITY;Butre;;
gh2302422;gh09;CITY;Bonuama;;
gh2302522;gh09;CITY;Buaku;;
gh2302602;gh09;CITY;Breman;;
gh2302705;gh09;CITY;Bonyeri;;
gh2302788;gh09;CITY;Dompieso;;
gh2302811;gh09;CITY;Bomuakpole;;
gh2302839;gh09;CITY;Bokokre;;
gh2302850;gh09;CITY;Bokakre;;
gh2302928;gh09;CITY;Boachiswaso;;
gh2302978;gh09;CITY;Bisaso;;
gh2303173;gh09;CITY;Bentinasi;;
gh2303198;gh09;CITY;Benkyema;;
gh2303299;gh09;CITY;Bowodee;;
gh2303381;gh09;CITY;Bankrumisa;;
gh2303411;gh09;CITY;Bandawaso;;
gh2303433;gh09;CITY;Bamiankaw;;
gh2303470;gh09;CITY;Bakukrom;;
gh2303484;gh09;CITY;Bakanba;;
gh2303607;gh09;CITY;Ayaboi;;
gh2303763;gh09;CITY;Atwebanso;;
gh2303793;gh09;CITY;Atrekeso;;
gh2303821;gh09;CITY;Wasa Atobiase;;
gh2303843;gh09;CITY;Cape Three Points;;
gh2303895;gh09;CITY;Adaraso;;
gh2304030;gh09;CITY;Asoampa;;
gh2304088;gh09;CITY;Bonsawire;;
gh2304111;gh09;CITY;Ashienso;;
gh2304126;gh09;CITY;Aserewadze;;
gh2304157;gh09;CITY;Asemkaw;;
gh2304173;gh09;CITY;Asooko;;
gh2304187;gh09;CITY;Asaraku;;
gh2304191;gh09;CITY;Asawinso;;
gh2304209;gh09;CITY;Asane;;
gh2304216;gh09;CITY;Asemko;;
gh2304274;gh09;CITY;Alabokazo;;
gh2304335;gh09;CITY;Apemenyim;;
gh2304369;gh09;CITY;Apa Tam;;
gh2304450;gh09;CITY;Tsib Ansa;;
gh2304510;gh09;CITY;Anoaho;;
gh2304535;gh09;CITY;Alomatuope;;
gh2304546;gh09;CITY;Anokyi;;
gh2304559;gh09;CITY;Ankra;;
gh2304568;gh09;CITY;Ankaase;;
gh2304711;gh09;CITY;Ampansie;;
gh2304751;gh09;CITY;Amuaman;;
gh2304838;gh09;CITY;New Amanful;;
gh2304915;gh09;CITY;Bebianiha;;
gh2304943;gh09;CITY;Akontobra;;
gh2304967;gh09;CITY;Akutuasi;;
gh2304986;gh09;CITY;Nyamebekyere;;
gh2305053;gh09;CITY;Ekrofomu;;
gh2305071;gh09;CITY;Ekalesuazo;;
gh2305149;gh09;CITY;Akwadakrom;;
gh2305169;gh09;CITY;Prusi Akatakyi;;
gh2305186;gh09;CITY;Akoriso;;
gh2305208;gh09;CITY;Akanko;;
gh2305255;gh09;CITY;Ajuman;;
