CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
gr;;COUNTRY;Greece;;
grESYE12;gr;REGION;Central Macedonia;;
gr734566;grESYE12;CITY;Plagiá;;
gr734726;grESYE12;CITY;Pella;;
gr734996;grESYE12;CITY;Olynthus;;
gr736661;grESYE12;CITY;Axioupolis;;
gr736830;grESYE12;CITY;Ano Apostoloi;;
gr736853;grESYE12;CITY;Antigoneia;;
gr736857;grESYE12;CITY;Anavryto;;
gr736859;grESYE12;CITY;Anatolikó;;
gr736893;grESYE12;CITY;Amphipolis;;
gr736902;grESYE12;CITY;Ampeleíes;;
gr736908;grESYE12;CITY;Amaranta;;
gr736921;grESYE12;CITY;Alistrati;;
gr736930;grESYE12;CITY;Alexandra;;
gr736941;grESYE12;CITY;Akritas;;
gr736951;grESYE12;CITY;Achladochori;;
gr736987;grESYE12;CITY;Afytos;;
gr737002;grESYE12;CITY;Ádendro;;
gr733760;grESYE12;CITY;Zacharato;;
gr733785;grESYE12;CITY;Gerakonas;;
gr733792;grESYE12;CITY;Gerakareion;;
gr733801;grESYE12;CITY;Gefyroudi;;
gr733807;grESYE12;CITY;Xiróvrysi;;
gr733825;grESYE12;CITY;Xirolakkos;;
gr733830;grESYE12;CITY;Xylokeratea;;
gr733887;grESYE12;CITY;Krinida;;
gr733901;grESYE12;CITY;Vergina;;
gr733951;grESYE12;CITY;Vaptistis;;
gr733955;grESYE12;CITY;Vamvakofyto;;
gr733958;grESYE12;CITY;Valtoudi;;
gr733959;grESYE12;CITY;Valtotopi;;
gr733960;grESYE12;CITY;Valtotopi;;
gr733968;grESYE12;CITY;Vakoufion;;
gr733972;grESYE12;CITY;Vafiochori;;
gr734009;grESYE12;CITY;Tripotamos;;
gr734014;grESYE12;CITY;Trilofos;;
gr734033;grESYE12;CITY;Tragilos;;
gr734088;grESYE12;CITY;Theodosia;;
gr734102;grESYE12;CITY;Terpni;;
gr734103;grESYE12;CITY;Terpyllos;;
gr734128;grESYE12;CITY;Strymoniko;;
gr734148;grESYE12;CITY;Stagira;;
gr734160;grESYE12;CITY;Stavrochorion;;
gr734165;grESYE12;CITY;Stathis;;
gr734185;grESYE12;CITY;Soultogiannaiika;;
gr734211;grESYE12;CITY;Skra;;
gr734216;grESYE12;CITY;Skotoussa;;
gr734299;grESYE12;CITY;Sykia;;
gr734302;grESYE12;CITY;Sykia;;
gr734320;grESYE12;CITY;Sfendámi;;
gr734323;grESYE12;CITY;Sevasto;;
gr734339;grESYE12;CITY;Sarti;;
gr734390;grESYE12;CITY;Ryzia;;
gr734392;grESYE12;CITY;Rizana;;
gr734405;grESYE12;CITY;Péfka;;
gr734440;grESYE12;CITY;Provatas;;
gr734443;grESYE12;CITY;Proti;;
gr734511;grESYE12;CITY;Pontokerasia;;
gr734512;grESYE12;CITY;Pontoirákleia;;
gr734530;grESYE12;CITY;Polypetron;;
