CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
gt;;COUNTRY;Guatemala;;
gt22;gt;REGION;Zacapa;;
gt3595560;gt22;CITY;Gualan;;
gt3595358;gt22;CITY;El Islote;;
gt3597070;gt22;CITY;El Filo;;
gt3598828;gt22;CITY;Chagüitón;;
gt3588776;gt22;CITY;Shinshín;;
gt3589068;gt22;CITY;Santo Tomás;;
gt3589131;gt22;CITY;Santa Teresa;;
gt3593066;gt22;CITY;Los Frutillos;;
gt3593258;gt22;CITY;Achiotes;;
gt12074036;gt22;CITY;Poljá Abajo;;
gt3598953;gt22;CITY;Caulotales;;
gt3591400;gt22;CITY;Pexjá;;
gt3594023;gt22;CITY;Las Carretas;;
gt3594141;gt22;CITY;La Reforma;;
gt3594244;gt22;CITY;La Pepesca;;
gt3594291;gt22;CITY;La Palmilla;;
gt3594298;gt22;CITY;La Palma;;
gt3594306;gt22;CITY;La Oscurana;;
gt3594334;gt22;CITY;Lampara;;
gt3594451;gt22;CITY;La Laguna;;
gt3594453;gt22;CITY;La Laguna;;
gt3594484;gt22;CITY;Lajillal;;
gt3594486;gt22;CITY;La Jigua;;
gt3594610;gt22;CITY;La Fragua;;
gt3595088;gt22;CITY;Jumuzna;;
gt3595543;gt22;CITY;Guaranjá;;
gt3595681;gt22;CITY;García;;
gt3595734;gt22;CITY;Fila del Mecate;;
gt3595852;gt22;CITY;El Zarzal;;
gt3595894;gt22;CITY;El Zapotal;;
gt3596229;gt22;CITY;El Rosario;;
gt3596513;gt22;CITY;El Pinalito;;
gt3596641;gt22;CITY;El Palmar;;
gt3597011;gt22;CITY;El Guayabo;;
gt3597094;gt22;CITY;El Encinal;;
gt3597250;gt22;CITY;El Cobán;;
gt3597269;gt22;CITY;El Chucte;;
gt3597313;gt22;CITY;El Chile;;
gt3597479;gt22;CITY;Capucalito;;
gt3598183;gt22;CITY;Chupadero;;
gt3598993;gt22;CITY;Carrizalito;;
gt3599043;gt22;CITY;Capulín;;
gt3599172;gt22;CITY;Campanario;;
gt3599584;gt22;CITY;Barbasco;;
gt3599685;gt22;CITY;Arenal;;
gt3587876;gt22;CITY;Volcán;;
gt3587976;gt22;CITY;Vega del Cobán;;
gt3588431;gt22;CITY;Terrero;;
gt3588596;gt22;CITY;Taguayní;;
gt3588616;gt22;CITY;Tablón Ojo de Agua;;
gt3588631;gt22;CITY;Tabancas;;
gt3588634;gt22;CITY;Tabacal;;
gt3588645;gt22;CITY;Sunzapote;;
gt3589417;gt22;CITY;Santa Cruz;;
gt3590760;gt22;CITY;Roblarón;;
gt3591305;gt22;CITY;Pinalito;;
gt3591380;gt22;CITY;Pié de La Cuesta;;
gt3591741;gt22;CITY;Panaluya;;
gt3591964;gt22;CITY;El Pacayalito;;
gt3592567;gt22;CITY;El Mestizo;;
gt3592694;gt22;CITY;Manzanotes;;
gt3593358;gt22;CITY;Llano de Piedras;;
gt3593530;gt22;CITY;La Trementina;;
gt3593764;gt22;CITY;Las Minas;;
gt3593856;gt22;CITY;Las Lajas;;
gt12068026;gt22;CITY;La Avanzada;;
gt12068028;gt22;CITY;Chagüitillo;;
gt12068208;gt22;CITY;Cocal;;
gt12075872;gt22;CITY;Chiquerito;;
gt12075891;gt22;CITY;Guayabal;;
gt12076073;gt22;CITY;Vista Hermosa;;
gt12076149;gt22;CITY;Tzunzal;;
gt12076152;gt22;CITY;El Tecolote;;
gt12076318;gt22;CITY;El Silencio;;
gt12074037;gt22;CITY;Poljá Arriba;;
gt12074050;gt22;CITY;Los Limones;;
gt12074066;gt22;CITY;Zapote;;
gt12074077;gt22;CITY;El Zarzal;;
gt12074087;gt22;CITY;El Carrizal;;
gt12074120;gt22;CITY;Masical;;
gt12074138;gt22;CITY;Encuentro del Camalote;;
gt12074145;gt22;CITY;La Puerta de Hierro;;
gt12074147;gt22;CITY;El Barreto;;
gt12141254;gt22;CITY;Nuevo Sunzapote;;
gt12141317;gt22;CITY;El Churupaco;;
gt3595087;gt22;CITY;Jumuzna;;
gt3596230;gt22;CITY;El Rosario;;
gt3596403;gt22;CITY;El Puente;;
gt3597782;gt22;CITY;Cumbre Alta;;
gt3597831;gt22;CITY;Cuchilla;;
gt3599714;gt22;CITY;Angostura;;
gt3588050;gt22;CITY;Uruguay;;
gt3591373;gt22;CITY;Piedra Blanca;;
gt3587516;gt22;CITY;Zompopero;;
gt3587561;gt22;CITY;Zapotal;;
gt3587629;gt22;CITY;Yerbabuena;;
gt3593961;gt22;CITY;Las Delicias;;
gt3594040;gt22;CITY;Las Cañas;;
gt3594331;gt22;CITY;Lampocoy;;
gt3594395;gt22;CITY;La Majada;;
gt3594455;gt22;CITY;La Laguna;;
gt3594479;gt22;CITY;La Joya;;
gt3594482;gt22;CITY;Lajincó;;
gt3594489;gt22;CITY;La Jarretada;;
gt3594659;gt22;CITY;La Espinilla;;
gt3594737;gt22;CITY;La Ensenada;;
gt3594897;gt22;CITY;La Ceiba;;
gt3595055;gt22;CITY;La Adobera;;
gt3595113;gt22;CITY;Juan Ponce;;
gt3595116;gt22;CITY;Juan de Paz;;
gt3595135;gt22;CITY;Joya Grande;;
gt3595157;gt22;CITY;Jones;;
gt3595214;gt22;CITY;Jesús María;;
gt3595230;gt22;CITY;Jampú;;
gt3595410;gt22;CITY;Huijó;;
gt3595420;gt22;CITY;Huacal Majada;;
gt3595495;gt22;CITY;Guineal;;
gt3595536;gt22;CITY;Guasintepeque;;
gt3595546;gt22;CITY;Guapinol;;
gt3595548;gt22;CITY;Guapinol;;
gt3595573;gt22;CITY;Guadalupe;;
gt3595839;gt22;CITY;Encinitos;;
gt3595844;gt22;CITY;El Zunco;;
gt3595906;gt22;CITY;El Volcán;;
gt3595950;gt22;CITY;El Triunfo;;
gt3595965;gt22;CITY;El Trapiche;;
gt3595985;gt22;CITY;El Tocino;;
gt3596020;gt22;CITY;El Terrero;;
gt3596023;gt22;CITY;El Terrero;;
gt3596046;gt22;CITY;El Tecolote;;
gt3596164;gt22;CITY;El Sauce;;
gt3596165;gt22;CITY;El Sauce;;
gt3596454;gt22;CITY;El Porvenir;;
gt3596512;gt22;CITY;El Pinalito;;
gt3596612;gt22;CITY;El Paraíso;;
gt3596712;gt22;CITY;El Naranjo;;
gt3596844;gt22;CITY;El Maguey;;
gt3596849;gt22;CITY;El Lobo;;
gt3596850;gt22;CITY;El Llanón;;
gt3596876;gt22;CITY;El Limo;;
gt3596899;gt22;CITY;El Jute;;
gt3596903;gt22;CITY;El Jute;;
gt3596904;gt22;CITY;El Jute;;
gt3597005;gt22;CITY;El Hatillo;;
gt3597053;gt22;CITY;El Frutillo;;
gt3597323;gt22;CITY;El Chico;;
gt3597354;gt22;CITY;El Cerrón;;
gt3597378;gt22;CITY;El Cedro;;
gt3597594;gt22;CITY;El Arenal;;
gt3597604;gt22;CITY;El Arco;;
gt3597622;gt22;CITY;El Amatillo;;
gt3597711;gt22;CITY;Doña María;;
gt3597724;gt22;CITY;Dolores;;
gt3597780;gt22;CITY;Cumbre de Talquezal;;
