CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
gw;;COUNTRY;Guinea-Bissau;;
gw04;gw;REGION;Oio;;
gw2374759;gw04;CITY;Bissorã;;
gw2371467;gw04;CITY;Mansôa;;
gw2371491;gw04;CITY;Mansabá;;
gw2373158;gw04;CITY;Cufeu;;
gw2374760;gw04;CITY;Bissorã;;
gw2375171;gw04;CITY;Bambaiá;;
gw2375475;gw04;CITY;Alabato;;
gw2372260;gw04;CITY;Guidaje;;
gw2368797;gw04;CITY;Ujeque;;
gw2368845;gw04;CITY;Uassadu;;
gw2368862;gw04;CITY;Uanquelim;;
gw2369833;gw04;CITY;Sare Samba Iafa;;
gw2370217;gw04;CITY;Saliquinhédim;;
gw2371002;gw04;CITY;Pache;;
gw2371219;gw04;CITY;Nhaé;;
gw2372071;gw04;CITY;Insontão;;
gw2372097;gw04;CITY;Infandre;;
gw2373382;gw04;CITY;Chombé;;
gw2373755;gw04;CITY;Cansoncó Fula;;
gw2373770;gw04;CITY;Cansambo;;
gw2374803;gw04;CITY;Bironque;;
gw2374826;gw04;CITY;Binta;;
gw2368737;gw04;CITY;Unfarim;;
gw2368755;gw04;CITY;Unche;;
gw2368771;gw04;CITY;Umpabá;;
gw2368809;gw04;CITY;Uensacó;;
gw2368859;gw04;CITY;Uaque;;
gw2368905;gw04;CITY;Tungina;;
gw2369010;gw04;CITY;Temanto;;
gw2369016;gw04;CITY;Tehé;;
gw2369041;gw04;CITY;Tancroal;;
gw2369054;gw04;CITY;Tambato Mandinga;;
gw2369057;gw04;CITY;Tambato;;
gw2369061;gw04;CITY;Tambandinto;;
gw2369201;gw04;CITY;Solinto Mandinga;;
gw2369203;gw04;CITY;Sogume;;
gw2369775;gw04;CITY;Selim;;
gw2369820;gw04;CITY;Sare Tenem;;
gw2369984;gw04;CITY;Sare Bori;;
gw2370073;gw04;CITY;Sansancutoto;;
gw2370128;gw04;CITY;Samoje;;
gw2370206;gw04;CITY;Samandim;;
gw2370290;gw04;CITY;Rossum;;
gw2370435;gw04;CITY;Quenhequenheto;;
gw2370437;gw04;CITY;Quenhato;;
gw2370440;gw04;CITY;Quenhaque;;
gw2371066;gw04;CITY;Olossato;;
gw2371101;gw04;CITY;Norobanta Fula;;
gw2371192;gw04;CITY;Nhamate;;
gw2371287;gw04;CITY;Naga de Baixo;;
gw2371316;gw04;CITY;Mone;;
gw2371449;gw04;CITY;Maquèzinho;;
gw2371474;gw04;CITY;Mansalia;;
gw2371500;gw04;CITY;Manhau;;
gw2371512;gw04;CITY;Manga;;
gw2371516;gw04;CITY;Manecunda;;
gw2371589;gw04;CITY;Malibolom;;
gw2371594;gw04;CITY;Malafo;;
gw2371764;gw04;CITY;Libari;;
gw2371767;gw04;CITY;Leto;;
gw2371870;gw04;CITY;Jugudul Com;;
gw2371871;gw04;CITY;Jugudul;;
gw2371912;gw04;CITY;Jimba;;
gw2372017;gw04;CITY;Jabicó;;
gw2372050;gw04;CITY;Ionfarim;;
