CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
gy;;COUNTRY;Guyana;;
gy13;gy;REGION;East Berbice-Corentyne;;
gy3375941;gy13;CITY;Skeldon;;
gy3375168;gy13;CITY;Wel te Vreeden;;
gy3375869;gy13;CITY;Number Seventy-four Stockholm;;
gy3376227;gy13;CITY;Rose Hall;;
gy3376396;gy13;CITY;Port Mourant;;
gy3377025;gy13;CITY;Number Seventy-eight Mary and Eliza;;
gy3379045;gy13;CITY;Crabwood Creek;;
gy3379103;gy13;CITY;Number Seventy-three Clonbrook;;
gy3379202;gy13;CITY;Canefield;;
gy3379233;gy13;CITY;Bush Lot;;
gy3379508;gy13;CITY;Bartica;;
gy3376606;gy13;CITY;Orealla;;
gy3375899;gy13;CITY;Number Seventy-five Spring Garden;;
gy3376745;gy13;CITY;Number Sixty-five New Market;;
gy3377012;gy13;CITY;Number Seventy Massiah;;
gy3377371;gy13;CITY;Number Seventy-one Little Massiah;;
gy3378385;gy13;CITY;Number Seventy-two Hong Kong;;
gy3378455;gy13;CITY;Number Seventy-six Harriet;;
gy3378660;gy13;CITY;Number Three Fyrish;;
gy3378671;gy13;CITY;Number Sixty-nine Friendship;;
gy3379590;gy13;CITY;Number Sixty-four Babylon;;
gy3378752;gy13;CITY;Epira;;
gy3375741;gy13;CITY;Tarlogie;;
gy3375895;gy13;CITY;Springlands;;
gy3376684;gy13;CITY;Number Sixty-six;;
gy3376685;gy13;CITY;Number Sixty-seven;;
gy3379874;gy13;CITY;Alness;;
gy3374943;gy13;CITY;Barakara;;
gy3376254;gy13;CITY;Rising Sun;;
gy3378593;gy13;CITY;Good Hope;;
gy3375053;gy13;CITY;Yakusari;;
gy3375139;gy13;CITY;Whim;;
gy3375248;gy13;CITY;Ward village;;
gy3375884;gy13;CITY;Stanleytown;;
gy3376066;gy13;CITY;Scottsburg;;
gy3376314;gy13;CITY;Queenstown;;
gy3376344;gy13;CITY;Providence Place;;
gy3376359;gy13;CITY;Princetown;;
gy3376683;gy13;CITY;Number Sixty-two;;
gy3376697;gy13;CITY;Number Forty-six;;
gy3376700;gy13;CITY;Number Forty-five;;
gy3376952;gy13;CITY;Mibikuri;;
gy3377295;gy13;CITY;Macaw;;
gy3377432;gy13;CITY;Lesbeholden;;
