CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
in;;COUNTRY;India;;
in09;in;REGION;Gujarat;;
in1279233;in09;CITY;Ahmedabad;;
in1255364;in09;CITY;Surat;;
in1258847;in09;CITY;Rajkot;;
in1276032;in09;CITY;Bhavnagar;;
in1253573;in09;CITY;Vadodara;;
in1259395;in09;CITY;Porbandar;;
in1275812;in09;CITY;Bhuj;;
in1269317;in09;CITY;Jamnagar;;
in1271107;in09;CITY;Godhra;;
in1260173;in09;CITY;Pātan;;
in1260777;in09;CITY;Pālanpur;;
in1262292;in09;CITY;Nadiād;;
in1275610;in09;CITY;Bilimora;;
in1276100;in09;CITY;Bharūch;;
in1278685;in09;CITY;Anand;;
in1268773;in09;CITY;Jūnāgadh;;
in1269065;in09;CITY;Jetpur;;
in1270994;in09;CITY;Gondal;;
in1253315;in09;CITY;Vejalpur;;
in1255349;in09;CITY;Surendranagar;;
in1271717;in09;CITY;Gāndhīdhām;;
in1259841;in09;CITY;Petlād;;
in1267090;in09;CITY;Khambhāt;;
in1267227;in09;CITY;Keshod;;
in1260707;in09;CITY;Pālitāna;;
in1263752;in09;CITY;Māngrol;;
in1277022;in09;CITY;Bārdoli;;
in1278553;in09;CITY;Ankleshwar;;
in1278573;in09;CITY;Anjār;;
in1272513;in09;CITY;Deesa;;
in1272701;in09;CITY;Dhrāngadhra;;
in1272720;in09;CITY;Dhoraji;;
in1272733;in09;CITY;Dholka;;
in1273687;in09;CITY;Dohad;;
in1273766;in09;CITY;Dabhoi;;
in1275230;in09;CITY;Borsad;;
in1268680;in09;CITY;Kadi;;
in1253736;in09;CITY;Upleta;;
in1253750;in09;CITY;Unjha;;
in1253783;in09;CITY;Una;;
in1256343;in09;CITY;Sihor;;
in1256382;in09;CITY;Siddhapur;;
in1253095;in09;CITY;Visnagar;;
in7279741;in09;CITY;Vapi;;
in11184442;in09;CITY;Savarkundla;;
in1279213;in09;CITY;Ahwa;;
in1279373;in09;CITY;Adalaj;;
in1256929;in09;CITY;Sāyla;;
in1257366;in09;CITY;Sankheda;;
in1257486;in09;CITY;Sānand;;
in1257638;in09;CITY;Salāya;;
in1257901;in09;CITY;Sachīn;;
in1258406;in09;CITY;Rāpar;;
in1258534;in09;CITY;Rānāvāv;;
in1258795;in09;CITY;Rājula;;
in1259069;in09;CITY;Rādhanpur;;
in1260281;in09;CITY;Parnera;;
in1260335;in09;CITY;Pārdi;;
in1264344;in09;CITY;Mahudha;;
in1264398;in09;CITY;Mahemdāvād;;
in1264912;in09;CITY;Limbdi;;
in1265022;in09;CITY;Lāthi;;
in1265225;in09;CITY;Lakhtar;;
in1265415;in09;CITY;Kutiyāna;;
in1265605;in09;CITY;Kundla;;
in1266087;in09;CITY;Kosamba;;
in1266397;in09;CITY;Kodīnar;;
in1266774;in09;CITY;Kherālu;;
in1266809;in09;CITY;Kheda;;
in1267492;in09;CITY;Kāthor;;
in1267862;in09;CITY;Karamsad;;
in1267939;in09;CITY;Kapadvanj;;
in1268004;in09;CITY;Kānodar;;
in1268124;in09;CITY;Kāndla;;
in1260706;in09;CITY;Pāliyād;;
in1260911;in09;CITY;Padra;;
in1261050;in09;CITY;Olpād;;
in1261066;in09;CITY;Okha;;
in1262062;in09;CITY;Naliya;;
in1262497;in09;CITY;Mundra;;
in1263142;in09;CITY;Mendarda;;
in1263201;in09;CITY;Meghraj;;
in1263824;in09;CITY;Māndvi;;
in1263826;in09;CITY;Māndvi;;
in1263943;in09;CITY;Mānāvadar;;
in1275609;in09;CITY;Bilkha;;
in1276013;in09;CITY;Bhāyāvadar;;
in1276147;in09;CITY;Bhānvad;;
in1276370;in09;CITY;Bhachāu;;
in1276627;in09;CITY;Bedi;;
in1277202;in09;CITY;Bāntva;;
in1277924;in09;CITY;Bagasra;;
in1278054;in09;CITY;Bābra;;
in1278707;in09;CITY;Amroli;;
in1278742;in09;CITY;Amod;;
in1271722;in09;CITY;Gandevi;;
in1271839;in09;CITY;Gadhada;;
in1272140;in09;CITY;Dwārka;;
in1272699;in09;CITY;Dhrol;;
in1272861;in09;CITY;Dhāri;;
in1272881;in09;CITY;Dharampur;;
in1272962;in09;CITY;Dhanera;;
in1272970;in09;CITY;Dhandhuka;;
in1273104;in09;CITY;Devgadh Bāriya;;
in1273287;in09;CITY;Delvāda;;
in1273593;in09;CITY;Dāmnagar;;
in1273665;in09;CITY;Dākor;;
in1273704;in09;CITY;Dahegām;;
in1273960;in09;CITY;Chotila;;
in1274807;in09;CITY;Chānasma;;
in1274874;in09;CITY;Chalāla;;
in1274896;in09;CITY;Chaklāsi;;
in1268339;in09;CITY;Kālol;;
in1268450;in09;CITY;Kālāvad;;
in1268667;in09;CITY;Kadod;;
in1268863;in09;CITY;Jodiya Bandar;;
in1268866;in09;CITY;Jodhpur;;
in1269179;in09;CITY;Jasdan;;
in1269350;in09;CITY;Jambusar;;
in1269439;in09;CITY;Jalalpore;;
in1270343;in09;CITY;Hārij;;
in1270413;in09;CITY;Hansot;;
in1270466;in09;CITY;Halvad;;
in1270474;in09;CITY;Hālol;;
in1271285;in09;CITY;Ghogha;;
in1271533;in09;CITY;Gariadhar;;
in1253193;in09;CITY;Vijāpur;;
in1253381;in09;CITY;Vartej;;
in1253425;in09;CITY;Vānsada;;
in1253482;in09;CITY;Vallabh Vidyanagar;;
in1253559;in09;CITY;Vāghodia;;
in1253577;in09;CITY;Vadnagar;;
in1253640;in09;CITY;Utrān;;
in1253786;in09;CITY;Un;;
in1253805;in09;CITY;Umreth;;
in1254638;in09;CITY;Tharād;;
in1254675;in09;CITY;Thān;;
in1254972;in09;CITY;Tankāra;;
in1255175;in09;CITY;Talāja;;
in1255762;in09;CITY;Songadh;;
in1255858;in09;CITY;Sojītra;;
in1256117;in09;CITY;Sinor;;
in1256333;in09;CITY;Sikka;;
in1252958;in09;CITY;Wānkāner;;
in1253074;in09;CITY;Vyāra;;
in1253105;in09;CITY;Vīsāvadar;;
in11102685;in09;CITY;Abrama;;
in1260933;in09;CITY;Paddhari;;
in1261768;in09;CITY;Naroda;;
in1264033;in09;CITY;Mālpur;;
in1272660;in09;CITY;Dhuwaran;;
in1272744;in09;CITY;Dhola;;
in1274235;in09;CITY;Chikhli;;
in1269064;in09;CITY;Jetpur;;
in1253512;in09;CITY;Valabhīpur;;
in1253024;in09;CITY;Waghāi;;
in1253115;in09;CITY;Virpur;;
in7303983;in09;CITY;Jhulasan;;
in1279089;in09;CITY;Akrund;;
in1279093;in09;CITY;Akoti;;
in1279266;in09;CITY;Āgol;;
in1279300;in09;CITY;Agar;;
in1279337;in09;CITY;Odadar;;
in1279353;in09;CITY;Adesar;;
in1256955;in09;CITY;Sāvli;;
in1257149;in09;CITY;Sarkhej;;
in1257192;in09;CITY;Sardoi;;
in1257194;in09;CITY;Sardhar;;
in1257209;in09;CITY;Sarbhon;;
in1257465;in09;CITY;Sāndhān;;
in1257524;in09;CITY;Sami;;
in1257571;in09;CITY;Sāmākhiāli;;
in1258253;in09;CITY;Reha;;
in1258425;in09;CITY;Rānpur;;
in1258518;in09;CITY;Rāndhia;;
in1258819;in09;CITY;Rājpīpla;;
in1258820;in09;CITY;Rājpīpla;;
in1259245;in09;CITY;Punādra;;
in1259573;in09;CITY;Piplod;;
in1259593;in09;CITY;Pipāvāv Bandar;;
in1259609;in09;CITY;Pipar;;
