CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
id;;COUNTRY;Indonesia;;
id30;id;REGION;West Java;;
id1649378;id30;CITY;Bekasi;;
id1645524;id30;CITY;Depok;;
id1648473;id30;CITY;Bogor;;
id1646170;id30;CITY;Cirebon;;
id1646448;id30;CITY;Cimahi;;
id1624647;id30;CITY;Tasikmalaya;;
id1626381;id30;CITY;Sukabumi;;
id1963770;id30;CITY;Padalarang;;
id1990589;id30;CITY;Teluknaga;;
id1646034;id30;CITY;Citeureup;;
id1646194;id30;CITY;Ciputat;;
id1646494;id30;CITY;Cileungsir;;
id1646698;id30;CITY;Cikampek;;
id1647383;id30;CITY;Ciampea;;
id1628453;id30;CITY;Sawangan;;
id1638063;id30;CITY;Lembang;;
id1639362;id30;CITY;Kresek;;
id1651226;id30;CITY;Arjawinangun;;
id1632228;id30;CITY;Pasarkemis;;
id1632276;id30;CITY;Parung;;
id1964032;id30;CITY;Ciranjang-hilir;;
id1985663;id30;CITY;Cikupa;;
id1646492;id30;CITY;Cileunyi;;
id1646893;id30;CITY;Cicurug;;
id1647298;id30;CITY;Caringin;;
id1627459;id30;CITY;Serpong;;
id1627610;id30;CITY;Sepatan;;
id1629710;id30;CITY;Rengasdengklok;;
id1630997;id30;CITY;Plumbon;;
id1636125;id30;CITY;Margahayukencana;;
id1650227;id30;CITY;Banjaran;;
id1651112;id30;CITY;Astanajapura;;
id1632197;id30;CITY;Paseh;;
id1632937;id30;CITY;Pamulang;;
id1632998;id30;CITY;Pamanukan;;
id1641184;id30;CITY;Karangsembung;;
id1642726;id30;CITY;Jatibarang;;
id1621613;id30;CITY;Weru;;
id1650234;id30;CITY;Banjar;;
id1633056;id30;CITY;Palimanan;;
id1634098;id30;CITY;Ngawi;;
id1639925;id30;CITY;Klangenan;;
id1642684;id30;CITY;Jatiwangi;;
id1961440;id30;CITY;Manako;;
id1646724;id30;CITY;Cikadu;;
id1647446;id30;CITY;Cabang Dua;;
id1629822;id30;CITY;Rawauncal;;
id1632974;id30;CITY;Pameungpeuk;;
id1641342;id30;CITY;Karangampel;;
id1642561;id30;CITY;Jengkol;;
