CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
ir;;COUNTRY;Iran;;
ir13;ir;REGION;Kermānshāh;;
ir23814;ir13;CITY;Kahrīz;;
ir138660;ir13;CITY;Chaqā Jangā-ye ‘Olyā;;
ir112594;ir13;CITY;Toveh Sorkhak-e ‘Olyā Bar Āftāb;;
ir130245;ir13;CITY;Javānrūd;;
ir23937;ir13;CITY;Eslāmābād-e ‘Olyā;;
ir24226;ir13;CITY;Darakah-ye ‘Eyn ol Qās;;
ir25224;ir13;CITY;Darakhshandeh;;
ir25270;ir13;CITY;Bān Khvod;;
ir25777;ir13;CITY;Qal‘eh Sefīd-e ‘Olyā;;
ir27715;ir13;CITY;Ashbākh;;
ir701;ir13;CITY;Zāghān-e Soflá;;
ir111566;ir13;CITY;Dālakeh-ye Ḩājj ‘Abbās Qolī;;
ir111567;ir13;CITY;Dālakeh-ye Ḩājjī Faraj;;
ir112149;ir13;CITY;Varmaqān;;
ir141789;ir13;CITY;Beleh Kabūd;;
ir142059;ir13;CITY;Bāgh-e Ţīqūn;;
ir142541;ir13;CITY;Ozgoleh;;
ir143030;ir13;CITY;Argeneh-ye Soflá;;
ir143551;ir13;CITY;Amīr ol Omarā’;;
ir143787;ir13;CITY;Halman;;
ir143922;ir13;CITY;‘Alī Korzān-e Soflá;;
ir143925;ir13;CITY;‘Alī Eḩsān-e Ojāq;;
ir140650;ir13;CITY;Bīdarvāz;;
ir141261;ir13;CITY;Bārīkeh-ye Şādeqī;;
ir141521;ir13;CITY;Bāghleh-ye Soflá;;
ir141535;ir13;CITY;Bānyārān Kākī;;
ir144743;ir13;CITY;Āfarīānaj;;
ir145129;ir13;CITY;Āb Bārīk-e ‘Olyā;;
ir145146;ir13;CITY;‘Abdol Tāj od Dīn;;
ir137394;ir13;CITY;Dārtūt;;
ir137770;ir13;CITY;Dār Gol-e Seyyed Ḩoseyn;;
ir138650;ir13;CITY;Chaqā Narges;;
ir138652;ir13;CITY;Chaqā Naqd-e ‘Alī;;
ir138667;ir13;CITY;Choqā Balk-e Moḩammad Zamān;;
ir138670;ir13;CITY;Changar;;
ir138760;ir13;CITY;Chenār-e Soflá;;
ir138951;ir13;CITY;Charmaleh-ye Soflá;;
ir139060;ir13;CITY;Changareh;;
ir115150;ir13;CITY;Sheykhābād-e Soflá;;
ir115417;ir13;CITY;Shorkān;;
ir115598;ir13;CITY;Sarāb-e Shūhān;;
ir116651;ir13;CITY;Sāyeh Kūr-e Soflá;;
ir116652;ir13;CITY;Sāyeh Kūr-e ‘Olyā;;
ir116728;ir13;CITY;Sarv-e Nāv-e Soflá;;
ir117183;ir13;CITY;Sarcheleh Vāregah-e ‘Olyā;;
ir117262;ir13;CITY;Sarārūd-e Pā‘īn;;
ir117343;ir13;CITY;Sarāb-e Sar Fīrūzābād;;
ir117434;ir13;CITY;Rāygān;;
ir118437;ir13;CITY;Rīzvand-e Najaf;;
ir118710;ir13;CITY;Ravān Zardū’ī;;
ir119110;ir13;CITY;Qūchī-ye Nāmdār;;
ir119719;ir13;CITY;Qārloq;;
ir119895;ir13;CITY;Qarah Benās;;
ir119977;ir13;CITY;Qūrbāghestān-e Soflá;;
ir119978;ir13;CITY;Qūrbāghestān-e ‘Olyā;;
ir131008;ir13;CITY;Ḩoseynābād-e Chowgān;;
ir131533;ir13;CITY;Hīrvī;;
ir131844;ir13;CITY;Ḩasanābād;;
ir132742;ir13;CITY;Gowhar Chaqā;;
ir133579;ir13;CITY;Gerdakāneh-ye Soflá;;
ir133610;ir13;CITY;Goleh Sorkheh;;
ir123949;ir13;CITY;Mīlkeh-ye Shīr Khān;;
ir123950;ir13;CITY;Mīlkeh-ye Pūchān;;
ir123954;ir13;CITY;Dartang;;
ir124153;ir13;CITY;Meykhvārān-e Pīr ‘Alī;;
ir124154;ir13;CITY;Meykhowrān-e Moḩammad Şādeq;;
ir124155;ir13;CITY;Meykhowrān-e Moḩammad Āqā;;
ir124255;ir13;CITY;Molkhāneh;;
ir124776;ir13;CITY;Marīvānī-ye Kakīhā;;
ir112821;ir13;CITY;Tīnamū;;
ir113276;ir13;CITY;Tappeh Gol-e ‘Olyā;;
