CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
iq;;COUNTRY;Iraq;;
iq17;iq;REGION;An Najaf;;
iq99135;iq17;CITY;Kufa;;
iq99060;iq17;CITY;Al Mishkhāb;;
iq99099;iq17;CITY;Al Mahnāwīyah;;
iq93714;iq17;CITY;‘Abd al ‘Abbās al ‘Awwād;;
iq407250;iq17;CITY;Aş Şulayjīyah;;
iq98408;iq17;CITY;Ţaqţaqānah;;
iq98646;iq17;CITY;Ash Shabajah;;
iq98694;iq17;CITY;‘Arab ar Ruḩaymah;;
iq99287;iq17;CITY;‘Alī al Maz‘al;;
iq99343;iq17;CITY;Al Ḩīrah;;
iq91291;iq17;CITY;Raml Sayyid Nūr;;
iq92390;iq17;CITY;Ad Dasim;;
iq93342;iq17;CITY;Muḩammad al Ḩājj ‘Ulwān ad Da‘mī;;
iq93527;iq17;CITY;Mazhar al Far‘ān;;
iq386316;iq17;CITY;Sūq Sha‘lān;;
iq6779545;iq17;CITY;Nāḩiyat al Qādisīyah;;
iq448395;iq17;CITY;Āl Bū Ḑibā‘;;
iq449113;iq17;CITY;Al Jaflāwīyah;;
iq449119;iq17;CITY;Aş Şulayḩāt;;
iq449215;iq17;CITY;Āl al Jubūr;;
iq98507;iq17;CITY;As Sayyid Ḩabīb;;
iq99019;iq17;CITY;Al Qādisīyah;;
iq99219;iq17;CITY;Al Ja‘ārah;;
iq100083;iq17;CITY;Sayyid Nūr;;
iq100096;iq17;CITY;‘Abd al Wāḩid Shaţnān;;
iq91341;iq17;CITY;Sayyid Idrīs;;
iq91635;iq17;CITY;Īshān aţ Ţarmah;;
iq95357;iq17;CITY;Jadbā’;;
iq18;iq;REGION;Salah ad Din;;
iq99759;iq18;CITY;Dujail;;
iq98624;iq18;CITY;Ash Sharqāţ;;
iq98898;iq18;CITY;Amirlī;;
iq90558;iq18;CITY;Sulaymān Bak;;
iq95748;iq18;CITY;Qaryat Ḩulaywat aş Şaghīrah;;
iq98024;iq18;CITY;Qaryat Banī Sa‘d;;
iq99475;iq18;CITY;Albū Raḩḑā;;
iq99605;iq18;CITY;Qaryat al Mabadad;;
iq99750;iq18;CITY;Dholuiya;;
iq89343;iq18;CITY;Qaryat az Zuwīyah;;
iq89399;iq18;CITY;Zinrānah;;
iq89531;iq18;CITY;Qaryat az Zanjīlah;;
iq89635;iq18;CITY;Yankijah Bālān Basās;;
iq90081;iq18;CITY;Qaryat Tulūl al Bāj;;
iq90341;iq18;CITY;Tall Sharif;;
iq90962;iq18;CITY;Shaykh Hawwāzī;;
iq91358;iq18;CITY;Sayyid Karmūk;;
iq95333;iq18;CITY;Qaryat Mūsá Ja‘far al Ḩalabī;;
iq95437;iq18;CITY;Thu‘aylab;;
iq95749;iq18;CITY;Qaryat Ḩulaywat al Kabīrah;;
