CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
it;;COUNTRY;Italy;;
it20;it;REGION;Veneto;;
it3173529;it20;CITY;Mestre;;
it3168839;it20;CITY;Rovolon;;
it3169218;it20;CITY;Roana;;
it3181288;it20;CITY;Cadoneghe;;
it3171336;it20;CITY;Pederobba;;
it3172456;it20;CITY;Murano;;
it3174742;it20;CITY;Lido di Jesolo;;
it3178217;it20;CITY;Cona;;
it3165206;it20;CITY;Trevignano;;
it3165986;it20;CITY;Taglio;;
it3219079;it20;CITY;Casier;;
it3174748;it20;CITY;Lido;;
it3169459;it20;CITY;Revine;;
it3178803;it20;CITY;Chies d'Alpago;;
it3179579;it20;CITY;Castellavazzo;;
it3171286;it20;CITY;Pellestrina;;
it3172398;it20;CITY;Nanto;;
it3173883;it20;CITY;Marola;;
it3176244;it20;CITY;Gazzo Veronese;;
it3177232;it20;CITY;Falzè di Piave;;
it3177497;it20;CITY;Dossobuono;;
it3177995;it20;CITY;Corte;;
it3178663;it20;CITY;Cinto Euganeo;;
it3163870;it20;CITY;Zimella;;
it3182057;it20;CITY;Bibione;;
it3219045;it20;CITY;Morgano;;
it3219303;it20;CITY;Civé;;
it3219340;it20;CITY;Conche;;
it8948893;it20;CITY;Grignano Polesine;;
it8949097;it20;CITY;Quaderni;;
it8949265;it20;CITY;Rosegaferro;;
it8973213;it20;CITY;Gazzo;;
it3166280;it20;CITY;Spert;;
it3166328;it20;CITY;Sottomarina;;
it3167387;it20;CITY;Sant'Antonio Tortal;;
it3167503;it20;CITY;Santandrà;;
it3167765;it20;CITY;San Rocco;;
it3168291;it20;CITY;San Giorgio Maggiore;;
it3169202;it20;CITY;Rocca;;
it3179751;it20;CITY;Castana;;
it3181690;it20;CITY;Bosco;;
it3181840;it20;CITY;Borghetto;;
it3181933;it20;CITY;Bolca;;
it3170544;it20;CITY;Pocol;;
it3171740;it20;CITY;Paderno;;
it3173670;it20;CITY;Meda;;
it3174197;it20;CITY;Malamocco;;
it3174491;it20;CITY;Stallavena-Lugo;;
it3177144;it20;CITY;Favaro Veneto;;
it3177520;it20;CITY;Donzella;;
it3177775;it20;CITY;Crocetta;;
it3178469;it20;CITY;Colà;;
it3178792;it20;CITY;Cason del Chievo;;
it3164471;it20;CITY;Vetrego;;
it3165810;it20;CITY;Teolo;;
it3166129;it20;CITY;Stoccareddo;;
it3215778;it20;CITY;Santa Giulia;;
it3217940;it20;CITY;Mure;;
it3218179;it20;CITY;Mazzorbo;;
it3218412;it20;CITY;Camino;;
it3218672;it20;CITY;Fratte;;
it3218680;it20;CITY;Castello Roganzuolo;;
it3218755;it20;CITY;Bavaria;;
it3218797;it20;CITY;Mignagola;;
it3219030;it20;CITY;Altino;;
it3219038;it20;CITY;Cappella;;
it3219362;it20;CITY;Campolongo;;
it3219425;it20;CITY;Gavaz;;
it3219601;it20;CITY;Tiago;;
it3219676;it20;CITY;Bolzano;;
it8948765;it20;CITY;Villatora;;
it8948921;it20;CITY;Meledo;;
it8948942;it20;CITY;San Gregorio;;
it8949179;it20;CITY;Villa d'Asolo;;
it8949185;it20;CITY;Monticello di Fara;;
it8949255;it20;CITY;Tombelle;;
it8949359;it20;CITY;Molino-Mozzi-Bittarelli;;
