CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
ci;;COUNTRY;Ivory Coast;;
ci93;ci;REGION;Abidjan;;
ci2293521;ci93;CITY;Abobo;;
ci2285853;ci93;CITY;Koumassi;;
ci2595323;ci93;CITY;Marcory;;
ci2280250;ci93;CITY;Treichville;;
ci2282335;ci93;CITY;Port-Bouët;;
ci2290737;ci93;CITY;Brégbo;;
ci2292562;ci93;CITY;Attinguié;;
ci2292601;ci93;CITY;Attiékoi;;
ci2293447;ci93;CITY;Brofodoumé;;
ci2293450;ci93;CITY;Wah;;
ci8356549;ci93;CITY;Yopougon;;
ci8032006;ci93;CITY;Kossihouen;;
ci2289431;ci93;CITY;Ebimpe;;
ci2596999;ci93;CITY;Guébo-I;;
ci2597006;ci93;CITY;M’Brago I;;
ci2597075;ci93;CITY;Nonkouagnon;;
ci2597079;ci93;CITY;Abiaté I;;
ci2595321;ci93;CITY;Blokosso;;
ci2279577;ci93;CITY;Yopougon-Attié;;
ci2281364;ci93;CITY;Songon-Mbratté;;
ci2281367;ci93;CITY;Songon-Agban;;
ci2283541;ci93;CITY;Niangon-Lokoa;;
ci2284139;ci93;CITY;Mpody;;
ci2292557;ci93;CITY;Audoin Santé;;
ci2292868;ci93;CITY;Anonkoua-Kouté;;
ci2293240;ci93;CITY;Adjin;;
ci2293417;ci93;CITY;Adiapoto-I;;
ci2293568;ci93;CITY;Abadjin-Doumé;;
ci2284478;ci93;CITY;Mbato-Bouaké;;
ci2285142;ci93;CITY;Locodjo;;
ci2288330;ci93;CITY;Gonzagville;;
ci2289381;ci93;CITY;Elokaté;;
ci2597010;ci93;CITY;Adakié;;
ci2597076;ci93;CITY;Niansoukro;;
ci2597084;ci93;CITY;Kouaokrou;;
ci2595312;ci93;CITY;Bébakoua;;
ci2595315;ci93;CITY;Akoyaté;;
ci2595316;ci93;CITY;Akoué Santé;;
ci2595322;ci93;CITY;Mpouto;;
ci2279575;ci93;CITY;Yopougon-Santé;;
ci2279576;ci93;CITY;Yopougon-Kouté;;
ci2280010;ci93;CITY;Vridi;;
ci2281363;ci93;CITY;Songon-Té;;
ci2281365;ci93;CITY;Songon-Kassemblé;;
ci2281366;ci93;CITY;Songon-Dagbé;;
ci2281996;ci93;CITY;Santé;;
ci2283457;ci93;CITY;Le Nieky;;
ci2283802;ci93;CITY;Ndjemin;;
ci2290623;ci93;CITY;Cocody;;
ci2291593;ci93;CITY;Bimbresso;;
ci2292525;ci93;CITY;Azito;;
ci2292529;ci93;CITY;Azaguié Blida;;
ci2293122;ci93;CITY;Akouédo;;
ci2293418;ci93;CITY;Adiapoté Té;;
ci2293419;ci93;CITY;Adiapo-Doumé;;
ci2293518;ci93;CITY;Abobo Té;;
ci2293520;ci93;CITY;Abobo Baoulé;;
ci2293567;ci93;CITY;Abadjin-Kouté;;
ci8536566;ci93;CITY;Songon-Agban Attié II;;
ci8536607;ci93;CITY;Ancien Koumassi;;
ci8536668;ci93;CITY;Guébo-II;;
ci8051542;ci93;CITY;Vitré Deux;;
ci8031437;ci93;CITY;Adiapo Moronou;;
ci8031439;ci93;CITY;Adiapoto-II;;
ci8031472;ci93;CITY;Adoma;;
ci8031499;ci93;CITY;Allokoa;;
ci8031595;ci93;CITY;Mbakré;;
ci8031648;ci93;CITY;Djibi;;
ci8031745;ci93;CITY;Aban;;
ci8031747;ci93;CITY;Sebia Yao;;
ci8031771;ci93;CITY;Diédoni;;
ci8031772;ci93;CITY;Janfoldi;;
ci8031906;ci93;CITY;Anno;;
ci8032007;ci93;CITY;M’Brago-II;;
ci2288437;ci93;CITY;Godoumé;;
ci92;ci;REGION;Zanzan;;
ci2281606;ci92;CITY;Sinfra;;
ci2285379;ci92;CITY;Laoudi;;
ci2285704;ci92;CITY;Kotouba;;
ci2285975;ci92;CITY;Kouassi-Nawa;;
ci2286007;ci92;CITY;Kouassi-Datékro;;
ci2286160;ci92;CITY;Kouadiokro;;
ci2287587;ci92;CITY;Kamala;;
ci2287605;ci92;CITY;Kalamon;;
ci2287614;ci92;CITY;Kakpin;;
ci2287892;ci92;CITY;Hérébo;;
ci2288013;ci92;CITY;Guenndé;;
ci2288175;ci92;CITY;Gouméré;;
ci2288423;ci92;CITY;Gogo;;
ci2279614;ci92;CITY;Yézimala;;
ci2279626;ci92;CITY;Yorobodi;;
ci2280051;ci92;CITY;Varalé;;
ci2280737;ci92;CITY;Tiédio;;
ci2280973;ci92;CITY;Tankéssi;;
ci2281077;ci92;CITY;Taoudi;;
ci2281097;ci92;CITY;Tagadi;;
ci2281137;ci92;CITY;Tabagné;;
ci2281329;ci92;CITY;Sorobango;;
ci2282684;ci92;CITY;Pambasso;;
ci2283572;ci92;CITY;Niamoué;;
ci2284038;ci92;CITY;Namassi;;
ci2289968;ci92;CITY;Dingbi;;
ci2289973;ci92;CITY;Dinaodi;;
ci2290216;ci92;CITY;Diamba;;
ci2290432;ci92;CITY;Danoa;;
ci2290509;ci92;CITY;Dakro;;
ci2290570;ci92;CITY;Dadiassé;;
ci2290871;ci92;CITY;Bouko;;
ci2291374;ci92;CITY;Bodi;;
ci2292224;ci92;CITY;Bandakagni-Tomora;;
ci2292321;ci92;CITY;Balanfodougou;;
ci2292979;ci92;CITY;Amanvi;;
ci2293356;ci92;CITY;Adoukro;;
ci2284606;ci92;CITY;Mango;;
ci2285347;ci92;CITY;Latourgo;;
ci2285481;ci92;CITY;Lagbayo;;
ci2285724;ci92;CITY;Kromiabla;;
ci2286119;ci92;CITY;Kouakouamékrou;;
ci2287171;ci92;CITY;Kiramissé;;
ci2287617;ci92;CITY;Kakoutan;;
ci2288140;ci92;CITY;Govitan;;
ci2288683;ci92;CITY;Gbango;;
ci2289189;ci92;CITY;Farako;;
ci2289647;ci92;CITY;Dougoutiguidougou;;
ci2279704;ci92;CITY;Yaou-Ngatiakrou;;
ci2280497;ci92;CITY;Tokanga;;
ci2280862;ci92;CITY;Téhui;;
ci2281467;ci92;CITY;Sokola;;
