CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
jm;;COUNTRY;Jamaica;;
jm10;jm;REGION;Saint Catherine;;
jm3488981;jm10;CITY;Portmore;;
jm3489227;jm10;CITY;Old Harbour;;
jm3489760;jm10;CITY;Linstead;;
jm3490539;jm10;CITY;Ewarton;;
jm3491293;jm10;CITY;Bog Walk;;
jm3488809;jm10;CITY;Riversdale;;
jm3489011;jm10;CITY;Point Hill;;
jm3489225;jm10;CITY;Old Harbour Bay;;
jm3489714;jm10;CITY;Lluidas Vale;;
jm3487982;jm10;CITY;Woodhall;;
jm3488518;jm10;CITY;Sligoville;;
jm3489002;jm10;CITY;Port Esquivel;;
jm3489224;jm10;CITY;Old Harbour Bay;;
jm3490177;jm10;CITY;Guys Hill;;
jm6690257;jm10;CITY;Above Rocks;;
jm3488323;jm10;CITY;Sydenham;;
jm3488721;jm10;CITY;Russell Pen;;
jm3489001;jm10;CITY;Port Henderson;;
jm3489294;jm10;CITY;Newmarket Pen;;
jm3489557;jm10;CITY;Marlie Mount;;
jm3490558;jm10;CITY;Ensom Pen;;
jm3490906;jm10;CITY;Colbeck;;
jm3489514;jm10;CITY;Mendes;;
jm3489570;jm10;CITY;March Pen;;
jm3490285;jm10;CITY;Government Pen;;
jm3490290;jm10;CITY;Goshen Pen;;
jm3488225;jm10;CITY;Treadways;;
jm3488416;jm10;CITY;Stanberry Grove;;
jm3488420;jm10;CITY;Spring Village;;
jm3488439;jm10;CITY;Spring Garden;;
jm3488818;jm10;CITY;Rio Magno;;
jm3488854;jm10;CITY;Retreat;;
jm3488890;jm10;CITY;Red Ground;;
jm3488915;jm10;CITY;Rabys Corner;;
jm3489346;jm10;CITY;Naggo Head;;
jm3489505;jm10;CITY;Mickleton;;
jm3489837;jm10;CITY;Knollis;;
jm3489869;jm10;CITY;Kent Village;;
jm3490077;jm10;CITY;Highgate;;
jm3490096;jm10;CITY;Heathfield;;
jm3490131;jm10;CITY;Harewood;;
jm3490194;jm10;CITY;Guanaboa Vale;;
jm3490205;jm10;CITY;Gregory Park;;
jm3490351;jm10;CITY;Giblatore;;
jm3490407;jm10;CITY;Friendship;;
jm3490577;jm10;CITY;Ellis Caymanas;;
jm3490673;jm10;CITY;Dove Cot Park;;
jm3490751;jm10;CITY;Dawkins Caymanas;;
jm3490785;jm10;CITY;Cudjoe Hill;;
jm3491132;jm10;CITY;Byndloss;;
jm3491287;jm10;CITY;Bonnett;;
jm3491420;jm10;CITY;Bellfield;;
jm3491451;jm10;CITY;Bartons;;
jm3491483;jm10;CITY;Bamboo Market;;
jm3491562;jm10;CITY;Angels;;
jm3487970;jm10;CITY;Worcester;;
jm3487979;jm10;CITY;Woodlands;;
jm3487988;jm10;CITY;Windsor Park;;
jm3488012;jm10;CITY;Williamsons;;
jm3488290;jm10;CITY;The Rest;;
jm3488317;jm10;CITY;Tarentum;;
jm3488659;jm10;CITY;Salt Pond Pen;;
jm3488702;jm10;CITY;Saint Helens;;
jm3489409;jm10;CITY;Mount Augusta;;
jm3489754;jm10;CITY;Little Angels;;
jm3490035;jm10;CITY;Hope;;
jm3490271;jm10;CITY;Grantham;;
jm3490415;jm10;CITY;French Pen;;
jm3490523;jm10;CITY;Falkland;;
