CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
jp;;COUNTRY;Japan;;
jp21;jp;REGION;Kumamoto;;
jp1848445;jp21;CITY;Honmachi;;
jp1862230;jp21;CITY;Hondomachi-hondo;;
jp1857560;jp21;CITY;Matsubase;;
jp1849154;jp21;CITY;Ushibukamachi;;
jp1849424;jp21;CITY;Uekimachi-mōno;;
jp1853433;jp21;CITY;Ōzu;;
jp1856808;jp21;CITY;Miyahara;;
jp1854998;jp21;CITY;Nomisaki;;
jp1856120;jp21;CITY;Nagasu;;
jp1856755;jp21;CITY;Miyahara;;
jp1857343;jp21;CITY;Mifune;;
jp1857847;jp21;CITY;Maebaru;;
jp1857849;jp21;CITY;Maebaru;;
jp1857916;jp21;CITY;Matsushimamachi-kyōragi;;
jp1857991;jp21;CITY;Kamotomachi-kutami;;
jp1857997;jp21;CITY;Kusuuramachi;;
jp1858212;jp21;CITY;Kurokami;;
jp1858407;jp21;CITY;Jōnanmachi-kumanoshō;;
jp1858560;jp21;CITY;Kozuru;;
jp1858705;jp21;CITY;Kōshōji;;
jp1858710;jp21;CITY;Ariakemachi-koshimago;;
jp1858790;jp21;CITY;Misumimachi-kōnoura;;
jp1858809;jp21;CITY;Konoha;;
jp1858874;jp21;CITY;Shinwamachi-komiyaji;;
jp1859340;jp21;CITY;Kōne;;
jp1859370;jp21;CITY;Amakusamachi-shimodakita;;
jp1859478;jp21;CITY;Kikudomi;;
jp1859553;jp21;CITY;Kengun-honmachi;;
jp1859624;jp21;CITY;Kawashiri;;
jp1849309;jp21;CITY;Umedochō;;
jp1849474;jp21;CITY;Uchinomaki;;
jp1849490;jp21;CITY;Uchidani;;
jp1849633;jp21;CITY;Tsunagi;;
jp1850024;jp21;CITY;Tōno;;
jp1850093;jp21;CITY;Tomioka;;
jp1850847;jp21;CITY;Takenokawa;;
jp1850852;jp21;CITY;Kengun;;
jp1851079;jp21;CITY;Takamori;;
jp1851104;jp21;CITY;Takakushi;;
jp1851139;jp21;CITY;Takahashimachi;;
jp1851405;jp21;CITY;Suzaki;;
jp1851442;jp21;CITY;Sumiyoshimachi;;
jp1851477;jp21;CITY;Ariakemachi-suji;;
jp1851511;jp21;CITY;Sugimizu;;
jp1851597;jp21;CITY;Shimosomeda;;
jp1852208;jp21;CITY;Shimorokka;;
jp1852277;jp21;CITY;Shimokoga;;
jp1852359;jp21;CITY;Shimoda;;
jp1852403;jp21;CITY;Shimizu-honmachi;;
jp1863250;jp21;CITY;Hanabatachō;;
jp1863322;jp21;CITY;Hamamachi;;
jp1863542;jp21;CITY;Itsuwamachi-goryō;;
jp1863755;jp21;CITY;Himedomachi-futamado;;
jp1863775;jp21;CITY;Itsuwamachi-futae;;
jp1863862;jp21;CITY;Funatsu;;
jp1863947;jp21;CITY;Fukuro;;
jp1863971;jp21;CITY;Shisuimachi-fukumoto;;
jp1865643;jp21;CITY;Matsushimamachi-aitsu;;
jp1847974;jp21;CITY;Zōzo;;
jp1848062;jp21;CITY;Yunomae;;
jp1848125;jp21;CITY;Yude;;
jp1848587;jp21;CITY;Toyonomachi-yamasaki;;
jp1852890;jp21;CITY;Sashiki;;
jp1853095;jp21;CITY;Kawauramachi-sakitsu;;
jp1853150;jp21;CITY;Ichinomiyamachi-sakanashi;;
jp1853538;jp21;CITY;Ariakemachi-ōura;;
jp1853739;jp21;CITY;Ariakemachi-ōshimago;;
jp1854050;jp21;CITY;Oniki;;
jp1854051;jp21;CITY;Itsuwamachi-oniike;;
jp1854127;jp21;CITY;Shinwamachi-ōmiyaji;;
jp1854221;jp21;CITY;Okurabaru;;
jp1854272;jp21;CITY;Okobamachi;;
jp1854409;jp21;CITY;Ōkawa;;
jp1854583;jp21;CITY;Ōhamamachi;;
jp1854671;jp21;CITY;Ogawamachi-minamiogawa;;
jp1854718;jp21;CITY;Ōe;;
jp1854863;jp21;CITY;Tensuimachi-oama;;
jp1855087;jp21;CITY;Ōyanomachi-noboritate;;
jp1855175;jp21;CITY;Nishisamano;;
jp1855259;jp21;CITY;Nishikō;;
jp1855308;jp21;CITY;Nishikōne;;
jp1859753;jp21;CITY;Sumotomachi-kawachi;;
jp1860409;jp21;CITY;Tatsuda;;
jp1860436;jp21;CITY;Kamirokka;;
jp1860639;jp21;CITY;Shimizu-kameimachi;;
jp1860856;jp21;CITY;Kagamimachi-kamikagami;;
jp1861174;jp21;CITY;Iwashita;;
jp1861402;jp21;CITY;Ishiwara;;
jp1862146;jp21;CITY;Horinosumi;;
jp1862531;jp21;CITY;Hirakunihimo;;
jp1862535;jp21;CITY;Hirakawa;;
jp1862653;jp21;CITY;Hikiji;;
jp1862744;jp21;CITY;Higashisamano;;
jp1863122;jp21;CITY;Haramachi;;
jp10256792;jp21;CITY;Fukami;;
jp10252744;jp21;CITY;Hirase;;
jp11264996;jp21;CITY;Kuratakemachi-tanasoko;;
jp11265354;jp21;CITY;Sedomachi;;
jp11265380;jp21;CITY;Ariakemachi-shimotsuura;;
jp11265862;jp21;CITY;Tororo;;
jp11267189;jp21;CITY;Matsushimamachi-amura;;
jp11210285;jp21;CITY;Arao;;
jp11242488;jp21;CITY;Yanagi;;
jp11243207;jp21;CITY;Ubuyama;;
jp11246023;jp21;CITY;Futauramachi-kameura;;
jp1850233;jp21;CITY;Tōji;;
jp1850617;jp21;CITY;Taragi;;
jp1856803;jp21;CITY;Miyaji;;
jp1857577;jp21;CITY;Matoishi;;
jp1857702;jp21;CITY;Mamihara;;
jp1858074;jp21;CITY;Kusakabe;;
jp1858990;jp21;CITY;Kōjiro;;
jp1859224;jp21;CITY;Kiyama;;
jp1859601;jp21;CITY;Kayano;;
jp1848982;jp21;CITY;Waifu;;
jp1849596;jp21;CITY;Tsuru;;
jp1849597;jp21;CITY;Tsuru;;
jp1850531;jp21;CITY;Tateno;;
jp1850636;jp21;CITY;Tanouramachi;;
jp1850987;jp21;CITY;Takase;;
jp1851330;jp21;CITY;Tabata;;
jp1851966;jp21;CITY;Shioya;;
jp1852147;jp21;CITY;Shimozuru;;
jp1852161;jp21;CITY;Kikukamachi-shimouchida;;
jp1863908;jp21;CITY;Fumoto;;
jp1864170;jp21;CITY;Eta;;
jp1864696;jp21;CITY;Bōchū;;
jp1848019;jp21;CITY;Yuyama;;
jp1848571;jp21;CITY;Yanagi;;
jp1848870;jp21;CITY;Watari;;
jp1852694;jp21;CITY;Senzoku;;
jp1852776;jp21;CITY;Sekimachi;;
