CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
kg;;COUNTRY;Kyrgyzstan;;
kg07;kg;REGION;Issyk-Kul;;
kg1527004;kg07;CITY;Balykchy;;
kg1527173;kg07;CITY;Toru-Aygyr;;
kg1527571;kg07;CITY;Novovoznesenovka;;
kg1527828;kg07;CITY;Zelenyy Gay;;
kg1527853;kg07;CITY;Kongur-Ölön;;
kg1527881;kg07;CITY;Kök-Moynok Eki;;
kg1528241;kg07;CITY;Kadzhi-Say;;
kg1528291;kg07;CITY;Chyrpykty;;
kg1528384;kg07;CITY;Jeti-Ögüz;;
kg1528468;kg07;CITY;Darkhan;;
kg1528646;kg07;CITY;Bosteri;;
kg1540848;kg07;CITY;Këk-Moynok Vtoroye;;
kg1539149;kg07;CITY;Koj-Yar;;
kg1527088;kg07;CITY;Shor-Bulak;;
kg1527170;kg07;CITY;Tossor;;
kg1527175;kg07;CITY;Tërt-Kul’;;
kg1527188;kg07;CITY;Tong;;
kg1527193;kg07;CITY;Toktoyan;;
kg1527205;kg07;CITY;Chontoguzbay;;
kg1527233;kg07;CITY;Tepke;;
kg1527237;kg07;CITY;Temirovka;;
kg1527239;kg07;CITY;Temirkanat;;
kg1527274;kg07;CITY;Tamchy;;
kg1527314;kg07;CITY;Svetlaya Polyana;;
kg1527384;kg07;CITY;Shaty;;
kg1527410;kg07;CITY;Semënovka;;
kg1527430;kg07;CITY;Sary-Döbö;;
kg1527466;kg07;CITY;Saruu;;
kg1527475;kg07;CITY;Kara-Chungkur;;
kg1527494;kg07;CITY;Pristan’ Przheval’sk;;
kg1527516;kg07;CITY;Oytal;;
kg1527524;kg07;CITY;Otuzul;;
kg1527537;kg07;CITY;Orto-Tokoy;;
kg1527552;kg07;CITY;Orlinoye;;
kg1527575;kg07;CITY;Konstantinovka;;
kg1527681;kg07;CITY;Lugovoye;;
kg1527682;kg07;CITY;Lipenka;;
kg1527727;kg07;CITY;Kyzyldzhildyz;;
kg1527760;kg07;CITY;Kuturgu;;
kg1527771;kg07;CITY;Kurmenty;;
kg1527776;kg07;CITY;Kurbu;;
kg1527835;kg07;CITY;Kosh-Köl;;
kg1527842;kg07;CITY;Korumdy;;
kg1527914;kg07;CITY;Komsomol’skoye;;
kg1527929;kg07;CITY;Kichi-Uryukty;;
kg1527937;kg07;CITY;Kichi-Dzhargylchak;;
kg1527980;kg07;CITY;Koktyube;;
kg1528063;kg07;CITY;Karaltyube;;
kg1528125;kg07;CITY;Kara-Kël’;;
kg1528131;kg07;CITY;Kara-Koo;;
kg1528201;kg07;CITY;Jarkynbaev;;
kg1528282;kg07;CITY;Yrdyk;;
kg1528286;kg07;CITY;Dzher-Uy;;
kg1528287;kg07;CITY;Birlik;;
kg1528303;kg07;CITY;Aral;;
kg1528312;kg07;CITY;Ichke-Jergez;;
kg1528323;kg07;CITY;Grigor’yevka;;
kg1528345;kg07;CITY;Engilchek;;
kg1528350;kg07;CITY;Iygilik;;
kg1528393;kg07;CITY;Dzhergalan;;
kg1528419;kg07;CITY;Dzhan-Bulak;;
kg1528455;kg07;CITY;Dolon;;
kg1528461;kg07;CITY;Dëngtala;;
kg1528471;kg07;CITY;Chychkan;;
kg1528482;kg07;CITY;Chon-Uryukty;;
kg1528487;kg07;CITY;Chon-Sary-Oy;;
kg1528495;kg07;CITY;Chong-Kyzylsu;;
kg1528513;kg07;CITY;Cholpon;;
kg1528519;kg07;CITY;Chok-Tal;;
kg1528543;kg07;CITY;Ornok;;
kg1528616;kg07;CITY;Birbash;;
kg1528642;kg07;CITY;Boz-Beshik;;
kg1528668;kg07;CITY;Bogatyrovka;;
kg1528746;kg07;CITY;Barskoon;;
kg1528842;kg07;CITY;Anan’yevo;;
kg1528878;kg07;CITY;Ala-Bash;;
kg1528882;kg07;CITY;Akulen;;
kg1528886;kg07;CITY;Ak-Dyube;;
kg1528890;kg07;CITY;Ak-Terek;;
kg1528953;kg07;CITY;Akbulun;;
kg8334062;kg07;CITY;Bozuchuk;;
kg8245299;kg07;CITY;Sarytologoy;;
kg8238869;kg07;CITY;Oryuktyu-Khutor;;
kg1540844;kg07;CITY;Yshtyk;;
kg1538653;kg07;CITY;Kara-Say;;
kg1539151;kg07;CITY;Kara-Talaa;;
kg1523006;kg07;CITY;Karkara;;
kg1527158;kg07;CITY;Turasu;;
kg1527203;kg07;CITY;Toguz-Bulak;;
kg1527244;kg07;CITY;Tegizchil;;
kg1527273;kg07;CITY;Tamga;;
kg1527283;kg07;CITY;Taldysu;;
kg1527309;kg07;CITY;Syuttubulak;;
kg1527344;kg07;CITY;Rybpunkt;;
kg1527346;kg07;CITY;Kyzyl-Kia;;
kg1527361;kg07;CITY;Sokolovka;;
kg1527402;kg07;CITY;Tilekmat;;
kg1527438;kg07;CITY;Sarykamysh;;
kg1527439;kg07;CITY;Sary-Kamysh;;
kg1527457;kg07;CITY;Sarybulak;;
kg1527487;kg07;CITY;Razdol’noye;;
kg1527528;kg07;CITY;Ottuk;;
kg1527530;kg07;CITY;Otradnoye;;
kg1527554;kg07;CITY;Sovkhoz Orgochor;;
kg1527577;kg07;CITY;Nikolayevka;;
kg1527607;kg07;CITY;Munduz;;
kg1527630;kg07;CITY;Mikhaylovka;;
kg1527663;kg07;CITY;Maman;;
kg1527700;kg07;CITY;Kyzyl-Tuu;;
kg1527782;kg07;CITY;Cherik;;
kg1527841;kg07;CITY;Korumdy;;
kg1527855;kg07;CITY;Ichkebulak;;
kg1527859;kg07;CITY;Komsomol;;
kg1527959;kg07;CITY;Kerege-Tash;;
kg1527965;kg07;CITY;Kensu;;
kg1528016;kg07;CITY;Kavak;;
kg1528162;kg07;CITY;Karadzhal;;
kg1528210;kg07;CITY;Kalinovka;;
kg1528308;kg07;CITY;Ichkesu;;
kg1528335;kg07;CITY;Frunze;;
kg1528364;kg07;CITY;Zholgolot;;
kg1528397;kg07;CITY;Zheletobe;;
kg1528408;kg07;CITY;Dzhalgyzuryuk;;
kg1528456;kg07;CITY;Kara-Oy;;
kg1528499;kg07;CITY;Chon-Dzhargylchak;;
kg1528526;kg07;CITY;Chirak;;
kg1528559;kg07;CITY;Chelpek;;
kg1528663;kg07;CITY;Bol’shevik;;
kg1528751;kg07;CITY;Bar-Bulak;;
kg1528851;kg07;CITY;Alkym;;
kg1528889;kg07;CITY;Akterek;;
kg1528925;kg07;CITY;Ak-Say;;
kg1528926;kg07;CITY;Ak-Usten;;
kg1528938;kg07;CITY;Akkochkar;;
kg1528958;kg07;CITY;Ak-Bulung;;
kg8372905;kg07;CITY;Ysyk-Köl;;
kg8326982;kg07;CITY;Kyzkiya;;
kg8341793;kg07;CITY;Keng-Suu;;
kg8341795;kg07;CITY;Echkili-Tash;;
kg8331851;kg07;CITY;Kyzyltëbë;;
kg8331852;kg07;CITY;Kurskoye;;
kg8331853;kg07;CITY;Karabak;;
kg8331931;kg07;CITY;Semisbel’;;
kg8331933;kg07;CITY;Turatam;;
kg8331934;kg07;CITY;Karasu;;
kg8331939;kg07;CITY;Kul’tor;;
kg8333295;kg07;CITY;Chetendy;;
kg8333699;kg07;CITY;Rudnik;;
kg8333710;kg07;CITY;Tossorchik;;
kg8333755;kg07;CITY;Rabochiy Posëlok;;
kg8334040;kg07;CITY;Yntymak;;
kg8334046;kg07;CITY;Bozbulun;;
kg8334055;kg07;CITY;Akbulek;;
kg8334056;kg07;CITY;Zyndan;;
kg8334063;kg07;CITY;Kara-Kyz;;
kg8334064;kg07;CITY;Uchkaynar;;
kg8334066;kg07;CITY;Jany-Aryk;;
kg8334071;kg07;CITY;Kayirmaaryk;;
kg8245254;kg07;CITY;Oybulak;;
kg8245255;kg07;CITY;Belovodsk;;
kg8245257;kg07;CITY;Kaynar;;
kg8245263;kg07;CITY;Basharin;;
kg8245289;kg07;CITY;Tabylgany;;
kg8245294;kg07;CITY;Chonbet;;
kg8245295;kg07;CITY;Jiluu-Bulak;;
kg8245296;kg07;CITY;Peschanyy;;
kg8245297;kg07;CITY;Koshtëbë;;
kg8245298;kg07;CITY;Karasu;;
kg8367047;kg07;CITY;Kok-Moynak;;
kg8418478;kg07;CITY;Karakolka;;
kg8308861;kg07;CITY;Archaly;;
kg8312247;kg07;CITY;Orto-Uryukty;;
kg8312723;kg07;CITY;Kuochi;;
kg8045598;kg07;CITY;Chong-Tash;;
kg8045620;kg07;CITY;Kuylyu;;
kg8045622;kg07;CITY;Kaynar;;
kg8045880;kg07;CITY;Tasma;;
kg8045881;kg07;CITY;Ming Bulak;;
kg8045883;kg07;CITY;Karakol;;
kg8046907;kg07;CITY;Kajy-Saz;;
kg8046916;kg07;CITY;Kara-Shaar;;
kg8046917;kg07;CITY;Baktuu-Dolonotu;;
kg8046918;kg07;CITY;Baetovka;;
kg8238791;kg07;CITY;Kanat;;
kg8238858;kg07;CITY;Ashkhabak;;
kg8238859;kg07;CITY;Bulan-Segettu;;
kg8238871;kg07;CITY;Chetbaysaur;;
kg8238872;kg07;CITY;Pitomnik;;
kg1527829;kg07;CITY;Koy-Kul’;;
kg1527983;kg07;CITY;Këk-Say;;
kg1528285;kg07;CITY;Imeni Voroshilova;;
kg1528918;kg07;CITY;Ak-Shyyrak;;
kg8333695;kg07;CITY;Tashdebe;;
kg8334053;kg07;CITY;Shapak;;
kg8045921;kg07;CITY;Üch-Koshkon;;
kg8045922;kg07;CITY;Pikertyk;;
kg1528957;kg07;CITY;Ak-Bulak;;
kg8045882;kg07;CITY;Sary-Döbö;;
kg08;kg;REGION;Osh;;
kg1527513;kg08;CITY;Uzgen;;
kg1538121;kg08;CITY;Otuz-Adyr;;
kg1538129;kg08;CITY;Tëlëyken;;
kg1527388;kg08;CITY;Kyrgyz-Chek;;
kg1527480;kg08;CITY;Salamalik;;
kg1527858;kg08;CITY;Kandava;;
kg1528043;kg08;CITY;Kashgar Kyshtak;;
kg1528414;kg08;CITY;Dzhany-Aryk;;
kg1528586;kg08;CITY;Chalk-Oydë;;
kg1222538;kg08;CITY;Turpachaty;;
kg1222606;kg08;CITY;Kyzyl-Eshme;;
kg1538118;kg08;CITY;Gyul’bakhor;;
kg1538120;kg08;CITY;Bash-Bulak;;
kg1538122;kg08;CITY;Kenzhekul;;
kg1538127;kg08;CITY;Uchar;;
kg1538128;kg08;CITY;Beryu;;
kg1526990;kg08;CITY;Zarger;;
kg1526998;kg08;CITY;Mamajan;;
kg1527015;kg08;CITY;Jar-Korgon;;
kg1527017;kg08;CITY;Japalak;;
kg1527019;kg08;CITY;Jany-Nookat;;
kg1527036;kg08;CITY;Vedene;;
kg1527041;kg08;CITY;Staraya Pokrovka;;
kg1527076;kg08;CITY;Urgi;;
kg1527079;kg08;CITY;Unkyur;;
kg1527109;kg08;CITY;Uchbay;;
kg1527135;kg08;CITY;Tuz-Bel’;;
kg1527164;kg08;CITY;Tëlëyken;;
kg1527230;kg08;CITY;Terek;;
kg1527235;kg08;CITY;Tepe-Korgon;;
kg1527250;kg08;CITY;Tegerek-Saz;;
kg1527252;kg08;CITY;Kyzyl-Koshchu;;
kg1527265;kg08;CITY;Tash-Bulak;;
kg1527275;kg08;CITY;Tambashat;;
kg1527285;kg08;CITY;Chong-Taldy-Suu;;
kg1527323;kg08;CITY;Sogondu;;
kg1527333;kg08;CITY;Sopu-Korgon;;
kg1527390;kg08;CITY;Shankol;;
kg1527395;kg08;CITY;Shamshaly;;
kg1527397;kg08;CITY;Shamal-Terek;;
kg1527423;kg08;CITY;Savay;;
kg1527460;kg08;CITY;Oktyabrdyn On Besh Jyldygy;;
kg1527488;kg08;CITY;Besh-Burkhan;;
kg1527507;kg08;CITY;Papan;;
kg1527510;kg08;CITY;Kara-Dyjkan;;
kg1527517;kg08;CITY;Oytal;;
kg1527564;kg08;CITY;Oktyabr’skoye;;
kg1527585;kg08;CITY;Nayman;;
kg1527603;kg08;CITY;Merkit;;
kg1527605;kg08;CITY;Murdash;;
kg1527620;kg08;CITY;Mirza-Ake;;
kg1527656;kg08;CITY;Mangit;;
kg1527680;kg08;CITY;Laglan;;
kg1527691;kg08;CITY;Ylay-Tala;;
kg1527714;kg08;CITY;Kyzyl-Sengir;;
kg1527717;kg08;CITY;Kyzyl-Oktyabr’;;
