CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
lv;;COUNTRY;Latvia;;
lvC1;lv;REGION;Salacgrīvas;;
lv461628;lvC1;CITY;Ainaži;;
lv455009;lvC1;CITY;Svētciems;;
lv458396;lvC1;CITY;Ķurmrags;;
lv454000;lvC1;CITY;Zaķi;;
lv454399;lvC1;CITY;Vecsalaca;;
lv457200;lvC1;CITY;Mustkalni;;
lv457402;lvC1;CITY;Mētagmuiža;;
lv457454;lvC1;CITY;Melbārži;;
lv458478;lvC1;CITY;Kuiviži;;
lv459276;lvC1;CITY;Jelgavkrasti;;
lv460178;lvC1;CITY;Dunte;;
lv453825;lvC1;CITY;Zonapi;;
lv454704;lvC1;CITY;Uņģeni;;
lv457920;lvC1;CITY;Liepupe;;
lv458209;lvC1;CITY;Lauvas;;
lv458292;lvC1;CITY;Lanyu;;
lv458662;lvC1;CITY;Korģene;;
lv458857;lvC1;CITY;Mailīšciems;;
lv864821;lvC1;CITY;Šķīsterciems;;
lv458126;lvC1;CITY;Lembuži;;
lv459595;lvC1;CITY;Prinkas;;
lv7602821;lvC1;CITY;Tūja;;
lv461264;lvC1;CITY;Avotkalni;;
lvD5;lv;REGION;Tērvete;;
lv454910;lvD5;CITY;Tērvete;;
lv455512;lvD5;CITY;Klūnas;;
lv458545;lvD5;CITY;Kroņauce;;
lv461048;lvD5;CITY;Rociņas;;
lv461315;lvD5;CITY;Augstkalne;;
lv458722;lvD5;CITY;Klinti;;
lv457495;lvD5;CITY;Medne;;
lv460146;lvD5;CITY;Dzeguzēni;;
lv460731;lvD5;CITY;Bukaiši;;
lvD3;lv;REGION;Strenči;;
lv455786;lvD3;CITY;Seda;;
lv458882;lvD3;CITY;Ķeiži;;
lv461281;lvD3;CITY;Austras;;
lv33;lv;REGION;Ventspils Rajons;;
lv456696;lv33;CITY;Piltene;;
lv457310;lv33;CITY;Pissen;;
lv458327;lv33;CITY;Laidzesciems;;
lv457620;lv33;CITY;Māteri;;
lv453849;lv33;CITY;Ziras;;
lv454316;lv33;CITY;Vendzavas;;
lv454964;lv33;CITY;Tārgale;;
lv455246;lv33;CITY;Stikli;;
lv457726;lv33;CITY;Lūžņas;;
lv458007;lv33;CITY;Lielirbe;;
lv458332;lv33;CITY;Lagzdiena;;
lv458581;lv33;CITY;Krievlauki;;
lv459204;lv33;CITY;Jūrkalne;;
lv459417;lv33;CITY;Jaunciems;;
lv459848;lv33;CITY;Gārzde;;
lv461506;lv33;CITY;Ance;;
lv453835;lv33;CITY;Zlēkas;;
lv454656;lv33;CITY;Usma;;
lv454722;lv33;CITY;Ugale;;
lv454781;lv33;CITY;Trumpes;;
lv455409;lv33;CITY;Smilškalni;;
lv455607;lv33;CITY;Sirgumi;;
lv456357;lv33;CITY;Puzenieki;;
lv456705;lv33;CITY;Pilsberģi;;
lv456869;lv33;CITY;Pasilciems;;
lv456940;lv33;CITY;Packules Ciems;;
lv458055;lv33;CITY;Lieladži;;
lv458097;lv33;CITY;Lībciems;;
lv458547;lv33;CITY;Kroji;;
lv459134;lv33;CITY;Kaliti;;
lv460033;lv33;CITY;Elšķene;;
lv460532;lv33;CITY;Cirkale;;
lv460997;lv33;CITY;Krievbūdas;;
lv461510;lv33;CITY;Amjūdze;;
lv454473;lv33;CITY;Vecannahitte;;
lv454494;lv33;CITY;Vārve;;
lv454919;lv33;CITY;Tēranda;;
lv458368;lv33;CITY;Labrags;;
lv459326;lv33;CITY;Jaunupe;;
lv460080;lv33;CITY;Dzirtnieki;;
lv461465;lv33;CITY;Annasmuiža;;
lv461511;lv33;CITY;Amele;;
lv461545;lv33;CITY;Allaži;;
lv454089;lv33;CITY;Virziķi;;
lv454365;lv33;CITY;Vēde;;
lv455178;lv33;CITY;Strazdi;;
lv455309;lv33;CITY;Spiņņi;;
lv456624;lv33;CITY;Mētras;;
lv456891;lv33;CITY;Paņi;;
lv457277;lv33;CITY;Modes;;
lv457619;lv33;CITY;Māteri;;
lv457828;lv33;CITY;Lodes;;
lv458587;lv33;CITY;Krievciems;;
lv460768;lv33;CITY;Brunči;;
lv453758;lv33;CITY;Grīžukrogs;;
lv453806;lv33;CITY;Zūras;;
lv454096;lv33;CITY;Virpe;;
lv454314;lv33;CITY;Ventava;;
lv454642;lv33;CITY;Užava;;
lv455277;lv33;CITY;Stanģi;;
lv455602;lv33;CITY;Sise;;
lv455844;lv33;CITY;Sārnate;;
lv456550;lv33;CITY;Pope;;
lv456995;lv33;CITY;Ovīši;;
lv457937;lv33;CITY;Liepene;;
lv460302;lv33;CITY;Dokupe;;
lv460685;lv33;CITY;Būšnieki;;
lv454009;lv33;CITY;Žagatnieki;;
lv454025;lv33;CITY;Žabi;;
lv454226;lv33;CITY;Viecītes;;
lv454319;lv33;CITY;Veltiņi;;
lv454378;lv33;CITY;Vecupji;;
lv454395;lv33;CITY;Vecsinepes;;
lv454434;lv33;CITY;Veckušķi;;
lv454531;lv33;CITY;Vaņķi;;
lv454734;lv33;CITY;Ūdrande;;
lv454814;lv33;CITY;Topciems;;
lv454963;lv33;CITY;Tārgaleskrogs;;
lv455308;lv33;CITY;Spuras;;
lv455347;lv33;CITY;Speltes;;
lv455647;lv33;CITY;Siliņi;;
lv456122;lv33;CITY;Robežnieki;;
lv456150;lv33;CITY;Rinda;;
lv456355;lv33;CITY;Puzesmuiža;;
lv456359;lv33;CITY;Puze;;
lv456382;lv33;CITY;Pusstorpas;;
lv456498;lv33;CITY;Priežkalni;;
lv456517;lv33;CITY;Priēdeli;;
lv456649;lv33;CITY;Platene;;
lv457019;lv33;CITY;Oši;;
lv457238;lv33;CITY;Muižnieki;;
lv457263;lv33;CITY;Moži;;
lv457362;lv33;CITY;Meži;;
lv457816;lv33;CITY;Lonaste;;
lv458187;lv33;CITY;Lēči;;
lv458297;lv33;CITY;Landze;;
lv458329;lv33;CITY;Lagzdiņi;;
lv458627;lv33;CITY;Krāņi;;
lv458848;lv33;CITY;Ķesteri;;
lv458919;lv33;CITY;Ķauvas;;
lv459251;lv33;CITY;Jorniņi;;
lv459265;lv33;CITY;Jērukrogs;;
lv459372;lv33;CITY;Jaunmuiža;;
lv459432;lv33;CITY;Jaunāzes;;
lv460091;lv33;CITY;Dzirnavas;;
lv460092;lv33;CITY;Dzirnavas;;
lv460095;lv33;CITY;Dzirciems;;
lv460107;lv33;CITY;Dzikļi;;
lv460419;lv33;CITY;Daudzītes;;
lv460429;lv33;CITY;Dārzini;;
lv460485;lv33;CITY;Čunča;;
lv460598;lv33;CITY;Cepliši;;
lv460692;lv33;CITY;Buntiķi;;
lv460913;lv33;CITY;Blāzma;;
lv460999;lv33;CITY;Bestes;;
lv461355;lv33;CITY;Asti;;
lv461576;lv33;CITY;Akmeņdziras;;
lv10793669;lv33;CITY;Pasiekste;;
lv10;lv;REGION;Jēkabpils Municipality;;
lv458511;lv10;CITY;Krustpils;;
lv453862;lv10;CITY;Zilāni;;
lv455470;lv10;CITY;Slāte;;
lv456060;lv10;CITY;Rubene;;
lv460941;lv10;CITY;Birži;;
lv461349;lv10;CITY;Atašiene;;
lv461419;lv10;CITY;Apserdi;;
lv453947;lv10;CITY;Zasa;;
lv454141;lv10;CITY;Vilkupe;;
lv455050;lv10;CITY;Susēja;;
lv456166;lv10;CITY;Rijnieki;;
lv457813;lv10;CITY;Lone;;
lv458754;lv10;CITY;Klauce;;
lv460038;lv10;CITY;Elkšņi;;
lv461219;lv10;CITY;Balgalvji;;
lv453823;lv10;CITY;Zasa;;
lv458170;lv10;CITY;Leimaņi;;
lv459147;lv10;CITY;Kaldabruņa;;
lv459815;lv10;CITY;Gērķēni;;
lv460196;lv10;CITY;Baldūne;;
lv460396;lv10;CITY;Debesnieki;;
lv454521;lv10;CITY;Varkava;;
lv454785;lv10;CITY;Troškas;;
lv455687;lv10;CITY;Sila-Ūdenāni;;
lv455829;lv10;CITY;Sauka;;
lv456143;lv10;CITY;Rite;;
lv458692;lv10;CITY;Koderi;;
lv459853;lv10;CITY;Gārsene;;
lv460188;lv10;CITY;Dunava;;
lv460356;lv10;CITY;Dignāja;;
lv453958;lv10;CITY;Zānāni;;
lv455030;lv10;CITY;Svoki;;
lv455241;lv10;CITY;Indrikeni;;
lv455691;lv10;CITY;Silagals;;
lv455941;lv10;CITY;Ružusola;;
lv456141;lv10;CITY;Riteniškas;;
lv457663;lv10;CITY;Mežgale;;
lv457941;lv10;CITY;Liepas;;
lv458569;lv10;CITY;Kriškināni;;
lv459503;lv10;CITY;Izabelina;;
lv459816;lv10;CITY;Ģērķāni;;
lv460490;lv10;CITY;Cukuriņi;;
lv454242;lv10;CITY;Vidsala;;
lv454524;lv10;CITY;Varieši;;
lv454618;lv10;CITY;Vaglāni;;
lv454660;lv10;CITY;Ušāni;;
lv455318;lv10;CITY;Spuņģēni;;
lv457384;lv10;CITY;Mežaraupi;;
lv458306;lv10;CITY;Lamaņi;;
lv458371;lv10;CITY;Kuzulini;;
lv458418;lv10;CITY;Kurāni;;
lv458438;lv10;CITY;Ķunci;;
lv459375;lv10;CITY;Jaunmuiža;;
lv460022;lv10;CITY;Endžeļi;;
lv460781;lv10;CITY;Brodi;;
lv461450;lv10;CITY;Antuži;;
lv461523;lv10;CITY;Alunāni;;
lv454117;lv10;CITY;Vīpe;;
lv454167;lv10;CITY;Vilciņi;;
lv454542;lv10;CITY;Vandāni;;
lv454617;lv10;CITY;Vagulāni;;
lv454931;lv10;CITY;Teiļi;;
lv454976;lv10;CITY;Tadenava;;
lv455081;lv10;CITY;Sudrabkalns;;
lv455159;lv10;CITY;Striķi;;
lv455219;lv10;CITY;Stradi;;
lv455243;lv10;CITY;Stimbināja;;
lv455536;lv10;CITY;Skramāni;;
lv455659;lv10;CITY;Sīļi;;
lv455869;lv10;CITY;Sankaļi;;
lv456021;lv10;CITY;Rudzīši;;
lv456054;lv10;CITY;Rubeņsala;;
lv456073;lv10;CITY;Rozes;;
lv456484;lv10;CITY;Pruņķēni;;
lv457026;lv10;CITY;Ošāni;;
lv457312;lv10;CITY;Miķelāni;;
lv457385;lv10;CITY;Mežarasas;;
lv457490;lv10;CITY;Medņi;;
lv457499;lv10;CITY;Medīlas;;
lv458298;lv10;CITY;Landzāni;;
lv458475;lv10;CITY;Kūkas;;
lv459271;lv10;CITY;Jerēni;;
lv459747;lv10;CITY;Gravani;;
lv459983;lv10;CITY;Ezēni;;
lv460572;lv10;CITY;Červonka;;
lv460837;lv10;CITY;Brediķi;;
lv460888;lv10;CITY;Bokāni;;
lv460973;lv10;CITY;Biķernieki;;
lv461115;lv10;CITY;Bauri;;
lv29;lv;REGION;Tukuma novads;;
lv454150;lv29;CITY;Vilksala;;
lv454422;lv29;CITY;Vecmokas;;
lv454486;lv29;CITY;Vaski;;
lv456147;lv29;CITY;Rindzele;;
lv456615;lv29;CITY;Plieņi;;
lv456763;lv29;CITY;Pēteri;;
lv459169;lv29;CITY;Kaive;;
lv460096;lv29;CITY;Dzirciems;;
lv864316;lv29;CITY;Burtnieki;;
lv460019;lv29;CITY;Engure;;
lv454397;lv29;CITY;Vecsāti;;
lv457614;lv29;CITY;Matkule;;
lv459070;lv29;CITY;Kalnmuiža;;
lv453783;lv29;CITY;Zvāre;;
lv454188;lv29;CITY;Vīksele;;
lv454223;lv29;CITY;Vienība;;
lv455480;lv29;CITY;Slampe;;
lv455755;lv29;CITY;Sēme;;
lv456739;lv29;CITY;Pienava;;
lv457212;lv29;CITY;Kalnēji;;
lv457641;lv29;CITY;Mariņmuiža;;
lv458104;lv29;CITY;Lestene;;
lv458300;lv29;CITY;Lancenieki;;
lv459352;lv29;CITY;Jaunpļavas;;
lv459748;lv29;CITY;Grauzde;;
lv459978;lv29;CITY;Gaiļi;;
lv460787;lv29;CITY;Brizule;;
lv456196;lv29;CITY;Rēzesciems;;
lv456420;lv29;CITY;Pūre;;
lv458025;lv29;CITY;Lielaisciems;;
lv458100;lv29;CITY;Leveste;;
lv458663;lv29;CITY;Korģeļciems;;
lv460593;lv29;CITY;Cēre;;
lv461621;lv29;CITY;Aizdzire;;
lv454153;lv29;CITY;Vilkāja;;
lv454761;lv29;CITY;Tume;;
lv455341;lv29;CITY;Spirgus;;
lv455438;lv29;CITY;Sloklejas;;
lv455528;lv29;CITY;Beķermuiža;;
lv455758;lv29;CITY;Selishi;;
lv459531;lv29;CITY;Irlava;;
lv459873;lv29;CITY;Garauši;;
lv460076;lv29;CITY;Džūkste;;
lv460387;lv29;CITY;Degole;;
lv460435;lv29;CITY;Dārtsmuiža;;
lv460470;lv29;CITY;Daigone;;
lv460912;lv29;CITY;Blāzma;;
lv461683;lv29;CITY;Abavnieki;;
lv864181;lv29;CITY;Dumpiete;;
lv864289;lv29;CITY;Ozolnieki;;
lv864308;lv29;CITY;Mariņmuiža;;
lv864324;lv29;CITY;Mācītājmuiža;;
lv864333;lv29;CITY;Ķunduri;;
lv453894;lv29;CITY;Zentene;;
lv454458;lv29;CITY;Vecciems;;
lv455984;lv29;CITY;Rūmene;;
lv458303;lv29;CITY;Lamiņi;;
lv458468;lv29;CITY;Kukšas;;
lv459384;lv29;CITY;Jaunlestene;;
lv459657;lv29;CITY;Gulbji;;
lv454377;lv29;CITY;Vecvagari;;
lv454585;lv29;CITY;Valdeķi;;
lv455221;lv29;CITY;Strabakas;;
lv455397;lv29;CITY;Snapji;;
lv455584;lv29;CITY;Skamestes;;
lv455803;lv29;CITY;Sautiņi;;
lv455834;lv29;CITY;Sāti;;
lv456192;lv29;CITY;Rideļi;;
lv456473;lv29;CITY;Pūces;;
lv456756;lv29;CITY;Pētertāle;;
lv457470;lv29;CITY;Meiniķi;;
lv458771;lv29;CITY;Kivuļi;;
lv458782;lv29;CITY;Ķīši;;
lv864302;lv29;CITY;Ezerkauķi;;
lv864305;lv29;CITY;Krīvi;;
lv864326;lv29;CITY;Džūkstesmuiža;;
lv455074;lv29;CITY;Salas;;
lv456434;lv29;CITY;Punduri;;
lv458352;lv29;CITY;Lāči;;
lv459376;lv29;CITY;Jaunmokas;;
lv07;lv;REGION;Daugavpils municipality;;
lv454398;lv07;CITY;Červonka;;
lv455102;lv07;CITY;Subate;;
lv455884;lv07;CITY;Saliena;;
lv457141;lv07;CITY;Nīcgale;;
lv453886;lv07;CITY;Židina;;
lv453972;lv07;CITY;Zaļumi;;
lv454087;lv07;CITY;Viselova;;
lv454792;lv07;CITY;Trikopci;;
lv454959;lv07;CITY;Taržeķi;;
lv455429;lv07;CITY;Slutiški;;
lv455677;lv07;CITY;Silene;;
lv456826;lv07;CITY;Pavlovskoje;;
lv456859;lv07;CITY;Paternieki;;
lv457479;lv07;CITY;Medvecki;;
lv457482;lv07;CITY;Medumi;;
lv457700;lv07;CITY;Mālgals;;
lv457757;lv07;CITY;Ļukeniški;;
lv457878;lv07;CITY;Lipiņišķi;;
