CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
lb;;COUNTRY;Lebanon;;
lb07;lb;REGION;Nabatîyé;;
lb274874;lb07;CITY;Habboûch;;
lb7870014;lb07;CITY;Nabatieh;;
lb272879;lb07;CITY;Kfar Hamâm;;
lb273745;lb07;CITY;Ebel es Saqi;;
lb273872;lb07;CITY;Houla;;
lb274833;lb07;CITY;Haddatha;;
lb275036;lb07;CITY;Ghandoûriyé;;
lb275598;lb07;CITY;Deïr Ntâr;;
lb276123;lb07;CITY;Borj Qalaouiyé;;
lb276390;lb07;CITY;Braïqaa;;
lb276393;lb07;CITY;Baraachît;;
lb277368;lb07;CITY;Aaïta ez Zott;;
lb277426;lb07;CITY;Aïn Qénia;;
lb277461;lb07;CITY;Ayn Jarfā;;
lb277467;lb07;CITY;Ain Ebel;;
lb277867;lb07;CITY;Et Tiri;;
lb277872;lb07;CITY;Et Taïbé;;
lb277962;lb07;CITY;Es Soultânîyé;;
lb278012;lb07;CITY;Es Saoûâné;;
lb266057;lb07;CITY;Zaghla;;
lb267447;lb07;CITY;Shebaa;;
lb268803;lb07;CITY;Râmîyé;;
lb278914;lb07;CITY;Nabatîyé el Faouqa;;
lb279064;lb07;CITY;El Qsaïbé;;
lb279091;lb07;CITY;El Qlaïaa;;
lb279138;lb07;CITY;Qaouzah;;
lb279216;lb07;CITY;Qantara;;
lb279786;lb07;CITY;Khaloué;;
lb280217;lb07;CITY;El Fardîs;;
lb269376;lb07;CITY;Qalaouiyé;;
lb269680;lb07;CITY;Qabrîkhâ;;
lb270580;lb07;CITY;Mazraat Sarada;;
lb270612;lb07;CITY;Mazraat Dmoûl;;
lb270691;lb07;CITY;Mazraat el Hmaïlé;;
lb270692;lb07;CITY;Mazraat el Hamra;;
lb270712;lb07;CITY;Dehayrjate;;
lb270767;lb07;CITY;Meïss ej Jabal;;
lb270782;lb07;CITY;Maïfadoûn;;
lb271090;lb07;CITY;Maroun er Ras;;
lb271215;lb07;CITY;Markaba;;
lb271859;lb07;CITY;Majdel Selm;;
lb272236;lb07;CITY;Kounine;;
lb272249;lb07;CITY;Kfaïr ez Zaït;;
lb272376;lb07;CITY;Khirbet Selm;;
lb272804;lb07;CITY;Kfaroué;;
lb272809;lb07;CITY;Kfar Tibnît;;
lb272812;lb07;CITY;Kfar Sîr;;
lb272816;lb07;CITY;Kfar Shouba;;
lb272849;lb07;CITY;Kfar Kila;;
lb272883;lb07;CITY;Kfar Fîla;;
lb272886;lb07;CITY;Kfar Doûnîne;;
lb272904;lb07;CITY;Kafra;;
lb273340;lb07;CITY;Jibchît;;
lb273358;lb07;CITY;Jbâa;;
lb273452;lb07;CITY;Jarjoûaa;;
lb273626;lb07;CITY;Aazzé;;
lb273848;lb07;CITY;Hoûmîne et Tahta;;
lb273849;lb07;CITY;Hoûmîne el Faouqa;;
lb274219;lb07;CITY;Houra;;
lb274333;lb07;CITY;Hâroûf;;
lb274351;lb07;CITY;Hâriîs;;
lb274603;lb07;CITY;Hanïne;;
lb274707;lb07;CITY;Hilta el Faouqa;;
lb275187;lb07;CITY;Froûn;;
lb275540;lb07;CITY;Débel;;
lb275544;lb07;CITY;Dibbîne;;
lb275585;lb07;CITY;Deïr Siriane;;
lb275603;lb07;CITY;Deïr Mimass;;
lb276152;lb07;CITY;Bourghôs;;
lb276429;lb07;CITY;Blida;;
lb276709;lb07;CITY;Beït Lîf;;
lb277039;lb07;CITY;Beni Haïyâne;;
lb277122;lb07;CITY;Blât;;
lb277366;lb07;CITY;Aïtaroun;;
lb277369;lb07;CITY;Aïta ech Chaab;;
lb277432;lb07;CITY;Aïn Qâna;;
lb277536;lb07;CITY;Aïnata;;
lb278064;lb07;CITY;Es Sâlhâni;;
lb278245;lb07;CITY;Ech Charqîyé;;
lb278538;lb07;CITY;Arnoun;;
lb265832;lb07;CITY;Zeftâ;;
lb265894;lb07;CITY;Zaoutar ech Charqîyé;;
lb265895;lb07;CITY;Zaoutar el Gharbîyé;;
lb266103;lb07;CITY;Yâtar;;
lb266109;lb07;CITY;Yaroun;;
lb266560;lb07;CITY;Aadaïssé;;
lb266874;lb07;CITY;Talloûssa;;
lb267101;lb07;CITY;Srobbîne;;
lb267150;lb07;CITY;Sîr el Gharbiyé;;
lb267239;lb07;CITY;Chouaïya;;
lb268585;lb07;CITY;Rmaysh;;
lb268659;lb07;CITY;Rachâf;;
lb268735;lb07;CITY;Râchaïya el Foukhâr;;
lb268898;lb07;CITY;Rabb et Talatine;;
lb278702;lb07;CITY;Aarab Salîm;;
lb278798;lb07;CITY;Insâr;;
lb278976;lb07;CITY;El Wazzani;;
lb279505;lb07;CITY;El Meri;;
lb279586;lb07;CITY;El Majidiyé;;
lb279678;lb07;CITY;El Kfoûr;;
lb279718;lb07;CITY;El Khraïbé;;
lb279886;lb07;CITY;Jaouharîyé;;
lb280227;lb07;CITY;El Bouaïda;;
lb280688;lb07;CITY;Aadchît el Qoussaïr;;
lb280689;lb07;CITY;Aadchît;;
lb280698;lb07;CITY;Ed Dnaïbé;;
lb280704;lb07;CITY;Ed Douaïr;;
lb280916;lb07;CITY;Abou Qamha;;
lb281064;lb07;CITY;Aabba;;
lb6270857;lb07;CITY;Beït Yahoun;;
lb420304;lb07;CITY;El Mamlaha;;
lb433714;lb07;CITY;El Mhanbar;;
lb433749;lb07;CITY;Ej Jazâyer;;
lb433857;lb07;CITY;Ech Choûmé;;
lb434009;lb07;CITY;Bayadât;;
lb434017;lb07;CITY;Dabchet es Sahra;;
lb434029;lb07;CITY;En Naffâra;;
lb434043;lb07;CITY;El Mayâs;;
lb434056;lb07;CITY;El Hoûé;;
lb434060;lb07;CITY;El Mroûj;;
lb434061;lb07;CITY;En Nqîri;;
lb434065;lb07;CITY;Qabrikha;;
lb434076;lb07;CITY;El Hadâya;;
lb434096;lb07;CITY;Bilône;;
lb270235;lb07;CITY;Mhaïbib;;
lb270502;lb07;CITY;Mîmess;;
lb270571;lb07;CITY;Mazraat Toûl;;
lb270574;lb07;CITY;Mazraat Sinaï;;
lb270576;lb07;CITY;Mazraat Châl Baal;;
lb270584;lb07;CITY;Mazraat Râs el Baïdar;;
lb270600;lb07;CITY;Mazraat Kafrâ;;
lb270606;lb07;CITY;Mazraat Islamiyé;;
lb270620;lb07;CITY;Mazraat Bsaffoûr;;
lb270637;lb07;CITY;Mazraat Aïn Bou Souâr;;
lb270651;lb07;CITY;Mazraat es Safâri;;
lb270682;lb07;CITY;Mazraat el Khraïbé;;
lb270690;lb07;CITY;Mazraat Aali et Tâher;;
lb270764;lb07;CITY;Maïssate;;
lb272413;lb07;CITY;Khirbet ed Dwayr;;
lb272638;lb07;CITY;Khalouât el Baïyada;;
lb272681;lb07;CITY;Kaoukaba;;
lb272833;lb07;CITY;Kfar Roummâne;;
lb272855;lb07;CITY;Kfar Jaouz;;
lb272888;lb07;CITY;Kfar Dajjâl;;
lb273161;lb07;CITY;Jmaïjmé;;
lb274080;lb07;CITY;Hay Bir Nasser;;
lb274125;lb07;CITY;Hay el Maslakh;;
lb274385;lb07;CITY;Hârîbi;;
lb274445;lb07;CITY;Haret es Sidri;;
lb274465;lb07;CITY;Haret el Mghayer;;
lb274489;lb07;CITY;Hâret el Biyâder;;
lb275643;lb07;CITY;Deïr ez Zahrâni;;
lb276391;lb07;CITY;Braïnsa;;
lb276542;lb07;CITY;Bîr es Sanâssel;;
lb277401;lb07;CITY;Aïn Tanta;;
lb277608;lb07;CITY;Aïn el Mentné;;
lb277914;lb07;CITY;El Tâmrîyé;;
lb277967;lb07;CITY;Es Slaïyeb;;
lb278094;lb07;CITY;Es Saha;;
lb265839;lb07;CITY;Zebdîne;;
lb266634;lb07;CITY;Toûlîne;;
