CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
lr;;COUNTRY;Liberia;;
lr09;lr;REGION;Nimba;;
lr2272790;lr09;CITY;New Yekepa;;
lr2277197;lr09;CITY;Ganta;;
lr2274222;lr09;CITY;Saclepea;;
lr2275441;lr09;CITY;Larpea #2;;
lr2275442;lr09;CITY;Larpea #1;;
lr2571888;lr09;CITY;Saclepea;;
lr2272607;lr09;CITY;Zeekapa;;
lr2272609;lr09;CITY;Zayglay;;
lr2273363;lr09;CITY;Vahnplay;;
lr2273684;lr09;CITY;Tapita;;
lr2273944;lr09;CITY;Siaplay;;
lr2277768;lr09;CITY;Dingamo;;
lr2272504;lr09;CITY;Zuluyi;;
lr2272507;lr09;CITY;Zualay;;
lr2272550;lr09;CITY;Zuoplay;;
lr2272569;lr09;CITY;Zodru;;
lr2272578;lr09;CITY;Sankarplay;;
lr2272656;lr09;CITY;Zasonoh;;
lr2272679;lr09;CITY;Zalagbatu;;
lr2272684;lr09;CITY;Zaia;;
lr2272774;lr09;CITY;Yabli;;
lr2272863;lr09;CITY;Nyahplay;;
lr2273403;lr09;CITY;Tuonme;;
lr2273418;lr09;CITY;Tule;;
lr2273462;lr09;CITY;Bagle;;
lr2273618;lr09;CITY;Tiayl;;
lr2273943;lr09;CITY;Siaplay;;
lr2274001;lr09;CITY;Senlay;;
lr2274028;lr09;CITY;Siekempa;;
lr2274113;lr09;CITY;Louplay;;
lr2274790;lr09;CITY;Neingben;;
lr2274979;lr09;CITY;Menla;;
lr2275266;lr09;CITY;Glalie;;
lr2275340;lr09;CITY;Logle;;
lr2275362;lr09;CITY;Dinte;;
lr2275628;lr09;CITY;Kpaytou;;
lr2275646;lr09;CITY;Kpei-Lepula;;
lr2275934;lr09;CITY;Guli;;
lr2275938;lr09;CITY;Kentuckle;;
lr2276016;lr09;CITY;Kpei;;
lr2276103;lr09;CITY;Karnplay;;
lr2276616;lr09;CITY;Grassfield;;
lr2276672;lr09;CITY;Gonwe;;
lr2276693;lr09;CITY;Karnwee;;
lr2276713;lr09;CITY;Gona;;
lr2276715;lr09;CITY;Gomahplay;;
lr2276789;lr09;CITY;Kpoapa;;
lr2276797;lr09;CITY;Graie;;
lr2276806;lr09;CITY;Batato;;
lr2276936;lr09;CITY;Bongaplay;;
lr2277021;lr09;CITY;Bentonwin;;
lr2277039;lr09;CITY;Gbedin Rice Station;;
lr2277122;lr09;CITY;Gbahn;;
lr2277194;lr09;CITY;Garplay;;
lr2277201;lr09;CITY;Ganaglay;;
lr2277241;lr09;CITY;Ganta;;
lr2277632;lr09;CITY;Lole;;
lr2277822;lr09;CITY;Gadali;;
lr2277892;lr09;CITY;Davory;;
lr2278195;lr09;CITY;Boyi;;
lr2278315;lr09;CITY;Bunadin;;
lr2278406;lr09;CITY;Gbonwlea;;
lr2278520;lr09;CITY;Gblasonoh;;
lr2278613;lr09;CITY;Biahdatuo;;
