CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
ly;;COUNTRY;Libya;;
ly82;ly;REGION;Al Marqab;;
ly2210221;ly82;CITY;Tarhuna;;
ly2219713;ly82;CITY;Quşay‘ah;;
ly2219746;ly82;CITY;Al Qaşabāt;;
ly2220336;ly82;CITY;Ad Dāfīnah;;
ly2210587;ly82;CITY;Sūq al Jum‘ah;;
ly2213872;ly82;CITY;Qaryat Bin Ḩasan;;
ly2213875;ly82;CITY;Qaryat az Zurayqī;;
ly2214209;ly82;CITY;Qabīlat Wādinah;;
ly2214218;ly82;CITY;Qabīlat Lawātah;;
ly2214223;ly82;CITY;Qabīlat Bin Musallam;;
ly2214245;ly82;CITY;Qabīlat ash Shurfah;;
ly2214247;ly82;CITY;Qabīlat ash Sha‘āfīyīn;;
ly2214258;ly82;CITY;Qabīlat al Qalīl;;
ly2214259;ly82;CITY;Qabīlat al Mu‘ammarīyīn;;
ly2214902;ly82;CITY;Minţaqat al Ghanīmah;;
ly2219398;ly82;CITY;Ash Shurūf;;
ly2219918;ly82;CITY;Al Khaḑrā’;;
ly2220081;ly82;CITY;Al Fuqahā’;;
ly2210577;ly82;CITY;Sūq al Khamīs;;
ly2213355;ly82;CITY;Qirrīm;;
ly2213861;ly82;CITY;Qaryat Hanshīr al Budūr;;
ly2213871;ly82;CITY;Qaryat Bin Tallīs;;
ly2213911;ly82;CITY;Qaryat al Wuqayyāt;;
ly2213934;ly82;CITY;Qaryat al Hanādah;;
ly2214207;ly82;CITY;Qabīlat Za‘farān;;
ly2214213;ly82;CITY;Qabīlat Sīdī Mu‘ammar;;
ly2214215;ly82;CITY;Qabīlat Salimah;;
ly2214219;ly82;CITY;Qabīlat Indārah;;
ly2214222;ly82;CITY;Qabīlat Banī Salīm;;
ly2214224;ly82;CITY;Qabīlat Banī Layth;;
ly2214239;ly82;CITY;Qabīlat Awlād ‘Ārif;;
ly2214244;ly82;CITY;Qabīlat ash Shuţaywīyah;;
ly2214270;ly82;CITY;Qabīlat al Fawātīr;;
ly2214277;ly82;CITY;Qabīlat al ‘Amārīyīn;;
ly2214281;ly82;CITY;Qabīlat al ‘Abādīlah;;
ly2214467;ly82;CITY;Na‘īmah;;
ly2214898;ly82;CITY;Zāwiyat as Samāḩ;;
ly2215163;ly82;CITY;Masallātah;;
ly2208555;ly82;CITY;Zāwiyat al ‘Amārīyīn;;
ly2219406;ly82;CITY;Ash Shi‘āfīyīn;;
ly2219876;ly82;CITY;Al Maghāsil;;
ly2220087;ly82;CITY;Al Fawātīr;;
ly2213859;ly82;CITY;Qaryat Ḩujjājah;;
ly2213873;ly82;CITY;Qaryat Banī Musallam;;
ly2213933;ly82;CITY;Qaryat al Ḩuwayjāt;;
ly2214211;ly82;CITY;Qabīlat Sūq ad Dāwūn;;
ly2214212;ly82;CITY;Qabīlat Sīlīn;;
ly2214220;ly82;CITY;Qabīlat Dirsūnah;;
ly2214229;ly82;CITY;Qabīlat Awlād ‘Umar;;
ly2214243;ly82;CITY;Qabīlat aş Şaqū‘;;
ly2214246;ly82;CITY;Qabīlat ash Shurfah;;
ly2214250;ly82;CITY;Qabīlat ar Raḩūmāt;;
ly2214263;ly82;CITY;Qabīlat al Khums;;
ly2214264;ly82;CITY;Qabīlat al Kawārighilīyah;;
ly2214265;ly82;CITY;Qabīlat al Karāwinah;;
ly2214272;ly82;CITY;Qabīlat al Fawātīr;;
ly2214275;ly82;CITY;Qabīlat al ‘Aţāyā;;
ly2214278;ly82;CITY;Qabīlat al Afāḑil;;
ly2214897;ly82;CITY;Minţaqat Zāwiyat Sīdī ‘Aţīyah;;
ly2217468;ly82;CITY;Funduq Tarbānah;;
ly2217472;ly82;CITY;Funduq an Naqqāzah;;
ly2208798;ly82;CITY;Wurīran;;
ly2219992;ly82;CITY;Al Ḩuwayjāt;;
ly2220181;ly82;CITY;Al ‘Amāmirah;;
ly2214228;ly82;CITY;Qabīlat Awlād Zā’id;;
ly2214232;ly82;CITY;Qabīlat Awlād ‘Īsá;;
ly2214252;ly82;CITY;Qabīlat ar Rāghah;;
ly2214253;ly82;CITY;Qabīlat ar Radādah;;
ly2214257;ly82;CITY;Qabīlat al Qanawāt;;
ly2214266;ly82;CITY;Qabīlat al Karāritah;;
ly2214267;ly82;CITY;Qabīlat al Jawābir;;
ly2214268;ly82;CITY;Qabīlat al Ḩurmah;;
ly2214271;ly82;CITY;Qabīlat al Fawātīr;;
ly2214274;ly82;CITY;Qabīlat al Bakākishah;;
ly2214276;ly82;CITY;Qabīlat al ‘Aql;;
ly2214280;ly82;CITY;Qabīlat al ‘Abādinah;;
ly2214903;ly82;CITY;Minţaqat ad Daghdūghī;;
ly2215764;ly82;CITY;Ki‘ām;;
ly2218459;ly82;CITY;Bi’r Dūfān;;
ly2208554;ly82;CITY;Zāwiyat al Maḩjūb;;
ly68;ly;REGION;Az Zāwiyah;;
ly2216885;ly68;CITY;Zawiya;;
ly2212771;ly68;CITY;Şabrātah;;
ly2210560;ly68;CITY;Şurmān;;
ly2216463;ly68;CITY;Jaddā’im;;
ly2218475;ly68;CITY;Bi’r al Ghanam;;
ly2219258;ly68;CITY;Aţ Ţuwaybīyah;;
ly2219491;ly68;CITY;Ar Rābiţah;;
ly2219773;ly68;CITY;Al Muţrad;;
ly2220468;ly68;CITY;Abū ‘Īsá;;
ly2214241;ly68;CITY;Qabīlat Awlād Abū Şuḩayyirah;;
ly2219208;ly68;CITY;Awlād Abū Suhayyirah;;
ly2219380;ly68;CITY;Aş Şābirīyah;;
ly2219994;ly68;CITY;Al Ḩurshah;;
ly2220020;ly68;CITY;Al Ḩāshiyah al Ḩamrā’;;
ly2220508;ly68;CITY;Abū ar Rīsh;;
ly2217952;ly68;CITY;Dahmān;;
ly67;ly;REGION;An Nuqāţ al Khams;;
ly2219701;ly67;CITY;Al Ajaylat;;
ly2208655;ly67;CITY;Zalţan;;
ly2220457;ly67;CITY;Abū Kammāsh;;
ly2219676;ly67;CITY;Al Wāţīyah;;
ly2219936;ly67;CITY;Al Jumayl;;
ly2212882;ly67;CITY;Sīdī Bin Zīnah;;
ly2219408;ly67;CITY;Ash Shaykh Bū ‘Ujaylah;;
ly2220151;ly67;CITY;Al ‘Assah;;
ly2210589;ly67;CITY;Sūq al ‘Alāliqah;;
ly2213039;ly67;CITY;Ra’s Judayr;;
ly2210593;ly67;CITY;Sūq ad Dawāwidah;;
ly2210590;ly67;CITY;Sūq al ‘Alāliqah;;
ly72;ly;REGION;Mişrātah;;
ly2208485;ly72;CITY;Zliten;;
ly2218840;ly72;CITY;Bani Walid;;
ly2219768;ly72;CITY;Qaryat al Qaddāḩīyah;;
ly2220007;ly72;CITY;Al Hīshah;;
ly2220416;ly72;CITY;Qaryat Abū Qurayn;;
ly2218974;ly72;CITY;Qaryat az Zarrūq;;
ly2220068;ly72;CITY;Al Ghīrān;;
ly2210091;ly72;CITY;Tāwurghah;;
ly2210314;ly72;CITY;Ţamīnah;;
ly2213766;ly72;CITY;Qaşr Aḩmad al Qiblīyah;;
ly2213868;ly72;CITY;Qaryat Bū Ruwayyah;;
ly2213895;ly72;CITY;Qaryat aş Şūwāk ‘Ayn Ghulū;;
ly2213922;ly72;CITY;Qaryat al Maghāribah;;
ly2214237;ly72;CITY;Qabīlat Awlād aţ Ţāmid;;
ly2219376;ly72;CITY;As Sidādah;;
ly2219411;ly72;CITY;Ash Shawāţī;;
ly2219928;ly72;CITY;Al Karārīm;;
ly2220054;ly72;CITY;Al Hadāri‘ah;;
ly2213364;ly72;CITY;Qarzah;;
