CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
lt;;COUNTRY;Lithuania;;
lt63;lt;REGION;Telsiai;;
lt597188;lt63;CITY;Mažeikiai;;
lt592787;lt63;CITY;Židikai;;
lt593218;lt63;CITY;Viekšniai;;
lt593378;lt63;CITY;Varniai;;
lt595689;lt63;CITY;Plungė;;
lt595726;lt63;CITY;Plateliai;;
lt597356;lt63;CITY;Luokė;;
lt597624;lt63;CITY;Lauko Soda;;
lt597875;lt63;CITY;Kuliai;;
lt592884;lt63;CITY;Žarėnai;;
lt593197;lt63;CITY;Viešvėnai;;
lt593744;lt63;CITY;Ubiškė;;
lt594867;lt63;CITY;Seda;;
lt599437;lt63;CITY;Gegrėnai;;
lt599475;lt63;CITY;Gauryliai;;
lt599564;lt63;CITY;Gadūnavas;;
lt599628;lt63;CITY;Eigirdžiai;;
lt599715;lt63;CITY;Dūmaičiai;;
lt600282;lt63;CITY;Bukančiai;;
lt600370;lt63;CITY;Bružai;;
lt600723;lt63;CITY;Balėnos;;
lt600806;lt63;CITY;Babrungas;;
lt600860;lt63;CITY;Auksūdys;;
lt601066;lt63;CITY;Endrietiškiai;;
lt601105;lt63;CITY;Alsėdžiai;;
lt592730;lt63;CITY;Žlibinai;;
lt592789;lt63;CITY;Žadeikiai;;
lt596173;lt63;CITY;Didysis Palūkstis;;
lt596385;lt63;CITY;Pagirgždūtis;;
lt596629;lt63;CITY;Nevarėnai;;
lt596646;lt63;CITY;Nerimdaičiai;;
lt596883;lt63;CITY;Mižuikai;;
lt597032;lt63;CITY;Mickiškė;;
lt597147;lt63;CITY;Medingėnai;;
lt597478;lt63;CITY;Lieplaukė;;
lt597583;lt63;CITY;Leckava;;
lt597714;lt63;CITY;Labardžiai;;
lt598020;lt63;CITY;Krakiai;;
lt598720;lt63;CITY;Jodėnai;;
lt598910;lt63;CITY;Janapolė;;
lt599185;lt63;CITY;Grūstė;;
lt599310;lt63;CITY;Gintališkė;;
lt599340;lt63;CITY;Giliogiris;;
lt599376;lt63;CITY;Geruliai;;
lt592829;lt63;CITY;Žemaičių Kalvarija;;
lt592994;lt63;CITY;Vydeikiai;;
lt593396;lt63;CITY;Varkaliai;;
lt593631;lt63;CITY;Užlieknė;;
lt593703;lt63;CITY;Upyna;;
lt593730;lt63;CITY;Ukrinai;;
lt593767;lt63;CITY;Tverai;;
lt593794;lt63;CITY;Tučiai I;;
lt593803;lt63;CITY;Tryškiai;;
lt593897;lt63;CITY;Tirkšliai;;
lt594301;lt63;CITY;Stalgėnai;;
lt594502;lt63;CITY;Skroblis;;
lt594586;lt63;CITY;Skaborai;;
lt594786;lt63;CITY;Šerkšnėnai;;
lt594829;lt63;CITY;Šiemuliai;;
lt594912;lt63;CITY;Šateikiai;;
lt594953;lt63;CITY;Sarakai I;;
lt595177;lt63;CITY;Šateikių Rūdaičiai;;
lt595311;lt63;CITY;Renavas;;
lt595327;lt63;CITY;Reivyčiai;;
lt595520;lt63;CITY;Purvėnai;;
lt595710;lt63;CITY;Plėnakiai;;
lt595946;lt63;CITY;Pavandenė;;
lt11301528;lt63;CITY;Kestaičiai;;
lt11290083;lt63;CITY;Pakerai;;
lt599458;lt63;CITY;Gedikėnai;;
lt599480;lt63;CITY;Gaulėnai;;
lt599534;lt63;CITY;Gaižupiai;;
lt599763;lt63;CITY;Drobstai;;
lt599776;lt63;CITY;Drobūkščiai;;
lt599828;lt63;CITY;Dišliai;;
lt599845;lt63;CITY;Želvaičiai;;
lt599859;lt63;CITY;Dilbai;;
