CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
mg;;COUNTRY;Madagascar;;
mg12;mg;REGION;Vakinankaratra;;
mg1070661;mg12;CITY;Antanifotsy;;
mg1056381;mg12;CITY;Soanindrariny;;
mg1059059;mg12;CITY;Miandrarivo;;
mg1066514;mg12;CITY;Betafo;;
mg1082992;mg12;CITY;Ambatolampy;;
mg1084734;mg12;CITY;Alarobia Bemaha;;
mg1054580;mg12;CITY;Tsinjoarivo;;
mg1055302;mg12;CITY;Tritriva;;
mg1057693;mg12;CITY;Sabotsy Namatoana;;
mg1057973;mg12;CITY;Ramainandro;;
mg1058473;mg12;CITY;Morarano;;
mg1060980;mg12;CITY;Mandrosohasina;;
mg1061026;mg12;CITY;Mandritsara;;
mg1062675;mg12;CITY;Mahaiza;;
mg1064873;mg12;CITY;Fidirana;;
mg1065140;mg12;CITY;Faratsiho;;
mg1067661;mg12;CITY;Belazao;;
mg1067766;mg12;CITY;Belambo;;
mg1069523;mg12;CITY;Antsampandrano;;
mg1069526;mg12;CITY;Antsampandrano;;
mg1069850;mg12;CITY;Antsahalava;;
mg1071076;mg12;CITY;Antanambao;;
mg1072721;mg12;CITY;Ankazomiriotra;;
mg1074393;mg12;CITY;Andriambilany;;
mg1074462;mg12;CITY;Andrembesoa;;
mg1074693;mg12;CITY;Andranovelona;;
mg1074936;mg12;CITY;Andranomiady;;
mg1075145;mg12;CITY;Andranomanelatra;;
mg1079670;mg12;CITY;Ambohitsimanova;;
mg1079917;mg12;CITY;Ambohitompoina;;
mg1080093;mg12;CITY;Ambohimiarivo;;
mg1080167;mg12;CITY;Ambohimasina;;
mg1080297;mg12;CITY;Ambohimandroso;;
mg1080366;mg12;CITY;Ambohimanambola;;
mg1080537;mg12;CITY;Ambohidranandriana;;
mg1080684;mg12;CITY;Ambohibary;;
mg1081042;mg12;CITY;Ambodiriana;;
mg1082542;mg12;CITY;Ambatotsipihina;;
mg1082645;mg12;CITY;Ambatondrakalavao;;
mg1082750;mg12;CITY;Ambatomiady;;
mg1084749;mg12;CITY;Alakamisy Anativato;;
mg1054148;mg12;CITY;Vinaninkarena;;
mg1054303;mg12;CITY;Vasiana;;
mg1054356;mg12;CITY;Valabetokana;;
mg1056157;mg12;CITY;Soavina Antanety;;
mg1060666;mg12;CITY;Manjakatompo-Firaisana;;
mg1061078;mg12;CITY;Mandoto;;
mg1061399;mg12;CITY;Manandona;;
mg1068169;mg12;CITY;Behenjy;;
mg1070591;mg12;CITY;Antanimasaka-Tsaramiafara;;
mg1079965;mg12;CITY;Ambohipihaonana;;
mg1082763;mg12;CITY;Ambatomena;;
mg1083054;mg12;CITY;Ambatolahy;;
mg1083693;mg12;CITY;Ambano;;
mg1055193;mg12;CITY;Tsarahonenana;;
mg1059858;mg12;CITY;Maromoka;;
mg1064102;mg12;CITY;Inanantonana;;
mg1070421;mg12;CITY;Antanjombolamena;;
mg1070739;mg12;CITY;Antanetikely;;
mg1073501;mg12;CITY;Anjoma-Ramartina;;
mg1077214;mg12;CITY;Analalava;;
mg1077915;mg12;CITY;Ampatotramalona;;
mg1084210;mg12;CITY;Ambalamasina;;
mg1084305;mg12;CITY;Ambalamahasoa;;
mg1054229;mg12;CITY;Vatovandana II;;
mg1054579;mg12;CITY;Tsinjoarivokely;;
mg1054837;mg12;CITY;Tsiatajavona-Ankaratra;;
mg1054998;mg12;CITY;Tsarazafy Herimiray;;
mg1055148;mg12;CITY;Tsaramasoandro;;
mg1055236;mg12;CITY;Tsarafierena;;
mg1055338;mg12;CITY;Tovoala;;
mg1055461;mg12;CITY;Toby;;
mg1055477;mg12;CITY;Tianihova;;
mg1055940;mg12;CITY;Tamiana Ambany;;
mg1056138;mg12;CITY;Sobaba;;
mg1056196;mg12;CITY;Soatanimbory;;
mg1056309;mg12;CITY;Soaserana;;
mg1056396;mg12;CITY;Soanierana;;
mg1058384;mg12;CITY;Moronarivo;;
mg1059002;mg12;CITY;Miarinatsimo;;
mg1059030;mg12;CITY;Miarikofeno;;
mg1059115;mg12;CITY;Miadampahonina;;
mg1059159;mg12;CITY;Menaratra;;
mg1059336;mg12;CITY;Matieloana;;
mg1059351;mg12;CITY;Matahotrony;;
mg1059360;mg12;CITY;Masoroamena;;
mg1060638;mg12;CITY;Manohisoa;;
mg1061021;mg12;CITY;Mandritsarakely;;
mg1061719;mg12;CITY;Mamonomby;;
mg1061957;mg12;CITY;Mahoikely;;
mg1061972;mg12;CITY;Mahiarera;;
mg1063397;mg12;CITY;Kofandra;;
mg1063543;mg12;CITY;Kianjanakanga;;
mg1063798;mg12;CITY;Ivory;;
mg1064192;mg12;CITY;Ilempona;;
mg1064496;mg12;CITY;Ianaborona;;
mg1064539;mg12;CITY;Ialasala;;
mg1066485;mg12;CITY;Betainakoho;;
mg1068302;mg12;CITY;Befotaka;;
mg1069071;mg12;CITY;Antsiriribe;;
mg1069527;mg12;CITY;Antsampandrano;;
mg1069735;mg12;CITY;Antsahondramaromandry;;
mg1069903;mg12;CITY;Antsahabe;;
mg1070175;mg12;CITY;Antobimaromanga;;
mg1070643;mg12;CITY;Antanikatsaka;;
mg1070699;mg12;CITY;Antanety;;
mg1070840;mg12;CITY;Antananolofotsy;;
mg1070998;mg12;CITY;Antanambo;;
mg1071033;mg12;CITY;Antanambao Firaisana;;
mg1071220;mg12;CITY;Antamiana;;
mg1071796;mg12;CITY;Ankomakoma;;
mg1073078;mg12;CITY;Ankararana;;
mg1073345;mg12;CITY;Ankafitro;;
mg1073357;mg12;CITY;Ankadivory;;
mg1074402;mg12;CITY;Andriambe;;
mg1074526;mg12;CITY;Andravola;;
mg1074595;mg12;CITY;Andraraly;;
mg1076107;mg12;CITY;Andoabatomanga;;
mg1076369;mg12;CITY;Andasivao;;
mg1077507;mg12;CITY;Ampopohabe;;
mg1077614;mg12;CITY;Ampombaka;;
mg1077699;mg12;CITY;Ampitantafika;;
mg1079454;mg12;CITY;Ambolotsangana;;
mg1079566;mg12;CITY;Ambolo;;
mg1079789;mg12;CITY;Ambohitrinirina;;
mg1079790;mg12;CITY;Ambohitrinimpamosavy;;
mg1079941;mg12;CITY;Ambohiponana;;
mg1079983;mg12;CITY;Ambohipeno;;
mg1080088;mg12;CITY;Ambohimierambe-Andranofito;;
mg1080136;mg12;CITY;Ambohimena Atsimo;;
mg1080597;mg12;CITY;Ambohiborona-Ambatofotsy;;
mg1082223;mg12;CITY;Ambinanibe;;
mg1082740;mg12;CITY;Ambatomifikitra;;
mg1082822;mg12;CITY;Ambatomanga;;
mg1083259;mg12;CITY;Ambatoboahangy;;
mg1083526;mg12;CITY;Ambararatavokoka;;
mg1084201;mg12;CITY;Ambalambositra;;
mg1084233;mg12;CITY;Ambalamarina;;
mg1084234;mg12;CITY;Ambalamarina;;
mg1084235;mg12;CITY;Ambalamarana;;
mg1084400;mg12;CITY;Ambalahady;;
mg1084420;mg12;CITY;Ambalafeno;;
mg1084421;mg12;CITY;Ambalafeno;;
mg1084546;mg12;CITY;Ambako;;
mg1084585;mg12;CITY;Ambaiavato;;
mg1084593;mg12;CITY;Ambahondrano;;
mg1084596;mg12;CITY;Ambahona;;
mg1084727;mg12;CITY;Alatsinainy Ibity;;
mg1084731;mg12;CITY;Alatsinainy;;
mg1084736;mg12;CITY;Alarobia;;
mg1084737;mg12;CITY;Alarobia;;
mg1084756;mg12;CITY;Alakamisy;;
mg1053673;mg12;CITY;Vohitrarivo;;
mg1053694;mg12;CITY;Vohitrambo;;
mg1053695;mg12;CITY;Vohitrambo;;
mg1053758;mg12;CITY;Vohipisaka;;
mg1053761;mg12;CITY;Vohipeno Sud;;
mg1053762;mg12;CITY;Vohipeno Nord;;
mg1053807;mg12;CITY;Vohimena;;
mg1053823;mg12;CITY;Vohimavo;;
mg1054034;mg12;CITY;Vohibinidy;;
mg1054048;mg12;CITY;Vohibazaha;;
mg1054133;mg12;CITY;Vinany;;
mg1054134;mg12;CITY;Vinany;;
mg1054135;mg12;CITY;Vinany;;
mg1054146;mg12;CITY;Vinaninony;;
mg1054149;mg12;CITY;Vinanindambo;;
mg25;mg;REGION;Atsimo-Atsinanana;;
mg1053778;mg25;CITY;Vohipaho;;
mg1053507;mg25;CITY;Vondrozo;;
mg1054329;mg25;CITY;Vangaindrano;;
mg1061216;mg25;CITY;Manato;;
mg1053641;mg25;CITY;Vohitromby;;
mg1053859;mg25;CITY;Vohimary;;
mg1053910;mg25;CITY;Vohimalaza;;
mg1053928;mg25;CITY;Vohilengo;;
mg1054013;mg25;CITY;Vohiboreka;;
mg1055337;mg25;CITY;Tovona;;
mg1055602;mg25;CITY;Tangainony;;
mg1056441;mg25;CITY;Soamanova;;
mg1057574;mg25;CITY;Sahamadio;;
mg1059347;mg25;CITY;Matanga;;
mg1059629;mg25;CITY;Marovandrika;;
mg1059689;mg25;CITY;Maroteza;;
mg1060052;mg25;CITY;Marokibo;;
mg1060608;mg25;CITY;Manombo;;
mg1061528;mg25;CITY;Manambidala;;
mg1062013;mg25;CITY;Maheriraty;;
mg1062069;mg25;CITY;Mahazoarivo;;
mg1062158;mg25;CITY;Mahavelo;;
