CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
mw;;COUNTRY;Malawi;;
mwS;mw;REGION;Southern Region;;
mw927834;mwS;CITY;Liwonde;;
mw927792;mwS;CITY;Luchenza;;
mw926308;mwS;CITY;Monkey Bay;;
mw927372;mwS;CITY;Malemia;;
mw927955;mwS;CITY;Limbe;;
mw930549;mwS;CITY;Chiromo;;
mw931618;mwS;CITY;Cape Maclear;;
mw923986;mwS;CITY;Sankulani;;
mw924024;mwS;CITY;Sandama;;
mw926112;mwS;CITY;Mpingwe;;
mw7839220;mwS;CITY;Bangula;;
mw7840046;mwS;CITY;Bangwe;;
mw11427318;mwS;CITY;Nkaya;;
mw928131;mwS;CITY;Kumtumanji;;
mw928149;mwS;CITY;Kukulanga;;
mw928527;mwS;CITY;Kasupe;;
mw923673;mwS;CITY;Thuchila;;
mw923682;mwS;CITY;Thondwe;;
mw923896;mwS;CITY;Simon;;
mw925397;mwS;CITY;Namalaka;;
mw925423;mwS;CITY;Nalikolo;;
mw925704;mwS;CITY;Mvela;;
mw926763;mwS;CITY;Mchenga;;
mw927101;mwS;CITY;Massaula;;
mw927121;mwS;CITY;Masenjere;;
mw927388;mwS;CITY;Malauli;;
mw927451;mwS;CITY;Makumbi;;
mw927505;mwS;CITY;Makande;;
mw927770;mwS;CITY;Lukulungwa;;
mw928070;mwS;CITY;Kwisimba;;
mw928103;mwS;CITY;Kunyinda;;
mw928367;mwS;CITY;Kavalo;;
mw929154;mwS;CITY;Kambalame;;
mw929280;mwS;CITY;Kaledzera;;
mw929550;mwS;CITY;Juwaki;;
mw929869;mwS;CITY;Feremu;;
mw929905;mwS;CITY;Edwin;;
mw929991;mwS;CITY;Domasi;;
mw930197;mwS;CITY;Cikowi;;
mw930367;mwS;CITY;Chiwalo;;
mw930444;mwS;CITY;Chitele;;
mw930571;mwS;CITY;Chirando;;
mw930613;mwS;CITY;Chiponda;;
mw930637;mwS;CITY;Chiphwembwe;;
mw930920;mwS;CITY;Chimesya;;
mw931063;mwS;CITY;Chikweo;;
mw931145;mwS;CITY;Chikhawo;;
mw931270;mwS;CITY;Chibwana;;
mw931338;mwS;CITY;Chazuka;;
mw931349;mwS;CITY;Chawesa;;
mw931447;mwS;CITY;Changali;;
mw931458;mwS;CITY;Chanasa;;
mw931504;mwS;CITY;Chamara;;
mw931688;mwS;CITY;Burnett;;
mw923647;mwS;CITY;Timbenao;;
mw924202;mwS;CITY;Phalula;;
mw924252;mwS;CITY;Pambiche;;
mw924404;mwS;CITY;Nyachikadza;;
mw924560;mwS;CITY;Nselema;;
mw924728;mwS;CITY;Nkhokwe;;
mw925011;mwS;CITY;Ndoka;;
mw925171;mwS;CITY;Nankumba;;
mw925531;mwS;CITY;Mwiza;;
mw925607;mwS;CITY;Mwanjeti;;
mw925645;mwS;CITY;Mwambo;;
mw925716;mwS;CITY;Muwawa;;
mw925745;mwS;CITY;Muonekera;;
mw925837;mwS;CITY;Mtuwa;;
mw926042;mwS;CITY;Msamba;;
mw926099;mwS;CITY;Mponda;;
mw926117;mwS;CITY;Mpinganjila;;
mw926340;mwS;CITY;M’nembe;;
mw926383;mwS;CITY;Mlomba;;
mw926423;mwS;CITY;Mkwepele;;
mw926479;mwS;CITY;Mkhucke;;
mw926634;mwS;CITY;Mikolongo;;
mw926774;mwS;CITY;Mchacha;;
mw926845;mwS;CITY;Mbisa;;
mw926906;mwS;CITY;Mbangu;;
mw926927;mwS;CITY;Mbalame;;
mw926931;mwS;CITY;Mbalamanja;;
mw926948;mwS;CITY;Mazongoza;;
