CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
ml;;COUNTRY;Mali;;
ml05;ml;REGION;Ségou;;
ml2453662;ml05;CITY;Markala;;
ml2451472;ml05;CITY;Ségou;;
ml2452894;ml05;CITY;Ngodila;;
ml2455456;ml05;CITY;Kinmparana;;
ml2450849;ml05;CITY;Sokolo;;
ml2458102;ml05;CITY;Dyero;;
ml2458182;ml05;CITY;Dyadyan;;
ml2458187;ml05;CITY;Diabali;;
ml2458224;ml05;CITY;Douna;;
ml2458283;ml05;CITY;Doura;;
ml2458305;ml05;CITY;Dougouolo;;
ml2458322;ml05;CITY;Dougoufé;;
ml2458359;ml05;CITY;Dougabougou;;
ml2458473;ml05;CITY;Dogofri;;
ml2458645;ml05;CITY;Diouna;;
ml2458856;ml05;CITY;Diéramana;;
ml2458873;ml05;CITY;Diéna;;
ml2458887;ml05;CITY;Diéli;;
ml2459089;ml05;CITY;Diakourouna;;
ml2459377;ml05;CITY;Danfa;;
ml2459958;ml05;CITY;Boki-Wéré;;
ml2460012;ml05;CITY;Bla;;
ml2460144;ml05;CITY;Bénéna;;
ml2460208;ml05;CITY;Baguini;;
ml2460317;ml05;CITY;Baramandougou;;
ml2461161;ml05;CITY;Alatona;;
ml2452797;ml05;CITY;Bankouma;;
ml2452807;ml05;CITY;Nialo;;
ml2453133;ml05;CITY;Nampala;;
ml2453333;ml05;CITY;Moribila;;
ml2453369;ml05;CITY;Monguéla;;
ml2453383;ml05;CITY;Molodo;;
ml2453445;ml05;CITY;Misala;;
ml2453564;ml05;CITY;Mbérédyoula;;
ml2453599;ml05;CITY;Matomou;;
ml2453618;ml05;CITY;Masaransama;;
ml2453626;ml05;CITY;Massala;;
ml2453659;ml05;CITY;Markanibougou;;
ml2453776;ml05;CITY;Moninnpébougou;;
ml2453800;ml05;CITY;Mandiakui;;
ml2453944;ml05;CITY;Mafuné;;
ml2454544;ml05;CITY;Koula;;
ml2454753;ml05;CITY;Konodimini;;
ml2454755;ml05;CITY;Konobougou;;
