CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
mt;;COUNTRY;Malta;;
mt45;mt;REGION;Ir-Rabat;;
mt2562620;mt45;CITY;Rabat;;
mt2564671;mt45;CITY;Il-Baħrija;;
mt2562842;mt45;CITY;Ix-Xagħra ta’ l-Isqof;;
mt2563031;mt45;CITY;Ġnien il-Kbir;;
mt2563044;mt45;CITY;Għemieri;;
mt2563085;mt45;CITY;Għajn Qajjied;;
mt2563088;mt45;CITY;Għajn Klieb;;
mt2562679;mt45;CITY;Nigred;;
mt2562809;mt45;CITY;L-Andrijiet;;
mt2562980;mt45;CITY;Ħofret ir-Rizz;;
mt2562381;mt45;CITY;Tal-Merħla;;
mt9794199;mt45;CITY;Santa Katarina;;
mt42;mt;REGION;Il-Qala;;
mt2562655;mt42;CITY;Qala;;
mt11;mt;REGION;Għajnsielem;;
mt7522265;mt11;CITY;Comino;;
mt66;mt;REGION;Iż-Żebbuġ;;
mt2562634;mt66;CITY;Qbajjar;;
mt2562753;mt66;CITY;Marsalforn;;
mt21;mt;REGION;L-Imġarr;;
mt2562734;mt21;CITY;Mġarr;;
mt2562793;mt21;CITY;L-Iskorvit;;
mt2563079;mt21;CITY;Għajn Tuffieħa;;
mt2563197;mt21;CITY;Binġemma;;
mt2562262;mt21;CITY;Iż-Żebbiegħ;;
mt2562433;mt21;CITY;Ta’ l-Abatija;;
mt2563129;mt21;CITY;Dwejra;;
mt2562904;mt21;CITY;Il-Palma;;
mt2562332;mt21;CITY;Tas-Santi;;
mt34;mt;REGION;Il-Mellieħa;;
mt2562766;mt34;CITY;Manikata;;
mt2562707;mt34;CITY;Miżieb;;
mt2563074;mt34;CITY;Il-Qortin ta’ Għajn Żejtuna;;
mt2562877;mt34;CITY;In-Naħħalija;;
mt2563075;mt34;CITY;Għajn Żejtuna;;
mt2563186;mt34;CITY;Biskra;;
mt2562860;mt34;CITY;Is-Sellum;;
mt2562971;mt34;CITY;Id-Daħar;;
mt2565295;mt34;CITY;L-Aħrax tal-Għajn;;
mt2562421;mt34;CITY;Tal-Blata;;
mt10171154;mt34;CITY;Marfa;;
mt38;mt;REGION;In-Naxxar;;
mt2562774;mt38;CITY;Magħtab;;
mt2563230;mt38;CITY;Baħar iċ-Ċagħaq;;
mt57;mt;REGION;Is-Swieqi;;
mt2562781;mt57;CITY;Il-Madliena;;
mt2562840;mt57;CITY;Ix-Xgħajriet;;
mt2562398;mt57;CITY;Ta’ l-Ibraġ;;
mt2562384;mt57;CITY;Tal-Mejda;;
mt05;mt;REGION;Birżebbuġa;;
mt2562897;mt05;CITY;Il-Qajjenza;;
mt2563182;mt05;CITY;Borġ in-Nadur;;
mt2567540;mt05;CITY;Ħal Far;;
mt2562831;mt05;CITY;Kalafrana;;
mt2562961;mt05;CITY;Il-Brolli;;
mt2562374;mt05;CITY;Tal-Papa;;
mt14;mt;REGION;L-Għasri;;
mt2563052;mt14;CITY;Għasri;;
mt2563066;mt14;CITY;Għammar;;
mt9653600;mt14;CITY;Fanal;;
mt52;mt;REGION;Saint Paul’s Bay;;
mt2563172;mt52;CITY;Bur Marrad;;
mt2563178;mt52;CITY;Buġibba;;
mt11152670;mt52;CITY;Xemxija;;
mt2562798;mt52;CITY;L-Imbordin;;
mt2562290;mt52;CITY;Wardija Crossroads;;
mt68;mt;REGION;Iż-Żurrieq;;
mt2563180;mt68;CITY;Bubaqra;;
mt2562906;mt68;CITY;Il-Miżieb;;
mt2562288;mt68;CITY;Wied Fulija;;
