CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
mr;;COUNTRY;Mauritania;;
mr06;mr;REGION;Trarza;;
mr2376189;mr06;CITY;Tékane;;
mr2598168;mr06;CITY;Wadi an-Nāqa;;
mr2380670;mr06;CITY;Boutilimit;;
mr2598184;mr06;CITY;Tiguent;;
mr2377580;mr06;CITY;Ndiago;;
mr2378000;mr06;CITY;Mederdra;;
mr2378356;mr06;CITY;Légat;;
mr2378646;mr06;CITY;KeurMassène;;
mr9165726;mr06;CITY;Riyad;;
mr9227774;mr06;CITY;Mbalal;;
mr9224931;mr06;CITY;Bareina;;
mr9224943;mr06;CITY;R'kiz;;
mr2382012;mr06;CITY;Adabaï;;
mr2376005;mr06;CITY;Tiong;;
mr2381085;mr06;CITY;Bélano;;
mr2377486;mr06;CITY;Nimjad;;
mr2377572;mr06;CITY;Ndiémar;;
mr2378648;mr06;CITY;Keur Madiké;;
mr2380402;mr06;CITY;Dar Cheïkh Abdallaï;;
mr2380403;mr06;CITY;Dar Cheïkh Abdallaï;;
mr2376464;mr06;CITY;Tânît;;
mr2380595;mr06;CITY;Chbariat;;
mr2380639;mr06;CITY;Boyo;;
mr2598185;mr06;CITY;Jeder el Mohguene;;
mr2598188;mr06;CITY;Rkîz;;
mr2598189;mr06;CITY;Leqceïba;;
mr2595354;mr06;CITY;Beïla;;
mr2376263;mr06;CITY;Tessèm;;
mr2376998;mr06;CITY;Regba;;
mr2377523;mr06;CITY;Ngalgou;;
mr2377620;mr06;CITY;Nbâk;;
mr2377831;mr06;CITY;Moï Moï;;
mr2378281;mr06;CITY;Leroug;;
mr2378644;mr06;CITY;KeurPer;;
mr2378647;mr06;CITY;KeurMarsal;;
mr2379329;mr06;CITY;Gourel Mama Dado;;
mr2380176;mr06;CITY;Dououara;;
mr2380248;mr06;CITY;Dïos;;
mr2380299;mr06;CITY;Diamer;;
mr2380405;mr06;CITY;Dara;;
mr2380406;mr06;CITY;Dara;;
mr6913430;mr06;CITY;Messaoud;;
mr6913449;mr06;CITY;Ouhaïntou II;;
mr6913457;mr06;CITY;Boû Sdêra;;
mr6920266;mr06;CITY;Idini;;
mr11;mr;REGION;Tiris Zemmour;;
mr2380975;mr11;CITY;Bîr Mogreïn;;
mr2379615;mr11;CITY;Fderîck;;
mr2380588;mr11;CITY;Chegga;;
mr2381768;mr11;CITY;Ain Ben Tili;;
mr2598068;mr11;CITY;Touâjîl;;
mr07;mr;REGION;Adrar;;
mr2380519;mr07;CITY;Chingueṭṭi;;
mr2381257;mr07;CITY;Azoûgui;;
mr2597435;mr07;CITY;Choûm;;
mr2377339;mr07;CITY;Ouadâne;;
mr2378433;mr07;CITY;Ksar el Khâli;;
mr2377262;mr07;CITY;Oujeft;;
mr2378431;mr07;CITY;Kseïr et Torchâne;;
mr8534195;mr07;CITY;Toueïghîda;;
mr7405507;mr07;CITY;’Aggui;;
mr2598171;mr07;CITY;Nterguent;;
mr2376389;mr07;CITY;Tâyâret;;
mr7395343;mr07;CITY;Beddâmez;;
mr7395345;mr07;CITY;Joueïlet Ahel el Ḥammoud;;
mr7395346;mr07;CITY;Ibenkâr;;
mr7395354;mr07;CITY;Jâlet Ahel Ḥamel;;
mr7395465;mr07;CITY;Aneffîg;;
mr7395466;mr07;CITY;El Mraïfig;;
mr7395467;mr07;CITY;Toumbahjîṭ;;
mr7395469;mr07;CITY;Tnâkel er Reg;;
mr7395470;mr07;CITY;Toûl;;
mr7394792;mr07;CITY;Kseïr el Mdeïna;;
mr7394796;mr07;CITY;Ragg Ould ’Ali Ould Barka;;
mr7405042;mr07;CITY;Ḥamdoûn;;
mr7405043;mr07;CITY;Jâlet el Mêda;;
mr7405044;mr07;CITY;Toueïouirît;;
mr7405045;mr07;CITY;Mâncheddek;;
mr7405047;mr07;CITY;El Ḥajrâ el Beïḍa;;
mr7405049;mr07;CITY;Taouârît;;
mr7405050;mr07;CITY;El Greïnât;;
mr7405073;mr07;CITY;Tâchôt;;
mr7405077;mr07;CITY;Doueïrât;;
mr7405282;mr07;CITY;Kenaouâl;;
mr7405284;mr07;CITY;Mnâçîr;;
mr7405293;mr07;CITY;El Mâleḥ;;
mr7405296;mr07;CITY;Terouane;;
mr7405328;mr07;CITY;Foum Ajâr;;
mr7405329;mr07;CITY;Oumm Sreyaḥ;;
mr7405330;mr07;CITY;Zîret el Khcheb;;
mr7405334;mr07;CITY;Tezegraz;;
mr7405336;mr07;CITY;’Aouînet Ahel Khaïri;;
mr7405353;mr07;CITY;Ḍâyet Tezegraz;;
mr6916087;mr07;CITY;Ouagchoḍḍa;;
mr6916136;mr07;CITY;Abteïli;;
mr6918982;mr07;CITY;Et Taouâz;;
mr6918983;mr07;CITY;Mheïnîne;;
mr7526900;mr07;CITY;Mḥaïreth;;
mr9230025;mr07;CITY;Seuil de zira elhamra;;
mr9224930;mr07;CITY;Tawaz;;
mr11951357;mr07;CITY;Tazent;;
mr11951359;mr07;CITY;Souigya;;
mr11951362;mr07;CITY;Yagref;;
mr05;mr;REGION;Brakna;;
mr2380954;mr05;CITY;Bogué;;
mr2380957;mr05;CITY;Bofal;;
mr2381231;mr05;CITY;Bagodine;;
mr2381249;mr05;CITY;Bababé;;
mr2376630;mr05;CITY;Sori Malé;;
mr2377511;mr05;CITY;Niâbina;;
mr2378070;mr05;CITY;Mbagne;;
mr2378160;mr05;CITY;Magṭa‘ Laḥjar;;
mr2379162;mr05;CITY;Haïre Mbar;;
mr2380399;mr05;CITY;Dar el Barka;;
mr9227167;mr05;CITY;Aghchorguitt;;
mr2380893;mr05;CITY;Bahara;;
mr2377080;mr05;CITY;Ouro Dialao;;
mr2378282;mr05;CITY;El Ouérât;;
mr2379163;mr05;CITY;Haïré Goléré;;
mr2380245;mr05;CITY;Dioûdé Diêri;;
mr2375694;mr05;CITY;Vending;;
mr2375702;mr05;CITY;Vîndé Aboïdi;;
mr2375712;mr05;CITY;Vane Vane;;
mr2375838;mr05;CITY;Touîmert Lbèra;;
mr2375957;mr05;CITY;Tjidé;;
mr2380821;mr05;CITY;Bofal;;
mr2380927;mr05;CITY;Bolol Dogo;;
mr2381078;mr05;CITY;Bélél Gaoudi;;
mr2381080;mr05;CITY;Bélél Abdi Fati;;
mr2381150;mr05;CITY;Baté Lâï;;
mr2381151;mr05;CITY;Bâssi Nguiddi;;
mr2381158;mr05;CITY;Barkéwol;;
mr2381246;mr05;CITY;Badâ;;
mr2381330;mr05;CITY;Âtène;;
mr2381829;mr05;CITY;Aguini;;
mr2382010;mr05;CITY;Dêbaï Doubbel;;
mr2382075;mr05;CITY;Abdallah Diéri;;
mr2376121;mr05;CITY;Tyila;;
mr2376258;mr05;CITY;Tèttiâne;;
mr2376882;mr05;CITY;Saboala;;
mr2377253;mr05;CITY;Oulad Aoueïssi;;
mr2377517;mr05;CITY;Ngorel;;
mr2377576;mr05;CITY;Ndiâvaldi Boulli;;
mr2377579;mr05;CITY;Diandia;;
mr2377717;mr05;CITY;Mourtogal Gâr;;
mr2377743;mr05;CITY;Mourtogal Gâr;;
mr2377779;mr05;CITY;Moït;;
mr2378029;mr05;CITY;Mbotto;;
mr2378220;mr05;CITY;Louad Touil;;
mr2378248;mr05;CITY;Liliya;;
mr2378252;mr05;CITY;Liguil Khaïri;;
mr2378452;mr05;CITY;Krâ’ Boû Mbâré;;
mr2379540;mr05;CITY;Fondou;;
mr2379559;mr05;CITY;Fora Sannorâbé;;
mr2379600;mr05;CITY;Fêralla;;
mr2380116;mr05;CITY;Labdé;;
mr2380300;mr05;CITY;Diammel Vidim;;
mr2380372;mr05;CITY;Idegjemolla;;
mr2380409;mr05;CITY;Dâwalel;;
mr2380449;mr05;CITY;Dabbé;;
mr2375707;mr05;CITY;Véndou Diâbi;;
mr2375709;mr05;CITY;Véli Diâré;;
mr2375807;mr05;CITY;Toulé;;
mr2375808;mr05;CITY;Touldé Boussobé;;
mr2380872;mr05;CITY;Boubou Karli;;
mr2380873;mr05;CITY;Boûbou Âoudi;;
mr2380925;mr05;CITY;Bondiéri;;
mr2380959;mr05;CITY;Bodiédié;;
mr2381552;mr05;CITY;Ando Réo;;
mr2381651;mr05;CITY;’Ali Baïdi;;
mr2381772;mr05;CITY;Aïmoré;;
mr2381955;mr05;CITY;Afnia;;
mr2382011;mr05;CITY;Adabaï Deïli;;
mr2382081;mr05;CITY;Abaye;;
mr2382084;mr05;CITY;Abâri;;
mr2598198;mr05;CITY;Chogâr;;
mr2598199;mr05;CITY;Djonâba;;
mr2376247;mr05;CITY;Tialgou;;
mr2376706;mr05;CITY;Séné Kouna;;
mr2376784;mr05;CITY;Sayé;;
mr2376793;mr05;CITY;Saré Ndogou Dibéri;;
mr2376794;mr05;CITY;Saré Ndogou Boubakar Baïli;;
mr2377054;mr05;CITY;Poleti;;
mr2377071;mr05;CITY;Ouska;;
mr2377086;mr05;CITY;Ourguia;;
mr2377272;mr05;CITY;Ouétji;;
mr2377347;mr05;CITY;Olo Ologo;;
mr2377566;mr05;CITY;Ndirol;;
mr2377578;mr05;CITY;Ndiao Réo;;
mr2378068;mr05;CITY;Mbahé;;
mr2378136;mr05;CITY;Makhana;;
mr2378277;mr05;CITY;Lévé;;
mr2378739;mr05;CITY;Kadiel Abou;;
mr2379166;mr05;CITY;Haïmédât;;
mr2379223;mr05;CITY;Guidala;;
mr2379317;mr05;CITY;Gourfâf;;
mr2379455;mr05;CITY;Garalol;;
mr2379641;mr05;CITY;Fadia;;
mr2379698;mr05;CITY;E-n-Tatrat;;
mr2379981;mr05;CITY;El Goueïssi;;
mr2379984;mr05;CITY;El Goss;;
mr2380194;mr05;CITY;Douboungué;;
mr2380241;mr05;CITY;Dioulon;;
mr8604529;mr05;CITY;Donaye Taredji;;
mr6607064;mr05;CITY;Sago;;
mr6910026;mr05;CITY;Aguerj;;
mr6910063;mr05;CITY;Çangarâfa;;
mr6650577;mr05;CITY;Tiénel;;
mr9227475;mr05;CITY;Lem'oudou;;
mr03;mr;REGION;Assaba;;
mr2381163;mr03;CITY;Barkéwol;;
mr2377137;mr03;CITY;Oumm el Khezz;;
mr2380756;mr03;CITY;Boûmdeïd;;
mr2380972;mr03;CITY;Blajmil;;
mr2598208;mr03;CITY;Sâni;;
mr2376976;mr03;CITY;El Ghabra;;
mr2378716;mr03;CITY;Kankossa;;
mr2379131;mr03;CITY;Hamoud;;
mr2380066;mr03;CITY;El ’Ayoûn;;
mr9222765;mr03;CITY;Foum Gleita;;
mr6902161;mr03;CITY;Guérou;;
mr6902182;mr03;CITY;Koûroudjél;;
mr9224937;mr03;CITY;Agharghar;;
mr10340309;mr03;CITY;Djonaba;;
mr2381160;mr03;CITY;Barkéwol el Akhdar;;
mr2381761;mr03;CITY;’Aïn Taïs;;
mr2377028;mr03;CITY;Ghaïfara;;
mr2377304;mr03;CITY;Oûdeï Lebhanis;;
mr2377307;mr03;CITY;Oûdeï;;
mr2378721;mr03;CITY;Ekâmoûr;;
mr2375828;mr03;CITY;Touimrat;;
mr2380525;mr03;CITY;Chig el Outeïdat;;
mr2380571;mr03;CITY;Chelkhat Ould Bannahi;;
mr2381657;mr03;CITY;’Aleïb;;
mr2381948;mr03;CITY;Afraré;;
mr2598211;mr03;CITY;Gleïb eç Çghîr;;
mr2376225;mr03;CITY;Tîchilît Ahel Baba;;
mr2376350;mr03;CITY;Téguel Ouézé;;
mr2377044;mr03;CITY;Khachbé;;
mr2377093;mr03;CITY;Wolé;;
mr2377152;mr03;CITY;Oumoulbohoro;;
mr2377154;mr03;CITY;Oumoulbarka;;
mr2377196;mr03;CITY;Oumm Kchéra;;
mr2377275;mr03;CITY;Ouéringuel;;
mr2377302;mr03;CITY;Oûdeï Talaba;;
mr2377373;mr03;CITY;N-Tîlimît;;
mr2378335;mr03;CITY;El ‘Erg;;
mr2378533;mr03;CITY;Kiliwa;;
mr2378687;mr03;CITY;Kayout;;
mr2379871;mr03;CITY;El Maleh;;
mr2380097;mr03;CITY;El Mouinessé;;
mr2376066;mr03;CITY;Tingal;;
mr2380517;mr03;CITY;Chkata;;
mr2380644;mr03;CITY;Boû Zraïbié;;
mr2380783;mr03;CITY;Boukéréya;;
mr2380918;mr03;CITY;Borié;;
mr2380981;mr03;CITY;Binndiamou;;
mr2381325;mr03;CITY;Atîla;;
mr2381664;mr03;CITY;Alanguidé;;
mr2381819;mr03;CITY;Ahel Cheïheb;;
